element_type,osmid,nodes,amenity,name,name:en,name:zh,geometry
way,331708773,"[3388048430, 3388048431, 3388048432, 3388048433, 3388048434, 3388048435, 3388048430]",parking,科技园停车场,"Parking lot, Science Park",科技园停车场,"POLYGON ((113.3376081 23.1670144, 113.3378871 23.1671821, 113.3388473 23.1671032, 113.3388741 23.1664473, 113.3382679 23.1664473, 113.3379729 23.1667629, 113.3376081 23.1670144))"
way,360054029,"[3646568470, 3646568471, 3646568472, 3646568473, 3646568468, 3646568467, 3646568474, 3646568466, 3646568470]",parking,,,,"POLYGON ((113.3428505 23.1527139, 113.3431274 23.1527266, 113.343275 23.1529041, 113.3432884 23.1529831, 113.3432374 23.1529732, 113.3431757 23.1528943, 113.3430413 23.1528794, 113.3428646 23.1528597, 113.3428505 23.1527139))"
way,360054031,"[3646568487, 3646568700, 3646568701, 3646568702, 3646568703, 3646568704, 3646568706, 3646568707, 3646568708, 3646568709, 3646568710, 3646568711, 3646568483, 3646568484, 3646568485, 3646568486, 3646568487]",parking,,,,"POLYGON ((113.3415236 23.1528827, 113.3415156 23.1528556, 113.3417167 23.152863, 113.3417328 23.1527939, 113.3420252 23.1527668, 113.3420279 23.1526928, 113.3424106 23.1527278, 113.3424064 23.1527774, 113.3421673 23.1527643, 113.3421191 23.1528383, 113.3420949 23.1528531, 113.3420897 23.1529159, 113.3420227 23.1529139, 113.3420135 23.1530442, 113.3416407 23.1530244, 113.3416499 23.1528884, 113.3415236 23.1528827))"
way,360054611,"[3646549744, 3646572446, 3646572447, 3646572448, 3646572449, 3646572450, 3646572451, 3646572452, 3646572453, 3646572454, 3646572455, 3646572456, 3646549744]",parking,,,,"POLYGON ((113.3433451 23.1549748, 113.3439904 23.1549489, 113.3439663 23.1548651, 113.343977 23.154759, 113.3439962 23.1546724, 113.3440709 23.1545469, 113.3440628 23.154362, 113.3439877 23.1544138, 113.3437115 23.1544187, 113.3435774 23.1545346, 113.3435344 23.1546012, 113.343368 23.1546056, 113.3433451 23.1549748))"
way,365982012,"[3699771261, 3699771262, 3699771263, 3699771264, 3699771265, 3699771266, 3699771267, 3699771268, 3699771261]",parking,,,,"POLYGON ((113.3355308 23.154587, 113.3359637 23.1540752, 113.3360079 23.1541443, 113.3360389 23.1542661, 113.3360168 23.1544286, 113.3359151 23.1545383, 113.3357561 23.1546114, 113.3356191 23.1546277, 113.3355308 23.154587))"
