element_type,osmid,amenity,name,name:zh,geometry,brand,brand:en,brand:wikidata,brand:wikipedia,brand:zh,cuisine,name:en,outdoor_seating,takeaway,operator
node,3213479561,cafe,校园咖啡,校园咖啡,POINT (113.3396671 23.1575804),,,,,,,,,,
node,9284692844,cafe,瑞幸咖啡,瑞幸咖啡,POINT (113.3342402 23.1690276),瑞幸咖啡,Luckin Coffee,Q56811344,zh:瑞幸咖啡,瑞幸咖啡,coffee_shop,Luckin Coffee,no,yes,
node,9284692846,cafe,书亦烧仙草,书亦烧仙草,POINT (113.3372471 23.1652599),书亦烧仙草,Shuyi Tealicious,Q107729359,,书亦烧仙草,bubble_tea,Shuyi Tealicious,no,yes,四川书亦餐饮管理有限公司
