element_type,osmid,amenity,parking,supervised,geometry,access,nodes,addr:street,addr:housenumber,alt_name,alt_name:zh,building,fee,name,name:en,name:zh
way,181773527,parking,,,"POLYGON ((114.1380521 22.2846091, 114.1382764 22.2846022, 114.138272 22.2844807, 114.1382282 22.2844808, 114.1380458 22.2844813, 114.1380521 22.2846091))",private,"[1922027507, 1922027616, 1922027426, 1834170490, 1926490129, 1922027507]",般咸道 Bonham Road,,,,,,,,
way,182172765,parking,multi-storey,yes,"POLYGON ((114.1356911 22.2831041, 114.1356986 22.2833129, 114.1360054 22.2833035, 114.1361169 22.2833, 114.1361163 22.2832839, 114.1361083 22.2830611, 114.1361068 22.2830174, 114.1359765 22.2830221, 114.1359774 22.2830491, 114.1359106 22.2830964, 114.1356911 22.2831041))",,"[1925188682, 1925188648, 6499569779, 1925188678, 1925188698, 1925188687, 1925188590, 1925188694, 1925188699, 1925188627, 1925188682]",薄扶林道 Pok Fu Lam Road,72,香港大學學生會 Hong Kong University Students' Union,香港大學學生會,university,yes,綜合大樓 (香港大學學生會) Composite Building (HKU Students' Union),Composite Building,綜合大樓
