u,v,key,osmid,lanes,name,highway,access,oneway,reversed,length,geometry,service,bridge,tunnel
356626512,1925481118,0,"[182203585, 1104104292]",2,,service,permissive,False,True,63.482,"LINESTRING (114.1370853 22.2823092, 114.137237 22.2823491, 114.1372537 22.2823535, 114.1376955 22.2823448)",,yes,
356626657,10617295057,0,31854027,2,大學道 University Drive,service,permissive,False,False,43.302,"LINESTRING (114.1396257 22.2815139, 114.1395163 22.2815076, 114.1392063 22.2815333)",,,
356626657,10617295053,0,31854027,2,大學道 University Drive,service,permissive,False,True,25.172,"LINESTRING (114.1396257 22.2815139, 114.1396481 22.281475, 114.139649 22.2812927)",,,
356626657,2121283322,0,202152689,,,steps,,False,True,57.914,"LINESTRING (114.1396257 22.2815139, 114.1396968 22.2816283, 114.1397232 22.2818356, 114.1396723 22.2818828, 114.139601 22.2819751)",,,
1834170476,356626383,0,681311334,,,footway,,False,True,54.874,"LINESTRING (114.138288 22.2843221, 114.1382866 22.2838548, 114.1383146 22.283851)",,,
1834170476,9312391716,0,1009303030,,仲賢路 Lee Chung Yin Road,service,permissive,False,False,16.955,"LINESTRING (114.138288 22.2843221, 114.1383637 22.2842453, 114.138399 22.2842094)",,,
1834170476,5271737904,0,1009303030,,仲賢路 Lee Chung Yin Road,service,permissive,False,True,10.531,"LINESTRING (114.138288 22.2843221, 114.1382614 22.2843472, 114.1382489 22.2843643, 114.1382447 22.2843777, 114.1382451 22.284394, 114.1382461 22.2844026)",,,
1922027461,1923609372,0,181773522,,,service,,False,False,13.033000000000001,"LINESTRING (114.1382576 22.2844287, 114.1382481 22.2844707, 114.1382477 22.284545)",,,
1922027461,356626383,0,"[31853978, 181773524, 182023181]",2,仲賢路 Lee Chung Yin Road,service,permissive,False,True,84.07799999999997,"LINESTRING (114.1382576 22.2844287, 114.1382679 22.284439, 114.1382843 22.2844451, 114.1383061 22.2844496, 114.1383379 22.2844514, 114.1383653 22.2844469, 114.1383887 22.2844332, 114.1384154 22.2843967, 114.138425 22.2843753, 114.1384347 22.2843476, 114.1384437 22.2843118, 114.1384477 22.2842819, 114.1384478 22.2842588, 114.1384464 22.2842378, 114.1384359 22.2842111, 114.1383965 22.2841482, 114.1383355 22.2840546, 114.1383147 22.2839875, 114.1383118 22.2839419, 114.1383146 22.283851)",,yes,
1922027461,5271737904,0,1009303030,,仲賢路 Lee Chung Yin Road,service,permissive,False,False,3.146,"LINESTRING (114.1382576 22.2844287, 114.138249 22.2844123, 114.1382461 22.2844026)",,,
1923609372,1922027461,0,181773522,,,service,,False,True,13.033000000000001,"LINESTRING (114.1382477 22.284545, 114.1382481 22.2844707, 114.1382576 22.2844287)",,,
1923658011,6580279814,0,182208611,,,footway,,False,False,2.235,"LINESTRING (114.1390145 22.2834791, 114.1390123 22.2834991)",,,
1923658011,6580279813,0,698990272,2,,service,permissive,False,True,6.435,"LINESTRING (114.1390145 22.2834791, 114.139077 22.2834771)",,,
1923658011,6580279821,0,182208611,,,footway,,False,True,5.839,"LINESTRING (114.1390145 22.2834791, 114.1390135 22.2834489, 114.1390113 22.2834267)",,,
1923658011,6580279820,0,"[698990272, 543057658]",2,,service,permissive,False,False,6.853,"LINESTRING (114.1390145 22.2834791, 114.1389725 22.2834843, 114.1389486 22.283488)",,yes,
1923658020,5264333179,0,182023180,,Sun Yat-sen Steps 中山階,steps,,False,False,16.363,"LINESTRING (114.138212 22.2830861, 114.1382067 22.2829814, 114.1381982 22.2829398)",,,
1923658025,6563915327,0,698990269,,,footway,,False,True,24.303,"LINESTRING (114.1391638 22.2839074, 114.1393441 22.2840486)",,,
1923658025,1923658061,0,"[182023187, 182023172]",,,"['steps', 'footway']",,False,True,22.184,"LINESTRING (114.1391638 22.2839074, 114.1391652 22.2838941, 114.1391479 22.2838802, 114.1389887 22.283806)",,,
1923658029,1923658062,0,182023183,1,仲賢路 Lee Chung Yin Road,service,permissive,True,False,17.076999999999998,"LINESTRING (114.1382502 22.2836121, 114.1383107 22.2836258, 114.1383395 22.2836599, 114.1383701 22.2837043)",,,
1923658029,6563915355,0,698990286,1,仲賢路 Lee Chung Yin Road,service,permissive,True,False,14.43,"LINESTRING (114.1382502 22.2836121, 114.1383509 22.2836016, 114.1383898 22.2836021)",,,
1923658030,1923658029,0,1187943178,,仲賢路 Lee Chung Yin Road,service,permissive,True,False,10.014,"LINESTRING (114.1381529 22.2836143, 114.1382502 22.2836121)",,,
1923658035,1923658061,0,"[182023185, 182023172]",,,"['steps', 'footway']",,False,False,34.234,"LINESTRING (114.1387454 22.2836928, 114.1389065 22.2836903, 114.1389497 22.2838063, 114.1389887 22.283806)",,,
