u,v,key,osmid,highway,oneway,reversed,length,lanes,name,maxspeed,service,geometry,width,tunnel,access,bridge,junction
265746833,10180735137,0,"[1112708912, 35468953]","['service', 'footway']",False,False,108.57600000000001,,Chemin des Arpenteurs,,driveway,"LINESTRING (6.5671395 46.5211021, 6.5671429 46.5207634, 6.5676711 46.5207656, 6.5676723 46.5207207, 6.5680056 46.5207238)",,,,,
265746833,415963446,0,"[975370955, 24450820, 975363566]",service,True,False,126.756,,"['Chemin des Arpenteurs', 'Chemin du Barrage']",30,driveway,"LINESTRING (6.5671395 46.5211021, 6.5672877 46.521106, 6.5674336 46.521108, 6.5675035 46.5211104, 6.5675562 46.5211263, 6.5675905 46.5211409, 6.5676142 46.521161, 6.5676276 46.5211815, 6.5676274 46.521273, 6.5676253 46.5214713, 6.567625 46.521522, 6.5676246 46.521628, 6.5676215 46.5219551)",,,,,
266880742,415957761,0,24450818,service,True,False,36.028,,Rue Ami Argand,30,driveway,"LINESTRING (6.5711643 46.5206119, 6.5711607 46.5202879)",,,,,
266880742,1341404008,0,"[119366818, 450541982]",path,False,False,194.87999999999997,,La Méridienne,,,"LINESTRING (6.5711643 46.5206119, 6.5709753 46.5206081, 6.5708778 46.5206267, 6.5705619 46.520617, 6.5704383 46.5205434, 6.5692723 46.5205305, 6.5689466 46.5205952, 6.5687266 46.5205973, 6.5686756 46.5206041)",,,,,
266880742,423204032,0,"[119366818, 1016890714]",path,False,True,51.21,,La Méridienne,,,"LINESTRING (6.5711643 46.5206119, 6.5712518 46.5206114, 6.5717659 46.5205589, 6.571772 46.5205164)",,,,,
267022644,415957759,0,27335913,unclassified,False,True,19.144,,Route des Noyerettes,30,,"LINESTRING (6.5709753 46.5192219, 6.5707251 46.5192206)",7,,,,
267022644,415957804,0,583140642,path,False,False,6.805,,,,,"LINESTRING (6.5709753 46.5192219, 6.5709746 46.5191607)",,,,,
267022644,5575422896,0,583140642,path,False,True,7.517,,,,,"LINESTRING (6.5709753 46.5192219, 6.5709762 46.5192895)",,,,,
267022644,415957799,0,1013449038,unclassified,False,False,40.141,,Route des Noyerettes,30,,"LINESTRING (6.5709753 46.5192219, 6.5714999 46.5192248)",7,,,,
267496123,267496124,0,"[1087114437, 24450634, 978481210, 978481214, 978481215]","['path', 'steps', 'footway']",False,True,16.89,,,,,"LINESTRING (6.5650073 46.5218364, 6.5649627 46.5218767, 6.5649625 46.5218994, 6.5649624 46.521921, 6.5649622 46.5219638, 6.5649607 46.5219779)",,yes,,,
267496123,265744953,0,"[984921224, 978481211, 978481212, 978481213]","['steps', 'footway']",False,False,7.427,,,,,"LINESTRING (6.5650073 46.5218364, 6.5650071 46.5218137, 6.565007 46.5218017, 6.5650068 46.5217755, 6.5650067 46.5217696)",,,,,
267496124,10676653204,0,1087114436,footway,False,True,3.917,,,,,"LINESTRING (6.5649607 46.5219779, 6.5649095 46.521978)",,yes,,,
267496124,343328977,0,"[1147412089, 30879203, 30435628]","['steps', 'footway']",False,False,32.693999999999996,,,,,"LINESTRING (6.5649607 46.5219779, 6.5650938 46.5219613, 6.5651827 46.5219465, 6.5652513 46.5219481, 6.5653832 46.5219498)",,yes,,,
267496124,267496123,0,"[1087114437, 24450634, 978481210, 978481214, 978481215]","['path', 'steps', 'footway']",False,False,16.89,,,,,"LINESTRING (6.5649607 46.5219779, 6.5649622 46.5219638, 6.5649624 46.521921, 6.5649625 46.5218994, 6.5649627 46.5218767, 6.5650073 46.5218364)",,yes,,,
312048903,2942204087,0,28407422,service,False,True,5.182,,,,driveway,"LINESTRING (6.562971 46.5180899, 6.5629706 46.5181365)",,,,,
312048903,654573217,0,51316823,unclassified,False,False,18.373,2,Route Jean-Daniel Colladon,30,,"LINESTRING (6.562971 46.5180899, 6.5632111 46.5180919)",,,,,
312048903,415963491,0,51316823,unclassified,False,True,61.661,2,Route Jean-Daniel Colladon,30,,"LINESTRING (6.562971 46.5180899, 6.5621652 46.5180833)",,,,,
312048903,312048942,0,201763239,service,False,True,15.779,,Chemin Erna Hamburger,,driveway,"LINESTRING (6.562971 46.5180899, 6.5629729 46.517948)",,,,,
312048905,415963501,0,201763239,service,False,False,15.134,,Chemin Erna Hamburger,,driveway,"LINESTRING (6.5629752 46.5176706, 6.5629739 46.5178067)",,,,,
312048905,415963498,0,201763239,service,False,True,20.038,,Chemin Erna Hamburger,,driveway,"LINESTRING (6.5629752 46.5176706, 6.562977 46.5174904)",,,,,
312048942,415963503,0,35692284,service,True,False,86.883,,,,parking_aisle,"LINESTRING (6.5629729 46.517948, 6.5641083 46.5179574)",,,,,
312048942,312048903,0,201763239,service,False,False,15.779,,Chemin Erna Hamburger,,driveway,"LINESTRING (6.5629729 46.517948, 6.562971 46.5180899)",,,,,
312048942,415963501,0,201763239,service,False,True,15.712,,Chemin Erna Hamburger,,driveway,"LINESTRING (6.5629729 46.517948, 6.5629739 46.5178067)",,,,,
312048942,2249902152,0,290716833,service,False,True,54.629,,Chemin Erna Hamburger,,parking_aisle,"LINESTRING (6.5629729 46.517948, 6.562259 46.5179421)",,,,,
332090230,418161362,0,35767757,footway,False,True,8.249,,,,,"LINESTRING (6.5684109 46.5201865, 6.5683031 46.5201876)",,,,,
332090230,416453454,0,975363568,unclassified,True,False,40.105,,Avenue Auguste-Piccard,30,alley,"LINESTRING (6.5684109 46.5201865, 6.5684005 46.5205471)",,,,,
334496980,8935270050,0,24403272,service,False,False,6.074,,Chemin Alan-Turing,,driveway,"LINESTRING (6.5627765 46.5190605, 6.5628542 46.5190717)",,,,,
334496980,335535677,0,825869003,service,False,True,91.397,,Chemin Alan-Turing,30,driveway,"LINESTRING (6.5627765 46.5190605, 6.561582 46.5190582)",,,,,
334496980,4841714903,0,30403019,footway,False,True,16.091,,,,,"LINESTRING (6.5627765 46.5190605, 6.5627781 46.5189766, 6.5627793 46.5189158)",,,,,
335535633,1721530900,0,30403005,steps,False,True,13.945,,,,,"LINESTRING (6.5645532 46.5210501, 6.564551 46.5211755)",,,,,
