element_type,osmid,amenity,layer,name,opening_hours,geometry,cuisine,website,diet:vegetarian,wheelchair,level,start_date,internet_access,addr:city,addr:postcode,addr:street,image,wikidata,wikimedia_commons
node,415933197,cafe,0,Cafétéria NIKI,Mo-Fr 08:00-16:00,POINT (6.5647162 46.5196529),,,,,,,,,,,,,
node,423801204,cafe,,Self-service Hopper,Mo-Sa 08:00-15:00,POINT (6.5620608 46.5183541),french,https://www.epfl.ch/campus/restaurants-shops-hotels/fr/restauration/self-service/cafeteria-bc/,,,,,,,,,,,
node,1978496509,cafe,,Paul Klee,"Mo-Fr 07:00-21:00; Sa,Su 08:00-18:00",POINT (6.5680231 46.5182086),,https://www.epfl.ch/campus/restaurants-shops-hotels/fr/restauration/cafeteria/le-klee-by-novae/,yes,yes,,,,,,,,,
node,1978496518,cafe,,Cyber Café SV,Mo-Fr 07:00-17:30,POINT (6.5638979 46.5200213),,,yes,,,,,,,,,,
node,2123860084,cafe,,Cafétéria ZAHA,Mo-Fr 08:00-15:00,POINT (6.56336 46.5185684),,https://www.epfl.ch/campus/restaurants-shops-hotels/fr/restauration/cafeteria/cafeterie-inm/,yes,,1,2021-09-27,,,,,,,
node,2123860085,cafe,,Cafétéria MX,Mo-Fr 08:45-02:30,POINT (6.5636255 46.5191968),,https://restauration.epfl.ch/op/edit/cafeteria-MX,,,,,wlan,,,,,,
node,2123887098,cafe,,L'Arcadie,Mo-Fr 07:00-18:00,POINT (6.5694217 46.520415),,https://restauration.epfl.ch/op/edit/page-74992.html,yes,,,,,,,,,,
node,4447700832,cafe,,L'Epicure,Mo-Fr 7:00-17:00,POINT (6.5688004 46.5196747),,https://restauration.epfl.ch/epicure,,,,,,Lausanne,1015,Avenue A. Piccard,,,
node,4859743100,cafe,,Montreux Jazz Café,Mo-Th 10:00-18:00; Fr 10:00-16:00,POINT (6.5658619 46.5178487),,https://www.montreuxjazzcafe.com/fr/cafe/epfl-lausanne,,,,,,Lausanne,1015,Place Cosandey,File:Montreux Jazz Cafe Lausanne EPFL 01.jpg,Q94283981,Category:Montreux Jazz Cafe
