element_type,osmid,geometry,image,name,wikidata,wikimedia_commons,nodes,addr:city,addr:country,addr:housename,addr:postcode,building,building:levels,source,architect,building:colour,roof:levels,roof:shape,addr:street,layer,wheelchair,amenity,nohousenumber,name:fr,bridge,foot,lit,surface,building:min_level,noaddress,description,opening_hours,phone,service:bicycle:pump,shop,website,capacity,leisure,check_date,opening_date,shelter_type,ways,type,ref,alt_name,building:part
way,492125156,"POLYGON ((6.5629779 46.5184763, 6.5628677 46.5183977, 6.5628912 46.5183812, 6.5630025 46.5184598, 6.5629779 46.5184763))",,,,,"[649302777, 649302753, 649302761, 649302775, 649302777]",,,,,university,3,,,,,flat,,3,,,,,,,,,2,yes,,,,,,,,,,,,,,,,
way,492125158,"POLYGON ((6.5633382 46.5184618, 6.5634525 46.5183847, 6.5634754 46.5184008, 6.5633611 46.5184779, 6.5633382 46.5184618))",,,,,"[649302784, 649302789, 649302783, 649302787, 649302784]",,,,,university,3,,,,,flat,,3,,,,,,,,,2,yes,,,,,,,,,,,,,,,,
way,492125160,"POLYGON ((6.5633325 46.5186261, 6.5634483 46.5187074, 6.5634734 46.5186904, 6.5633577 46.5186091, 6.5633325 46.5186261))",,,,,"[649302800, 649302809, 649302807, 649302798, 649302800]",,,,,university,3,,,,,flat,,3,,,,,,,,,2,yes,,,,,,,,,,,,,,,,
way,492573616,"POLYGON ((6.5657015 46.519155, 6.5657056 46.519155, 6.5657056 46.5191568, 6.5657705 46.5191573, 6.5657679 46.5191914, 6.5658293 46.5191919, 6.5658451 46.5190564, 6.5657772 46.5190559, 6.5657793 46.5190241, 6.5657043 46.5190235, 6.5657043 46.5190217, 6.5657025 46.5190217, 6.5657019 46.5190955, 6.5657015 46.519155))",,,,,"[4474961724, 4474961725, 4474961726, 4474961727, 4474961731, 4474961732, 4474961458, 4474961455, 4474961348, 4474961345, 4845709611, 4845709610, 4474961719, 4474961724]",,,,,roof,,,,,0,gabled,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
way,492573618,"POLYGON ((6.5657165 46.5182681, 6.5658701 46.5182693, 6.5658609 46.5183034, 6.5659322 46.5183039, 6.5659486 46.5181022, 6.5657686 46.5181008, 6.5657721 46.5180961, 6.5657765 46.5180303, 6.5657184 46.5180298, 6.5657165 46.5182681))",,,,,"[4474958627, 4474958632, 4474958637, 4474958638, 4474958337, 4474958329, 4845687769, 4845687770, 4845687771, 4474958627]",,,,,roof,,,,,0,gabled,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
way,582940672,"POLYGON ((6.5676924 46.5216734, 6.5678918 46.5216749, 6.5678906 46.5217479, 6.5678895 46.5218143, 6.5678078 46.5218137, 6.5676902 46.5218128, 6.5676924 46.5216734))",,Point Vélo,,,"[5524795580, 5524795581, 415963408, 5573828951, 5573828950, 5573828949, 5524795580]",,,,,industrial,1,,,,,,,,,,,,,,,,,,►Vente de vélos d'occasion pour tous les goûts ►Petites réparations au prix des fournitures ►Mise à disposition d'outils pour les bricoleurs ►Cours de mécanique Horaires hors semestre: Je-Ve 12:00 Présentation : https://youtu.be/nqXQ7LixL8w,"Mo-Th 12:00-13:00; Fr 12:00-17:00; SH Tu 12:00-14:00 ""Hors semestre (off semester)""; SH Th-Fr 12:00-17:00 ""Hors semestre (off semester)""; Jul 15-Aug 15 Th-Fr 12:00-17:00",+41 79 371 36 55,yes,bicycle,https://www.epfl.ch/about/sustainability/fr/accueil/mobilite/pointvelo/,,,,,,,,,,
way,582941060,"POLYGON ((6.5715707 46.5195311, 6.5715699 46.5195844, 6.5715664 46.5198036, 6.5715473 46.5198035, 6.5715472 46.5198118, 6.5711585 46.5198089, 6.5711587 46.5197985, 6.5711661 46.5193321, 6.5715548 46.5193351, 6.5715517 46.519531, 6.5715707 46.5195311))",,GA,,,"[5573842445, 5573828942, 5573842450, 5573842449, 5573842452, 5573842451, 8702469634, 5573842442, 5573842443, 5573842444, 5573842445]",,,,,kindergarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,590997286,"POLYGON ((6.564111 46.5190494, 6.5641154 46.5188194, 6.5641379 46.5188049, 6.5641376 46.5188305, 6.5641334 46.5190494, 6.564111 46.5190494))",,,,,"[5641702385, 861310679, 861310677, 649308445, 649302886, 5641702385]",,,,,university,2,,,,,flat,,,,,yes,,,,,,1,,,,,,,,,,,,,,,,,
way,590997288,"POLYGON ((6.5647598 46.5194546, 6.5647645 46.5192134, 6.5647877 46.5192134, 6.5647876 46.5192252, 6.5647938 46.5192254, 6.5647939 46.5192378, 6.5647917 46.5194308, 6.5647915 46.5194427, 6.5647895 46.5194427, 6.5647893 46.5194549, 6.5647598 46.5194546))",,,,,"[5641702393, 861310696, 861310599, 334496954, 649302950, 649302947, 861310594, 861310609, 861310632, 649302959, 5641702393]",,,,,university,2,,,,,flat,,,,,yes,,,,,,1,,,,,,,,,,,,,,,,,
way,686343067,"POLYGON ((6.5665257 46.5188506, 6.5665933 46.5188689, 6.5666659 46.5188707, 6.5667354 46.518856, 6.5667923 46.5188275, 6.566833 46.518788, 6.5668531 46.5187415, 6.5668506 46.5186931, 6.5668257 46.5186478, 6.566781 46.5186104, 6.5667213 46.5185847, 6.5667143 46.5185963, 6.5666858 46.5186396, 6.566677 46.5186531, 6.5667043 46.5186662, 6.5667226 46.5186833, 6.5667322 46.5187035, 6.5667322 46.5187248, 6.5667226 46.518745, 6.5667043 46.5187621, 6.5666792 46.5187745, 6.5666497 46.5187809, 6.5666188 46.5187806, 6.5665875 46.518773, 6.5665616 46.5187586, 6.5665443 46.518739, 6.5665374 46.5187166, 6.5665418 46.5186939, 6.5665571 46.5186736, 6.5665374 46.5186644, 6.5664789 46.5186383, 6.5664652 46.5186319, 6.5664314 46.5186761, 6.5664206 46.5187256, 6.5664342 46.5187747, 6.5664706 46.518818, 6.5665257 46.5188506))",,Agora Lombard Odier,,,"[6433105288, 6433105289, 6433105290, 6433105291, 6433105299, 6433105300, 6433105292, 6433105293, 6433105294, 6433105295, 6433105296, 6433105354, 6433105353, 6433105358, 6433105307, 6433105312, 6433105311, 6433105310, 6433105309, 6433105308, 6433105306, 6433105305, 6433105304, 6433105317, 6433105316, 6433105315, 6433105314, 6433105313, 6433105359, 6433105338, 6433105322, 6433105302, 6433105303, 6433105285, 6433105286, 6433105287, 6433105288]",,,,,grandstand,,,,,,,,,,,,,,,,,,,,,,,,,800,bleachers,,,,,,,,
way,869054291,"POLYGON ((6.5710894 46.5183649, 6.5710009 46.5182966, 6.5709231 46.5182153, 6.5708695 46.5181397, 6.5708118 46.5180474, 6.5707689 46.5179745, 6.5707086 46.5178757, 6.5706651 46.5178404, 6.5705922 46.5178089, 6.5704945 46.5177825, 6.5703729 46.5177631, 6.5702472 46.517765, 6.5701386 46.5178038, 6.5700756 46.517861, 6.5700514 46.5179385, 6.5700487 46.5180658, 6.5700622 46.5186103, 6.5700756 46.5187063, 6.5701051 46.518782, 6.5701413 46.5188512, 6.570199 46.5189149, 6.5702727 46.5189564, 6.5703599 46.5189868, 6.5704873 46.5190081, 6.5706408 46.5190251, 6.5707998 46.5190256, 6.5709983 46.5190044, 6.571127 46.5189711, 6.5712182 46.5189278, 6.5713215 46.5188724, 6.5713899 46.5187912, 6.5713979 46.5187229, 6.5713925 46.5186436, 6.5713482 46.5185632, 6.5712879 46.5185051, 6.5712141 46.5184422, 6.5710894 46.5183649))",File:RTS-P1010112.JPG,Nouveaux Batiment RTS,Q124100598,Category:EPFL RTS,"[8100314229, 8100314230, 8100314231, 8100314232, 8100314233, 8100314234, 8100314235, 8100314260, 8100314259, 8100314236, 8100314237, 8100314238, 8100314258, 8100314239, 8100314240, 8100314241, 8100314242, 8100314243, 8100314244, 8100314264, 8100314245, 8100314263, 8100314246, 8100314247, 8100314262, 8100314248, 8100314249, 8100314250, 8100314251, 8100314252, 8100314253, 8100314254, 8100314255, 8100314261, 8100314256, 8100314257, 8100314229]",,,,,construction,,,Kersten Geers and David Van Severen,,,,,,,,,,,,,,,,,,,,,,,,2023-06-26,2025,,,,,,
