u,v,key,osmid,name,highway,oneway,reversed,length,geometry,bridge,junction
2569260848,2570943373,0,250489569,三江路,unclassified,False,True,6.229,"LINESTRING (120.2631549 31.4811558, 120.2631566 31.4810998)",,
2569260848,7611431289,0,814860042,,unclassified,False,True,43.547,"LINESTRING (120.2631549 31.4811558, 120.2626993 31.4812049)",,
2569260858,7611431303,0,250489566,,unclassified,False,True,72.45,"LINESTRING (120.2633183 31.479687, 120.2634248 31.4790418)",,
2569260858,2569260893,0,250489561,,unclassified,True,False,23.884999999999998,"LINESTRING (120.2633183 31.479687, 120.2633963 31.4797135, 120.2634538 31.4797656, 120.2634799 31.4798337)",,roundabout
2569260866,2569335378,0,250489559,黄山路,unclassified,False,True,57.178,"LINESTRING (120.2706478 31.4870139, 120.2700448 31.4870133)",,
2569260866,2569260903,0,250489554,黄山路,unclassified,True,False,22.741,"LINESTRING (120.2706478 31.4870139, 120.2706544 31.4869734, 120.2706757 31.4869367, 120.2707093 31.4869075, 120.2707519 31.4868888, 120.2707993 31.4868825)",,roundabout
2569260871,2569260968,0,250489565,天山路,unclassified,False,True,227.731,"LINESTRING (120.2589158 31.492914, 120.260167 31.4929079, 120.2603877 31.4928946, 120.2605594 31.4928397, 120.2607302 31.492734, 120.2609931 31.4925511, 120.2611495 31.4924509)",,
2569260871,2697137492,0,264040141,三江路,unclassified,False,True,204.89,"LINESTRING (120.2589158 31.492914, 120.2589216 31.4925831, 120.2589404 31.4924233, 120.2589716 31.4922362, 120.2590206 31.4920257, 120.2591002 31.491767, 120.2592585 31.4914148, 120.2594212 31.4911456)",,
2569260872,7611431303,0,250489566,,unclassified,False,False,86.51,"LINESTRING (120.263552 31.4782714, 120.2634248 31.4790418)",,
2569260880,2570943245,0,250489569,三江路,unclassified,False,True,21.814,"LINESTRING (120.2632148 31.4829725, 120.2632083 31.4827764)",,
2569260880,7611431285,0,250489569,三江路,unclassified,False,False,117.11999999999999,"LINESTRING (120.2632148 31.4829725, 120.2632515 31.4832694, 120.2633266 31.4834935, 120.2634347 31.4837273, 120.2635883 31.4839638)",,
2569260893,2570944016,0,250489551,峨眉山路,unclassified,False,False,123.412,"LINESTRING (120.2634799 31.4798337, 120.2647813 31.4798335)",,
2569260893,2569260965,0,250489561,,unclassified,True,False,32.935,"LINESTRING (120.2634799 31.4798337, 120.2634688 31.4799071, 120.2634212 31.479969, 120.2633465 31.4800069, 120.26326 31.4800131)",,roundabout
2569260894,2569260930,0,250705137,峨眉山路,unclassified,False,False,224.977,"LINESTRING (120.2706081 31.4798158, 120.2682357 31.479825)",,
2569260894,2576549986,0,250489564,,unclassified,True,False,21.924,"LINESTRING (120.2706081 31.4798158, 120.2706169 31.4797771, 120.270638 31.479742, 120.2706696 31.4797132, 120.2707093 31.479693, 120.270754 31.4796829)",,roundabout
2569260898,2697137490,0,250489568,泰山路,unclassified,False,True,22.411,"LINESTRING (120.2676511 31.4903055, 120.267415 31.4902962)",,
2569260898,2569260834,0,"[250489555, 250489550]","['泰山路', '东林桥']",unclassified,False,False,58.323,"LINESTRING (120.2676511 31.4903055, 120.2680213 31.4903101, 120.2682661 31.4903055)",yes,
2569260898,2697137472,0,289551143,,footway,False,False,49.651,"LINESTRING (120.2676511 31.4903055, 120.2676477 31.4903944, 120.267637 31.4904767, 120.2675324 31.4906071, 120.2674278 31.4906825)",,
2569260903,2619273966,0,250489562,两江路,unclassified,False,True,31.413,"LINESTRING (120.2707993 31.4868825, 120.2707969 31.4866)",,
2569260903,2569260913,0,250489554,黄山路,unclassified,True,False,22.804000000000002,"LINESTRING (120.2707993 31.4868825, 120.2708582 31.4868928, 120.2709077 31.486922, 120.2709399 31.4869652, 120.2709498 31.4870158)",,roundabout
2569260911,2931071665,0,250489556,三江路,unclassified,False,True,19.7,"LINESTRING (120.2640056 31.4879497, 120.2640113 31.4877726)",,
2569260911,2569260844,0,250489556,三江路,unclassified,False,False,258.42400000000004,"LINESTRING (120.2640056 31.4879497, 120.263941 31.4881391, 120.2638451 31.4883019, 120.2637002 31.4885055, 120.2635225 31.4887177, 120.2632919 31.4889167, 120.2630431 31.4891002, 120.2628332 31.4892324, 120.2624899 31.4893787, 120.2621144 31.4894794)",,
