u,v,key,osmid,highway,oneway,reversed,length,geometry,tunnel,maxspeed,lanes,name,width,access,service
7192614924,7192614922,0,770583946,service,False,True,7.161,"LINESTRING (-71.1147828 42.3765686, -71.1147618 42.3765061)",,,,,,private,
7192614924,7192614923,0,770583946,service,False,False,43.85,"LINESTRING (-71.1147828 42.3765686, -71.1147919 42.3765948, -71.1149143 42.3769508)",,,,,,private,
6297995277,6299449806,0,672697759,footway,False,True,79.006,"LINESTRING (-71.1162914 42.3776233, -71.1160345 42.3769386)",,,,,,,
6297995277,5147915565,0,817122332,footway,False,False,8.271,"LINESTRING (-71.1162914 42.3776233, -71.1162146 42.3776714)",,,,,,,
6297995277,6297995273,0,817122348,footway,False,True,42.791,"LINESTRING (-71.1162914 42.3776233, -71.1164283 42.3779946)",,,,,,,
6297995277,3295564473,0,672541019,footway,False,True,36.995,"LINESTRING (-71.1162914 42.3776233, -71.1163547 42.3775836, -71.1164077 42.3775744, -71.1164589 42.3775836, -71.1165011 42.3776366, -71.1165384 42.3777644)",,,,,,,
3809869833,3809869832,0,936951847,footway,False,False,1.66,"LINESTRING (-71.1152216 42.3799011, -71.1152014 42.3799008)",,,,,,,
6297995279,61322499,0,8616219,tertiary,False,False,12.496,"LINESTRING (-71.1139621 42.3766725, -71.1138158 42.3767033)",,,2,Kirkland Street,15.9,,
6297995279,61321817,0,8616219,tertiary,False,True,10.631,"LINESTRING (-71.1139621 42.3766725, -71.1140866 42.3766464)",,,2,Kirkland Street,15.9,,
6297995279,7631495219,0,530032165,footway,False,False,8.773,"LINESTRING (-71.1139621 42.3766725, -71.1139501 42.3765941)",,,,,,,
6297995279,11732863306,0,530032165,footway,False,True,7.118,"LINESTRING (-71.1139621 42.3766725, -71.1139719 42.3767361)",,,,,,,
6297995280,5252990670,0,8615522,service,False,False,55.745,"LINESTRING (-71.113839 42.3767648, -71.1140208 42.3772478)",,,2,Divinity Avenue,18.3,private,
6297995280,61322499,0,8615522,service,False,True,7.099,"LINESTRING (-71.113839 42.3767648, -71.1138158 42.3767033)",,,2,Divinity Avenue,18.3,private,
6297995280,11732863307,0,530032161,footway,False,False,7.626,"LINESTRING (-71.113839 42.3767648, -71.113928 42.3767453)",,,,,,,
6297995280,5147915582,0,530032161,footway,False,True,8.073,"LINESTRING (-71.113839 42.3767648, -71.1137448 42.3767855)",,,,,,,
7631495185,6298024752,0,9429431,tertiary,False,False,40.956,"LINESTRING (-71.1157407 42.3764005, -71.1158731 42.3767556)",,20 mph,2,Oxford Street,15.2,,
7631495185,61321851,0,9429431,tertiary,False,True,10.456,"LINESTRING (-71.1157407 42.3764005, -71.1157066 42.3763099)",,20 mph,2,Oxford Street,15.2,,
7631495185,7631487184,0,817122333,footway,False,False,5.582,"LINESTRING (-71.1157407 42.3764005, -71.1156756 42.3764149)",,,,,,,
7631495185,7631495186,0,817122333,footway,False,True,7.243,"LINESTRING (-71.1157407 42.3764005, -71.1158256 42.3763829)",,,,,,,
7631495186,6299449807,0,672697770,footway,False,True,40.985,"LINESTRING (-71.1158256 42.3763829, -71.1159678 42.3767362)",,,,,,,
7631495186,7631495185,0,817122333,footway,False,False,7.243,"LINESTRING (-71.1158256 42.3763829, -71.1157407 42.3764005)",,,,,,,
7631495186,7631495212,0,672697770,footway,False,False,17.208000000000002,"LINESTRING (-71.1158256 42.3763829, -71.1157865 42.3762757, -71.1157394 42.3762492)",,,,,,,
6297995283,11540371745,0,672541021,pedestrian,False,False,8.007,"LINESTRING (-71.1141586 42.3773453, -71.1140652 42.3773659)",,,1,Frisbie Place,4.9,,
6297995283,11732863307,0,"[817138202, 530032164]",footway,False,False,69.37,"LINESTRING (-71.1141586 42.3773453, -71.1141528 42.3773208, -71.113928 42.3767453)",,,,,,,
6297995283,7631487112,0,"[530032162, 530032163, 530032164]",footway,False,True,87.842,"LINESTRING (-71.1141586 42.3773453, -71.1141696 42.3773733, -71.1144057 42.3780039, -71.114485 42.3780929)",,,,,,,
6297995283,61317519,0,672541021,pedestrian,False,True,52.713,"LINESTRING (-71.1141586 42.3773453, -71.1143707 42.377305, -71.1146567 42.3771401, -71.1146783 42.3770988)",,,1,Frisbie Place,4.9,,
6297995284,7192614924,0,672541025,footway,False,True,69.269,"LINESTRING (-71.1155927 42.3763951, -71.1147828 42.3765686)",,,,,,,
6297995284,11732863305,0,846654212,footway,False,False,7.592,"LINESTRING (-71.1155927 42.3763951, -71.1156153 42.3763289)",,,,,,,
6297995284,7631487184,0,817122349,footway,False,True,8.237,"LINESTRING (-71.1155927 42.3763951, -71.1156302 42.3763893, -71.1156594 42.3763946, -71.1156756 42.3764149)",,,,,,,
7631495188,11042486756,0,8616219,tertiary,False,False,14.417,"LINESTRING (-71.1122912 42.3770237, -71.1121224 42.3770592)",,,2,Kirkland Street,15.9,,
7631495188,61323587,0,8616219,tertiary,False,True,4.115,"LINESTRING (-71.1122912 42.3770237, -71.1123394 42.3770136)",,,2,Kirkland Street,15.9,,
7631495188,7631495197,0,817122334,footway,False,False,8.705,"LINESTRING (-71.1122912 42.3770237, -71.1122863 42.3769455)",,,,,,,
7631495188,7631495189,0,817122334,footway,False,True,7.085,"LINESTRING (-71.1122912 42.3770237, -71.1123269 42.3770817)",,,,,,,
8699605008,5147915579,0,939105801,footway,False,True,10.268,"LINESTRING (-71.1139055 42.3775582, -71.114025 42.3775311)",,,,,,,
