element_type,osmid,access,geometry,amenity,nodes,building,building:levels,note,parking,addr:housenumber,addr:street,name,operator,operator:type,surface,capacity,capacity:disabled,fee,addr:postcode,layer,supervised,parking:condition:right:maxstay,smoothness
way,1037473753,private,"POLYGON ((-71.1155386 42.3633734, -71.1155976 42.3637876, -71.1154476 42.3637992, -71.1154561 42.3638589, -71.1153026 42.3638709, -71.1152351 42.363397, -71.1155386 42.3633734))",parking,"[9557173622, 9557173621, 9557173620, 9557173619, 9557173618, 9557173617, 9557173622]",,,,surface,,,,,,,,,,,,,,
way,1037473782,permit,"POLYGON ((-71.117555 42.3783222, -71.1174376 42.3779927, -71.1173701 42.3780058, -71.1172327 42.3780326, -71.1173501 42.378362, -71.1174892 42.378335, -71.117555 42.3783222))",parking,"[3252964824, 3252964795, 3252964794, 9557173821, 9557173820, 3252964825, 3252964824]",,,,surface,,,,Harvard University,,,,,,,,,,
way,1037473783,permit,"POLYGON ((-71.1180312 42.377388, -71.1174825 42.3775029, -71.1175523 42.377685, -71.1174734 42.3777015, -71.1173561 42.3777261, -71.1172402 42.3774237, -71.1179851 42.3772679, -71.1180312 42.377388))",parking,"[454067850, 454067849, 3252964791, 3252964792, 9557173826, 9557173825, 9557173824, 454067850]",,,,surface,,,,Harvard University,,,,,,,,,,
way,1037473787,private,"POLYGON ((-71.1243525 42.3807564, -71.1242309 42.3806146, -71.1244523 42.3805109, -71.124574 42.3806527, -71.1243525 42.3807564))",parking,"[9557173845, 9557173844, 9557173843, 9557173842, 9557173845]",,,,surface,,,,,,,,,,,,,,
way,1037473788,unknown,"POLYGON ((-71.1244764 42.3824794, -71.1243269 42.3825463, -71.1242775 42.3824861, -71.124427 42.3824192, -71.1244764 42.3824794))",parking,"[9557173849, 9557173848, 9557173847, 9557173846, 9557173849]",,,,surface,,,,,,,,,,,,,,
way,1064483032,,"POLYGON ((-71.1279622 42.3618974, -71.1279089 42.3615633, -71.1267155 42.3616671, -71.1267611 42.3619535, -71.1268 42.3619912, -71.1268243 42.3619966, -71.1279622 42.3618974))",parking,"[9776216091, 9776216092, 9776216093, 9776216094, 9776216095, 9776216096, 9776216091]",,,,surface,,,,,,,,,,,,,,
way,1164623444,customers,"POLYGON ((-71.1282247 42.3661771, -71.1283286 42.3663218, -71.128513 42.3662514, -71.1286451 42.3662207, -71.1287028 42.3662118, -71.1286458 42.3660592, -71.1284943 42.3660904, -71.1282247 42.3661771))",parking,"[10831533430, 10831533431, 10831533432, 10831533433, 10831533434, 10831533435, 10831533436, 10831533430]",,,,surface,,,,,,,,,yes,,,,,
way,1164623445,customers,"POLYGON ((-71.1288248 42.3661865, -71.1289777 42.3661825, -71.1291165 42.3661855, -71.1292285 42.366192, -71.1292681 42.3661959, -71.1292996 42.3660418, -71.1291279 42.3660265, -71.1289643 42.366025, -71.1288121 42.3660344, -71.1288248 42.3661865))",parking,"[10831533437, 10831533438, 10831533439, 10831533440, 10831533441, 10831533442, 10831533443, 10831533444, 10831533445, 10831533437]",,,,surface,,,,,,,,,yes,,,,,
way,1168339794,,"POLYGON ((-71.1179436 42.3723539, -71.1179838 42.3722722, -71.1179187 42.3722547, -71.1179706 42.3721493, -71.1178083 42.3721057, -71.1177459 42.3722323, -71.1178208 42.3722525, -71.1177911 42.3723129, -71.1179436 42.3723539))",parking,"[10865721684, 10865721685, 10865721686, 10865721687, 10865721688, 10865721689, 10865721690, 10865721691, 10865721684]",,,,surface,,,,,,,,,,,,,,
way,1226944074,,"POLYGON ((-71.1180277 42.3713639, -71.1177999 42.3712889, -71.1177583 42.3711796, -71.1177979 42.3711141, -71.1181153 42.3712186, -71.1180277 42.3713639))",parking,"[11377603719, 11377603720, 11377603721, 11377603722, 11377603723, 11377603719]",,,,surface,,,,,,,,,,,,,,
way,1241984044,permit,"POLYGON ((-71.1170767 42.3779216, -71.1170269 42.3777917, -71.1173447 42.3777273, -71.1172398 42.3778333, -71.1172576 42.3778853, -71.1170767 42.3779216))",parking,"[11540429919, 11540429920, 11540429921, 11540429922, 11540429923, 11540429919]",,,,surface,,,,Harvard University,,,,,,,,,,
way,1246357036,,"POLYGON ((-71.1287748 42.3684153, -71.1285882 42.368325, -71.1285509 42.3683525, -71.12847 42.3683097, -71.128412 42.3682775, -71.1283042 42.368423, -71.1281404 42.3685716, -71.1279994 42.3687186, -71.12796 42.3687492, -71.1280243 42.3687753, -71.1280989 42.3687906, -71.1281818 42.3687906, -71.1282793 42.3687829, -71.1283788 42.3687431, -71.1285322 42.3685731, -71.1286027 42.3686053, -71.1287748 42.3684153))",parking,"[11587225930, 11587225931, 11587225932, 11587225933, 11587225934, 11587225935, 11587225936, 11587225937, 11587225938, 11587225939, 11587225940, 11587225941, 11587225942, 11587225943, 11587225944, 11587225945, 11587225930]",,,,surface,,,,,,,,,,,,,,
