element_type,osmid,nodes,access,amenity,capacity,operator,operator:type,parking,geometry
way,916071956,"[8508759283, 8508759284, 8508759285, 8508759286, 8508759283]",yes,parking,80,北京工业大学,private,surface,"POLYGON ((116.4755136 39.8722135, 116.4755154 39.8713084, 116.4761418 39.8713091, 116.4761401 39.8722143, 116.4755136 39.8722135))"
way,1047352416,"[9630668713, 9630668714, 9630668715, 9630668716, 9630668713]",,parking,,,,,"POLYGON ((116.4715851 39.8748333, 116.471816 39.8748327, 116.4718118 39.8724384, 116.4715861 39.8724372, 116.4715851 39.8748333))"
way,1047352417,"[9630747817, 9630747818, 9630747819, 9630747820, 9630747817]",,parking,,,,,"POLYGON ((116.4715676 39.8757795, 116.471811 39.8757833, 116.4718121 39.874997, 116.4715678 39.8749972, 116.4715676 39.8757795))"
way,1047352418,"[9630747821, 9630747822, 9630747823, 9630747824, 9630747821]",,parking,,,,,"POLYGON ((116.4714887 39.8768195, 116.4714952 39.8762584, 116.4717198 39.8762636, 116.4717181 39.8768219, 116.4714887 39.8768195))"
way,1047352419,"[9630747825, 9630747826, 9630747827, 9630747828, 9630747829, 9630747830, 9630747825]",,parking,,,,,"POLYGON ((116.4786832 39.8747963, 116.4787999 39.8744925, 116.4804796 39.8744786, 116.4802373 39.8746328, 116.4798566 39.874739, 116.4797936 39.8747873, 116.4786832 39.8747963))"
way,1047352420,"[9630747831, 9630747832, 9630747833, 9630747834, 9630668712, 9630747835, 9630747836, 9630747837, 9630747838, 9630747839, 9630747840, 9630747831]",,parking,,,,,"POLYGON ((116.4781261 39.8704413, 116.4784018 39.8705287, 116.478723 39.870584, 116.4790155 39.8706359, 116.479276 39.8706144, 116.4795199 39.8706737, 116.4796389 39.8704737, 116.4794119 39.8704324, 116.4791873 39.8704072, 116.4791632 39.8702895, 116.4782851 39.8702739, 116.4781261 39.8704413))"
