u,v,key,osmid,name,highway,oneway,reversed,length,service,geometry,tunnel
1808717208,1808717299,0,169707797,学子路,residential,False,False,44.694,,"LINESTRING (116.4736619 39.8764689, 116.4736612 39.8764113, 116.4736684 39.876067)",
1808717208,1808717232,0,169707797,学子路,residential,False,True,76.604,,"LINESTRING (116.4736619 39.8764689, 116.4736628 39.8765972, 116.4736667 39.8771578)",
1808717208,5257003780,0,543815684,,unclassified,False,False,122.74,,"LINESTRING (116.4736619 39.8764689, 116.4738489 39.8764677, 116.4751002 39.8764603)",
1808717211,1808717313,0,169707821,,footway,False,False,45.212,,"LINESTRING (116.4727601 39.8771609, 116.4727601 39.8767543)",
1808717211,1808717389,0,1047352405,思源路,residential,False,False,55.39,,"LINESTRING (116.4727601 39.8771609, 116.4734092 39.8771587)",
1808717211,1808717197,0,1047352405,思源路,residential,False,True,34.791,,"LINESTRING (116.4727601 39.8771609, 116.4723524 39.8771623)",
1808717213,1808717207,0,169707836,春华路,residential,False,True,114.076,,"LINESTRING (116.4761645 39.8722996, 116.4761686 39.8712737)",
1808717213,1808717127,0,169707841,日新路,residential,False,True,143.576,,"LINESTRING (116.4761645 39.8722996, 116.4744821 39.8722957)",
1808717213,5257004560,0,169707836,春华路,residential,False,False,50.894,,"LINESTRING (116.4761645 39.8722996, 116.4761643 39.8723515, 116.476166 39.8727573)",
1808717213,1808717262,0,169707841,日新路,residential,False,False,215.65200000000002,,"LINESTRING (116.4761645 39.8722996, 116.4762311 39.8722998, 116.4770302 39.8723863, 116.4778456 39.8725551, 116.4785966 39.8727856)",
1808717226,5258122202,0,169707880,,residential,False,False,40.272,,"LINESTRING (116.473613 39.8706077, 116.4731412 39.8706147)",
1808717226,5258122208,0,169707880,,residential,False,True,26.008,,"LINESTRING (116.473613 39.8706077, 116.4739177 39.8706121)",
1808717229,5258122173,0,169707850,,residential,False,True,22.488,,"LINESTRING (116.4757415 39.8776436, 116.4757468 39.8774414)",
1808717229,1808717381,0,169707864,,service,False,True,83.824,driveway,"LINESTRING (116.4757415 39.8776436, 116.4747592 39.8776477)",
1808717229,5258122177,0,543940624,,living_street,False,False,46.464,,"LINESTRING (116.4757415 39.8776436, 116.476286 39.8776422)",
1808717229,1808717194,0,169707850,,residential,False,False,33.925,,"LINESTRING (116.4757415 39.8776436, 116.4757411 39.8777543, 116.4757418 39.8779487)",
1808717232,1808717326,0,169707797,学子路,residential,False,True,13.733,,"LINESTRING (116.4736667 39.8771578, 116.4736676 39.8772813)",
1808717232,1808717389,0,1047352405,思源路,residential,False,True,21.974,,"LINESTRING (116.4736667 39.8771578, 116.4734092 39.8771587)",
1808717232,1808717208,0,169707797,学子路,residential,False,False,76.604,,"LINESTRING (116.4736667 39.8771578, 116.4736628 39.8765972, 116.4736619 39.8764689)",
1808717232,1808717315,0,1047352405,思源路,residential,False,False,51.278999999999996,,"LINESTRING (116.4736667 39.8771578, 116.4737308 39.8771588, 116.4742676 39.8771559)",
1808717245,5257003802,0,146612951,银杏大道,residential,False,False,67.851,,"LINESTRING (116.4719071 39.8748606, 116.4727022 39.8748582)",
1808717245,1598814958,0,146612951,银杏大道,residential,False,True,16.154,,"LINESTRING (116.4719071 39.8748606, 116.4717178 39.8748612)",
1808717245,1808717172,0,169707798,秋实路,residential,False,False,83.143,,"LINESTRING (116.4719071 39.8748606, 116.4719143 39.8756083)",
1808717245,1808717415,0,169707798,秋实路,residential,False,True,212.187,,"LINESTRING (116.4719071 39.8748606, 116.4719233 39.8729524)",
1808717247,1808717393,0,169707880,,residential,False,False,97.048,,"LINESTRING (116.4730498 39.8724233, 116.474187 39.8724233)",
1808717247,1808717411,0,954600895,,residential,False,True,59.067,,"LINESTRING (116.4730498 39.8724233, 116.4730474 39.8729545)",
1808717247,1808717166,0,169707880,,residential,False,True,87.512,,"LINESTRING (116.4730498 39.8724233, 116.4727762 39.8722998, 116.4727779 39.8717564)",
1808717248,5258122210,0,169707880,,residential,False,False,25.002,,"LINESTRING (116.4744823 39.8712459, 116.4744764 39.8710211)",
1808717248,1808717127,0,169707880,,residential,False,True,116.733,,"LINESTRING (116.4744823 39.8712459, 116.4744821 39.8722957)",
1808717248,1808717207,0,169707882,博雅路,residential,False,False,145.03,,"LINESTRING (116.4744823 39.8712459, 116.4747805 39.8712436, 116.4760699 39.8712335, 116.4761686 39.8712737)",
1808717248,9630983020,0,543940626,,footway,False,True,34.451,,"LINESTRING (116.4744823 39.8712459, 116.4743216 39.8712393, 116.4740811 39.8712295, 116.4740802 39.8712308)",
1808717253,1808717380,0,146612951,银杏大道,residential,False,False,44.409,,"LINESTRING (116.4736613 39.8748553, 116.4741817 39.8748537)",
1808717253,1808717379,0,146612951,银杏大道,residential,False,True,53.105,,"LINESTRING (116.4736613 39.8748553, 116.473039 39.8748572)",
1808717253,1808717341,0,169707797,学子路,residential,False,True,84.179,,"LINESTRING (116.4736613 39.8748553, 116.4736718 39.8756123)",
1808717255,1808717353,0,169707841,日新路,residential,False,True,52.827,,"LINESTRING (116.4809945 39.8729503, 116.4807983 39.8728777, 116.4806941 39.8728392, 116.4804098 39.8728186)",
