element_type,osmid,amenity,name,name:zh,name:zh-Hans,name:zh-Hant,geometry,nodes,building,building:levels
node,9665247365,restaurant,天天餐厅,天天餐厅,天天餐厅,天天餐廳,POINT (116.4740955 39.8774047),,,
node,9665247366,restaurant,清真餐厅,清真餐厅,清真餐厅,清真餐廳,POINT (116.4744887 39.8775346),,,
way,442376441,restaurant,奥运餐厅,奥运餐厅,奥运餐厅,奧運餐廳,"POLYGON ((116.4751148 39.8727233, 116.475965 39.87272, 116.4759631 39.8724217, 116.4751128 39.872425, 116.4751148 39.8727233))","[4400686109, 4400686108, 4400686102, 4400686103, 4400686109]",yes,
way,442376464,restaurant,美食园,美食园,美食园,美食園,"POLYGON ((116.4743234 39.872684, 116.4743232 39.872606, 116.474323 39.8724955, 116.4749915 39.8724946, 116.4749927 39.8729601, 116.4748448 39.8729603, 116.4748442 39.8727366, 116.4747747 39.8727367, 116.4747746 39.8726833, 116.4743234 39.872684))","[4400686107, 8508759282, 4400686105, 4400686104, 4400686119, 4400686120, 4400686110, 4400686111, 4400686106, 4400686107]",yes,2
