element_type,osmid,geometry,access,amenity,fee,name,parking,capacity,park_ride,surface,nodes,building,operator,operator:type,source,capacity:disabled,ways,type
way,667465471,"POLYGON ((-76.4748935 42.4420621, -76.4752797 42.441971, -76.4753227 42.4420245, -76.4755533 42.4419651, -76.4755265 42.441494, -76.4754547 42.441495, -76.4754464 42.4413766, -76.4755528 42.4413732, -76.4755535 42.4413041, -76.4753321 42.4413172, -76.4753442 42.441431, -76.4752771 42.4414306, -76.4752733 42.4413836, -76.4747178 42.4414104, -76.4746682 42.4414445, -76.4745985 42.4414445, -76.474636 42.4420364, -76.4747004 42.4421294, -76.4741412 42.4424271, -76.4742368 42.4425969, -76.4744085 42.4425326, -76.4743642 42.4424193, -76.474803 42.4422548, -76.4748286 42.4422684, -76.4748946 42.4423687, -76.4749057 42.442388, -76.475072 42.4423331, -76.4748935 42.4420621))",permit,parking,,ME Lot,surface,,,asphalt,"[6249568896, 6249568897, 6249568898, 6249568899, 6249568900, 6249568901, 10082584439, 10082584438, 10082584436, 10082584437, 6249568906, 10186841075, 10186841076, 6249568907, 6249568910, 6249568911, 6249568912, 6249568913, 6249568914, 6249568915, 6249568916, 6249568917, 6249568918, 10572200690, 10572200691, 6249568919, 6249568920, 6249568896]",,Cornell University - ME Lot,,,,,
way,737319844,"POLYGON ((-76.4853159 42.4542392, -76.4851528 42.4543724, -76.4850903 42.4543647, -76.4847536 42.4539908, -76.4848177 42.4539294, -76.4849237 42.4538832, -76.4853159 42.4542392))",,parking,,,,,,,"[6903049509, 6903049510, 6903049511, 6903049512, 6903049513, 6903049514, 6903049509]",,,,,,,
way,758164832,"POLYGON ((-76.4861897 42.4467473, -76.4860017 42.4467537, -76.4859952 42.4466504, -76.4858312 42.4466559, -76.4858056 42.4462461, -76.4859594 42.4462409, -76.4859455 42.4460187, -76.4861439 42.4460119, -76.4861897 42.4467473))",,parking,yes,,surface,,,asphalt,"[7080304514, 7080304515, 3163846177, 3163846178, 7080304516, 7080304517, 7080304518, 7080304519, 7080304514]",,Cornell University,,,,,
way,802039124,"POLYGON ((-76.4794018 42.4549146, -76.4795015 42.4549861, -76.4795425 42.4549568, -76.4795846 42.454926, -76.4795525 42.4549023, -76.479517 42.4548761, -76.4795006 42.454864, -76.4794832 42.4548512, -76.4794018 42.4549146))",,parking,,Clara Dickson Hall Loading Dock,surface,2,,,"[4062270344, 7502039463, 7502039468, 7502039469, 7502039473, 7502039472, 7502039477, 4062270176, 4062270344]",,,,,,,
way,803001912,"POLYGON ((-76.4763241 42.4426351, -76.4761696 42.4428581, -76.476022 42.4429792, -76.4759208 42.4430226, -76.4756883 42.4427098, -76.4761587 42.4425312, -76.4762136 42.4426066, -76.4763241 42.4426351))",,parking,,,surface,,,,"[7511513284, 7511513285, 7511513286, 7511513287, 7511513288, 7511513289, 7511513279, 7511513284]",,,,,,,
way,803001913,"POLYGON ((-76.4765438 42.4423027, -76.4770445 42.4417665, -76.4769526 42.4417172, -76.4768562 42.4416659, -76.4763697 42.4422094, -76.4764993 42.4422843, -76.4765438 42.4423027))",,parking,,,surface,,,,"[7511513259, 7511513290, 7511513271, 7511513291, 7511513261, 7511513292, 7511513259]",,,,,,,
way,810886770,"POLYGON ((-76.4915936 42.4402076, -76.4915796 42.4399278, -76.4911034 42.4399302, -76.4911163 42.440214, -76.4915936 42.4402076))",,parking,,,,,,,"[7581419387, 7581419388, 7581419389, 7581419390, 7581419387]",,,,,,,
way,810886771,"POLYGON ((-76.491325 42.4398759, -76.4913157 42.4396924, -76.4912694 42.4396905, -76.4912536 42.4396875, -76.491247 42.4396787, -76.4912483 42.4396417, -76.4910882 42.4396377, -76.4910935 42.439874, -76.491325 42.4398759))",,parking,,,,,,,"[7581419391, 7581419392, 7581419393, 7581419394, 7581419395, 7581419396, 7581419397, 7581419398, 7581419391]",,,,,,,
way,841079805,"POLYGON ((-76.4819616 42.4485506, -76.4819528 42.4484693, -76.4812227 42.4485022, -76.4812288 42.4485795, -76.4819616 42.4485506))",,parking,,,,,,,"[7847829442, 7847829443, 7847829444, 7847829445, 7847829442]",,,,,,,
way,915491953,"POLYGON ((-76.4674207 42.4578074, -76.4674553 42.4578246, -76.4674895 42.457784, -76.4676109 42.4577613, -76.4676627 42.4577344, -76.4676527 42.4576806, -76.4676479 42.4576552, -76.4676707 42.4575602, -76.4676872 42.4574169, -76.4676976 42.4573208, -76.4677001 42.4573066, -76.4677134 42.4572289, -76.467581 42.4571175, -76.4674349 42.4572294, -76.4674238 42.4575995, -76.4673925 42.4577915, -76.4674207 42.4578074))",,parking,,,,,,,"[8503870844, 8503870845, 8503870846, 8503870847, 8503870848, 8503870857, 8503870849, 8503870850, 8503870851, 8503870852, 8503870856, 8503870853, 8502326333, 1528730979, 8503870854, 8503870855, 8503870844]",,,,,,,
