element_type,osmid,geometry,access,amenity,fee,name,parking,capacity,park_ride,surface,nodes,building,operator,operator:type,source,capacity:disabled,ways,type
way,117133830,"POLYGON ((-76.4682166 42.4454749, -76.4694785 42.445477, -76.4694785 42.4455116, -76.4695835 42.4455666, -76.4696359 42.4459619, -76.4682249 42.4459619, -76.4682166 42.4454749))",,parking,,,surface,,,,"[1319459915, 1319459406, 1319459307, 1319459209, 1319459841, 1319459456, 1319459915]",,,,,,,
way,117133836,"POLYGON ((-76.4687101 42.4468974, -76.4687088 42.446848, -76.468736 42.4468479, -76.4687413 42.4462268, -76.4682213 42.4462251, -76.4682252 42.4464035, -76.4682232 42.4466916, -76.4682842 42.4466912, -76.4683348 42.4468133, -76.4683382 42.4468971, -76.4685027 42.4468989, -76.4687101 42.4468974))",,parking,,,,,,,"[6383843704, 8774832577, 1319459545, 1319459855, 1319459388, 6383843700, 1319459290, 1319459186, 1319459796, 1319459662, 6383843687, 6383843704]",,,,,,,
way,117133842,"POLYGON ((-76.4750104 42.4438088, -76.4750794 42.4439045, -76.4745824 42.4440329, -76.4746073 42.4440839, -76.4743919 42.4441368, -76.4740633 42.4442937, -76.4740384 42.4442591, -76.4737789 42.4443813, -76.4736497 42.4443413, -76.4735824 42.4442856, -76.4735394 42.4442078, -76.4735607 42.4441389, -76.4741213 42.4438679, -76.4749248 42.4436519, -76.4750104 42.4438088))",,parking,,Oxley lot,surface,,,,"[1319459920, 1319459408, 1319459309, 1319459210, 1319459842, 1319459687, 1319459573, 1319459460, 8752720197, 8752720198, 8752720199, 1319459421, 1319459325, 1319459229, 1319459920]",,,,,,,
way,117133873,"POLYGON ((-76.4616207 42.4474304, -76.4615765 42.4474092, -76.4614682 42.4472609, -76.4611568 42.446811, -76.4611104 42.4467344, -76.4611214 42.4466888, -76.4611501 42.4466333, -76.461212 42.4465877, -76.4612783 42.4465632, -76.4644814 42.4453244, -76.4645189 42.4453325, -76.4645653 42.4453423, -76.4645918 42.4453684, -76.4646471 42.4453439, -76.4651949 42.4461085, -76.4617112 42.44745, -76.4616759 42.4474451, -76.4616207 42.4474304))",,parking,,B Lot,surface,,,,"[1319459424, 1319459750, 1319459626, 1319459508, 1319459407, 1319459308, 1319459947, 1319459731, 1319459609, 1319459492, 1319459394, 1319459297, 1319459195, 1319459813, 1319459672, 1319459554, 1319459440, 1319459424]",,,,,,,
way,117133876,"POLYGON ((-76.472025 42.445819, -76.4720935 42.4458174, -76.4720891 42.4472209, -76.4720294 42.4472209, -76.472025 42.445819))",,parking,,,surface,,,,"[1319459445, 1319459777, 1319459650, 1319459530, 1319459445]",,,,,,,
way,117133893,"POLYGON ((-76.4632877 42.4487799, -76.4631109 42.4488716, -76.4624179 42.448138, -76.4626084 42.4480423, -76.4632877 42.4487799))",,parking,,,surface,,,,"[1319459335, 1319459644, 1319459520, 1319459417, 1319459335]",,,,,,,
way,117133900,"POLYGON ((-76.4637671 42.4341249, -76.4635312 42.4341438, -76.4634099 42.433316, -76.4636458 42.4332971, -76.4637671 42.4341249))",,parking,,,surface,,,,"[1319459516, 1319459939, 1319459729, 1319459606, 1319459516]",,,,,,,
way,330453180,"POLYGON ((-76.4742902 42.445421, -76.4742374 42.4452696, -76.4740456 42.4452731, -76.4729523 42.4454648, -76.4729915 42.4455867, -76.47304 42.4455806, -76.4730525 42.4456329, -76.4733828 42.4455731, -76.4742902 42.445421))",,parking,no,,surface,,,,"[1236695080, 3374192919, 3374192918, 3374192924, 8774150999, 8774151000, 1236695082, 1236695094, 1236695080]",,,,,,,
way,380681743,"POLYGON ((-76.4717056 42.4455963, -76.4717136 42.4458279, -76.4715249 42.4458199, -76.471542 42.4456557, -76.4709009 42.4456438, -76.4707641 42.4454736, -76.471314 42.4455349, -76.4713381 42.4455785, -76.4715876 42.4455745, -76.4717056 42.4455963))",,parking,,,,,,,"[3840058680, 3840058681, 3840058682, 3840058683, 3840058684, 3840058685, 3840058686, 3840058687, 3840058688, 3840058680]",,,,,,,
way,473148477,"POLYGON ((-76.4834172 42.4455672, -76.483412 42.4455203, -76.4836254 42.4455143, -76.4836113 42.4453682, -76.4835752 42.4453681, -76.4835637 42.4452226, -76.483083 42.4452416, -76.4830809 42.4455745, -76.4834172 42.4455672))",,parking,,,surface,,,,"[4673126901, 4673126902, 4673126903, 4673126906, 5780807079, 4673126908, 4673126911, 4673126912, 4673126901]",,,,,,,
way,488116508,"POLYGON ((-76.4767788 42.4589795, -76.4760549 42.4590663, -76.4760054 42.4590259, -76.4758767 42.4590413, -76.4758569 42.4589514, -76.4769564 42.4588194, -76.4769763 42.4589096, -76.4767689 42.4589345, -76.4767788 42.4589795))",customers,parking,no,,surface,,,,"[4804689231, 4804689232, 4804689233, 4804689234, 4804689235, 4804689236, 4804689237, 4804689238, 4804689231]",,,,,,,
way,488116585,"POLYGON ((-76.486069 42.4454367, -76.4861197 42.4454603, -76.4861937 42.4455444, -76.4862624 42.445565, -76.4863433 42.4454191, -76.4863333 42.4452296, -76.4862926 42.4450196, -76.486256 42.4449086, -76.4862317 42.4448606, -76.4864471 42.4446746, -76.4864756 42.4446476, -76.4864512 42.4440625, -76.4863211 42.4440025, -76.4862723 42.4440385, -76.4863658 42.4446236, -76.4862073 42.4448126, -76.4861566 42.4451788, -76.4861036 42.4451842, -76.486111 42.4453727, -76.486069 42.4454367))",private,parking,,,surface,,,,"[4804672608, 5286485256, 4804672609, 4804672610, 4804672611, 4804672612, 4804672613, 4804672614, 4804672615, 4804672616, 4804672617, 4804672618, 4804672619, 4804672620, 4804690121, 4804690122, 5286485253, 5286485254, 5286485255, 4804672608]",,Cornell University,,,,,
way,520818207,"POLYGON ((-76.478633 42.4530649, -76.4786343 42.4530236, -76.4787114 42.4530251, -76.4787171 42.4529054, -76.4781163 42.4529144, -76.4780791 42.4529419, -76.4780543 42.452986, -76.4780764 42.4530325, -76.47812 42.4530636, -76.478633 42.4530649))",,parking,,,surface,,,asphalt,"[5075538117, 5224155482, 5224155483, 5075538118, 5075538119, 5224155484, 5224155486, 5224155485, 5075538120, 5075538117]",,,,,,,
way,522481344,"POLYGON ((-76.4829891 42.4577171, -76.4829352 42.4575617, -76.4821964 42.4576021, -76.4822028 42.4576518, -76.4825747 42.4576925, -76.4825889 42.4577401, -76.4829891 42.4577171))",,parking,,,surface,,,,"[5088696971, 5088696972, 5088696973, 5088696974, 5088696975, 5088696976, 5088696971]",,,,Bing,,,
way,522481345,"POLYGON ((-76.4840855 42.4583212, -76.4841114 42.4582288, -76.4841114 42.4581715, -76.483449 42.4582018, -76.4834684 42.4580426, -76.4832915 42.4580267, -76.4832505 42.4582623, -76.483285 42.4583944, -76.4840855 42.4583212))",,parking,,,surface,,,,"[5088696977, 5088696978, 5088696979, 5088696980, 5088696981, 5088696982, 5088696983, 5088696984, 5088696977]",,,,Bing,,,
way,522481351,"POLYGON ((-76.4828848 42.4584437, -76.4828923 42.4582808, -76.4823321 42.4583462, -76.4823346 42.4584971, -76.4828848 42.4584437))",,parking,,,surface,,,asphalt,"[5088696994, 5088696995, 5088696996, 5088696997, 5088696994]",,,,Bing,,,
way,539685189,"POLYGON ((-76.4711684 42.4548775, -76.4705871 42.4550853, -76.4705203 42.4549836, -76.4711016 42.4547759, -76.4711684 42.4548775))",,parking,,,surface,,,asphalt,"[5221848869, 5221848868, 5221848867, 5221848866, 5221848869]",,,,,,,
way,539685190,"POLYGON ((-76.4711416 42.4563952, -76.4709404 42.4564338, -76.4703731 42.4551302, -76.470579 42.4551114, -76.4711416 42.4563952))",,parking,,,surface,,,asphalt,"[5221848873, 5221848872, 5221848871, 5221848870, 5221848873]",,,,,,,
way,539685191,"POLYGON ((-76.4714293 42.4570705, -76.4712803 42.4571039, -76.4711794 42.4568586, -76.4713284 42.4568252, -76.4714293 42.4570705))",,parking,,,surface,,,asphalt,"[5221848877, 5221848876, 5221848875, 5221848874, 5221848877]",,,,,,,
way,539685192,"POLYGON ((-76.4715278 42.4572914, -76.4713848 42.4573228, -76.4713307 42.457189, -76.4714737 42.4571575, -76.4715278 42.4572914))",,parking,,,surface,,,asphalt,"[5221848881, 5221848880, 5221848879, 5221848878, 5221848881]",,,,,,,
way,539685193,"POLYGON ((-76.4718054 42.4577181, -76.4717008 42.4577389, -76.4716478 42.4577701, -76.4715915 42.457779, -76.4714581 42.4574856, -76.471678 42.4574327, -76.4718054 42.4577181))",,parking,,,surface,,,asphalt,"[5221848887, 5221848886, 5221848885, 5221848884, 5221848883, 5221848882, 5221848887]",,,,,,,
way,539685194,"POLYGON ((-76.4723104 42.4577986, -76.4722879 42.4579357, -76.4717584 42.4578885, -76.4717809 42.4577513, -76.4723104 42.4577986))",,parking,,,surface,,,asphalt,"[5221848891, 5221848890, 5221848889, 5221848888, 5221848891]",,,,,,,
way,539685195,"POLYGON ((-76.4718115 42.4558045, -76.4717752 42.4558401, -76.4717464 42.4558728, -76.4717183 42.4559213, -76.4716928 42.4559668, -76.4716767 42.4560029, -76.4716646 42.4560494, -76.4716512 42.4560989, -76.4716525 42.4561751, -76.4715084 42.4561721, -76.471507 42.4561014, -76.4715352 42.4559836, -76.4715848 42.4558787, -76.4716244 42.4558154, -76.4717028 42.4557283, -76.4718115 42.4558045))",,parking,,,surface,,,asphalt,"[5221848906, 5221848905, 5221848904, 5221848903, 5221848902, 5221848901, 5221848900, 5221848899, 5221848898, 5221848897, 5221848896, 5221848895, 5221848894, 5221848893, 5221848892, 5221848906]",,,,,,,
way,539685196,"POLYGON ((-76.4722393 42.4567841, -76.4721876 42.4568865, -76.4720247 42.4568281, -76.4718604 42.4567445, -76.4717638 42.4566767, -76.4717216 42.4566381, -76.471843 42.4565773, -76.4719181 42.4566342, -76.4719583 42.4566683, -76.4720327 42.4567059, -76.4720917 42.4567376, -76.4721783 42.4567673, -76.4722393 42.4567841))",,parking,,,surface,,,asphalt,"[5221848918, 5221848917, 5221848916, 5221848915, 5221848914, 5221848913, 5221848912, 5221848911, 5221848910, 5221848909, 5221848908, 5221848907, 5221848918]",,,,,,,
way,539685197,"POLYGON ((-76.4720958 42.4569523, -76.4718001 42.4570206, -76.4717779 42.4569731, -76.4717129 42.4569869, -76.4716002 42.456696, -76.4716559 42.4566842, -76.4717813 42.4567524, -76.4718309 42.456742, -76.4718651 42.4568316, -76.4718115 42.4568449, -76.4718202 42.4568692, -76.4718711 42.456889, -76.4719972 42.4568618, -76.4720736 42.4569008, -76.4720958 42.4569523))",,parking,,,surface,,,asphalt,"[5221848932, 5221848931, 5221848930, 5221848929, 5221848928, 5221848927, 5221848926, 5221848925, 5221848924, 5221848923, 5221848922, 5221848921, 5221848920, 5221848919, 5221848932]",,,,,,,
way,539685198,"POLYGON ((-76.471449 42.4566643, -76.4713024 42.456698, -76.4712422 42.4565559, -76.4713888 42.4565221, -76.471449 42.4566643))",,parking,,,surface,,,asphalt,"[5221848936, 5221848935, 5221848934, 5221848933, 5221848936]",,,,,,,
way,539685200,"POLYGON ((-76.4715987 42.4556416, -76.471617 42.4556838, -76.4715561 42.4557729, -76.4715705 42.4558052, -76.4714727 42.455829, -76.4714542 42.4557877, -76.4713918 42.4558028, -76.4714138 42.455852, -76.4714655 42.4558431, -76.4715157 42.455952, -76.4714557 42.4559671, -76.4714213 42.4560955, -76.4713528 42.4561073, -76.4712247 42.4557734, -76.471285 42.455758, -76.4712654 42.4557157, -76.4715987 42.4556416))",,parking,,,surface,,,asphalt,"[5221848937, 5221848952, 5221848951, 5221848950, 5221848949, 5221848948, 5221848947, 5221848946, 5221848945, 5221848944, 5221848943, 5221848942, 5221848941, 5221848940, 5221848939, 5221848938, 5221848937]",,,,,,,
way,539685201,"POLYGON ((-76.4734 42.4555027, -76.4732297 42.4555334, -76.4730674 42.4555572, -76.4727603 42.4555601, -76.4727281 42.4553988, -76.4729615 42.4553939, -76.4730862 42.455384, -76.4731827 42.4553662, -76.4733423 42.4553375, -76.4734 42.4555027))",,parking,,,surface,,,asphalt,"[5221848961, 5221848960, 5221848959, 5221848958, 5221848957, 5221848956, 5221848955, 5221848954, 5221848953, 5221848961]",,,,,,,
way,539940001,"POLYGON ((-76.4710075 42.4431292, -76.470872 42.4433202, -76.4708264 42.4433034, -76.4707111 42.4433281, -76.4706333 42.4432856, -76.4707714 42.4430866, -76.4710075 42.4431292))",,parking,,,surface,,,asphalt,"[5224108652, 5224108651, 5224108650, 5224108649, 5224108648, 5224108647, 5224108652]",,,,,,,
way,539944070,"POLYGON ((-76.4821335 42.4543676, -76.4816317 42.4543698, -76.4816317 42.4543267, -76.4815693 42.4542515, -76.4815781 42.454205, -76.4821447 42.4541951, -76.4821335 42.4543676))",,parking,"Private parking permit required, purchase from Zeta Psi fraternity",,,24,,,"[1126469287, 5224155447, 5224155446, 5224155445, 5224155444, 5224155443, 1126469287]",,Zeta Psi Fraternity,,,,,
way,539944082,"POLYGON ((-76.4743213 42.4535597, -76.475334 42.4535577, -76.475327 42.4533961, -76.4743269 42.4533932, -76.4743198 42.4534417, -76.4741758 42.4534718, -76.4741448 42.4534362, -76.4740226 42.4535123, -76.4739251 42.4536276, -76.4740831 42.4537259, -76.4742194 42.4535988, -76.4743213 42.4535597))",,parking,,,surface,,,asphalt,"[5224155500, 5224155499, 5224155498, 5224155497, 5224155496, 5224155495, 5224155494, 8635959758, 5224155493, 5224155492, 5224155488, 5224155500]",,,,,,,
