element_type,osmid,name,geometry,nodes,intermittent,natural,water,wikimedia_commons,salt,tidal,wikidata,golf,ways,type,wikipedia
way,479158812,,"POLYGON ((-76.4400243 42.502066, -76.4396736 42.5020763, -76.439659 42.5018051, -76.4400097 42.5017949, -76.4400243 42.502066))","[4723073699, 4723073700, 4723073701, 4723073702, 4723073699]",,water,pond,,,,,,,,
way,479158813,,"POLYGON ((-76.4394214 42.5032314, -76.4390908 42.5032417, -76.4390762 42.5029852, -76.4394068 42.5029749, -76.4394214 42.5032314))","[4723073703, 4723073704, 4723073705, 4723073706, 4723073703]",,water,pond,,,,,,,,
way,479158814,,"POLYGON ((-76.4389625 42.5032419, -76.4386203 42.5032524, -76.4386061 42.5030003, -76.4389483 42.5029898, -76.4389625 42.5032419))","[4723073707, 4723073708, 4723073709, 4723073710, 4723073707]",,water,pond,,,,,,,,
way,479158815,,"POLYGON ((-76.438502 42.5032681, -76.4381598 42.5032722, -76.438154 42.5030033, -76.4384961 42.5029992, -76.438502 42.5032681))","[4723073711, 4723073712, 4723073713, 4723073714, 4723073711]",,water,pond,,,,,,,,
way,479158816,,"POLYGON ((-76.438044 42.5032793, -76.4377139 42.5032951, -76.4376898 42.5030218, -76.4380199 42.503006, -76.438044 42.5032793))","[4723073715, 4723073716, 4723073717, 4723073718, 4723073715]",,water,pond,,,,,,,,
way,479158817,,"POLYGON ((-76.4376021 42.5032732, -76.4372542 42.503288, -76.4372342 42.5030317, -76.4375822 42.5030169, -76.4376021 42.5032732))","[4723073719, 4723073720, 4723073721, 4723073722, 4723073719]",,water,pond,,,,,,,,
way,479158818,,"POLYGON ((-76.4371184 42.5032709, -76.4368175 42.5032871, -76.4367938 42.5030466, -76.4370947 42.5030305, -76.4371184 42.5032709))","[4723073723, 4723073724, 4723073725, 4723073726, 4723073723]",,water,pond,,,,,,,,
way,479158819,,"POLYGON ((-76.4366443 42.5032814, -76.4363477 42.5032926, -76.4363315 42.5030595, -76.4366282 42.5030483, -76.4366443 42.5032814))","[4723073727, 4723073728, 4723073729, 4723073730, 4723073727]",,water,pond,,,,,,,,
way,479158820,,"POLYGON ((-76.4362 42.50329, -76.4359035 42.5033054, -76.4358817 42.5030767, -76.4361782 42.5030613, -76.4362 42.50329))","[4723073731, 4723073732, 4723073733, 4723073734, 4723073731]",,water,pond,,,,,,,,
way,479158821,,"POLYGON ((-76.4357532 42.5033021, -76.4354116 42.5033191, -76.4353891 42.5030753, -76.4357307 42.5030582, -76.4357532 42.5033021))","[4723073735, 4723073736, 4723073737, 4723073738, 4723073735]",,water,pond,,,,,,,,
way,479158822,,"POLYGON ((-76.4352753 42.5033157, -76.4349674 42.503335, -76.4349395 42.5030933, -76.4352474 42.503074, -76.4352753 42.5033157))","[4723073739, 4723073740, 4723073741, 4723073742, 4723073739]",,water,pond,,,,,,,,
way,479158823,,"POLYGON ((-76.4352456 42.5029945, -76.4349319 42.5029996, -76.4349245 42.5027495, -76.4352382 42.5027445, -76.4352456 42.5029945))","[4723073743, 4723073744, 4723073745, 4723073746, 4723073743]",,water,pond,,,,,,,,
way,479158824,,"POLYGON ((-76.4357295 42.5029648, -76.4353845 42.5029766, -76.4353692 42.5027327, -76.4357141 42.5027209, -76.4357295 42.5029648))","[4723073747, 4723073748, 4723073749, 4723073750, 4723073747]",,water,pond,,,,,,,,
way,479158825,,"POLYGON ((-76.4361868 42.502953, -76.4358764 42.5029673, -76.4358559 42.5027253, -76.4361663 42.502711, -76.4361868 42.502953))","[4723073751, 4723073752, 4723073753, 4723073754, 4723073751]",,water,pond,,,,,,,,
way,479158826,,"POLYGON ((-76.4366532 42.5029434, -76.4363342 42.5029538, -76.4363198 42.5027141, -76.4366389 42.5027037, -76.4366532 42.5029434))","[4723073755, 4723073756, 4723073757, 4723073758, 4723073755]",,water,pond,,,,,,,,
way,479158827,,"POLYGON ((-76.4371128 42.5029288, -76.4367932 42.5029384, -76.4367805 42.5027096, -76.4371001 42.5027, -76.4371128 42.5029288))","[4723073759, 4723073760, 4723073761, 4723073762, 4723073759]",,water,pond,,,,,,,,
way,479158830,,"POLYGON ((-76.4375763 42.5029121, -76.4372487 42.5029294, -76.4372266 42.5027012, -76.4375542 42.5026839, -76.4375763 42.5029121))","[4723073763, 4723073764, 4723073765, 4723073766, 4723073763]",,water,pond,,,,,,,,
way,479158833,,"POLYGON ((-76.4380434 42.502922, -76.43769 42.502938, -76.4376689 42.5026837, -76.4380222 42.5026678, -76.4380434 42.502922))","[4723073767, 4723073768, 4723073769, 4723073770, 4723073767]",,water,pond,,,,,,,,
way,479158834,,"POLYGON ((-76.4384839 42.5029234, -76.4381363 42.5029366, -76.4381172 42.5026654, -76.4384648 42.5026521, -76.4384839 42.5029234))","[4723073771, 4723073772, 4723073773, 4723073774, 4723073771]",,water,pond,,,,,,,,
way,479158835,,"POLYGON ((-76.4389569 42.5029056, -76.4386264 42.5029159, -76.4386118 42.5026594, -76.4389423 42.5026492, -76.4389569 42.5029056))","[4723073775, 4723073776, 4723073777, 4723073778, 4723073775]",,water,pond,,,,,,,,
way,479158836,,"POLYGON ((-76.4394152 42.5028869, -76.4390762 42.5028991, -76.4390587 42.5026364, -76.4393976 42.5026241, -76.4394152 42.5028869))","[4723073779, 4723073780, 4723073781, 4723073782, 4723073779]",,water,pond,,,,,,,,
way,479158837,,"POLYGON ((-76.4394111 42.5024125, -76.4390405 42.5024211, -76.4390294 42.5021605, -76.4394 42.5021519, -76.4394111 42.5024125))","[4723073783, 4723073784, 4723073785, 4723073786, 4723073783]",,water,pond,,,,,,,,
way,479158838,,"POLYGON ((-76.4389364 42.5024157, -76.4385858 42.5024283, -76.4385687 42.5021697, -76.4389193 42.5021571, -76.4389364 42.5024157))","[4723073787, 4723073788, 4723073789, 4723073790, 4723073787]",,water,pond,,,,,,,,
way,479158839,,"POLYGON ((-76.4384809 42.5024252, -76.4381305 42.502445, -76.4381033 42.5021842, -76.4384537 42.5021643, -76.4384809 42.5024252))","[4723073791, 4723073792, 4723073793, 4723073794, 4723073791]",,water,pond,,,,,,,,
way,479158840,,"POLYGON ((-76.4380224 42.5024357, -76.4376749 42.5024483, -76.4376578 42.5021916, -76.4380053 42.502179, -76.4380224 42.5024357))","[4723073795, 4723073796, 4723073797, 4723073798, 4723073795]",,water,pond,,,,,,,,
way,479158841,,"POLYGON ((-76.4393726 42.5020607, -76.4390393 42.5020736, -76.4390227 42.5018403, -76.439356 42.5018274, -76.4393726 42.5020607))","[4723073799, 4723073800, 4723073801, 4723073802, 4723073799]",,water,pond,,,,,,,,
way,479158842,,"POLYGON ((-76.4389141 42.5020761, -76.4385667 42.5020943, -76.438543 42.5018483, -76.4388904 42.50183, -76.4389141 42.5020761))","[4723073803, 4723073804, 4723073805, 4723073806, 4723073803]",,water,pond,,,,,,,,
way,479158843,,"POLYGON ((-76.4384655 42.5020852, -76.4381234 42.5021009, -76.438102 42.5018465, -76.438444 42.5018308, -76.4384655 42.5020852))","[4723073807, 4723073808, 4723073809, 4723073810, 4723073807]",,water,pond,,,,,,,,
way,479158844,,"POLYGON ((-76.4380049 42.5020957, -76.4376521 42.5021161, -76.4376255 42.5018654, -76.4379783 42.5018451, -76.4380049 42.5020957))","[4723073811, 4723073812, 4723073813, 4723073814, 4723073811]",,water,pond,,,,,,,,
way,479158845,,"POLYGON ((-76.4375691 42.5024505, -76.4372044 42.5024632, -76.4371875 42.5021982, -76.4375521 42.5021855, -76.4375691 42.5024505))","[4723073815, 4723073816, 4723073817, 4723073818, 4723073815]",,water,pond,,,,,,,,
way,479158846,,"POLYGON ((-76.4375484 42.5021079, -76.437187 42.5021226, -76.437167 42.5018554, -76.4375284 42.5018407, -76.4375484 42.5021079))","[4723073819, 4723073820, 4723073821, 4723073822, 4723073819]",,water,pond,,,,,,,,
way,479158847,,"POLYGON ((-76.4370865 42.5024686, -76.4367502 42.5024789, -76.4367356 42.5022182, -76.4370719 42.5022079, -76.4370865 42.5024686))","[4723073823, 4723073824, 4723073825, 4723073826, 4723073823]",,water,pond,,,,,,,,
