element_type,osmid,geometry,amenity,name,wheelchair,air_conditioning,internet_access,opening_hours,wikidata,wikipedia,addr:city,addr:state,internet_access:fee,nodes,addr:housenumber,addr:postcode,addr:street,building,building:levels,ele,gnis:county_name,gnis:feature_id,gnis:import_uuid,gnis:reviewed,source,website,wikimedia_commons,nysgissam:nysaddresspointid
node,2095832766,POINT (-76.485854 42.4440195),library,Cornell Law Library,,,,,,,,,,,,,,,,,,,,,,,,
node,2095832799,POINT (-76.4843294 42.4447395),library,Engineering Library,yes,,,,,,,,,,,,,,,,,,,,,,,
node,2109379766,POINT (-76.4840068 42.4477673),library,Kroch Library,yes,yes,wlan,"Mo-Th 08:00-21:00; Fr 08:00-18:00; Sa,Su 10:00-18:00",,,,,,,,,,,,,,,,,,,,
node,4064084954,POINT (-76.4830348 42.4511883),library,Fine Arts Library,,,,Mo-Th 09:00-22:00,Q19866199,en:Cornell Fine Arts Library,,,,,,,,,,,,,,,,,,
node,10573743829,POINT (-76.4845835 42.4477302),library,Olin Library,yes,yes,wlan,"Mo-Th 08:00-21:00; Fr 08:00-18:00; Sa,Su 10:00-18:00",Q107183436,,Ithaca,NY,customers,,,,,,,,,,,,,,,
way,35067735,"POLYGON ((-76.4757823 42.4485234, -76.4754726 42.4487789, -76.4760896 42.4491561, -76.476347 42.4489535, -76.4764184 42.4489552, -76.4766395 42.4489552, -76.4766771 42.4489563, -76.4766777 42.4487627, -76.4766701 42.4485113, -76.4765778 42.4485121, -76.4763789 42.4485139, -76.4760109 42.4485171, -76.4759093 42.4485925, -76.4757823 42.4485234))",library,Mann Library,yes,yes,,Mo-Fr 08:00-17:00; Sa 12:00-17:00,,,Ithaca,NY,,"[411296800, 411296801, 411296802, 368051006, 2108264715, 2108264688, 411296804, 1227313508, 2108264684, 2108264681, 3043625672, 411296806, 411296807, 411296800]",237,14853,Mann Drive,university,4,275,Tompkins,2433561,57871b70-0100-4405-bb30-88b2e001a944,no,USGS Geonames,https://mannlib.cornell.edu/,Category:Mann Library (Cornell University),
way,321746495,"POLYGON ((-76.4850042 42.4476022, -76.4850061 42.4476621, -76.4849559 42.4477055, -76.4849571 42.4477533, -76.4850094 42.4477894, -76.485011 42.4478474, -76.485116 42.4478459, -76.4851175 42.4479044, -76.4851887 42.4479034, -76.4851903 42.4479635, -76.4854604 42.4479597, -76.4854592 42.4479147, -76.4854893 42.4478913, -76.4854885 42.4478624, -76.4854572 42.4478399, -76.4854558 42.4477855, -76.4856169 42.4477832, -76.4856104 42.4475349, -76.485215 42.4475406, -76.4852165 42.4475993, -76.4850822 42.4476014, -76.4850042 42.4476022))",library,Uris Library,,yes,,Mo-Fr 08:00-17:00; Sa 12:00-17:00,Q108937984,,,NY,,"[3163846206, 3285131363, 3285131364, 3285131365, 3285131368, 3285131371, 3285131370, 3285131375, 3285131374, 3285131378, 3285131377, 3285131376, 3285131373, 3285131372, 3285131369, 3285131367, 3285131366, 3285131361, 3285131362, 368051014, 3163846205, 3163846206]",,,,yes,,241,Tompkins,2433634,57871b70-0100-4405-bb30-88b2e001a944,no,USGS Geonames,,Category:Uris Library (Cornell University),
way,473097828,"POLYGON ((-76.4825876 42.4574526, -76.4825587 42.4573653, -76.4825326 42.4573701, -76.482461 42.4571545, -76.482308 42.4571821, -76.4823696 42.4573678, -76.4822625 42.4573872, -76.4822091 42.4572264, -76.4820546 42.4572543, -76.4821288 42.4574779, -76.4821634 42.4574717, -76.482188 42.4575457, -76.482377 42.4575115, -76.4823594 42.4574583, -76.4824144 42.4574484, -76.4824255 42.4574819, -76.4825876 42.4574526))",library,Africana Library,,,,,Q120734737,,Ithaca,NY,,"[4672854618, 4672854619, 5241238616, 5241238617, 4672854620, 4672854621, 4672854622, 4672854623, 4672854624, 4672854625, 4672854626, 4672854627, 4672854628, 4672854629, 5241238618, 5241238619, 4672854618]",310,14850,Triphammer Road,university,1,,,,,,,,,TOMP004840
