u,v,key,osmid,highway,oneway,reversed,length,name,geometry,service,tunnel,lanes,maxspeed,access,ref,bridge,width
213414013,8620073052,0,677178505,tertiary,False,True,4.988,Campus Road,"LINESTRING (-76.4651344 42.4462078, -76.4651879 42.4461865)",,,2,25 mph,,,,
213418176,1227313515,0,106705176,footway,False,True,7.989,,"LINESTRING (-76.481682 42.446717, -76.4816619 42.4467873)",,,,,,,,
213418176,7511513295,0,"[803001914, 20182252]",service,True,False,48.353,Statler Drive,"LINESTRING (-76.481682 42.446717, -76.481735 42.446725, -76.481783 42.446716, -76.481822 42.446693, -76.4818533 42.446647, -76.481848 42.446516, -76.4818372 42.4464842, -76.4818225 42.4464614, -76.481783 42.4464433, -76.481721 42.4464341)",,,,,,,,
213419140,5285957675,0,20182405,service,False,False,6.95,Gothics Way,"LINESTRING (-76.4891665 42.4492631, -76.4891662 42.4492006)",,,,,,,,
213419140,4063684687,0,677427921,tertiary,False,False,13.214,University Avenue,"LINESTRING (-76.4891665 42.4492631, -76.4890055 42.4492662)",,,2,30 mph,,,,
213419140,213455196,0,677427921,tertiary,False,True,28.84,University Avenue,"LINESTRING (-76.4891665 42.4492631, -76.4893805 42.4492627, -76.489518 42.449263)",,,2,30 mph,,,,
213419142,2097229649,0,20182405,service,False,False,19.026,Gothics Way,"LINESTRING (-76.4891378 42.4487236, -76.4890535 42.4485642)",,,,,,,,
213419142,2097229675,0,20182405,service,False,True,24.309,Gothics Way,"LINESTRING (-76.4891378 42.4487236, -76.4891649 42.4489413)",,,,,,,,
213419142,5285957672,0,199734701,footway,False,True,16.631,,"LINESTRING (-76.4891378 42.4487236, -76.4889356 42.4487131)",,,,,,,,
213419142,2097229664,0,199734701,footway,False,False,43.382000000000005,,"LINESTRING (-76.4891378 42.4487236, -76.489415 42.4487067, -76.4896039 42.4485852)",,,,,,,,
213419151,2097229603,0,199734709,footway,False,True,26.798,,"LINESTRING (-76.4883552 42.4480836, -76.4881411 42.4482656)",,,,,,,,
213419151,2097229597,0,20182405,service,False,False,24.758000000000003,Gothics Way,"LINESTRING (-76.4883552 42.4480836, -76.4883031 42.4480086, -76.4882875 42.4479645, -76.4883006 42.4478722)",,,,,,,,
213419151,1043344242,0,20182405,service,False,True,50.342,Gothics Way,"LINESTRING (-76.4883552 42.4480836, -76.4884042 42.4481262, -76.4887943 42.4483994)",,,,,,,,
213419194,213419221,0,20182421,service,True,False,76.83700000000002,Presidents' Drive,"LINESTRING (-76.482608 42.448204, -76.482609 42.448141, -76.482603 42.448096, -76.482571 42.447998, -76.482545 42.447949, -76.4825231 42.4479102, -76.482486 42.447873, -76.482434 42.447842, -76.482379 42.447825, -76.482329 42.447821, -76.48228 42.447826, -76.4822266 42.447848, -76.4821649 42.4479139, -76.4821429 42.4479601)",,,,,,,,
213419194,5737608032,0,20182429,service,False,False,4.457,Presidents' Drive,"LINESTRING (-76.482608 42.448204, -76.4826494 42.4482035, -76.4826623 42.448204)",,,,,,,,
213419221,2095788222,0,199582444,footway,False,True,24.631,,"LINESTRING (-76.4821429 42.4479601, -76.4821157 42.4477395)",,,,,,,,
213419221,1314709359,0,20182421,service,True,False,55.347,Presidents' Drive,"LINESTRING (-76.4821429 42.4479601, -76.482131 42.448143, -76.482135 42.448242, -76.482148 42.448341, -76.482171 42.448431, -76.4821806 42.4484545)",,,,,,,,
213419246,1227313417,0,199582430,footway,False,True,21.752,,"LINESTRING (-76.482282 42.448542, -76.4822945 42.4487374)",,,,,,,,
213419246,213419194,0,20182421,service,True,False,50.861,Presidents' Drive,"LINESTRING (-76.482282 42.448542, -76.4823374 42.4485451, -76.482391 42.448532, -76.482459 42.448486, -76.482527 42.448408, -76.482559 42.448358, -76.482584 42.448304, -76.482608 42.448204)",,,,,,,,
213419306,5737608032,0,20182429,service,False,True,7.549,Presidents' Drive,"LINESTRING (-76.4827542 42.4482072, -76.4826623 42.448204)",,,,,,,,
213419306,5737608021,0,29164939,footway,False,False,8.14,,"LINESTRING (-76.4827542 42.4482072, -76.4828534 42.4482084)",,,,,,,,
