element_type,osmid,geometry,addr:state,building,ele,gnis:county_name,gnis:feature_id,gnis:import_uuid,gnis:reviewed,name,source,is_in:state_code,access,wheelchair,addr:unit,amenity,healthcare,opening_hours,phone,website,addr:housenumber,addr:street,addr:city,addr:postcode,nodes,nysgissam:nysaddresspointid,wikimedia_commons,air_conditioning,building:levels,architect,old_name,roof:levels,short_name,start_date,fee,official_name,operator,parking,wikidata,leisure,wikipedia,historic,nysgissam:review,tourism,check_date:opening_hours,location,payment:credit_cards,payment:debit_cards,shop,alt_name,description,addr:housename,man_made,building:material,height,tower:construction,tower:type,layer,addr:country,internet_access,note,roof:shape,gnis:county_id,gnis:created,gnis:state_id,name_1,loc_name,apartments,residential,addr:flats,office,contact:phone,contact:website,contact:fax,smoking,operator:type,sport,bench,bin,shelter_type,golf,content,fast_food,indoor_seating,outdoor_seating,ways,denomination,type
node,368045174,POINT (-76.4702592 42.4489937),NY,yes,260,Tompkins,2433541,57871b70-0100-4405-bb30-88b2e001a944,no,McClintock Shed,USGS Geonames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,368045201,POINT (-76.4889675 42.4489979),NY,yes,206,Tompkins,2433649,57871b70-0100-4405-bb30-88b2e001a944,no,Boldt Tower,USGS Geonames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,368059026,POINT (-76.4747627 42.4455048),NY,yes,254,Tompkins,2433603,57871b70-0100-4405-bb30-88b2e001a944,no,Humphreys Service Building,USGS Geonames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,368059039,POINT (-76.4878 42.4475),NY,yes,213,Tompkins,2433641,57871b70-0100-4405-bb30-88b2e001a944,no,War Memorial Hall,USGS Geonames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,368059042,POINT (-76.4877932 42.4464379),,yes,212,Tompkins,2433640,57871b70-0100-4405-bb30-88b2e001a944,no,McFaddin Hall,USGS Geonames,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4804681804,POINT (-76.4759162 42.4595319),,yes,,,,,,Cornell Child Care Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24303383,"POLYGON ((-76.4795542 42.4468736, -76.4792022 42.4468697, -76.4792075 42.4465036, -76.4791222 42.4465036, -76.4791328 42.446169, -76.4795542 42.4461769, -76.4795542 42.4468722, -76.4795542 42.4468736))",NY,university,261,Tompkins,2433589,57871b70-0100-4405-bb30-88b2e001a944,no,Comstock Hall,USGS Geonames,,,,,,,,,,129,Garden Avenue,Ithaca,14853,"[263325018, 263325022, 263325023, 263325027, 263325031, 263325035, 2095832667, 263325018]",TOMP028768,Category:Comstock Hall (Cornell University),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24303385,"POLYGON ((-76.4787409 42.4461812, -76.4780687 42.4461805, -76.4780685 42.4463265, -76.4779723 42.4463264, -76.4779713 42.4468448, -76.4780226 42.4468455, -76.478192 42.4468455, -76.4782045 42.4468451, -76.4782047 42.4467417, -76.4783405 42.4467418, -76.4783408 42.4466295, -76.4784686 42.4466297, -76.4784688 42.4465232, -76.478618 42.4465234, -76.4786181 42.4464209, -76.4787405 42.4464211, -76.4787409 42.4461812))",NY,university,,,,,,Biotechnology Building,,,,,,,,,,,526,Campus Road,Ithaca,14853,"[263325036, 263325040, 263325044, 263325047, 263325048, 263325161, 263325157, 263325052, 263325055, 263325059, 263325062, 263325065, 263325068, 263325072, 263325075, 263325078, 263325036]",TOMP025841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24303386,"POLYGON ((-76.4787812 42.446034, -76.4787812 42.4459711, -76.4785465 42.4459711, -76.4785465 42.4455275, -76.4791978 42.4455275, -76.4794853 42.4455275, -76.4794853 42.4456991, -76.4794853 42.445788, -76.479592 42.445788, -76.479592 42.446034, -76.4787812 42.446034))",NY,sports_complex,262,Tompkins,2433590,57871b70-0100-4405-bb30-88b2e001a944,no,Teagle Hall,USGS Geonames,,,,,,,,,https://recreation.athletics.cornell.edu/hours-facilities/teagle-building-hours,512,Campus Road,Ithaca,14853,"[263325081, 263325085, 263325088, 263325091, 1320865827, 263325094, 1320865837, 263325098, 263325102, 263325103, 263325081]",TOMP004306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24303387,"POLYGON ((-76.4786799 42.4470929, -76.47868 42.4470291, -76.478631 42.4470291, -76.4785821 42.4470472, -76.4785491 42.4470855, -76.4785354 42.4471213, -76.4781617 42.4471213, -76.4781617 42.4469789, -76.478192 42.4469789, -76.478192 42.446938, -76.478192 42.4468455, -76.4780226 42.4468455, -76.4780226 42.4469365, -76.4780225 42.4471214, -76.4780011 42.4471214, -76.4780008 42.4473962, -76.4784619 42.4473965, -76.4784619 42.4473567, -76.4786796 42.4473568, -76.4786799 42.4470929))",NY,university,264,Tompkins,2433588,57871b70-0100-4405-bb30-88b2e001a944,no,Dale R Corson Hall,USGS Geonames,,,,,,,,,,,,,,"[263325113, 263325118, 263325120, 263325124, 263325127, 263325131, 263325146, 263325149, 263325153, 10572152070, 263325157, 263325161, 10572152071, 263325133, 368059218, 263325137, 263325140, 10572152072, 263325144, 263325113]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
