element_type,osmid,nodes,natural,water,geometry,name,intermittent,ways,name:en,name:zh,type
way,217855066,"[7878394980, 5845637088, 6889125683, 7941524321, 7941524322, 7941524328, 6889125669, 7941524327, 7941524325, 7941524324, 5310418878, 5310418877, 6889125684, 5310418875, 7941524316, 10893620808, 7878394980]",water,river,"POLYGON ((103.9235703 30.7515343, 103.9235234 30.7514281, 103.9232306 30.7506805, 103.9228634 30.749732, 103.9226755 30.7493192, 103.9217971 30.7471646, 103.9217539 30.747197, 103.9216925 30.747245, 103.9217796 30.7474408, 103.922261 30.7486557, 103.9226547 30.7495947, 103.922968 30.7503658, 103.923138 30.7507278, 103.923398 30.7513892, 103.9234374 30.7515849, 103.9235215 30.7515529, 103.9235703 30.7515343))",,,,,,
way,687770522,"[10893620810, 9024920674, 6447660643, 5336767886, 5260306589, 5260306590, 5260306591, 6447660650, 7941524310, 7941524311, 6447660651, 7941524304, 6447660652, 5310418880, 5310418881, 6447660642, 5336767887, 5310418882, 5310418885, 10893620810]",water,drain,"POLYGON ((103.9246166 30.7539727, 103.9246927 30.7541058, 103.9247592 30.7542518, 103.9247728 30.7543028, 103.924861 30.7544872, 103.925253 30.7553459, 103.9258331 30.7566367, 103.9260083 30.7570264, 103.9274283 30.7601823, 103.9274317 30.7602357, 103.9274701 30.760313, 103.9273868 30.7603416, 103.9273348 30.760267, 103.9257178 30.7567111, 103.9248207 30.7547014, 103.9247601 30.7545579, 103.9246338 30.7543053, 103.9244523 30.7540434, 103.9245739 30.7539911, 103.9246166 30.7539727))",,,,,,
way,693523007,"[7806510278, 6511126022, 6511126023, 7806510277, 7806510278]",water,basin,"POLYGON ((103.9305985 30.7475069, 103.9305099 30.74758, 103.9302323 30.7473717, 103.93049 30.7472448, 103.9305985 30.7475069))",,no,,,,
way,851437317,"[6447660651, 7941524312, 7941524315, 7652274001, 6185287136, 7941524308, 7941524309, 7941524314, 8035473587, 7941524304, 6447660651]",water,river,"POLYGON ((103.9274701 30.760313, 103.9278949 30.7613092, 103.9281984 30.7619564, 103.928415 30.7622787, 103.9283424 30.7622999, 103.9282812 30.7623177, 103.928247 30.7622778, 103.9279635 30.7616763, 103.9278233 30.7613519, 103.9273868 30.7603416, 103.9274701 30.760313))",,,,,,
relation,7849759,"[[[10893620806, 10893620807, 7941524317, 7941524318, 7941524320, 7941524319, 5261487374, 5260305551, 2271615263, 5260305552, 5260305553, 5260252080, 5922449573, 5922449572, 5260305555, 5922449571, 5922449570, 2271615399, 5260252081, 5922449576, 7517985529, 2271615454, 5261594716, 5261594715, 10893620809, 5260306588, 5261594717, 6447660644, 6447660645, 5260306587, 5261594714, 6447660647, 6447660648, 6447660649, 6447660646, 5260306586, 5261594713, 5260306585, 5260306584, 5261594711, 5260306583, 5260306582, 5261594712, 5883543302, 5260306581, 5883543301, 5261592544, 2271615480, 2271615460, 2271615414, 2271615381, 2271615303, 5261592535, 5310375302, 5260252089, 2271615197, 5260252102, 7878394998, 2271615177, 5260305549, 5261487369, 5261487368, 2271615150, 5261487367, 2271615133, 5261487366, 5261487365, 2271615128, 5261487370, 5261487371, 5261487372, 5260305550, 7878394976, 7878394977, 2271615152, 7878394978, 7878394979, 5261487373, 7878394981, 10893620806], [7878394982, 7878394983, 7878394984, 7878394985, 7878394986, 7878394987, 7878394988, 7878394989, 7878394990, 7878394991, 7878394992, 7878394993, 7878394994, 7878394995, 7878394996, 7878394982], [5310355497, 5310355503, 5310355502, 5310355489, 5310355490, 5310355498, 5310355491, 5310355501, 5310355492, 5310355499, 5310355500, 5310355493, 5310355494, 5310355507, 5310355505, 5310355495, 5310355504, 5310355496, 5310355497]]]",water,lake,"POLYGON ((103.9234372 30.7516361, 103.9234402 30.7516899, 103.9234661 30.7517239, 103.9235045 30.7517594, 103.9235529 30.7517757, 103.9237681 30.7521654, 103.9238135 30.752532, 103.9237303 30.7528094, 103.9237422 30.7531678, 103.9236327 30.7533276, 103.9236899 30.7533102, 103.9237511 30.753305, 103.9238006 30.7533102, 103.9238494 30.753324, 103.9239136 30.7533595, 103.923963 30.7534101, 103.9239908 30.7534652, 103.9240001 30.7535247, 103.9239885 30.753589, 103.9241207 30.7536869, 103.9241363 30.7537658, 103.9243823 30.753987, 103.9244381 30.7540319, 103.9246091 30.7539602, 103.9245487 30.7538597, 103.9245436 30.7537933, 103.9245551 30.7537441, 103.9245619 30.7536969, 103.924588 30.7536808, 103.9246228 30.7536794, 103.9246519 30.7537028, 103.9246781 30.7537405, 103.9247183 30.7537663, 103.9248346 30.7538357, 103.9249734 30.7538694, 103.9251501 30.7542035, 103.9252781 30.7543622, 103.9253934 30.7543529, 103.9253987 30.7542504, 103.9252914 30.7541017, 103.9254175 30.7538689, 103.9254568 30.7538326, 103.9255175 30.7538147, 103.9256227 30.7538401, 103.92576 30.7538839, 103.9257639 30.7537933, 103.9256643 30.7537214, 103.9253853 30.7534909, 103.9251686 30.7532968, 103.9251401 30.752856, 103.9251347 30.7527673, 103.9249481 30.752738, 103.9248075 30.7525756, 103.9248641 30.7522068, 103.9250652 30.7520906, 103.9252641 30.7521067, 103.9253163 30.7520152, 103.925364 30.7519216, 103.9253773 30.7516719, 103.9253558 30.7515682, 103.9252163 30.7514622, 103.9249508 30.7514345, 103.9246612 30.7513537, 103.9244852 30.7512853, 103.924395 30.7512446, 103.9243089 30.7512429, 103.924188 30.7512779, 103.9240751 30.7513513, 103.9239723 30.751414, 103.923871 30.7514932, 103.9238375 30.7515262, 103.9238228 30.7515742, 103.9238019 30.7516221, 103.9237672 30.7516518, 103.9237112 30.7516683, 103.9236592 30.7516534, 103.9236156 30.751622, 103.9235821 30.7515529, 103.9234391 30.7516048, 103.9234372 30.7516361), (103.9244239 30.7513098, 103.9244768 30.7513342, 103.9245032 30.7513639, 103.9245133 30.7514111, 103.9244991 30.7514478, 103.92443 30.7514827, 103.9243467 30.7515037, 103.9242532 30.7515089, 103.924182 30.7514775, 103.9241353 30.7514373, 103.9241332 30.7513744, 103.9241597 30.7513255, 103.9242206 30.7512853, 103.9242999 30.7512853, 103.9243731 30.7512853, 103.9244239 30.7513098), (103.9244946 30.7529678, 103.9244159 30.7529407, 103.9243274 30.7528691, 103.9242461 30.7527346, 103.9242278 30.7526315, 103.9242543 30.7525913, 103.9243285 30.7525127, 103.9244026 30.7524621, 103.9244972 30.7524306, 103.9245485 30.7524411, 103.9245795 30.7524621, 103.9246811 30.7525686, 103.9246895 30.7526758, 103.9246817 30.752713, 103.9246541 30.7527739, 103.92465 30.7528056, 103.9246062 30.7528996, 103.9245448 30.7529585, 103.9244946 30.7529678))",西湖,,"[868013620, 844548982, 549754243]",West Lake,西湖,multipolygon
relation,7849760,"[[[7878394974, 7878394975, 7878394963, 7878394964, 7878394965, 7878394966, 7878394967, 7878394968, 5259941933, 7878394973, 5259941934, 7878394969, 7878394970, 5259941935, 5259941936, 5259941938, 5259941940, 5259941941, 5259941942, 5259941943, 5259941944, 5259941945, 5259941946, 5259941947, 5259941948, 5259941949, 5259941950, 5259941951, 5259941952, 5259941953, 5259941954, 5259941955, 5259941956, 5259941957, 5259941958, 5259941959, 5259941960, 5259941961, 5259941962, 5259941963, 5259941964, 5259941965, 5259941966, 5259941967, 5259941968, 5259941969, 5259941970, 9139841641, 5259941971, 5259941972, 5259941973, 5259941974, 5259941975, 7791028882, 7791028883, 7791028880, 7791028881, 7791050186, 7791050187, 7791028884, 7791050185, 9139841642, 7791050191, 7791050192, 7791050189, 7791050190, 7791050193, 7791050194, 7791050188, 5259941990, 5259941991, 5259941992, 5259941993, 5259941994, 5259941995, 5259941996, 5259941997, 5259941999, 5259942000, 5259942001, 5259942002, 5259942003, 5259942004, 5259942005, 5259942006, 5259942007, 5259942008, 5259942009, 5259942010, 5259942011, 5259942012, 5259942013, 5259942014, 5259942015, 5259942016, 5259942017, 5259942018, 5259942019, 5259942020, 5259942121, 5259942123, 9139841565, 5259942124, 5259942125, 9139841564, 5259942126, 5259942127, 5259941797, 8794836059, 5259941798, 5259941799, 5259941800, 5259941801, 5259941802, 7791067899, 5259941804, 5259941805, 5259941806, 5259941807, 9139841537, 9139841538, 9139841539, 9139841540, 5259941808, 9139841541, 7878394922, 5259941809, 9139841542, 7878394921, 5259941810, 7878394920, 5259941811, 7878394919, 5259941812, 5259941813, 7878394923, 7878394924, 5259941814, 5259941815, 5259941816, 7878394971, 7878394972, 5259941820, 5259941921, 5259941923, 7878394962, 5259941924, 5259941925, 5259941926, 5261479154, 5261479155, 7878394974], [5259942130, 5259942131, 5259942132, 5259942133, 5259942134, 5259942135, 5259942136, 5259942137, 5259942138, 5259942139, 5259942140, 5259942141, 5259942142, 9139841728, 5259942143, 5259942144, 5259942145, 5259942146, 5259942147, 5259942148, 9139841729, 5259942128, 5259942129, 5259942130]]]",water,lake,"POLYGON ((103.9306959 30.7502261, 103.930728 30.7502411, 103.9307477 30.7502759, 103.9307575 30.7503074, 103.9307788 30.7503202, 103.9308583 30.7502944, 103.9309062 30.7502715, 103.9309231 30.7502405, 103.9309299 30.7502022, 103.9309367 30.7501639, 103.9309575 30.7501264, 103.9310052 30.7500987, 103.931116 30.7500809, 103.9311415 30.7500312, 103.931107 30.7499776, 103.9310637 30.7499248, 103.9308965 30.7497663, 103.930807 30.7497058, 103.930686 30.7496685, 103.9306381 30.7496468, 103.9305558 30.7496312, 103.9304745 30.7496258, 103.9303751 30.7495784, 103.9302432 30.749486, 103.9301745 30.7494037, 103.9300805 30.749281, 103.9298817 30.7491226, 103.9298067 30.7490612, 103.9297724 30.7490053, 103.9297778 30.7489579, 103.9298058 30.7488725, 103.9298194 30.7488212, 103.9297859 30.7487389, 103.9297317 30.748683, 103.9296567 30.7486209, 103.9295745 30.748589, 103.9294796 30.7485782, 103.9294371 30.7485603, 103.9293567 30.7485603, 103.9292609 30.748582, 103.9291715 30.7485999, 103.9290784 30.7485898, 103.9290143 30.7485665, 103.9289636 30.7485207, 103.9289501 30.7484881, 103.9289076 30.7484306, 103.9288916 30.7483998, 103.9288742 30.7483662, 103.9288335 30.7483318, 103.9287946 30.7482909, 103.9287248 30.748227, 103.9286826 30.7482097, 103.9286162 30.7482051, 103.9285485 30.748216, 103.9284801 30.7482431, 103.9284264 30.7482713, 103.9283714 30.7483122, 103.9283024 30.7483526, 103.9282326 30.7483849, 103.9281582 30.7484212, 103.9281183 30.7484435, 103.9280965 30.7484557, 103.9280442 30.7484828, 103.9279705 30.748537, 103.9279275 30.7485779, 103.927897 30.7486245, 103.9278542 30.7486652, 103.9278356 30.7487323, 103.9278358 30.748788, 103.9278761 30.7488725, 103.927954 30.7489671, 103.9279899 30.7490094, 103.9280474 30.7490662, 103.9280871 30.7491095, 103.9281154 30.7491459, 103.9281221 30.7491816, 103.9281095 30.7492392, 103.9280889 30.7492748, 103.9280727 30.7493089, 103.9280447 30.7493726, 103.9280139 30.7494386, 103.9279715 30.7494829, 103.927938 30.7495209, 103.9279398 30.7495947, 103.9279579 30.7496421, 103.9279941 30.749677, 103.9279959 30.7497236, 103.9280591 30.749792, 103.9281576 30.7498836, 103.9282832 30.7499675, 103.9284078 30.7500133, 103.9284102 30.7500655, 103.9284835 30.7500669, 103.9284822 30.7501793, 103.9285479 30.7501795, 103.9285472 30.750216, 103.9285711 30.7502168, 103.9285681 30.75028, 103.9286233 30.7502811, 103.9286198 30.7504238, 103.9286152 30.7505155, 103.9285999 30.7506177, 103.928567 30.7507392, 103.9285661 30.7507921, 103.928576 30.7508185, 103.9285968 30.7508483, 103.9285944 30.7510149, 103.928611 30.7510148, 103.9286219 30.7510148, 103.9286256 30.7509228, 103.9287297 30.7509237, 103.9287291 30.7510177, 103.9287962 30.7510171, 103.9287959 30.7510709, 103.9288562 30.7510717, 103.9287955 30.7510011, 103.9287376 30.75092, 103.9287169 30.7508877, 103.92872 30.7508785, 103.9287374 30.7508853, 103.9287629 30.7508925, 103.9287916 30.7508976, 103.9288133 30.7508898, 103.9288422 30.7508673, 103.9288774 30.7508364, 103.9289113 30.7508102, 103.9289576 30.7507788, 103.9289943 30.7507544, 103.9290308 30.750745, 103.9290699 30.7507423, 103.9291052 30.750735, 103.9291311 30.7507091, 103.9291581 30.7506754, 103.9291952 30.7506519, 103.9292332 30.7506338, 103.9292875 30.7506101, 103.9293385 30.7505953, 103.9293819 30.7505655, 103.9294121 30.7505473, 103.9294383 30.7505235, 103.9294276 30.7504704, 103.9298182 30.7504124, 103.9298337 30.7504895, 103.9300736 30.7504539, 103.9300637 30.7504046, 103.9301873 30.7503862, 103.930182 30.7503596, 103.9302252 30.7503532, 103.9302073 30.7502645, 103.9306522 30.7501983, 103.9306581 30.7502278, 103.9306959 30.7502261), (103.9284301 30.7497129, 103.9283444 30.7497129, 103.9282814 30.7497003, 103.9282615 30.7496678, 103.9282575 30.7496092, 103.9282875 30.7495485, 103.9283032 30.7494956, 103.9283523 30.7494431, 103.9283949 30.7494023, 103.9284375 30.7493536, 103.928477 30.7493327, 103.9285753 30.749345, 103.9286259 30.749365, 103.9286451 30.7494027, 103.9286629 30.7494603, 103.9286857 30.7494949, 103.9286876 30.749518, 103.9286944 30.7495922, 103.9286574 30.7496369, 103.928604 30.7496769, 103.9285715 30.7496758, 103.928526 30.749691, 103.928489 30.7497003, 103.9284301 30.7497129))",东湖,,"[844548979, 629010311]",East Lake,东湖,multipolygon
