element_type,osmid,nodes,amenity,geometry
way,657006464,"[6153760825, 6153760826, 6153760827, 6153760828, 6153760825]",parking,"POLYGON ((116.3631579 39.9629315, 116.3631873 39.9625271, 116.3638619 39.9625558, 116.3638325 39.9629602, 116.3631579 39.9629315))"
way,665142576,"[6225693871, 6225693872, 6225693873, 6225693874, 6225693871]",parking,"POLYGON ((116.3619106 39.9602627, 116.3619279 39.959988, 116.3627129 39.9600169, 116.3626956 39.9602916, 116.3619106 39.9602627))"
way,665147678,"[6225731731, 6225731732, 6225731733, 6225731734, 6225731731]",parking,"POLYGON ((116.3553163 39.9611484, 116.3553294 39.9608867, 116.3557754 39.9608999, 116.3557623 39.9611615, 116.3553163 39.9611484))"
