element_type,osmid,geometry,wheelchair,addr:street,name,nodes,addr:postcode,building,learning,name:ar,name:ca,name:de,name:el,name:en,name:es,name:fr,name:ga,name:nl,name:pnb,name:pt,name:ru,name:sv,name:uk,name:vi,name:zh,opening_hours,operator,tourism,url,wikidata,wikipedia,addr:housenumber,source,ways,building:levels,roof:levels,source:geometry,type
way,25999883,"POLYGON ((-1.2553942 51.7589248, -1.2551314 51.758499, -1.2553295 51.7584522, -1.2552912 51.7583899, -1.25532 51.7583837, -1.2554221 51.758363, -1.2553759 51.7582807, -1.2555421 51.7582402, -1.2555956 51.7582273, -1.2556612 51.7583339, -1.2556787 51.75833, -1.2556983 51.7583256, -1.2557378 51.7583357, -1.2557381 51.7583617, -1.2558521 51.7583318, -1.2559963 51.7585738, -1.2560028 51.7585847, -1.2561509 51.7588304, -1.2560946 51.7588452, -1.2561031 51.7588571, -1.2560308 51.7588731, -1.2560388 51.7588869, -1.2560484 51.7589034, -1.2559696 51.758921, -1.2559555 51.7588963, -1.2556718 51.7589585, -1.2556586 51.75893, -1.2554733 51.7589623, -1.2553863 51.7589814, -1.2553586 51.7589333, -1.2553942 51.7589248))",yes,Parks Road,Oxford University Museum of Natural History,"[283650903, 283650890, 2382116017, 2382116015, 2382116013, 2382116009, 2374632842, 2382118639, 2374632840, 2374632838, 2381407757, 2374632834, 2374632837, 2374632841, 283650885, 8717795329, 2374647464, 283650887, 2381407759, 2382090391, 2374632076, 2374632078, 2374632081, 2374649237, 1154632715, 2374632084, 2374632083, 3741578120, 283650893, 7926143675, 283650903]",OX1 3PW,museum,oxford_department,متحف جامعة أكسفورد للتاريخ الطبيعي,Museu d'Història Natural de la Universitat d'Oxford,Oxford University Museum of Natural History,Μουσείο φυσικής ιστορίας του πανεπιστημίου της Οξφόρδης,Oxford University Museum of Natural History,Museo de Historia Natural de la Universidad de Oxford,Musée d'histoire naturelle de l'université d'Oxford,Músaem Oxford,Oxford University Museum of Natural History,آکسفورڈ یونیورسٹی میوزیم,Museu de História Natural da Universidade de Oxford,Музей естественной истории Оксфордского университета,Oxford University Museum of Natural History,Оксфордський музей природничої історії,Bảo tàng Lịch sử Tự nhiên của Đại học Oxford,牛津大學自然史博物館,Mo-Su 10:00-17:00,University of Oxford,museum,http://www.oum.ox.ac.uk/,Q1760005,en:Oxford University Museum of Natural History,,,,,,,
way,99873920,"POLYGON ((-1.2553942 51.7589248, -1.2551314 51.758499, -1.2550663 51.7585151, -1.2550842 51.7585446, -1.2550593 51.7585497, -1.2548962 51.7585884, -1.2548793 51.7585605, -1.2547347 51.7585941, -1.2549935 51.7590203, -1.2553586 51.7589333, -1.2553942 51.7589248))",,Parks Road,Pitt Rivers Museum,"[283650903, 283650890, 2374632069, 2374632070, 2374632073, 2374632075, 2374632072, 283650906, 283650905, 7926143675, 283650903]",OX1 3PP,museum,oxford_department,,,,,,,,,,,,,,,,,,University of Oxford,museum,http://www.prm.ox.ac.uk/,Q1456119,en:Pitt Rivers Museum,3,,,,,,
way,370460441,"POLYGON ((-1.2553863 51.7589814, -1.2554677 51.7591238, -1.2555076 51.759115, -1.2555558 51.7591045, -1.2557238 51.7590677, -1.2558474 51.7590406, -1.255927 51.7590232, -1.2558857 51.758951, -1.2559755 51.7589313, -1.2559696 51.758921, -1.2559555 51.7588963, -1.2556718 51.7589585, -1.2557018 51.7590109, -1.2555234 51.75905, -1.2554733 51.7589623, -1.2553863 51.7589814))",,,,"[283650893, 5561680972, 5561680966, 5561680973, 1154632782, 1154632833, 1154632880, 2382090799, 2382090798, 2374649237, 1154632715, 2374632084, 5561680968, 5561680969, 3741578120, 283650893]",,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,679676362,"POLYGON ((-1.2567676 51.759102, -1.2566096 51.7588295, -1.2564528 51.7588643, -1.2564867 51.7589227, -1.2563582 51.7589513, -1.2561834 51.7589901, -1.2561437 51.7589216, -1.2561193 51.7588795, -1.2561294 51.7588773, -1.2561198 51.7588606, -1.2561068 51.7588635, -1.2561031 51.7588571, -1.2560308 51.7588731, -1.2560388 51.7588869, -1.2560484 51.7589034, -1.2559696 51.758921, -1.2559755 51.7589313, -1.2558857 51.758951, -1.255927 51.7590232, -1.2558474 51.7590406, -1.2559119 51.7591509, -1.256047 51.7591209, -1.2560572 51.7591386, -1.2561919 51.7591086, -1.2562543 51.7592161, -1.2567676 51.759102))",,,Robert Hooke Building,"[1154632797, 1154632827, 1154632780, 1154632725, 4851854317, 1154632813, 4851854316, 1154632762, 2382090797, 2382090796, 2382090795, 2382090391, 2374632076, 2374632078, 2374632081, 2374649237, 6364369341, 2382090799, 1154632880, 1154632833, 1154632785, 1154632735, 1154632895, 1154632817, 1154632766, 1154632797]",,university,oxford_department,,,,,,,,,,,,,,,,,,,,,,,,Bing,,,,,
way,770743340,"POLYGON ((-1.2555421 51.7582402, -1.2554873 51.7581507, -1.2555935 51.7581189, -1.2556509 51.758214, -1.2555956 51.7582273, -1.2555421 51.7582402))",,,Abbot's Kitchen,"[2382118639, 2354798606, 2354798599, 7194149354, 2374632840, 2382118639]",,university,,,,,,,,,,,,,,,,,,,Reuben College,,,Q21008609,"en:Abbot's Kitchen, Oxford",,,,,,,
relation,3083289,"POLYGON ((-1.2555421 51.7582402, -1.2553759 51.7582807, -1.2554221 51.758363, -1.2552912 51.7583899, -1.2552645 51.7583471, -1.2552365 51.7583527, -1.2552426 51.7583627, -1.2550174 51.7584143, -1.2550193 51.7584175, -1.254887 51.7584479, -1.2548337 51.7584601, -1.2547978 51.7584001, -1.2547889 51.7584021, -1.2546315 51.7581389, -1.2547187 51.758119, -1.2547057 51.7580972, -1.2549497 51.7580413, -1.2551022 51.7580063, -1.2550991 51.7579993, -1.25521 51.7579758, -1.2552286 51.7580088, -1.2552926 51.7579941, -1.2553413 51.7580792, -1.2553956 51.7580675, -1.2554278 51.7581148, -1.2553887 51.7581246, -1.2554168 51.7581659, -1.2554873 51.7581507, -1.2555421 51.7582402), (-1.2551273 51.7580696, -1.2549845 51.7581012, -1.2548418 51.7581329, -1.2549514 51.7583226, -1.2549804 51.7583161, -1.2549713 51.7583003, -1.2551991 51.7582498, -1.2552055 51.758261, -1.2552342 51.7582546, -1.2551273 51.7580696))",,South Parks Road,Department of Inorganic Chemistry,"[[[2354798606, 2354798612, 2382115994, 2354798600], [2354798600, 2382118638, 1439411268, 1439411271, 1439411299, 872424736, 1439411285, 1439411288, 7480178746, 1439411264, 1439411265, 872424739, 1439411307, 1439411302, 872424742, 2389587697, 1439411283, 1439411287, 2382116011, 2382116007, 2382116005, 2382116015, 2382116009, 2374632842, 2382118639, 2354798606], [872424733, 1439411303, 1439411266, 1439411305, 1439411304, 872424734, 1439411293, 7480247266, 1439411295, 872424733]]]",,university,oxford_department,,,,,,,,,,,,,,,,,,,,,,,Inorganic Chemistry Laboratory,,"[229958643, 770743339, 229958644]",4,0,Bing,multipolygon
