element_type,osmid,nodes,building,geometry,name
way,150513403,"[1634150754, 1634150742, 1634150756, 1634150741, 1634150740, 1634150738, 8896253936, 1634150758, 1634150759, 1634150760, 1634150755, 1634150757, 1634150734, 1634150732, 1634150730, 1634153723, 1634150743, 1634150736, 1634150739, 1634150754]",yes,"POLYGON ((106.5032741 29.5350443, 106.5038945 29.5350461, 106.5039003 29.5352746, 106.5037684 29.5352748, 106.5038187 29.5353314, 106.5038328 29.5353938, 106.5038342 29.5354235, 106.5038301 29.5354615, 106.5038114 29.5354965, 106.5037792 29.5355269, 106.5037523 29.5355479, 106.5039106 29.5355455, 106.5039186 29.5357766, 106.5032776 29.5357789, 106.5032722 29.5356575, 106.5030643 29.5356544, 106.5029718 29.5356575, 106.5029687 29.535149, 106.5032773 29.5351443, 106.5032741 29.5350443))",
way,150513721,"[1634153688, 1634153685, 1634153714, 1634153692, 1634153721, 1634153678, 1634153682, 1634153690, 1634153718, 1634153688]",yes,"POLYGON ((106.5030697 29.5360616, 106.5029307 29.5359399, 106.5030063 29.5358815, 106.5030461 29.5358325, 106.5030624 29.5357626, 106.5032438 29.5358297, 106.5032655 29.5358375, 106.5032129 29.5359386, 106.5031679 29.5359941, 106.5030697 29.5360616))",
way,150515522,"[1634168139, 1634168136, 1634168142, 1634168151, 1634168149, 1634168143, 1634168139]",yes,"POLYGON ((106.5034907 29.537659, 106.5043098 29.5376603, 106.5043097 29.5374493, 106.5040818 29.5374491, 106.5040807 29.5375774, 106.5034919 29.5375775, 106.5034907 29.537659))",
way,150515523,"[1634168137, 1634168145, 1634168140, 1634168135, 1634168137]",yes,"POLYGON ((106.5036601 29.5374411, 106.5036599 29.5373179, 106.5040332 29.5373173, 106.5040335 29.5374405, 106.5036601 29.5374411))",
way,150515813,"[1634175675, 1634175671, 1634175657, 1634175659, 1634175675]",yes,"POLYGON ((106.5021075 29.5373006, 106.502667 29.5372955, 106.5026657 29.5371844, 106.5021062 29.5371896, 106.5021075 29.5373006))",
way,150515814,"[1634175673, 1634175654, 1634175666, 1634175661, 1634175673]",yes,"POLYGON ((106.5021061 29.5374887, 106.5021042 29.5373862, 106.5026654 29.5373781, 106.5026674 29.5374807, 106.5021061 29.5374887))",
way,150515815,"[1634175663, 1634175667, 1634175672, 1634175652, 1634175663]",yes,"POLYGON ((106.5027918 29.5380009, 106.5033034 29.5376997, 106.5032391 29.537617, 106.5027275 29.5379183, 106.5027918 29.5380009))",
way,150515816,"[1634175665, 1634175676, 1634175674, 1634175670, 1634175665]",yes,"POLYGON ((106.5021013 29.5377284, 106.502673 29.5377236, 106.5026718 29.5376178, 106.5021001 29.5376227, 106.5021013 29.5377284))",
way,150515817,"[1634175650, 1634175647, 1634175635, 1634175677, 1634175650]",yes,"POLYGON ((106.5021432 29.5380355, 106.5026864 29.538042, 106.5026885 29.5379114, 106.5021453 29.5379049, 106.5021432 29.5380355))",
way,150515939,"[1634179373, 1634179368, 1634179370, 1634179337, 1634179344, 1634179376, 1634179346, 1634179339, 1634179349, 1634179345, 1634179347, 1634179340, 1634179335, 1634179378, 1634179343, 1634179342, 1634179373]",yes,"POLYGON ((106.5027451 29.53768, 106.502957 29.5376754, 106.5029597 29.5375797, 106.5031693 29.5375778, 106.5031651 29.5374868, 106.5033601 29.53748, 106.5033558 29.5373673, 106.5035306 29.537365, 106.5035261 29.5371925, 106.503351 29.5371901, 106.5033507 29.5372977, 106.5031557 29.5373015, 106.5031577 29.537412, 106.5029536 29.5374166, 106.502954 29.5375145, 106.5027449 29.5375191, 106.5027451 29.53768))",
