element_type,osmid,nodes,building,layer,geometry,name,leisure,amenity,ways,type
way,417924831,"[4183953921, 4183953931, 4183953929, 4183953925, 4183953910, 4183953896, 4183953899, 4183953894, 4183953891, 4183953784, 4183953785, 4183953787, 4183953895, 4183953907, 4183953915, 4183953901, 4183953904, 4183953900, 4183953908, 4183953912, 4183953918, 4183953937, 4183953939, 4183953946, 4183953936, 4183953940, 4183953938, 4183953934, 4183953932, 4183953927, 4183953921]",yes,,"POLYGON ((103.7332402 36.0563521, 103.7332897 36.0564599, 103.733388 36.0564304, 103.733367 36.0563846, 103.7338833 36.0562299, 103.7338106 36.0560713, 103.7337158 36.0560997, 103.7336835 36.0560293, 103.7337356 36.0560137, 103.7336743 36.0558802, 103.7335963 36.0559036, 103.7336086 36.0559302, 103.7331582 36.0560653, 103.7332255 36.0562119, 103.7330178 36.0562742, 103.7329514 36.0561296, 103.7328575 36.0561578, 103.7328388 36.056117, 103.7325133 36.0562146, 103.732532 36.0562554, 103.7323777 36.0563016, 103.7324745 36.0565127, 103.7324484 36.0565205, 103.7325091 36.0566529, 103.7329953 36.0565071, 103.7330134 36.0565466, 103.7331123 36.056517, 103.7330942 36.0564775, 103.733109 36.056473, 103.7330761 36.0564013, 103.7332402 36.0563521))",西区食堂、服务楼,,,,
way,443598031,"[4411529616, 4411529617, 4411529622, 4411529619, 4411529621, 4411529620, 4411529616]",yes,,"POLYGON ((103.7340058 36.0540681, 103.733621 36.0541835, 103.7337322 36.0544259, 103.7340248 36.0543382, 103.7340406 36.0543726, 103.7341328 36.054345, 103.7340058 36.0540681))",锅炉房,,,,
way,443602419,"[4116113780, 4116113791, 4116113810, 4116113789, 4411572229, 4116113780]",yes,,"POLYGON ((103.7343143 36.0596673, 103.7338289 36.059817, 103.7339008 36.0599695, 103.7344876 36.0597885, 103.7344157 36.059636, 103.7343143 36.0596673))",G,,,,
way,443602420,"[4411572213, 4411572205, 4411572208, 4411572217, 4411572213]",yes,,"POLYGON ((103.7324179 36.0545983, 103.7323459 36.0544413, 103.7321041 36.0545137, 103.7321762 36.0546708, 103.7324179 36.0545983))",R,,,,
way,443602421,"[4116113751, 4116113780, 4411572229, 4411572227, 4116113751]",yes,,"POLYGON ((103.7341977 36.0594202, 103.7343143 36.0596673, 103.7344157 36.059636, 103.734299 36.059389, 103.7341977 36.0594202))",,,,,
way,443602422,"[4116113739, 4116113757, 4411572228, 4411572226, 4116113739]",yes,,"POLYGON ((103.7348298 36.0592199, 103.7349475 36.0594691, 103.7350352 36.0594421, 103.7349176 36.0591928, 103.7348298 36.0592199))",,,,,
way,443602423,"[4411572197, 4411572201, 4411572204, 4411572200, 4411572197]",yes,,"POLYGON ((103.7319861 36.054015, 103.7311879 36.0542543, 103.7312592 36.0544097, 103.7320574 36.0541703, 103.7319861 36.054015))",,,,,
way,443602424,"[4411572194, 4411572196, 4411572218, 4411572214, 4411572194]",yes,,"POLYGON ((103.7292502 36.0535358, 103.7290244 36.053607, 103.7295394 36.0546739, 103.7297652 36.0546026, 103.7292502 36.0535358))",,stadium,,,
way,449825580,"[4467506583, 4467506582, 4467506580, 4467506581, 4467506583]",yes,,"POLYGON ((103.7310055 36.0582541, 103.732354 36.0578414, 103.7320355 36.0571612, 103.730687 36.0575739, 103.7310055 36.0582541))",,,library,,
way,863853439,"[8047958500, 8047958498, 8047958494, 8047958493, 8047958495, 8047958496, 8047958497, 8047958499, 8047958500]",yes,,"POLYGON ((103.7277362 36.0566106, 103.7279283 36.056553, 103.7277577 36.0561811, 103.7278572 36.055999, 103.7282642 36.0558714, 103.7281975 36.0557324, 103.7276596 36.0559011, 103.7275243 36.0561488, 103.7277362 36.0566106))",,,,,
way,921508765,"[8555317203, 8555317202, 8555317199, 8555317196, 8555317197, 8555317193, 8555317192, 8555317198, 8555317194, 8555317195, 8555317201, 8555317200, 8555317203]",yes,,"POLYGON ((103.7278891 36.0572807, 103.7286073 36.0570554, 103.7285862 36.0570115, 103.7287604 36.0569569, 103.7284496 36.0563092, 103.728306 36.0563543, 103.7282767 36.0562932, 103.7279649 36.056391, 103.7280865 36.0566446, 103.7283678 36.0565564, 103.7285323 36.0568993, 103.7278141 36.0571245, 103.7278891 36.0572807))",,,,,
way,927297482,"[8603649076, 8603649077, 8603649078, 8603649079, 8603649081, 8603649080, 8603649076]",yes,,"POLYGON ((103.7339616 36.0572709, 103.7350755 36.056985, 103.734978 36.0565906, 103.7347462 36.0563178, 103.7343194 36.0565297, 103.7336567 36.0566892, 103.7339616 36.0572709))",,,,,
relation,6132191,"[[[4116113846, 4116113856, 4116113852, 4116113857, 4116113858, 4116113870, 4116113866, 4116113872, 4116113875, 4116113885, 4116113883, 4116113890, 4116113869, 4116113823, 4116113828, 4116113824, 4116113846], [4116113874, 4116113851, 4116113842, 4116113862, 4116113876, 4116113868, 4116113874]]]",yes,,"POLYGON ((103.7310178 36.0604599, 103.7310912 36.0604353, 103.7311063 36.0604647, 103.7310329 36.0604893, 103.7310872 36.0605952, 103.7311612 36.0605703, 103.7311773 36.0606016, 103.7311033 36.0606265, 103.731159 36.0607352, 103.7312336 36.0607102, 103.7312787 36.060798, 103.7319283 36.0605802, 103.731706 36.060147, 103.7316035 36.0601814, 103.7315872 36.0601496, 103.7309655 36.060358, 103.7310178 36.0604599), (103.7312412 36.0604301, 103.7315687 36.0603268, 103.7316799 36.0605569, 103.7314562 36.0606275, 103.7314319 36.0605771, 103.7313281 36.0606099, 103.7312412 36.0604301))",,,,"[409744630, 409744644]",multipolygon
relation,6132192,"[[[4116113778, 4116113784, 4116113783, 4116113785, 4116113787, 4116113799, 4116113795, 4116113800, 4116113804, 4116113817, 4116113813, 4116113820, 4116113798, 4116113773, 4116113775, 4116113756, 4116113760, 4116113754, 4116113778], [4116113801, 4116113782, 4116113774, 4116113793, 4116113805, 4116113796, 4116113801]]]",yes,,"POLYGON ((103.7306933 36.0597529, 103.7307667 36.0597283, 103.7307818 36.0597578, 103.7307084 36.0597824, 103.7307627 36.0598882, 103.7308367 36.0598634, 103.7308528 36.0598947, 103.7307788 36.0599195, 103.7308346 36.0600283, 103.7309091 36.0600033, 103.7309542 36.0600911, 103.7316038 36.0598732, 103.7314701 36.0596127, 103.731424 36.0596281, 103.7313354 36.0594555, 103.731279 36.0594744, 103.7312627 36.0594426, 103.730641 36.0596511, 103.7306933 36.0597529), (103.7309167 36.0597232, 103.7312442 36.0596198, 103.7313554 36.0598499, 103.7311317 36.0599206, 103.7311074 36.0598702, 103.7310036 36.059903, 103.7309167 36.0597232))",,,,"[409744632, 409744643]",multipolygon
relation,6132193,"[[[4116113832, 4116113825, 4116113814, 4116113819, 4116113832], [4116113860, 4116113838, 4116113821, 4116113822, 4116113797, 4116113812, 4116113803, 4116113806, 4116113837, 4116113841, 4116113860]]]",yes,,"POLYGON ((103.7303258 36.0602968, 103.7302368 36.0601053, 103.730175 36.0601241, 103.730057 36.0598705, 103.7296889 36.0599824, 103.7296534 36.0599061, 103.7294718 36.0599245, 103.7296446 36.0602959, 103.729592 36.0603119, 103.7296767 36.0604941, 103.7303258 36.0602968), (103.7297503 36.0600736, 103.7299656 36.0600082, 103.7300422 36.0601728, 103.7298269 36.0602382, 103.7297503 36.0600736))",石油化工学院,,,"[409744641, 409744628]",multipolygon
relation,6210981,"[[[4183954021, 4183953997, 4183953972, 4183954021], [4183954010, 4183953968, 4183953957, 4183953983, 4183954001, 4183953999, 4183954024, 4183954029, 4183954042, 4183954059, 4183954055, 4183954061, 4183954057, 4183954049, 4183954046, 4183954053, 4183954048, 4183954043, 4183954038, 4183954044, 4183954041, 4183954035, 4183954028, 4183954010]]]",yes,,"POLYGON ((103.7300416 36.0569307, 103.7299705 36.0567821, 103.7291603 36.0570354, 103.7292314 36.057184, 103.7292854 36.0571671, 103.7293516 36.0573056, 103.7292476 36.0573685, 103.7293395 36.0574594, 103.7294071 36.0576006, 103.7294895 36.0575748, 103.7295164 36.0576311, 103.7296584 36.0575866, 103.7296325 36.0575325, 103.7297059 36.0575095, 103.7297323 36.0575646, 103.7298718 36.057521, 103.7298464 36.057468, 103.7299253 36.0574433, 103.7299512 36.0574973, 103.730083 36.0574561, 103.7300583 36.0574045, 103.7302326 36.05735, 103.7301619 36.0572022, 103.7300416 36.0569307), (103.7293412 36.0571497, 103.7298969 36.056976, 103.7294014 36.0572755, 103.7293412 36.0571497))",西区1#教学楼,,,"[417924815, 417924813]",multipolygon
relation,6210982,"[[[4183954257, 4183954224, 4183954220, 4183954230, 4183954222, 4183954215, 4183954226, 4183954243, 4183954241, 4183954256, 4183954262, 4183954258, 4183954257], [4183954246, 4183954231, 4183954235, 4183954251, 4183954246]]]",yes,,"POLYGON ((103.7292831 36.0595656, 103.7293678 36.059746, 103.730017 36.059547, 103.7299324 36.0593665, 103.7298875 36.0593803, 103.7298081 36.0592109, 103.7297708 36.0591315, 103.7296421 36.0591709, 103.7293997 36.0592452, 103.7293578 36.0591559, 103.7291549 36.0591777, 103.7293283 36.0595517, 103.7292831 36.0595656), (103.7295164 36.0594941, 103.7294369 36.0593247, 103.7296793 36.0592504, 103.7297588 36.0594198, 103.7295164 36.0594941))",西区A试验楼,,,"[417924811, 417924820]",multipolygon
relation,6210983,"[[[4183954037, 4183954058, 4183954067, 4183954045, 4183954037], [4183954052, 4183954089, 4183954081, 4183954075, 4183954068, 4183954062, 4183954051, 4183954031, 4183954030, 4183954008, 4183954032, 4183954054, 4183954052]]]",yes,,"POLYGON ((103.7285475 36.0579324, 103.7287165 36.057839, 103.7286739 36.05775, 103.7289157 36.0576744, 103.7290441 36.0576342, 103.7290062 36.057555, 103.7289254 36.057386, 103.7289701 36.057372, 103.728884 36.057192, 103.7282364 36.0573945, 103.7283225 36.0575745, 103.7283675 36.0575604, 103.7285475 36.0579324), (103.7288778 36.0575951, 103.728636 36.0576707, 103.7285552 36.0575018, 103.7287969 36.0574262, 103.7288778 36.0575951))",西区B试验楼,,,"[417924816, 417924810]",multipolygon
relation,6210984,"[[[4183954189, 4183954213, 4183954233, 4183954253, 4183954242, 4183954239, 4183954227, 4183954228, 4183954212, 4183954203, 4183954201, 4183954195, 4183954187, 4183954196, 4183954193, 4183954183, 4183954171, 4183954185, 4183954178, 4183954163, 4183954153, 4183954165, 4183954151, 4183954189], [4183954225, 4183954237, 4183954218, 4183954225]]]",yes,,"POLYGON ((103.7308517 36.0586961, 103.7306779 36.0587516, 103.7306528 36.0587002, 103.7305214 36.0587422, 103.7305476 36.058796, 103.7304689 36.0588211, 103.7304431 36.0587682, 103.730304 36.0588126, 103.7303308 36.0588675, 103.7302576 36.0588909, 103.7302312 36.0588369, 103.7300895 36.0588821, 103.7301169 36.0589382, 103.7300348 36.0589644, 103.7301035 36.0591053, 103.7301122 36.0592224, 103.7302414 36.0592117, 103.7303088 36.0593497, 103.730255 36.0593669, 103.7303274 36.0595151, 103.7311354 36.0592572, 103.731063 36.059109, 103.7309237 36.0588435, 103.7308517 36.0586961), (103.7309187 36.0591551, 103.7303645 36.059332, 103.7303032 36.0592065, 103.7309187 36.0591551))",西区2#教学楼,,,"[417924812, 417924814]",multipolygon
