u,v,key,osmid,highway,oneway,reversed,length,geometry,tunnel
4116113643,4116113591,0,409744769,service,False,False,80.125,"LINESTRING (103.734905 36.0579851, 103.7345101 36.0573391)",
4116113643,8603649082,0,409744769,service,False,True,95.458,"LINESTRING (103.734905 36.0579851, 103.7350049 36.0581485, 103.735427 36.0587323)",
4116113654,4183954083,0,409744748,service,False,True,68.009,"LINESTRING (103.7285569 36.0581008, 103.7292649 36.0578852)",
4116113654,4116113695,0,409744756,service,False,True,56.184,"LINESTRING (103.7285569 36.0581008, 103.7287648 36.0585773)",
4116113654,8555317191,0,409744748,service,False,False,283.90700000000004,"LINESTRING (103.7285569 36.0581008, 103.728294 36.0580184, 103.7277575 36.0573506, 103.7270828 36.0559222)",
4116113671,4116113689,0,409744754,pedestrian,False,False,87.965,"LINESTRING (103.7340018 36.0582396, 103.7330627 36.058462)",
4116113671,4116113643,0,409744754,pedestrian,False,True,85.981,"LINESTRING (103.7340018 36.0582396, 103.734905 36.0579851)",
4116113671,4116113611,0,"[409744744, 409744739, 409744736]",pedestrian,False,True,76.818,"LINESTRING (103.7340018 36.0582396, 103.7338628 36.0579698, 103.7337949 36.0578382, 103.7337011 36.0575937)",building_passage
4116113687,4116113745,0,409744728,service,False,False,108.272,"LINESTRING (103.7308518 36.0584463, 103.7314349 36.0592983)",
4116113687,4183954092,0,409744728,service,False,True,53.973,"LINESTRING (103.7308518 36.0584463, 103.7306397 36.0579922)",
4116113687,4116113630,0,409744771,service,False,False,195.735,"LINESTRING (103.7308518 36.0584463, 103.732891 36.0578291)",
4116113687,4183954143,0,409744771,service,False,True,38.25,"LINESTRING (103.7308518 36.0584463, 103.7304527 36.0585656)",
4116113689,4116113630,0,409744731,service,False,True,72.048,"LINESTRING (103.7330627 36.058462, 103.732891 36.0578291)",
4116113689,4116113671,0,409744754,pedestrian,False,True,87.965,"LINESTRING (103.7330627 36.058462, 103.7340018 36.0582396)",
4116113689,4116113827,0,409744731,service,False,False,198.35500000000002,"LINESTRING (103.7330627 36.058462, 103.7331676 36.0588489, 103.7333822 36.0595558, 103.7336534 36.0601782)",
4116113695,4116113654,0,409744756,service,False,False,56.184,"LINESTRING (103.7287648 36.0585773, 103.7285569 36.0581008)",
4116113695,4116113726,0,409744756,service,False,True,52.513,"LINESTRING (103.7287648 36.0585773, 103.7290343 36.0589963)",
4116113711,4116113779,0,409744752,service,False,False,104.822,"LINESTRING (103.729757 36.0587736, 103.7301777 36.0596528)",
4116113711,4183954143,0,409744771,service,False,False,66.678,"LINESTRING (103.729757 36.0587736, 103.7304527 36.0585656)",
4116113711,4183954174,0,409744771,service,False,True,4.346,"LINESTRING (103.729757 36.0587736, 103.7297114 36.0587866)",
4116113726,4116113695,0,409744756,service,False,False,52.513,"LINESTRING (103.7290343 36.0589963, 103.7287648 36.0585773)",
4116113726,4183954174,0,409744771,service,False,False,65.179,"LINESTRING (103.7290343 36.0589963, 103.7297114 36.0587866)",
4116113726,4116113811,0,409744731,service,False,True,109.803,"LINESTRING (103.7290343 36.0589963, 103.7290316 36.0592522, 103.7291926 36.0599721)",
4116113745,4116113687,0,409744728,service,False,True,108.272,"LINESTRING (103.7314349 36.0592983, 103.7308518 36.0584463)",
4116113745,6428138078,0,409744760,service,False,True,86.594,"LINESTRING (103.7314349 36.0592983, 103.7305292 36.0595636)",
4116113745,4116113808,0,409744728,service,False,False,80.535,"LINESTRING (103.7314349 36.0592983, 103.7318158 36.059855, 103.7318562 36.0599368)",
4116113769,4116113827,0,409744763,service,False,True,205.233,"LINESTRING (103.735815 36.059584, 103.7336534 36.0601782)",
4116113769,8603649083,0,"[409744763, 409744732]",service,False,False,272.718,"LINESTRING (103.735815 36.059584, 103.7361261 36.0595796, 103.7375208 36.0591872, 103.7373599 36.0587578, 103.7371507 36.0584109, 103.7370323 36.0582672)",
4116113769,8603649082,0,409744769,service,False,False,100.99,"LINESTRING (103.735815 36.059584, 103.7354502 36.0587643, 103.735427 36.0587323)",
4116113779,4116113845,0,409744752,service,False,False,84.722,"LINESTRING (103.7301777 36.0596528, 103.7305429 36.0603552)",
4116113779,4116113711,0,409744752,service,False,True,104.822,"LINESTRING (103.7301777 36.0596528, 103.729757 36.0587736)",
4116113779,4116113811,0,409744760,service,False,True,95.404,"LINESTRING (103.7301777 36.0596528, 103.7291926 36.0599721)",
4116113779,6428138078,0,409744760,service,False,False,33.139,"LINESTRING (103.7301777 36.0596528, 103.7303875 36.0596051, 103.7305292 36.0595636)",
