element_type,osmid,amenity,name,name:zh,name:zh-Hans,name:zh-Hant,geometry,nodes,parking
node,2701036588,parking,停车场出口,停车场出口,停车场出口,停車場出口,POINT (116.3495858 39.9860772),,
node,2701036589,parking,停车场入口,停车场入口,停车场入口,停車場入口,POINT (116.3476519 39.9875281),,
node,4288732041,parking,停车场,停车场,停车场,停車場,POINT (116.3479455 39.9870021),,
node,5257113882,parking,停车场出口,停车场出口,停车场出口,停車場出口,POINT (116.3551767 39.9867399),,
way,543823925,parking,,,,,"POLYGON ((116.3545786 39.9900598, 116.3550552 39.9900664, 116.3550687 39.9894897, 116.3545921 39.9894832, 116.3545786 39.9900598))","[5257077300, 5257077301, 5257077302, 5257077303, 5257077300]",surface
way,543823926,parking,,,,,"POLYGON ((116.3552944 39.9900946, 116.3553092 39.9898087, 116.3564486 39.9898435, 116.3564338 39.9901294, 116.3552944 39.9900946))","[5257077304, 5257077305, 5257077306, 5257077307, 5257077304]",surface
