element_type,osmid,nodes,building,name,name:zh,name:zh-Hans,name:zh-Hant,geometry,addr:city,addr:postcode,leisure,sport,wikidata,wikimedia_commons,wikipedia,building:levels,amenity,shop,brand,brand:en,brand:wikidata,brand:zh,name:en,layer
way,314370870,"[3204203392, 3204203393, 3204203394, 3204203395, 3204203396, 3204203397, 3204203398, 3204203399, 3204203392]",apartments,北京科技大学1斋,北京科技大学1斋,北京科技大学1斋,北京科技大學1齋,"POLYGON ((116.3527975 39.9865558, 116.3522879 39.986537, 116.3520148 39.9867016, 116.3519897 39.9870089, 116.3521654 39.9870173, 116.3521829 39.9868036, 116.3523487 39.986673, 116.3527891 39.9866893, 116.3527975 39.9865558))",,,,,,,,,,,,,,,,
way,314370872,"[3204203400, 3204203401, 3204203402, 5257064612, 5257064613, 5257064614, 5257064615, 3204203403, 3204203404, 3204203405, 3204203406, 3204203407, 3204203408, 5257064619, 5257064618, 5257064617, 5257064616, 3204203409, 3204203410, 3204203411, 3204203400]",apartments,北京科技大学7斋,北京科技大学7斋,北京科技大学7斋,北京科技大學7齋,"POLYGON ((116.3529425 39.9872582, 116.3531191 39.9872648, 116.353123 39.9872023, 116.3532808 39.9872081, 116.3532745 39.9873079, 116.3538286 39.9873286, 116.3538353 39.9872224, 116.3539807 39.9872278, 116.3539756 39.9873073, 116.3541479 39.9873138, 116.3541679 39.9869996, 116.3539862 39.9869929, 116.3539805 39.9870818, 116.3538331 39.9870763, 116.353838 39.9869998, 116.3532936 39.9869795, 116.3532878 39.9870713, 116.3531235 39.9870652, 116.3531292 39.9869747, 116.3529609 39.9869684, 116.3529425 39.9872582))",,,,,,,,,,,,,,,,
way,314370873,"[3204203412, 3204203413, 3204203414, 3204203415, 3204203412]",yes,万秀园,万秀园,万秀园,萬秀園,"POLYGON ((116.3554269 39.9877674, 116.355998 39.9877787, 116.3560137 39.9873114, 116.3554426 39.9873001, 116.3554269 39.9877674))",,,,,,,,,restaurant,,,,,,,
way,314370874,"[3204203416, 3204203417, 5257064605, 5257064606, 3204203418, 3204203419, 3204203420, 3204203421, 3204203422, 3204203423, 3204203424, 3204203425, 3204203426, 3204203416]",yes,鸿博园,鸿博园,鸿博园,鴻博園,"POLYGON ((116.3508315 39.9876182, 116.3510695 39.987621, 116.351069 39.9876465, 116.3514626 39.987651, 116.3515427 39.9876274, 116.3515884 39.9875955, 116.3516263 39.9875403, 116.3516406 39.9874827, 116.3516286 39.9874264, 116.3515797 39.9873755, 116.3515156 39.9873347, 116.3515183 39.9871983, 116.3508399 39.9871905, 116.3508315 39.9876182))",,,,,,,,,restaurant,,,,,,,
way,335564679,"[3426632244, 3426632245, 3426632246, 3426632247, 5257069307, 5257069308, 5257069309, 5257069310, 3426632248, 3426632249, 3426632250, 3426632251, 3426632252, 3426632253, 3426632254, 3426632255, 3426632256, 3426632257, 5257069306, 5257069305, 5257069304, 5257069303, 3426632258, 3426632259, 3426632244]",university,图书馆,图书馆,图书馆,圖書館,"POLYGON ((116.3505389 39.9893103, 116.3505706 39.9884277, 116.3507619 39.9884317, 116.3507487 39.988797, 116.351027 39.9888029, 116.3510253 39.9888506, 116.3510659 39.9888514, 116.351068 39.9887941, 116.3511769 39.9887964, 116.3511847 39.9885814, 116.3508066 39.9885734, 116.350811 39.9884521, 116.3514154 39.988465, 116.3513833 39.9893504, 116.3507618 39.9893371, 116.3507666 39.9892046, 116.3511659 39.9892131, 116.3511739 39.9889942, 116.3510539 39.9889917, 116.3510567 39.9889131, 116.3510123 39.9889122, 116.35101 39.9889759, 116.3507214 39.9889698, 116.3507091 39.9893139, 116.3505389 39.9893103))",,,,,,,,,,,,,,,,
way,358100583,"[3631061958, 3631061959, 3631061960, 3631061961, 3631061962, 3631061963, 3631061964, 3631061965, 3631061958]",dormitory,北京科技大学8斋9斋,北京科技大学8斋9斋,北京科技大学8斋9斋,北京科技大學8齋9齋,"POLYGON ((116.3575898 39.9878403, 116.3583328 39.987864, 116.358344 39.9876587, 116.3578521 39.987643, 116.3578655 39.9873964, 116.35833 39.9874112, 116.3583411 39.9872069, 116.3576254 39.9871841, 116.3575898 39.9878403))",,,,,,,,,,,,,,,,
way,358101518,"[3631067445, 3631067446, 3631067447, 3631067448, 3631067445]",residential,北京科技大学16栋,北京科技大学16栋,北京科技大学16栋,北京科技大學16棟,"POLYGON ((116.3561676 39.9877986, 116.3574547 39.9878474, 116.357466 39.9876728, 116.3561789 39.987624, 116.3561676 39.9877986))",,,,,,,,,,,,,,,,
way,383908652,"[3872145076, 3872145077, 3872145078, 3872145079, 3872145076]",commercial,方兴大厦,方兴大厦,方兴大厦,方興大廈,"POLYGON ((116.3499599 39.9917895, 116.3499651 39.9916598, 116.3506626 39.9916763, 116.3506574 39.991806, 116.3499599 39.9917895))",,,,,,,,,,,,,,,,
way,435148185,"[4330997232, 4330997233, 4330997234, 4330997235, 4330997232]",school,北京科技大学附属中学,北京科技大学附属中学,北京科技大学附属中学,北京科技大學附屬中學,"POLYGON ((116.3553914 39.9919192, 116.3554078 39.9912537, 116.3570376 39.991277, 116.3570166 39.9919836, 116.3553914 39.9919192))",,,,,,,,,,,,,,,,
way,435148725,"[4331003010, 4331003011, 4331003012, 4331003013, 4331003010]",apartments,,,,,"POLYGON ((116.354029 39.9919428, 116.3540332 39.9918434, 116.3552691 39.991874, 116.3552649 39.9919734, 116.354029 39.9919428))",,,,,,,,,,,,,,,,
