element_type,osmid,building,name,geometry,nodes,int_name,name:en,alt_name,amenity,building:colour,height,min_height,roof:colour,roof:shape,building:levels,source,website,emergency,healthcare,roof:levels,roof:direction,roof:height,layer,roof:material,note,roof:orientation,shop,addr:postcode,addr:province,description,ways,type,location
node,2999172465,house,华东师范大学附属小学,POINT (121.4058215 31.2285768),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,113655484,school,文科大楼(留学生办公室),"POLYGON ((121.4033304 31.228636, 121.4033214 31.2286619, 121.403315 31.2286798, 121.4033084 31.2286977, 121.4033091 31.2286978, 121.4032981 31.2287293, 121.4033175 31.2287343, 121.4033097 31.2287567, 121.4036641 31.2288469, 121.4036724 31.2288228, 121.4036908 31.2288184, 121.4037079 31.2288105, 121.403855 31.2288479, 121.4038472 31.2288704, 121.404113 31.228938, 121.4042424 31.228566, 121.4041894 31.2285526, 121.4041261 31.2285365, 121.4040378 31.2287903, 121.4038883 31.2287523, 121.4038984 31.2287233, 121.4037688 31.2286903, 121.4037153 31.2286767, 121.4036304 31.2286551, 121.4036236 31.2286747, 121.4036076 31.2286819, 121.4035933 31.2286925, 121.4033533 31.2286314, 121.4033499 31.228641, 121.4033304 31.228636))","[3788622833, 3790184419, 3788622841, 3790090797, 1288541895, 1288541819, 3788623858, 3788623859, 3787777529, 3787777528, 1288541786, 3787777525, 1288541888, 1288541813, 1288541834, 1288541812, 1288546455, 1288541846, 1288541801, 1288541792, 1288541874, 1288546437, 1288546450, 3787777501, 3787777505, 3787777507, 3787777508, 3787777499, 1288541807, 3788622833]",Liberal Arts Building (International Students Office),Liberal Arts Building,,,,,,,,,,,,,,,,,,,,,,,,,,
way,113655495,yes,体育馆,"POLYGON ((121.4041835 31.2293661, 121.4044219 31.2294218, 121.4044258 31.2294094, 121.4044769 31.2294213, 121.4044567 31.2294844, 121.404507 31.2294962, 121.4045787 31.2295129, 121.404588 31.2294838, 121.4046132 31.2294897, 121.4046354 31.2294949, 121.4046351 31.229496, 121.4048481 31.2295457, 121.4048485 31.2295446, 121.4048707 31.2295498, 121.4048963 31.2295558, 121.404887 31.2295848, 121.4049596 31.2296018, 121.40501 31.2296136, 121.40503 31.229551, 121.405082 31.2295631, 121.4050883 31.2295435, 121.4051182 31.2295505, 121.4052543 31.2291244, 121.4054787 31.2291768, 121.4055249 31.2290322, 121.4052703 31.2289728, 121.4052449 31.2290521, 121.4051553 31.2290312, 121.4051631 31.2290068, 121.4050856 31.2289887, 121.4050779 31.2290131, 121.4047202 31.2289296, 121.4047251 31.2289142, 121.4047486 31.2289197, 121.4047564 31.2288972, 121.4047324 31.2288916, 121.4046493 31.2288722, 121.4045931 31.2288591, 121.4044854 31.2288339, 121.4044716 31.2288773, 121.4043487 31.2288486, 121.4042207 31.2292497, 121.4041835 31.2293661))","[1288541789, 3794670141, 3794670138, 3794670140, 1288541814, 3794671259, 3794671260, 3794670154, 3794671258, 3797057151, 3797057152, 3797058857, 3797057156, 3794671267, 3794671269, 3794671273, 3794671274, 1288541870, 3794671268, 3792330715, 3794671266, 1288541854, 1288541824, 1288541849, 3794670121, 1288541775, 3794670123, 3794670120, 3794670117, 1288541776, 3794670118, 3794670115, 3794670112, 3794670114, 3794670108, 3794670106, 3794670103, 3794670102, 3794670100, 1288541778, 3794670101, 3794670128, 1288541789]",Gymnasium,,Gymn,public_building,,,,,,,,,,,,,,,,,,,,,,,,
way,113655498,school,文史楼,"POLYGON ((121.4037578 31.2304303, 121.4038644 31.2304634, 121.4038513 31.2304942, 121.4039697 31.230531, 121.4039876 31.2305366, 121.4040054 31.2304946, 121.4040654 31.2305134, 121.4041255 31.2305319, 121.4041077 31.2305738, 121.4042421 31.2306156, 121.4042551 31.230585, 121.4043614 31.2306181, 121.404288 31.2307909, 121.4041615 31.2307517, 121.404143 31.2307459, 121.403985 31.2306968, 121.4038281 31.2306481, 121.4038097 31.2306424, 121.4036843 31.2306035, 121.4037578 31.2304303))","[1288541847, 1288541831, 1288541787, 3792591392, 1288541878, 1288541804, 3792591390, 1288541864, 1288541802, 1288541881, 1288541806, 1288541841, 1288541892, 3792591404, 3792591403, 3792758114, 3792591399, 3792591397, 1288541894, 1288541847]",Wenshi Building,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,113655506,school,,"POLYGON ((121.4032408 31.2288876, 121.4032763 31.2287821, 121.4033171 31.2286606, 121.4032765 31.2286503, 121.4032448 31.2286423, 121.4032094 31.2287441, 121.4032037 31.2287648, 121.4031691 31.2288646, 121.4031937 31.2288669, 121.4032408 31.2288876))","[1288541886, 3805432507, 3790090795, 3817595125, 1288541816, 3790184421, 3805432506, 1288541852, 1288541821, 1288541886]",,,,,#d5c8b7,3.5,3,#8c9293,flat,,,,,,,,,,,,,,,,,,,
way,113655509,school,,"POLYGON ((121.4032716 31.2289119, 121.403294 31.2289481, 121.4033016 31.2289882, 121.4032938 31.229028, 121.4032711 31.2290644, 121.4032365 31.2290916, 121.4032088 31.2291044, 121.4031789 31.2291116, 121.4031264 31.2291106, 121.4030774 31.2290941, 121.4030382 31.2290643, 121.4030143 31.2290237, 121.4030084 31.2289789, 121.4030212 31.2289358, 121.4030506 31.2289002, 121.4030737 31.2288836, 121.4030998 31.2288714, 121.4031462 31.2288626, 121.4031691 31.2288646, 121.4031937 31.2288669, 121.4032408 31.2288876, 121.4032716 31.2289119))","[1288541840, 3790090799, 1288541882, 1288541860, 1288541876, 1288541863, 1288541797, 3806677523, 1288541869, 1288541793, 1288541858, 1288541800, 1288541883, 1288541851, 1288541823, 1288541777, 3790090798, 3806677479, 1288541852, 1288541821, 1288541886, 1288541840]",,,,,,,,,,2,,,,,,,,,,,,,,,,,,
way,113655713,school,文附楼,"POLYGON ((121.4041894 31.2285526, 121.404238 31.228413, 121.403784 31.2282974, 121.4037628 31.2283582, 121.4037623 31.228358, 121.403756 31.2283761, 121.4037566 31.2283762, 121.4037354 31.228437, 121.4037935 31.2284518, 121.4037153 31.2286767, 121.4037688 31.2286903, 121.403847 31.2284654, 121.4041261 31.2285365, 121.4041894 31.2285526))","[1288546455, 1288546459, 1288546458, 3818495979, 3818495978, 3818495981, 3818495982, 1288546456, 1288546440, 1288546450, 1288546437, 1288546439, 1288541846, 1288546455]",Wenfu Building,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,114518334,school,,"POLYGON ((121.3987706 31.2287447, 121.3987261 31.2288859, 121.3994389 31.22905, 121.3994834 31.2289088, 121.3993654 31.2288816, 121.3993132 31.2288696, 121.3991328 31.2288281, 121.3991444 31.2287909, 121.3990611 31.2287719, 121.3990495 31.2288089, 121.3987706 31.2287447))","[1297097840, 1297097688, 1297097939, 1297097921, 3789070887, 3789070886, 1297097642, 1297097839, 1297097910, 1297097704, 1297097840]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,114518336,residential,国际交流服务中心,"POLYGON ((121.4009875 31.2255254, 121.4011282 31.2255254, 121.4011283 31.2255591, 121.4011922 31.225559, 121.4011922 31.2255254, 121.4013317 31.2255254, 121.4013317 31.2254651, 121.4012954 31.2254651, 121.4012954 31.2254361, 121.4014074 31.225436, 121.4014075 31.2254038, 121.4014218 31.2254038, 121.4014218 31.2253731, 121.4014075 31.2253731, 121.4014074 31.2253406, 121.401144 31.2253406, 121.401144 31.2253951, 121.401144 31.2254302, 121.4010271 31.2254302, 121.4010271 31.2254499, 121.4009875 31.2254499, 121.4009875 31.2255254))","[1297097661, 3927220317, 3927220320, 3927220319, 3927220318, 1297097859, 1297097883, 3927043680, 3927043676, 1297097600, 3927043670, 3927043671, 3927043663, 3927043662, 1297097863, 1297097738, 3927043666, 1297097931, 3927043674, 3927043677, 1297097631, 1297097661]",International Exchange Service Center,,Internation Students Dormitory,,,,,,,,Bing,,,,,,,,,,,,,,,,,
way,114518338,public,丽娃餐厅,"POLYGON ((121.4006878 31.2263417, 121.4005594 31.2263411, 121.4005595 31.2263309, 121.4005596 31.226322, 121.40037 31.2263212, 121.4003699 31.2263302, 121.4003698 31.2263403, 121.4003074 31.2263402, 121.4002405 31.22634, 121.4002396 31.226498, 121.4003238 31.2264983, 121.4003239 31.2264505, 121.4006872 31.2264521, 121.4006878 31.2263417))","[1297097623, 3856685203, 3856374885, 3856374876, 3856374875, 3856374882, 3856374896, 3926977556, 1297097734, 1297097835, 1297097708, 1297097728, 1297097779, 1297097623]",Liwa Cantine,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,
way,114518342,school,,"POLYGON ((121.3990704 31.2284457, 121.3991133 31.2283085, 121.3989296 31.2282664, 121.3988866 31.2284037, 121.3990704 31.2284457))","[1297097614, 1297097670, 1297097701, 1297097646, 1297097614]",,,,,,,,8c9293,gabled,3,,,,,,,,,,,,,,,,,,
way,114518343,school,,"POLYGON ((121.3990219 31.2279068, 121.3993134 31.2279734, 121.3992929 31.228039, 121.3993828 31.2280596, 121.3994033 31.227994, 121.3995791 31.2280342, 121.3996341 31.2280468, 121.399737 31.2280704, 121.3997809 31.2279302, 121.3990658 31.2277665, 121.3990219 31.2279068))","[1297097617, 1297097749, 1297097857, 1297097736, 1297097896, 3789070043, 3789070044, 1297097634, 1297097900, 1297097849, 1297097617]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
