element_type,osmid,building,name,geometry,nodes,int_name,name:en,alt_name,amenity,building:colour,height,min_height,roof:colour,roof:shape,building:levels,source,website,emergency,healthcare,roof:levels,roof:direction,roof:height,layer,roof:material,note,roof:orientation,shop,addr:postcode,addr:province,description,ways,type,location
way,114518345,school,上海市绿色化学与化工过程绿色化重点实验室,"POLYGON ((121.3999997 31.2289641, 121.4002027 31.2290122, 121.4002251 31.2290176, 121.4002321 31.2289962, 121.4003782 31.2290309, 121.4003713 31.2290522, 121.4004034 31.2290598, 121.4009304 31.2291848, 121.400921 31.2292137, 121.4009347 31.2292169, 121.4008973 31.2293321, 121.4008836 31.2293289, 121.4008742 31.2293266, 121.400808 31.2295306, 121.4008223 31.229534, 121.400784 31.229652, 121.4004749 31.2295787, 121.4005131 31.2294607, 121.4007293 31.229512, 121.4007954 31.229308, 121.4006986 31.229285, 121.399953 31.2291082, 121.3999672 31.2290645, 121.3999218 31.2290537, 121.3999404 31.2289963, 121.3999858 31.2290071, 121.3999997 31.2289641))","[1297097598, 3788661754, 3786069666, 3814281499, 3814281521, 3786069668, 3788661755, 1297097912, 3786069669, 3786069670, 3786069672, 3786069671, 3790192022, 3789040336, 1297097814, 3789040339, 1297097822, 1297097824, 1297097940, 3790192021, 3786196608, 1297097588, 3812926634, 3812926633, 3812926630, 3812926631, 1297097598]",Shanghai Key Laboratory of Green Chemistry and Chemical Processes,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,114518346,school,资源环境学院,"POLYGON ((121.3990197 31.2287624, 121.3991083 31.2284797, 121.3990909 31.2284757, 121.3991466 31.228298, 121.3991635 31.2283019, 121.3992489 31.228029, 121.3992929 31.228039, 121.3993828 31.2280596, 121.3994177 31.2280676, 121.3993323 31.2283405, 121.3993605 31.228347, 121.399352 31.2283742, 121.3993141 31.228495, 121.3993049 31.2285247, 121.3992763 31.2285181, 121.3991877 31.2288009, 121.3991444 31.2287909, 121.3990611 31.2287719, 121.3990197 31.2287624))","[1297097852, 3786074834, 3786074833, 3786074829, 3786074830, 1297097926, 1297097857, 1297097736, 1297097916, 3786074831, 3786074832, 3789070054, 3789070869, 3786074836, 3786074835, 1297097880, 1297097839, 1297097910, 1297097852]",School of Resources and Environmental Sciences,,,,,,,,,,,http://www.re.ecnu.edu.cn/,,,,,,,,,,,,,,,,
way,114518347,school,,"POLYGON ((121.4010839 31.2310165, 121.4012346 31.231066, 121.4012722 31.2309823, 121.4014437 31.2310387, 121.4014061 31.2311224, 121.4015571 31.231172, 121.4015031 31.2312922, 121.4013247 31.2312336, 121.4012695 31.2313564, 121.401353 31.2313838, 121.4013402 31.2314123, 121.4014071 31.2314342, 121.4014492 31.2314481, 121.4014332 31.2314838, 121.4014171 31.2315195, 121.401375 31.2315057, 121.4013081 31.2314837, 121.4013009 31.2314997, 121.4012353 31.2314781, 121.4012155 31.2314716, 121.4011062 31.2314357, 121.4009668 31.2313899, 121.4010188 31.231274, 121.4011542 31.2313185, 121.4012094 31.2311957, 121.4010298 31.2311367, 121.4010578 31.2310745, 121.4010839 31.2310165))","[1297097627, 3809810543, 3809810541, 3809810542, 3809810544, 1297097837, 1297097685, 1297097881, 1297097937, 3792792782, 3792792784, 3792792785, 1297097833, 3792792787, 3792792790, 3792792788, 3792792786, 1297097641, 3847032371, 3847032370, 3847032369, 1297097933, 1297097838, 1297097775, 1297097788, 1297097638, 3851936130, 1297097627]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,114518348,school,,"POLYGON ((121.3998728 31.2294352, 121.3999094 31.2293223, 121.4003385 31.2294241, 121.4003159 31.2294936, 121.4003381 31.2294989, 121.400324 31.2295422, 121.3998728 31.2294352))","[1297097850, 1297097807, 1297097816, 3786069673, 3786069674, 1297097663, 1297097850]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,114518349,residential,第五宿舍,"POLYGON ((121.3982108 31.2311258, 121.3982197 31.2310989, 121.3988408 31.231248, 121.3987882 31.2314081, 121.3987853 31.2314167, 121.3987665 31.2314122, 121.3986845 31.2313925, 121.3981961 31.2312753, 121.3981722 31.2313481, 121.3982383 31.231364, 121.3982284 31.2313941, 121.3981626 31.2313783, 121.3981391 31.2314499, 121.3986271 31.231567, 121.3987091 31.2315867, 121.3987279 31.2315912, 121.3987248 31.2316008, 121.3986927 31.2316971, 121.3986556 31.2316882, 121.3986367 31.2317462, 121.3979852 31.2315903, 121.3980141 31.2315023, 121.3979956 31.2314978, 121.3980926 31.2312024, 121.3980348 31.2311885, 121.3980668 31.2310912, 121.3982108 31.2311258))","[1297097607, 1297097745, 1297097629, 3828643000, 1297097761, 3828643002, 3825004569, 1297097819, 1297097800, 1297097711, 1297097830, 1297097805, 1297097804, 3825004570, 3828643047, 1297097723, 3828643049, 3862618322, 1297097681, 3862618323, 1297097778, 3786024739, 3786024738, 1297097934, 1297097764, 1297097946, 1297097607]",,,,,,,,7d827e,flat,6,,,,,,,,,,,,,,,,,,
way,114518352,school,国际汉语教师研修基地,"POLYGON ((121.3996529 31.2273299, 121.3996902 31.2272086, 121.4001931 31.2273216, 121.4002108 31.2272636, 121.4001958 31.2272603, 121.4002307 31.2271472, 121.4002666 31.2270292, 121.4002893 31.2269549, 121.4004393 31.2269885, 121.4004166 31.2270628, 121.4003458 31.2272939, 121.4003328 31.227291, 121.400315 31.227349, 121.4009585 31.2274935, 121.4010162 31.2275065, 121.4011335 31.2271248, 121.4012845 31.2271587, 121.4011672 31.2275404, 121.4011428 31.22762, 121.4011614 31.2276242, 121.40114 31.227694, 121.4009687 31.2276556, 121.4009773 31.2276275, 121.4002891 31.2274729, 121.4002716 31.2275299, 121.4001199 31.2274958, 121.4001374 31.2274388, 121.3996529 31.2273299))","[1297097821, 1297097590, 3791506989, 3791506986, 3791506985, 3791506984, 3791506981, 3791506979, 3791506980, 3791506983, 3791506988, 3791506987, 3791506991, 3822940912, 1297097664, 1297097756, 1297097802, 3791507023, 3791507041, 3791507042, 1297097648, 3791507047, 3791507043, 3822940907, 3822940918, 3822940913, 3822940906, 1297097821]",Global Center for TCSOL,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,114518354,residential,,"POLYGON ((121.3999953 31.2259297, 121.4001252 31.22593, 121.4001295 31.2259292, 121.4001333 31.2259269, 121.4001357 31.2259237, 121.4001364 31.2259199, 121.4002076 31.2259201, 121.4002078 31.2258504, 121.4002078 31.2258418, 121.4002567 31.2258419, 121.4002566 31.2258512, 121.4004561 31.2258515, 121.4004562 31.2258418, 121.4005063 31.2258419, 121.4005062 31.2258517, 121.400506 31.2259217, 121.4005768 31.2259218, 121.4005778 31.2259252, 121.4005803 31.2259284, 121.4005843 31.2259305, 121.4005888 31.2259311, 121.4007061 31.2259314, 121.4007063 31.2258417, 121.4006381 31.2258416, 121.4006381 31.2258235, 121.4005805 31.2258234, 121.4005807 31.225776, 121.40062 31.225776, 121.40062 31.2257501, 121.4006075 31.2257501, 121.4006076 31.2257116, 121.4005034 31.2257114, 121.4005034 31.2257282, 121.4004333 31.2257281, 121.4004332 31.2257498, 121.4002839 31.2257495, 121.4002839 31.2257275, 121.4002176 31.2257274, 121.4002176 31.2257147, 121.4001074 31.2257145, 121.4001074 31.2257482, 121.4000895 31.2257482, 121.4000895 31.2257773, 121.4001376 31.2257774, 121.4001375 31.2258275, 121.4000693 31.2258273, 121.4000693 31.2258449, 121.3999955 31.2258447, 121.3999953 31.2259297))","[1297097622, 3805333326, 3805333325, 3805333323, 3805333322, 3788942963, 1297097841, 3788942960, 3788941654, 3788941656, 1297097763, 1297097928, 3788941655, 3788942957, 3788942961, 1297097938, 3788942964, 3788942966, 3805333324, 3805333327, 3805333328, 1297097813, 3788941653, 3788941652, 3788941649, 3788941648, 3788941646, 1297097752, 3788941645, 3788941644, 1297097855, 1297097768, 3788941640, 3788941639, 3788941643, 3788941642, 3788941638, 3788941637, 3788941636, 3788941635, 3788941641, 1297097649, 1297097640, 3788941647, 3788941651, 3788941650, 3788942958, 1297097892, 1297097622]",,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,
way,114518356,residential,,"POLYGON ((121.3999458 31.2255383, 121.4000298 31.2255385, 121.4000298 31.2255521, 121.4001059 31.2255522, 121.400106 31.2255387, 121.4002051 31.225539, 121.4002051 31.2255234, 121.4002641 31.2255235, 121.400264 31.2255354, 121.4003241 31.2255355, 121.4003242 31.2255235, 121.400401 31.2255236, 121.400401 31.2255357, 121.4004611 31.2255358, 121.4004611 31.2255237, 121.4005313 31.2255237, 121.4005313 31.2255359, 121.4005914 31.225536, 121.4005914 31.2255238, 121.4007114 31.2255239, 121.4007116 31.2254304, 121.4001836 31.2254299, 121.4001836 31.2254414, 121.4001197 31.2254413, 121.4001197 31.2254285, 121.4000112 31.2254284, 121.4000112 31.225441, 121.3999462 31.2254408, 121.3999458 31.2255383))","[1297097899, 3831019262, 3831019265, 3831019266, 3831019263, 3831019264, 3831018549, 3831018550, 3831018556, 3831019257, 3831018551, 3831018552, 3831019258, 3831019259, 3831018553, 3831018554, 3831019260, 3831019261, 3831018555, 1297097758, 1297097639, 3831018533, 3831018536, 3831018535, 3831018532, 3831018531, 3831018534, 1297097653, 1297097899]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,114518357,school,,"POLYGON ((121.4013564 31.2316072, 121.4013298 31.2316663, 121.4012976 31.2317381, 121.4008734 31.2315987, 121.4009323 31.2314678, 121.4010713 31.2315135, 121.4011806 31.2315494, 121.4012004 31.2315559, 121.4013564 31.2316072))","[1297097861, 3846900500, 1297097680, 1297097941, 1297097780, 3847032376, 3847032392, 3847032395, 1297097861]",,,,,,,,cdaa9d,hipped,3,,,,,,,,,,,,,,,,,,
way,114518363,residential,,"POLYGON ((121.4007099 31.2252657, 121.4007095 31.2251749, 121.3999703 31.2251771, 121.3999707 31.2252679, 121.4007099 31.2252657))","[1297097884, 1297097954, 1297097923, 1297097925, 1297097884]",,,,,#d5c8b7,,,#cdaa9d,hipped,6,,,,,,,,,,,,,,,,,,
way,116940015,school,,"POLYGON ((121.3986845 31.228476, 121.3988607 31.227897, 121.3985591 31.2278298, 121.3983829 31.2284089, 121.3986845 31.228476))","[1317204452, 1317204628, 1317204633, 1317204692, 1317204452]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,116940017,school,理科大楼,"POLYGON ((121.3991635 31.2298633, 121.3991183 31.2298529, 121.3991027 31.2299028, 121.3983042 31.2297204, 121.3983804 31.2294769, 121.3989023 31.2295959, 121.3989127 31.2295983, 121.3989225 31.2296005, 121.3989302 31.2295759, 121.3988728 31.2295628, 121.3988897 31.2295067, 121.3988038 31.2294869, 121.3987883 31.2295332, 121.3986023 31.2294895, 121.3986492 31.2293432, 121.3988353 31.2293869, 121.3988252 31.2294192, 121.3989111 31.229439, 121.3989282 31.2293854, 121.3984203 31.2292685, 121.3985078 31.2289878, 121.3990216 31.2291049, 121.3990163 31.2291216, 121.3990629 31.2291323, 121.3990681 31.2291157, 121.3992278 31.2291521, 121.3992133 31.2291987, 121.3992773 31.2292132, 121.3992585 31.2292735, 121.3992036 31.2294483, 121.3991876 31.2294995, 121.3993362 31.2295334, 121.3993129 31.2296083, 121.3991642 31.2295745, 121.3991481 31.2296258, 121.3992322 31.229645, 121.3992245 31.2296696, 121.3992346 31.2296719, 121.3992449 31.2296742, 121.399192 31.2298433, 121.3991817 31.229841, 121.3991712 31.2298386, 121.3991635 31.2298633))","[1317204340, 3786180468, 3922066022, 1317204466, 1317204433, 1317204445, 3922066017, 3786180458, 3786178956, 3787619199, 3922270879, 3922270877, 3922270880, 3922270878, 3922270873, 3922270874, 3922270875, 3922270876, 3787619193, 1317204482, 1317204500, 3786250938, 3786250940, 3786250941, 3786250939, 3786250942, 3787619192, 1317204521, 3786178949, 3786178955, 3787619197, 1317204449, 3787619201, 3787619200, 3787619203, 3786180459, 3786180461, 3922066018, 3786180462, 3786180470, 3922066021, 3786180469, 1317204340]",Science Building,,,,,,,,,5,,,,,,,,,,,,,,,,,,
way,116940018,yes,,"POLYGON ((121.4017396 31.2293178, 121.4018418 31.229345, 121.4019424 31.2293715, 121.4019474 31.229373, 121.4018684 31.22959, 121.4018632 31.2295886, 121.4017628 31.2295619, 121.4016616 31.229535, 121.4016907 31.2294551, 121.4017919 31.229482, 121.4018131 31.2294239, 121.4017109 31.2293967, 121.4017396 31.2293178))","[1317204397, 3788890042, 3788890043, 1317204376, 1317204354, 3788890051, 3788890050, 1317204506, 1317204575, 1317204554, 1317204569, 1317204547, 1317204397]",,,,public_building,,,,,,,,,,,,,,,,,,,,,,,,
way,116940019,yes,大学生活动中心,"POLYGON ((121.4002679 31.2322634, 121.4003849 31.2320037, 121.4003951 31.2319812, 121.4003988 31.2319731, 121.4004077 31.231976, 121.4005189 31.2320127, 121.4005259 31.2319972, 121.4005308 31.2319863, 121.400651 31.2317194, 121.4006568 31.2317067, 121.400666 31.2317097, 121.4006603 31.2317224, 121.4007658 31.2317572, 121.4007717 31.2317442, 121.4007809 31.2317472, 121.4007751 31.2317601, 121.4008397 31.2317813, 121.4008696 31.2317912, 121.4010599 31.2318538, 121.4010812 31.2318608, 121.4011349 31.2318785, 121.4011102 31.2319333, 121.4011429 31.2319441, 121.4011356 31.2319604, 121.4011347 31.2319601, 121.4011317 31.2319668, 121.4011326 31.2319671, 121.4011171 31.2320016, 121.4011162 31.2320013, 121.4011062 31.2320236, 121.4011068 31.2320238, 121.4011167 31.2320271, 121.4011309 31.2320318, 121.4011253 31.2320442, 121.40112 31.2320561, 121.4011058 31.2320514, 121.4010959 31.2320481, 121.4010953 31.2320479, 121.4010851 31.2320704, 121.4010862 31.2320707, 121.4010707 31.2321052, 121.4010697 31.2321049, 121.4010666 31.2321117, 121.4010675 31.232112, 121.4010602 31.2321283, 121.4010273 31.2321175, 121.4010147 31.2321455, 121.4007195 31.2320483, 121.4006553 31.2320272, 121.40065 31.232039, 121.4006433 31.2320537, 121.4007395 31.2320854, 121.4007483 31.2320883, 121.4007444 31.2320969, 121.4006617 31.2322803, 121.4006767 31.2322852, 121.4006324 31.2323836, 121.4002679 31.2322634))","[1317204192, 3841303757, 3830652783, 1317204225, 3830652782, 1317204224, 3842496699, 3829559445, 1317204229, 3833126813, 3833126814, 3833126817, 3833126820, 3833126818, 3833126819, 3829559423, 3829559427, 3839387871, 3839387879, 3842280716, 1317204233, 3841289861, 3829559442, 3841289866, 3841289865, 3841289867, 3841289868, 3841289871, 3841289870, 3841289872, 3841289873, 3841289874, 3841289875, 3841289877, 3841289881, 3841289880, 3841289879, 3841289878, 3841289886, 3841289887, 3841289892, 3841289891, 3841289893, 3841289894, 3829560358, 3841289895, 1317204237, 3829559451, 3829559448, 3842496700, 3829559452, 3841303764, 1317204242, 3841303766, 3841504269, 3841504270, 1317204246, 1317204192]",Students Activities Center,,,public_building,,,,,,,,,,,,,,,,,,,,,,,,
way,116940021,yes,河东餐厅,"POLYGON ((121.4036048 31.2307261, 121.4036582 31.230743, 121.4036511 31.2307594, 121.4039051 31.2308394, 121.4039194 31.230806, 121.4039736 31.2308231, 121.4039592 31.2308564, 121.4042148 31.2309369, 121.4042229 31.2309179, 121.4042763 31.2309347, 121.4042343 31.2310325, 121.4042177 31.2310273, 121.4041023 31.2312953, 121.4041109 31.2312981, 121.4040695 31.2313941, 121.4034131 31.2311874, 121.4034533 31.231094, 121.4034634 31.2310971, 121.4035788 31.2308291, 121.4035626 31.230824, 121.4036048 31.2307261))","[1317204642, 3792691703, 3792618962, 3792758117, 3792758115, 3792758116, 3792758118, 3792618968, 3792758119, 1317204654, 1317204674, 1317204714, 3792769449, 1317204697, 1317204220, 1317204259, 3792769443, 3792769444, 3792769438, 1317204250, 1317204642]",Dining Hall East,,,public_building,,,,,,,,,,,,,,,,,,,,,,,,
way,116940023,school,设计学院,"POLYGON ((121.3987728 31.2235487, 121.3987726 31.2237209, 121.3982281 31.2237206, 121.3982283 31.2235484, 121.3987728 31.2235487))","[1317204571, 1317204498, 1317204479, 1317204432, 1317204571]",School of Design,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,116940026,school,对外汉语学院,"POLYGON ((121.3989736 31.224518, 121.3993896 31.2245089, 121.3993897 31.224511, 121.3995182 31.2245082, 121.3995182 31.224506, 121.3999333 31.2244969, 121.3999309 31.2244156, 121.3990774 31.2244344, 121.3990743 31.2243322, 121.3991831 31.2243298, 121.3991806 31.2242471, 121.3988925 31.2242534, 121.398895 31.2243361, 121.3990069 31.2243337, 121.3990099 31.2244359, 121.3989712 31.2244368, 121.3989736 31.224518))","[1317204567, 3925409169, 3925409172, 3925409168, 3925409167, 1317204448, 1317204431, 1317204608, 1317204530, 1317204427, 1317204481, 1317204552, 1317204415, 1317204412, 1317204618, 1317204601, 1317204567]",School of Teaching Chinese as a Foreign Language,,,school,,,,,,,,,,,,,,,,,,,,,,,,
way,116940032,residential,,"POLYGON ((121.400873 31.2252039, 121.4008739 31.2251173, 121.4014065 31.225121, 121.4014056 31.2252076, 121.400873 31.2252039))","[1317204676, 1317204660, 1317204733, 1317204678, 1317204676]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,116940036,school,,"POLYGON ((121.3985719 31.2277685, 121.3985922 31.2277017, 121.3989177 31.2277742, 121.3988974 31.227841, 121.3985719 31.2277685))","[1317204627, 1317204701, 1317204588, 1317204616, 1317204627]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
