element_type,osmid,amenity,operator,operator:type,wheelchair,geometry,nodes,building,leisure,name,name:zh,name:zh-Hans,name:zh-Hant,smoking,fast_food,shop,air_conditioning,internet_access,internet_access:fee,building:levels,layer,start_date,ways,type
way,1064524719,,,,,"POLYGON ((120.4884272 36.155926, 120.4888473 36.1561046, 120.4889209 36.1559915, 120.4885008 36.1558131, 120.4884272 36.155926))","[9776638585, 9776638586, 9776638587, 9776638588, 9776638585]",apartments,,8号楼,,,,,,,,,,,,,,
way,1064524720,,,,,"POLYGON ((120.487865 36.1555816, 120.4882776 36.1558413, 120.4883795 36.1557357, 120.4879668 36.1554761, 120.487865 36.1555816))","[9776638589, 9776638590, 9776638591, 9776638592, 9776638589]",apartments,,9号楼,,,,,,,,,,,,,,
way,1064524721,,,,,"POLYGON ((120.487865 36.1555816, 120.4879668 36.1554761, 120.4874794 36.1551791, 120.487129 36.1553742, 120.4872625 36.1555149, 120.4873762 36.1554337, 120.4875049 36.1553419, 120.487865 36.1555816))","[9776638589, 9776638592, 9776638593, 9776638519, 9776638594, 9776638605, 9776638595, 9776638589]",apartments,,9号楼,,,,,,,,,,,,,,
way,1064524722,,,,,"POLYGON ((120.4876804 36.1559913, 120.4878018 36.1559247, 120.4874901 36.155554, 120.4873686 36.1556207, 120.4876804 36.1559913))","[9776638596, 9776638597, 9776638598, 9776638599, 9776638596]",apartments,,10号楼,,,,,,,,,,,,,,
way,1064524723,,,,,"POLYGON ((120.4876804 36.1559913, 120.4878009 36.1561351, 120.4879099 36.1560759, 120.4881122 36.1559661, 120.4880178 36.1558569, 120.4878315 36.1559517, 120.4878018 36.1559247, 120.4876804 36.1559913))","[9776638596, 9776638600, 9776638604, 9776638601, 9776638602, 9776638603, 9776638597, 9776638596]",apartments,,10号楼,,,,,,,,,,,,,,
way,1064524724,,,,,"POLYGON ((120.4878009 36.1561351, 120.4879099 36.1560759, 120.4878018 36.1559247, 120.4874901 36.155554, 120.4873762 36.1554337, 120.4872353 36.1553044, 120.487129 36.1553742, 120.4872625 36.1555149, 120.4873686 36.1556207, 120.4876804 36.1559913, 120.4878009 36.1561351))","[9776638600, 9776638604, 9776638597, 9776638598, 9776638605, 9776638606, 9776638519, 9776638594, 9776638599, 9776638596, 9776638600]",retail,,,,,,,,,,,,,-1,,,
way,1209003998,,中国海洋大学,,yes,"POLYGON ((120.4987533 36.1619844, 120.4987591 36.1617874, 120.4994272 36.1617827, 120.4994214 36.1619985, 120.4987533 36.1619844))","[11201787852, 11201787853, 11201787854, 11201787855, 11201787852]",apartments,,中海苑1号学生公寓,中海苑1号学生公寓,中海苑1号学生公寓,中海苑1號學生公寓,no,,,,,,,,2022,,
way,1209003999,,中国海洋大学,,yes,"POLYGON ((120.4995484 36.1614738, 120.4995484 36.1612727, 120.4992713 36.1612677, 120.4992495 36.1609434, 120.4995951 36.1609409, 120.4995795 36.1607373, 120.4989818 36.1607398, 120.4990222 36.1614863, 120.4995484 36.1614738))","[11201787856, 11201787857, 11201787858, 11201787859, 11201787860, 11201787861, 11201787862, 11201787863, 11201787856]",apartments,,中海苑2号学生公寓,中海苑2号学生公寓,中海苑2号学生公寓,中海苑2號學生公寓,no,,,,,,,,2022,,
way,1209004000,,中国海洋大学,,yes,"POLYGON ((120.4994923 36.1604256, 120.4994799 36.1602396, 120.4992495 36.160227, 120.4992277 36.1599028, 120.4994705 36.1599003, 120.4994612 36.1597117, 120.4989911 36.1597017, 120.4990253 36.1604256, 120.4994923 36.1604256))","[11201787864, 11201787865, 11201787866, 11201787867, 11201787868, 11201787869, 11201787870, 11201787871, 11201787864]",apartments,,中海苑3号学生公寓,中海苑3号学生公寓,中海苑3号学生公寓,中海苑3號學生公寓,no,,,,,,,,2022,,
way,1209004001,,中国海洋大学,,yes,"POLYGON ((120.4999438 36.160398, 120.4999469 36.160217, 120.4995141 36.1602195, 120.4995235 36.1604005, 120.4999438 36.160398))","[11201787872, 11201787873, 11201787874, 11201787875, 11201787872]",apartments,,中海苑4号学生公寓,中海苑4号学生公寓,中海苑4号学生公寓,中海苑4號學生公寓,no,,,,,,,,2022,,
way,1209004002,,中国海洋大学,,yes,"POLYGON ((120.4999189 36.1598676, 120.4999189 36.1596992, 120.4994955 36.1596967, 120.4995048 36.1598751, 120.4999189 36.1598676))","[11201787876, 11201787877, 11201787878, 11201787879, 11201787876]",apartments,,中海苑5号学生公寓,中海苑5号学生公寓,中海苑5号学生公寓,中海苑5號學生公寓,no,,,,,,,,2022,,
relation,7894334,restaurant,,,yes,"POLYGON ((120.4966098 36.1638202, 120.496673 36.1639642, 120.4967971 36.1639327, 120.4968834 36.1641466, 120.4971398 36.1640756, 120.4969776 36.1637146, 120.4966098 36.1638202))","[[[5334637286, 5334637287, 5334637288], [5334637288, 5334637284, 5334637285, 5334637289, 5334637286]]]",yes,,,,,,no,,,,,,,,,"[552542982, 552542983]",multipolygon
relation,7894335,restaurant,,,yes,"POLYGON ((120.4963164 36.1642884, 120.4961809 36.1643332, 120.4962548 36.1645073, 120.496868 36.1643307, 120.4967878 36.1641541, 120.4966461 36.1641964, 120.4965814 36.1640447, 120.4966718 36.1640173, 120.496583 36.1638235, 120.4959745 36.1639974, 120.4960453 36.164169, 120.4962333 36.1641168, 120.4963164 36.1642884))","[[[5334637278, 5334637279, 5334637280, 5334637281, 5334637282, 5334637283, 5334637272, 5334637273, 5334637274], [5334637274, 5334637275, 5334637276, 5334637277, 5334637278]]]",yes,,第一食堂,第一食堂,第一食堂,第一食堂,no,cafeteria,,,,,,,,"[552542981, 552542984]",multipolygon
relation,7916416,,中国海洋大学,,yes,"POLYGON ((120.4915149 36.1617269, 120.4910341 36.1616338, 120.4910483 36.1615881, 120.4910908 36.1615881, 120.4911085 36.1614881, 120.4910624 36.1614852, 120.4910695 36.1614138, 120.4915685 36.1614138, 120.4915784 36.1611748, 120.4915578 36.1611743, 120.4913457 36.1611662, 120.4913395 36.1612162, 120.490874 36.1612136, 120.4908588 36.1614021, 120.4908997 36.1614012, 120.490895 36.1614775, 120.4908705 36.1614756, 120.4908588 36.161568, 120.4908927 36.1615699, 120.4908798 36.1616132, 120.4908343 36.1616066, 120.4907652 36.1617995, 120.4911934 36.1618767, 120.4911812 36.1619236, 120.4914164 36.1619738, 120.4915149 36.1617269))","[[[5334656425, 5349321865, 5349321866, 5349321867, 5349321868, 5349321869, 5349321870, 5349321871, 5349321872, 5349321873, 5349321874, 5349321875, 5349321852, 5349321853, 5349321854, 5349321855, 5349321856], [5349321856, 5349321857, 5349321858, 5349321859, 5349321860, 5349321861, 5349321862, 5349321863, 5349321864, 5334656425]]]",university,,海洋楼,海洋楼,海洋楼,海洋樓,no,,,,,,,,,"[554286838, 554286839]",multipolygon
