element_type,osmid,amenity,name,geometry,nodes,building
node,11181478717,cafe,豪利斯咖啡,POINT (116.3410209 40.0040819),,
way,1091757240,cafe,咖啡店,"POLYGON ((116.3351041 40.0013052, 116.3352904 40.001312, 116.3352942 40.0011889, 116.3352355 40.0011899, 116.335233 40.0012583, 116.3351067 40.0012563, 116.3351041 40.0013052))","[9998879585, 9998879586, 9998879587, 9998879588, 9998879589, 9998879590, 9998879585]",yes
