element_type,osmid,amenity,name,wheelchair,geometry,nodes,building,building:levels,learning,name:fr,wikidata,wikipedia,wikipedia:en,addr:city,addr:housenumber,addr:postcode,addr:street,building:part
node,1282763807,library,Schulich Library of Science and Engineering,yes,POINT (-73.5753707 45.5049357),,,,,,,,,,,,,
way,19912993,library,McLennan Library Building,yes,"POLYGON ((-73.5764052 45.5031376, -73.5763552 45.5031913, -73.5764157 45.5032206, -73.5763912 45.5032451, -73.5763783 45.5032391, -73.576369 45.5032476, -73.576331 45.5032864, -73.5762816 45.503337, -73.5762956 45.5033456, -73.5762728 45.5033673, -73.5762583 45.503361, -73.5762483 45.5033712, -73.5762105 45.5034128, -73.5761648 45.5034589, -73.5761777 45.5034644, -73.5761545 45.5034907, -73.5761405 45.503484, -73.5761235 45.5035013, -73.5760909 45.5035344, -73.5760467 45.5035794, -73.5760611 45.5035868, -73.5760362 45.5036113, -73.5759737 45.5035829, -73.5759366 45.5036187, -73.5759228 45.5036321, -73.5758897 45.5036169, -73.5758982 45.5036069, -73.5757899 45.5035544, -73.5757537 45.5035365, -73.5756444 45.5034846, -73.57561 45.5034679, -73.5754985 45.5034138, -73.5754913 45.5034215, -73.5754557 45.5034042, -73.5755026 45.5033555, -73.5754417 45.5033258, -73.5758187 45.5029328, -73.5758832 45.5029619, -73.5759351 45.5029122, -73.5759705 45.5029296, -73.5759603 45.5029408, -73.5760712 45.5029934, -73.5760827 45.5029833, -73.5762635 45.503069, -73.5762487 45.5030847, -73.5763602 45.5031363, -73.576375 45.5031223, -73.5764052 45.5031376))","[209005601, 209005604, 209005605, 10946298545, 10946298546, 10946298543, 10946298542, 10946298547, 10946298550, 10946298549, 10946298548, 1575941651, 10946298538, 10946298556, 10946298559, 10946298558, 10946298557, 11289836897, 11289783498, 10946298554, 10946298555, 10946298551, 10946298552, 11289783506, 209005611, 209005613, 10946298553, 11698982709, 11698982710, 11698982711, 11698982714, 11698982713, 11698982712, 209002562, 209005621, 209005625, 209005627, 209005631, 209005635, 11698982722, 11698982721, 11698982720, 11698982719, 11698982718, 11698982717, 11698982716, 11698982715, 209005601]",yes,8,university,Pavillon McLennan de la Bibliothèque,Q6802196,en:McLennan Library Building,,,,,,
way,20168923,library,Redpath Library Building,yes,"POLYGON ((-73.5762243 45.5035214, -73.5762931 45.5034499, -73.5763112 45.5034311, -73.5763325 45.5034095, -73.5764177 45.5033277, -73.5764547 45.5032899, -73.576495 45.5032502, -73.5764987 45.503252, -73.5765721 45.5032879, -73.5768936 45.5034376, -73.5772359 45.5035969, -73.5772941 45.503624, -73.5770691 45.5038609, -73.5770548 45.503854, -73.5769174 45.5037875, -73.5767318 45.5036978, -73.5766859 45.503744, -73.5762243 45.5035214))","[213283012, 10946298539, 1575941643, 10946298540, 10946298541, 10946298544, 213283016, 11289831569, 11289831579, 11289831562, 11289831547, 213283018, 213283022, 11289774856, 11289834689, 213283025, 213283027, 213283012]",yes,,university,Pavillon Redpath de la Bibliothèque,Q4405650,,Redpath Hall,,,,,
way,340257591,library,Gelber Law Library,,"POLYGON ((-73.5810343 45.5038745, -73.581265 45.5036508, -73.5811925 45.5036057, -73.5810906 45.5036959, -73.5809699 45.5036282, -73.5808306 45.5037719, -73.5810343 45.5038745))","[3474713759, 3474713761, 3474713757, 3474713760, 3474713758, 3474713762, 3474713759]",yes,,,,,,,Montréal,3660,H3A 1W9,Rue Peel,
way,744393091,library,Humanities and Social Sciences Library,,"POLYGON ((-73.5764052 45.5031376, -73.5763552 45.5031913, -73.5764157 45.5032206, -73.5763912 45.5032451, -73.5763783 45.5032391, -73.576369 45.5032476, -73.576331 45.5032864, -73.5762816 45.503337, -73.5762956 45.5033456, -73.5762728 45.5033673, -73.5762583 45.503361, -73.5762483 45.5033712, -73.5762105 45.5034128, -73.5761648 45.5034589, -73.5761777 45.5034644, -73.5761545 45.5034907, -73.5761405 45.503484, -73.5761235 45.5035013, -73.5760909 45.5035344, -73.5760467 45.5035794, -73.5760611 45.5035868, -73.5760362 45.5036113, -73.5759737 45.5035829, -73.5759366 45.5036187, -73.5759228 45.5036321, -73.5758897 45.5036169, -73.5758982 45.5036069, -73.5757899 45.5035544, -73.5757537 45.5035365, -73.5756444 45.5034846, -73.57561 45.5034679, -73.5754985 45.5034138, -73.5754913 45.5034215, -73.5754557 45.5034042, -73.5755026 45.5033555, -73.5754417 45.5033258, -73.5758187 45.5029328, -73.5758832 45.5029619, -73.5759351 45.5029122, -73.5759705 45.5029296, -73.5759603 45.5029408, -73.5760712 45.5029934, -73.5760827 45.5029833, -73.5762635 45.503069, -73.5762487 45.5030847, -73.5763602 45.5031363, -73.576375 45.5031223, -73.5764052 45.5031376))","[209005601, 209005604, 209005605, 10946298545, 10946298546, 10946298543, 10946298542, 10946298547, 10946298550, 10946298549, 10946298548, 1575941651, 10946298538, 10946298556, 10946298559, 10946298558, 10946298557, 11289836897, 11289783498, 11289783499, 11289783501, 11289783503, 11289783505, 11289783508, 209005611, 209005613, 10946298553, 11698982709, 11698982710, 11698982711, 11698982714, 11698982713, 11698982712, 209002562, 209005621, 209005625, 209005627, 209005631, 209005635, 11698982722, 11698982721, 11698982720, 11698982719, 11698982718, 11698982717, 11698982716, 11698982715, 209005601]",,,,,,,,,,,,yes
