element_type,osmid,nodes,amenity,parking,surface,geometry,source,fee,access
way,133806986,"[1472721941, 1472721946, 1472721945, 1472721936, 1472721941]",parking,surface,asphalt,"POLYGON ((-73.579847 45.5036133, -73.5796597 45.5038198, -73.5794429 45.5037232, -73.5796301 45.5035167, -73.579847 45.5036133))",,,
way,141613430,"[1550146833, 1778796782, 1550146829, 3383399214, 1778796780, 10979620082, 10979620083, 10979620084, 10979620085, 10979620086, 10979620087, 1550146828, 10979652413, 4107748356, 10979620061, 11014332511, 1550146830, 1550146833]",parking,surface,,"POLYGON ((-73.5817125 45.511726, -73.5809372 45.5113346, -73.5809111 45.5112969, -73.581031 45.511256, -73.5811751 45.5111996, -73.581255 45.5111768, -73.5812614 45.5111874, -73.5813058 45.5111735, -73.5812965 45.5111565, -73.5813172 45.5111481, -73.5813107 45.5111401, -73.5813641 45.5111117, -73.581481 45.5110496, -73.5814941 45.5110364, -73.5814744 45.5110239, -73.5815286 45.510972, -73.5821603 45.5113699, -73.5817125 45.511726))",Bing,,
way,143792946,"[1573497817, 11289831307, 1573497816, 1573497858, 11291317647, 1573497811, 11289831302, 1573497854, 1573497817]",parking,,,"POLYGON ((-73.578352 45.5063344, -73.578324 45.5063207, -73.5781738 45.5062493, -73.5779686 45.5064702, -73.5780226 45.5064938, -73.578068 45.5065136, -73.5780971 45.506532, -73.5781536 45.5065569, -73.578352 45.5063344))",,,
way,143797823,"[1573566905, 1573566909, 1573566904, 1573566908, 1573566907, 1573566902, 1573566905]",parking,,,"POLYGON ((-73.5776598 45.5030559, -73.5772185 45.50285, -73.5771515 45.5029111, -73.5772413 45.5029543, -73.5772212 45.5029731, -73.5775619 45.5031527, -73.5776598 45.5030559))",,,
way,143801171,"[1573611415, 1573611381, 1573611395, 11014250201, 1892693334, 1573611318, 1573611409, 1573611397, 1573611415]",parking,,,"POLYGON ((-73.5799651 45.5095329, -73.5796797 45.5093998, -73.5796281 45.5095205, -73.5795717 45.5095097, -73.5795184 45.5095635, -73.5798182 45.5096228, -73.5798058 45.5096522, -73.5799056 45.5096714, -73.5799651 45.5095329))",,yes,
way,255977287,"[1028403522, 5339029878, 5339029879, 11014486036, 5339029880, 5339029877, 11014486037, 2616819147, 5339029862, 2616819144, 11022826931, 11014486039, 11014486040, 11014486041, 1931013215, 11022826929, 1028403511, 1028403522]",parking,surface,asphalt,"POLYGON ((-73.584868 45.51036, -73.5839638 45.5099019, -73.5840701 45.5097781, -73.5838751 45.5096896, -73.5838472 45.5096472, -73.5838443 45.5096098, -73.5838667 45.5095566, -73.5839921 45.509494, -73.5841341 45.5094759, -73.5841858 45.5094261, -73.5841963 45.5094294, -73.5842878 45.509462, -73.5843196 45.509416, -73.5843674 45.5093514, -73.5848243 45.5095912, -73.5852673 45.5098349, -73.5853237 45.5098968, -73.584868 45.51036))",,,
way,343684464,"[3504855571, 3504855572, 11290046014, 3504855573, 3504855570, 3504855571]",parking,surface,,"POLYGON ((-73.5817252 45.5021065, -73.5820531 45.501811, -73.582026 45.5017988, -73.5816883 45.5016475, -73.5813825 45.501937, -73.5817252 45.5021065))",,,
way,991202292,"[9158347935, 9158347936, 11289965813, 11289965800, 11289965801, 3474724865, 3474724859, 9158347938, 9158347939, 9158347940, 9158347941, 11289965790, 9158347942, 11289965797, 11289965798, 11289965799, 9158347935]",parking,surface,,"POLYGON ((-73.5804823 45.5034842, -73.5804918 45.5034587, -73.5805191 45.503442, -73.5805419 45.5034424, -73.5805341 45.50339, -73.5804952 45.5033538, -73.5804308 45.5033237, -73.5803779 45.5033037, -73.5802831 45.5033501, -73.5802054 45.5034495, -73.5801441 45.5035196, -73.5801105 45.5035531, -73.5801616 45.5035754, -73.5802017 45.5035461, -73.580251 45.5035245, -73.5803488 45.503503, -73.5804823 45.5034842))",,,private
way,1244732443,"[936689572, 11570915930, 11570915931, 1574346644, 11570915932, 11570915933, 936689575, 11012608636, 936689572]",parking,,,"POLYGON ((-73.5745817 45.5055875, -73.5744983 45.5055475, -73.5741951 45.5058667, -73.5741439 45.5058454, -73.5739969 45.5058369, -73.573748 45.5061974, -73.5739559 45.5062684, -73.5740903 45.5061387, -73.5745817 45.5055875))",,,
way,1264642643,"[11749038300, 11749038301, 11749038302, 11749038305, 11749038303, 11749038300]",parking,,,"POLYGON ((-73.5785538 45.5034666, -73.5786756 45.5035237, -73.5787808 45.5034162, -73.5786724 45.503366, -73.5786558 45.5033583, -73.5785538 45.5034666))",,,
