u,v,key,osmid,oneway,highway,reversed,length,geometry,bridge
7925077367,7925077366,0,849445705,False,residential,True,104.78,"LINESTRING (116.1500763 40.176376, 116.1513066 40.1764415)",
7925077367,9346428179,0,1013065654,False,residential,False,98.395,"LINESTRING (116.1500763 40.176376, 116.15024 40.1755)",
7925077367,11538588841,0,1013065654,False,residential,True,54.536,"LINESTRING (116.1500763 40.176376, 116.1500431 40.1768658)",
7925077368,7925077369,0,849445637,False,residential,False,176.323,"LINESTRING (116.1513173 40.1776428, 116.1513248 40.1792285)",
7925077368,7925084193,0,849445637,False,residential,True,68.275,"LINESTRING (116.1513173 40.1776428, 116.1513118 40.1770288)",
7925077368,7925084188,0,849445639,False,residential,False,116.219,"LINESTRING (116.1513173 40.1776428, 116.1526852 40.1776515)",
7925077368,7925084194,0,849445639,False,residential,True,112.984,"LINESTRING (116.1513173 40.1776428, 116.1499882 40.1776776)",
7925077369,7925077368,0,849445637,False,residential,True,176.323,"LINESTRING (116.1513248 40.1792285, 116.1513173 40.1776428)",
7925077369,7925084188,0,"[849445637, 849445638]",False,residential,False,287.507,"LINESTRING (116.1513248 40.1792285, 116.1514467 40.1792142, 116.1527103 40.1791763, 116.1526909 40.1789013, 116.1526852 40.1776515)",
7925077369,7925084194,0,849445639,False,residential,False,285.94100000000003,"LINESTRING (116.1513248 40.1792285, 116.1500221 40.1792533, 116.1499882 40.1776776)",
7925084188,7925084189,0,849445638,False,residential,False,66.346,"LINESTRING (116.1526852 40.1776515, 116.1526966 40.1770549)",
7925084188,7925084195,0,849445639,False,residential,False,84.181,"LINESTRING (116.1526852 40.1776515, 116.1536713 40.1777255)",
7925084188,7925077368,0,849445639,False,residential,True,116.219,"LINESTRING (116.1526852 40.1776515, 116.1513173 40.1776428)",
7925084188,7925077369,0,"[849445637, 849445638]",False,residential,True,287.507,"LINESTRING (116.1526852 40.1776515, 116.1526909 40.1789013, 116.1527103 40.1791763, 116.1514467 40.1792142, 116.1513248 40.1792285)",
7925084189,7925084188,0,849445638,False,residential,True,66.346,"LINESTRING (116.1526966 40.1770549, 116.1526852 40.1776515)",
7925084189,7925084193,0,849445638,False,residential,False,119.362,"LINESTRING (116.1526966 40.1770549, 116.1526283 40.1770157, 116.15252 40.1769983, 116.1514598 40.1770244, 116.1513118 40.1770288)",
7925084189,7925077365,0,1241794488,False,residential,False,71.711,"LINESTRING (116.1526966 40.1770549, 116.1526891 40.1768535, 116.1527356 40.1764115)",
7925084193,7925077368,0,849445637,False,residential,False,68.275,"LINESTRING (116.1513118 40.1770288, 116.1513173 40.1776428)",
7925084193,7925077366,0,849445637,False,residential,True,65.306,"LINESTRING (116.1513118 40.1770288, 116.1513066 40.1764415)",
7925084193,7925084189,0,849445638,False,residential,True,119.36200000000001,"LINESTRING (116.1513118 40.1770288, 116.1514598 40.1770244, 116.15252 40.1769983, 116.1526283 40.1770157, 116.1526966 40.1770549)",
7925084194,7925077368,0,849445639,False,residential,False,112.984,"LINESTRING (116.1499882 40.1776776, 116.1513173 40.1776428)",
7925084194,11538588841,0,1013065654,False,residential,False,90.389,"LINESTRING (116.1499882 40.1776776, 116.1500431 40.1768658)",
7925084194,7925077369,0,849445639,False,residential,True,285.94100000000003,"LINESTRING (116.1499882 40.1776776, 116.1500221 40.1792533, 116.1513248 40.1792285)",
7925084195,7925084188,0,849445639,False,residential,True,84.181,"LINESTRING (116.1536713 40.1777255, 116.1526852 40.1776515)",
7925084195,7925077364,0,849445698,False,residential,False,150.782,"LINESTRING (116.1536713 40.1777255, 116.1536778 40.1763695)",
7925084195,7925084212,0,"[849445704, 849445703, 849445639]",False,"['unclassified', 'residential']",False,160.8,"LINESTRING (116.1536713 40.1777255, 116.1539677 40.1777342, 116.1544464 40.1777429, 116.1555636 40.1777505)",yes
7925084198,7925084233,0,849445643,False,residential,True,45.034,"LINESTRING (116.1569998 40.1777603, 116.1569998 40.1781653)",
7925084198,7925084264,0,849445703,False,unclassified,False,101.212,"LINESTRING (116.1569998 40.1777603, 116.1581911 40.1777562)",
7925084198,7925084279,0,849445659,False,residential,False,126.977,"LINESTRING (116.1569998 40.1777603, 116.1569941 40.1773945, 116.1576154 40.1767805)",
7925084198,7925084212,0,849445703,False,unclassified,True,122.02199999999999,"LINESTRING (116.1569998 40.1777603, 116.1557713 40.1777519, 116.1555636 40.1777505)",
7925084199,9346427667,0,849445658,False,residential,False,18.255,"LINESTRING (116.1594963 40.1777516, 116.1595025 40.1775875)",
7925084199,7925084337,0,849445703,False,unclassified,False,68.349,"LINESTRING (116.1594963 40.1777516, 116.1602945 40.1778284)",
7925084199,9346427659,0,849445703,False,unclassified,True,70.185,"LINESTRING (116.1594963 40.1777516, 116.1586702 40.1777545)",
7925084199,7925084235,0,1009036627,False,residential,False,44.081,"LINESTRING (116.1594963 40.1777516, 116.1594901 40.178148)",
7925084200,7925084336,0,849445667,False,unclassified,True,106.18,"LINESTRING (116.1612176 40.1779171, 116.1612803 40.1769634)",
7925084200,7925084405,0,849445703,False,unclassified,False,36.314,"LINESTRING (116.1612176 40.1779171, 116.1616414 40.1779596)",
7925084200,7925084203,0,849445703,False,unclassified,True,31.65,"LINESTRING (116.1612176 40.1779171, 116.1608484 40.1778791)",
7925084203,7925084266,0,849445640,False,residential,False,43.445,"LINESTRING (116.1608484 40.1778791, 116.1608281 40.1782695)",
7925084203,7925084200,0,849445703,False,unclassified,False,31.65,"LINESTRING (116.1608484 40.1778791, 116.1612176 40.1779171)",
7925084203,7925084337,0,849445703,False,unclassified,True,47.395,"LINESTRING (116.1608484 40.1778791, 116.1602945 40.1778284)",
7925084205,7925084253,0,849445640,False,residential,False,22.102,"LINESTRING (116.1608223 40.1791001, 116.1607887 40.1792972)",
7925084205,7925084268,0,849445640,False,residential,True,46.402,"LINESTRING (116.1608223 40.1791001, 116.1608244 40.1786828)",
7925084205,7925084209,0,"[1009036626, 1009036627]",False,residential,"[False, True]",136.234,"LINESTRING (116.1608223 40.1791001, 116.1607354 40.1791199, 116.159653 40.1791246, 116.1594805 40.1789883, 116.1594792 40.178849)",
7925084209,7925084236,0,849445641,False,residential,False,64.89,"LINESTRING (116.1594792 40.178849, 116.1587154 40.178849)",
7925084209,7925084267,0,1009036627,False,residential,True,16.447,"LINESTRING (116.1594792 40.178849, 116.1594814 40.1787011)",
7925084209,7925084205,0,"[1009036626, 1009036627]",False,residential,"[False, True]",136.234,"LINESTRING (116.1594792 40.178849, 116.1594805 40.1789883, 116.159653 40.1791246, 116.1607354 40.1791199, 116.1608223 40.1791001)",
7925084210,7925084231,0,849445643,False,residential,False,30.023,"LINESTRING (116.1569998 40.178849, 116.1569998 40.178579)",
7925084210,7925084229,0,849445643,False,residential,True,14.981,"LINESTRING (116.1569998 40.178849, 116.1569963 40.1789837)",
7925084210,7925084236,0,849445641,False,residential,True,145.752,"LINESTRING (116.1569998 40.178849, 116.1579061 40.178849, 116.1587154 40.178849)",
7925084212,7925084232,0,849445642,False,residential,True,46.127,"LINESTRING (116.1555636 40.1777505, 116.1555696 40.1781653)",
7925084212,7925084198,0,849445703,False,unclassified,False,122.02199999999999,"LINESTRING (116.1555636 40.1777505, 116.1557713 40.1777519, 116.1569998 40.1777603)",
7925084212,7925084195,0,"[849445704, 849445639, 849445703]",False,"['unclassified', 'residential']",True,160.79999999999998,"LINESTRING (116.1555636 40.1777505, 116.1544464 40.1777429, 116.1539677 40.1777342, 116.1536713 40.1777255)",yes
7925084213,7925084214,0,849445643,False,residential,False,5.896,"LINESTRING (116.1569771 40.1793324, 116.1569885 40.1792801)",
7925084214,7925084229,0,849445643,False,residential,False,32.965,"LINESTRING (116.1569885 40.1792801, 116.1569963 40.1789837)",
7925084214,7925084213,0,849445643,False,residential,True,5.896,"LINESTRING (116.1569885 40.1792801, 116.1569771 40.1793324)",
7925084214,7925084225,0,849445644,False,path,False,156.008,"LINESTRING (116.1569885 40.1792801, 116.1571195 40.179315, 116.1574273 40.1793324, 116.1575869 40.1793455, 116.1577351 40.1794195, 116.1581341 40.17945, 116.1582196 40.1794543, 116.1583108 40.1794456, 116.1583621 40.1794151, 116.1584646 40.179315, 116.158533 40.1792453, 116.1586584 40.1792279)",
7925084225,7925084227,0,849445644,False,path,False,17.923000000000002,"LINESTRING (116.1586584 40.1792279, 116.1587496 40.1792061, 116.1588465 40.1791582)",
7925084225,7925084214,0,849445644,False,path,True,156.008,"LINESTRING (116.1586584 40.1792279, 116.158533 40.1792453, 116.1584646 40.179315, 116.1583621 40.1794151, 116.1583108 40.1794456, 116.1582196 40.1794543, 116.1581341 40.17945, 116.1577351 40.1794195, 116.1575869 40.1793455, 116.1574273 40.1793324, 116.1571195 40.179315, 116.1569885 40.1792801)",
7925084225,7925084253,0,849445648,False,path,False,196.264,"LINESTRING (116.1586584 40.1792279, 116.1586983 40.1792758, 116.1587952 40.1793193, 116.1589719 40.1793803, 116.1592056 40.1794282, 116.1594336 40.1794369, 116.1596502 40.1794935, 116.1597756 40.1795327, 116.1599864 40.1795196, 116.1601232 40.1794413, 116.1603854 40.1793585, 116.1605906 40.1792801, 116.1607887 40.1792972)",
7925084225,7925084236,0,849445648,False,path,True,47.772999999999996,"LINESTRING (116.1586584 40.1792279, 116.1586926 40.1791539, 116.1586527 40.1791147, 116.1586584 40.1790711, 116.1586128 40.1790014, 116.1586185 40.1789361, 116.1587154 40.178849)",
7925084227,7925084225,0,849445644,False,path,True,17.923000000000002,"LINESTRING (116.1588465 40.1791582, 116.1587496 40.1792061, 116.1586584 40.1792279)",
7925084228,7925084230,0,849445642,False,residential,False,45.037,"LINESTRING (116.1555816 40.178984, 116.1555757 40.178579)",
7925084228,7925084229,0,849445645,False,residential,False,120.188,"LINESTRING (116.1555816 40.178984, 116.1569963 40.1789837)",
7925084229,7925084210,0,849445643,False,residential,False,14.981,"LINESTRING (116.1569963 40.1789837, 116.1569998 40.178849)",
7925084229,7925084214,0,849445643,False,residential,True,32.965,"LINESTRING (116.1569963 40.1789837, 116.1569885 40.1792801)",
7925084229,7925084228,0,849445645,False,residential,True,120.188,"LINESTRING (116.1569963 40.1789837, 116.1555816 40.178984)",
7925084230,7925084232,0,849445642,False,residential,False,46.004,"LINESTRING (116.1555757 40.178579, 116.1555696 40.1781653)",
7925084230,7925084228,0,849445642,False,residential,True,45.037,"LINESTRING (116.1555757 40.178579, 116.1555816 40.178984)",
7925084230,7925084231,0,849445646,False,residential,False,120.988,"LINESTRING (116.1555757 40.178579, 116.1569998 40.178579)",
7925084231,7925084233,0,849445643,False,residential,False,46.001,"LINESTRING (116.1569998 40.178579, 116.1569998 40.1781653)",
7925084231,7925084210,0,849445643,False,residential,True,30.023,"LINESTRING (116.1569998 40.178579, 116.1569998 40.178849)",
7925084231,7925084230,0,849445646,False,residential,True,120.988,"LINESTRING (116.1569998 40.178579, 116.1555757 40.178579)",
7925084232,7925084212,0,849445642,False,residential,False,46.127,"LINESTRING (116.1555696 40.1781653, 116.1555636 40.1777505)",
7925084232,7925084230,0,849445642,False,residential,True,46.004,"LINESTRING (116.1555696 40.1781653, 116.1555757 40.178579)",
7925084232,7925084233,0,1009036624,False,residential,False,121.507,"LINESTRING (116.1555696 40.1781653, 116.1569998 40.1781653)",
7925084233,7925084198,0,849445643,False,residential,False,45.034,"LINESTRING (116.1569998 40.1781653, 116.1569998 40.1777603)",
7925084233,7925084231,0,849445643,False,residential,True,46.001,"LINESTRING (116.1569998 40.1781653, 116.1569998 40.178579)",
7925084233,7925084232,0,1009036624,False,residential,True,121.507,"LINESTRING (116.1569998 40.1781653, 116.1555696 40.1781653)",
7925084233,7925084263,0,849445647,False,residential,False,100.747,"LINESTRING (116.1569998 40.1781653, 116.1579063 40.178159, 116.1581856 40.1781571)",
7925084235,7925084262,0,849445647,False,residential,True,65.318,"LINESTRING (116.1594901 40.178148, 116.1587213 40.1781533)",
7925084235,7925084265,0,1009036627,False,residential,False,15.013,"LINESTRING (116.1594901 40.178148, 116.1594878 40.178283)",
7925084235,7925084199,0,1009036627,False,residential,True,44.081,"LINESTRING (116.1594901 40.178148, 116.1594963 40.1777516)",
7925084236,7925084209,0,849445641,False,residential,True,64.89,"LINESTRING (116.1587154 40.178849, 116.1594792 40.178849)",
7925084236,7925084262,0,849445651,False,service,False,77.36,"LINESTRING (116.1587154 40.178849, 116.1587213 40.1781533)",
7925084236,7925084210,0,849445641,False,residential,False,145.752,"LINESTRING (116.1587154 40.178849, 116.1579061 40.178849, 116.1569998 40.178849)",
7925084236,7925084225,0,849445648,False,path,False,47.772999999999996,"LINESTRING (116.1587154 40.178849, 116.1586185 40.1789361, 116.1586128 40.1790014, 116.1586584 40.1790711, 116.1586527 40.1791147, 116.1586926 40.1791539, 116.1586584 40.1792279)",
7925084253,7925084258,0,849445640,False,residential,False,51.744,"LINESTRING (116.1607887 40.1792972, 116.1607975 40.1797625)",
7925084253,7925084205,0,849445640,False,residential,True,22.102,"LINESTRING (116.1607887 40.1792972, 116.1608223 40.1791001)",
7925084253,7925084225,0,849445648,False,path,True,196.264,"LINESTRING (116.1607887 40.1792972, 116.1605906 40.1792801, 116.1603854 40.1793585, 116.1601232 40.1794413, 116.1599864 40.1795196, 116.1597756 40.1795327, 116.1596502 40.1794935, 116.1594336 40.1794369, 116.1592056 40.1794282, 116.1589719 40.1793803, 116.1587952 40.1793193, 116.1586983 40.1792758, 116.1586584 40.1792279)",
7925084258,7925084253,0,849445640,False,residential,True,51.744,"LINESTRING (116.1607975 40.1797625, 116.1607887 40.1792972)",
7925084262,7925084235,0,849445647,False,residential,False,65.318,"LINESTRING (116.1587213 40.1781533, 116.1594901 40.178148)",
7925084262,7925084263,0,849445647,False,residential,True,45.514,"LINESTRING (116.1587213 40.1781533, 116.1581856 40.1781571)",
7925084262,7925084236,0,849445651,False,service,True,77.36,"LINESTRING (116.1587213 40.1781533, 116.1587154 40.178849)",
7925084263,7925084262,0,849445647,False,residential,False,45.514,"LINESTRING (116.1581856 40.1781571, 116.1587213 40.1781533)",
7925084263,7925084264,0,849445652,False,unclassified,False,44.581,"LINESTRING (116.1581856 40.1781571, 116.1581911 40.1777562)",
7925084263,7925084233,0,849445647,False,residential,True,100.747,"LINESTRING (116.1581856 40.1781571, 116.1579063 40.178159, 116.1569998 40.1781653)",
7925084264,7925084263,0,849445652,False,unclassified,True,44.581,"LINESTRING (116.1581911 40.1777562, 116.1581856 40.1781571)",
7925084264,9346427659,0,849445703,False,unclassified,False,40.704,"LINESTRING (116.1581911 40.1777562, 116.1586702 40.1777545)",
7925084264,7925084198,0,849445703,False,unclassified,True,101.212,"LINESTRING (116.1581911 40.1777562, 116.1569998 40.1777603)",
7925084265,7925084266,0,849445653,False,residential,False,113.879,"LINESTRING (116.1594878 40.178283, 116.1608281 40.1782695)",
7925084265,7925084267,0,1009036627,False,residential,False,46.494,"LINESTRING (116.1594878 40.178283, 116.1594814 40.1787011)",
7925084265,7925084235,0,1009036627,False,residential,True,15.013,"LINESTRING (116.1594878 40.178283, 116.1594901 40.178148)",
7925084266,7925084268,0,849445640,False,residential,False,45.958,"LINESTRING (116.1608281 40.1782695, 116.1608244 40.1786828)",
7925084266,7925084203,0,849445640,False,residential,True,43.445,"LINESTRING (116.1608281 40.1782695, 116.1608484 40.1778791)",
7925084266,7925084265,0,849445653,False,residential,True,113.879,"LINESTRING (116.1608281 40.1782695, 116.1594878 40.178283)",
7925084267,7925084209,0,1009036627,False,residential,False,16.447,"LINESTRING (116.1594814 40.1787011, 116.1594792 40.178849)",
7925084267,7925084265,0,1009036627,False,residential,True,46.494,"LINESTRING (116.1594814 40.1787011, 116.1594878 40.178283)",
7925084267,7925084268,0,849445654,False,residential,False,114.116,"LINESTRING (116.1594814 40.1787011, 116.1599539 40.1786947, 116.1608244 40.1786828)",
7925084268,7925084205,0,849445640,False,residential,False,46.402,"LINESTRING (116.1608244 40.1786828, 116.1608223 40.1791001)",
7925084268,7925084266,0,849445640,False,residential,True,45.958,"LINESTRING (116.1608244 40.1786828, 116.1608281 40.1782695)",
7925084268,7925084267,0,849445654,False,residential,True,114.116,"LINESTRING (116.1608244 40.1786828, 116.1599539 40.1786947, 116.1594814 40.1787011)",
7925084269,7925084274,0,849445655,False,residential,False,88.899,"LINESTRING (116.1621485 40.1780105, 116.1620066 40.1788026)",
7925084269,7925084370,0,849445703,False,unclassified,True,5.408,"LINESTRING (116.1621485 40.1780105, 116.1620854 40.1780041)",
7925084271,7925084272,0,849445655,False,residential,False,38.283,"LINESTRING (116.1619528 40.1791626, 116.1618787 40.1795022)",
7925084271,7925084273,0,849445656,False,unclassified,False,73.272,"LINESTRING (116.1619528 40.1791626, 116.1628077 40.1792497)",
7925084271,7925084274,0,849445655,False,residential,True,40.3,"LINESTRING (116.1619528 40.1791626, 116.1619756 40.1789753, 116.1620066 40.1788026)",
7925084272,7925084271,0,849445655,False,residential,True,38.283,"LINESTRING (116.1618787 40.1795022, 116.1619528 40.1791626)",
7925084273,7925084271,0,849445656,False,unclassified,True,73.272,"LINESTRING (116.1628077 40.1792497, 116.1619528 40.1791626)",
7925084274,7925084269,0,849445655,False,residential,True,88.899,"LINESTRING (116.1620066 40.1788026, 116.1621485 40.1780105)",
7925084274,7925084275,0,849445657,False,unclassified,False,76.402,"LINESTRING (116.1620066 40.1788026, 116.1628989 40.1788882)",
7925084274,7925084271,0,849445655,False,residential,False,40.3,"LINESTRING (116.1620066 40.1788026, 116.1619756 40.1789753, 116.1619528 40.1791626)",
7925084275,7925084274,0,849445657,False,unclassified,True,76.402,"LINESTRING (116.1628989 40.1788882, 116.1620066 40.1788026)",
7925084277,9346427647,0,849445658,False,residential,True,41.451,"LINESTRING (116.1589377 40.1767239, 116.1591884 40.1770437)",
7925084277,7925084298,0,849445660,False,residential,False,72.24300000000001,"LINESTRING (116.1589377 40.1767239, 116.1590175 40.1766281, 116.159103 40.1765323, 116.1591372 40.1764365, 116.1591714 40.1762579, 116.1591942 40.1761186)",
