element_type,osmid,nodes,access,amenity,operator,operator:type,wheelchair,geometry,parking
way,1013065613,"[9346427693, 9346427694, 9346427695, 9346427696, 9346427693]",private,parking,北京大学,government,yes,"POLYGON ((116.1618044 40.1730807, 116.1616405 40.1741194, 116.1634339 40.1742841, 116.1636221 40.1732986, 116.1618044 40.1730807))",
way,1013065650,"[9346428146, 9346428147, 9346428148, 9346428149, 9346428146]",private,parking,北京大学,government,yes,"POLYGON ((116.1546167 40.1778848, 116.1549201 40.1791716, 116.1555392 40.1791716, 116.1555119 40.177857, 116.1546167 40.1778848))",
way,1190745366,"[11056058200, 11056058199, 11056058197, 11056058196, 11056058200]",,parking,,,,"POLYGON ((116.1570954 40.1774875, 116.1576355 40.177491, 116.1576333 40.1776869, 116.1570933 40.1776834, 116.1570954 40.1774875))",surface
