element_type,osmid,nodes,natural,geometry,water
way,1036623727,"[9550311996, 9550311997, 9550311998, 9550312000, 9550312001, 9550312002, 9550312003, 9550312004, 9550312005, 9550312006, 9550312007, 9550312008, 9550312108, 9550312009, 9550312010, 9550312011, 9550312012, 9550312013, 9550312014, 9550312116, 9550312015, 9550312016, 9550312017, 9550312018, 9550312019, 9550312020, 9550312021, 9550312137, 9550312022, 9550312141, 9550312023, 9550312024, 9550312025, 9550312026, 9550312027, 9550311993, 9550311994, 9550311995, 9550311996]",water,"POLYGON ((120.7360496 31.2723172, 120.7360086 31.2723107, 120.7358508 31.2722329, 120.7357706 31.2721693, 120.7357191 31.2721436, 120.7356815 31.2721344, 120.7356257 31.2721253, 120.7355807 31.272106, 120.7355603 31.2720877, 120.7355539 31.2720647, 120.7355571 31.2720345, 120.7355946 31.2719162, 120.7355988 31.2718506, 120.7356 31.2718318, 120.7356129 31.2717823, 120.7356064 31.2717117, 120.7356096 31.2716686, 120.7356129 31.2716347, 120.7356354 31.2716227, 120.7358134 31.2715883, 120.7358865 31.2715741, 120.7359894 31.2715604, 120.7361139 31.2715283, 120.7361579 31.2715283, 120.7361879 31.2715448, 120.7362169 31.2715824, 120.7362759 31.2716989, 120.7362986 31.2717366, 120.7363145 31.271763, 120.7363426 31.2717887, 120.7363596 31.2718043, 120.7364132 31.2718529, 120.7364326 31.2719244, 120.7363424 31.2720134, 120.7362641 31.2720886, 120.7362226 31.2721654, 120.7361285 31.2722834, 120.7361027 31.2723029, 120.7360496 31.2723172))",
way,1036623735,"[9550312042, 9550312043, 9550312044, 9550312045, 9550312042]",water,"POLYGON ((120.7362255 31.2725721, 120.7362728 31.2725689, 120.7362563 31.2723922, 120.7362089 31.2723955, 120.7362255 31.2725721))",
way,1036627910,"[9550178609, 9550178610, 9550344250, 9550344251, 9550344252, 9550344253, 9550344254, 9652213534, 9550344255, 9550344256, 9652213547, 9550344257, 9550344258, 9550344259, 9550344260, 9550344261, 5201436451, 5201436450, 9550344262, 9550344263, 9550344264, 9550344265, 9550344266, 9550344267, 9550344268, 9550344269, 9550344270, 9550344271, 9550344272, 9550344273, 9550344274, 9550344275, 9550344276, 9550344277, 9550344278, 9550344279, 9550344280, 9550344281, 9550344282, 9550344283, 9550344284, 9550344285, 9550344286, 9550344287, 9550344288, 9550344289, 9550344290, 4902340738, 4902340739, 9550344291, 9550344379, 9550344292, 9550344293, 9550344380, 9550344294, 9550344401, 9550344295, 9550344296, 9550344297, 9550344298, 9550344299, 9550344300, 9550344301, 9550344302, 9631109234, 9631109233, 9550344303, 9550344304, 9550344305, 9550344306, 9550344307, 9040255053, 9550344308, 2427289995, 9550344309, 9550344310, 9550344311, 9550344312, 9550344313, 9550344314, 9550344315, 9550344316, 9550178609]",water,"POLYGON ((120.7335805 31.2732119, 120.7338852 31.2732229, 120.7345163 31.2732285, 120.7355511 31.2732778, 120.7360123 31.2733089, 120.7376085 31.2733685, 120.7387343 31.2734204, 120.7391159 31.2734343, 120.7393746 31.2734437, 120.74169 31.2735164, 120.7417408 31.2735168, 120.7423576 31.2735216, 120.7444879 31.273602, 120.747747 31.2737239, 120.748099 31.2737498, 120.7481233 31.2737991, 120.7481199 31.2738193, 120.7484418 31.2738354, 120.7484814 31.2737757, 120.7485755 31.2737472, 120.7486999 31.2737524, 120.7495678 31.2740118, 120.7501987 31.2742324, 120.7502718 31.2740403, 120.7500047 31.2739547, 120.7499744 31.2739106, 120.7499774 31.2738561, 120.7500199 31.273729, 120.7497316 31.273685, 120.7497074 31.273742, 120.7496709 31.273755, 120.7496254 31.2737342, 120.74897 31.2735579, 120.7485724 31.2734619, 120.7485299 31.2734749, 120.7484996 31.2734956, 120.7484784 31.2735216, 120.746955 31.2734334, 120.7462753 31.2733945, 120.7445304 31.273353, 120.7427187 31.27327, 120.7424001 31.273257, 120.7418569 31.2732622, 120.7418084 31.2732803, 120.7417811 31.2732933, 120.7397388 31.2731766, 120.7391531 31.2731662, 120.7388482 31.2731458, 120.7340216 31.2729765, 120.7339569 31.272963, 120.7339625 31.2729391, 120.7339671 31.2729194, 120.7347683 31.2712029, 120.7352472 31.270106, 120.735271 31.2700513, 120.7352794 31.2700358, 120.7354343 31.2697481, 120.7354575 31.2697437, 120.7355873 31.2697932, 120.7356162 31.2697355, 120.7355476 31.2697052, 120.7355068 31.2696704, 120.7354886 31.2696309, 120.7356463 31.2692806, 120.7367952 31.266776, 120.7365754 31.2666954, 120.7354204 31.2692088, 120.734716 31.2707155, 120.7337132 31.2728594, 120.7336724 31.2729314, 120.7336239 31.272951, 120.7328385 31.2728787, 120.7327555 31.2730332, 120.7326367 31.2731373, 120.7325906 31.2731574, 120.7324419 31.2731528, 120.7321718 31.2731379, 120.7321688 31.2732216, 120.7325564 31.2732423, 120.7327074 31.273228, 120.7328121 31.2732092, 120.7334327 31.2731995, 120.7335805 31.2732119))",river
