u,v,key,osmid,highway,oneway,reversed,length,name,geometry,tunnel,lanes,bridge
1124414324,1143420755,0,97053059,unclassified,False,True,10.255,学院路,"LINESTRING (114.3546826 30.478685, 114.3545756 30.4786865)",,,
1124414324,1399517986,0,100100850,unclassified,False,False,47.383,,"LINESTRING (114.3546826 30.478685, 114.354677 30.4782589)",,,
1124414325,1140522989,0,98582999,tertiary,False,False,80.495,狮子山大道,"LINESTRING (114.3547393 30.4760129, 114.3538994 30.476005)",,,
1124414325,1401837432,0,100100850,unclassified,False,True,194.847,,"LINESTRING (114.3547393 30.4760129, 114.3547379 30.4777652)",,,
1124414325,1153929803,0,98582999,tertiary,False,True,97.261,狮子山大道,"LINESTRING (114.3547393 30.4760129, 114.3555106 30.4760216, 114.3557541 30.4760255)",,,
1124414329,8544154559,0,97055884,tertiary,False,True,56.454,,"LINESTRING (114.3366809 30.4775394, 114.3366641 30.4780469)",,,
1124414329,4742253084,0,943191018,tertiary,False,False,11.551,,"LINESTRING (114.3366809 30.4775394, 114.3366856 30.4774356)",,,
1124414329,8544154557,0,"[943191005, 943191021]",tertiary,True,False,169.76,狮子山大道,"LINESTRING (114.3366809 30.4775394, 114.3365643 30.4775494, 114.3349878 30.4776919, 114.334919 30.4776977)",,2,
1124470906,1145382383,0,97055866,residential,False,False,37.421,,"LINESTRING (114.3464452 30.4794318, 114.3460547 30.4794315)",,,
1124470906,1145382386,0,97055866,residential,False,True,60.272,,"LINESTRING (114.3464452 30.4794318, 114.3470741 30.4794391)",,,
1124470906,1145387997,0,97055872,residential,False,True,25.455,,"LINESTRING (114.3464452 30.4794318, 114.3464365 30.479203)",,,
1124470907,1145388001,0,97055866,residential,False,False,80.642,,"LINESTRING (114.3453807 30.4794236, 114.3454018 30.4786986)",,,
1124470907,1145382383,0,97055866,residential,False,True,64.595,,"LINESTRING (114.3453807 30.4794236, 114.3460547 30.4794315)",,,
1124470907,1143465457,0,98845798,footway,False,False,120.821,,"LINESTRING (114.3453807 30.4794236, 114.3449894 30.4794455, 114.3447051 30.4801529)",,,
1124470908,1221088100,0,97053052,tertiary,False,True,17.625,学院路,"LINESTRING (114.345413 30.4783157, 114.3455969 30.4783179)",,,
1124470908,1145388001,0,97055866,residential,False,True,42.59,,"LINESTRING (114.345413 30.4783157, 114.3454018 30.4786986)",,,
1124470908,1221088108,0,97053052,tertiary,False,False,31.988,学院路,"LINESTRING (114.345413 30.4783157, 114.3452846 30.4783123, 114.3450794 30.4783058)",,,
1124470941,1145382388,0,97053052,tertiary,False,False,43.013,学院路,"LINESTRING (114.3464677 30.4783285, 114.3460189 30.478323)",,,
1124470941,1145382369,0,97053052,tertiary,False,True,26.404,学院路,"LINESTRING (114.3464677 30.4783285, 114.3467432 30.4783317)",,,
1124470941,1145382353,0,97055872,residential,False,False,42.01,,"LINESTRING (114.3464677 30.4783285, 114.3464687 30.4787063)",,,
1124470943,1295643076,0,97055876,unclassified,False,True,170.486,,"LINESTRING (114.3474516 30.4735691, 114.3473278 30.4750986)",,,
1124470943,1124470970,0,98583001,tertiary,False,True,147.511,学府路,"LINESTRING (114.3474516 30.4735691, 114.3489906 30.4735916)",,,
1124470943,8676919144,0,98583001,tertiary,False,False,90.779,学府路,"LINESTRING (114.3474516 30.4735691, 114.3469222 30.473568, 114.3465044 30.4735626)",,,
1124470957,1153929872,0,98582986,living_street,False,True,60.803,红豆路,"LINESTRING (114.3573522 30.4760307, 114.3573474 30.4754839)",,,
1124470957,1143333525,0,943191009,tertiary,False,False,56.111,狮子山大道,"LINESTRING (114.3573522 30.4760307, 114.3567667 30.4760338)",,,
1124470957,1401837351,0,943191009,tertiary,False,True,86.288,狮子山大道,"LINESTRING (114.3573522 30.4760307, 114.3582526 30.4760314)",,,
1124470962,1143333550,0,97053059,unclassified,False,True,67.771,学院路,"LINESTRING (114.3564554 30.4786865, 114.3557482 30.478687)",,,
1124470962,1401839443,0,98842797,unclassified,False,False,17.02,学院路,"LINESTRING (114.3564554 30.4786865, 114.3566326 30.4786968)",,,
1124470964,1153929783,0,920121542,unclassified,False,True,45.833,金菊路,"LINESTRING (114.3581538 30.47929, 114.3580412 30.4796906)",,,
1124470964,8676919184,0,98582994,tertiary,False,False,37.488,金菊路,"LINESTRING (114.3581538 30.47929, 114.3582615 30.4792005, 114.3582627 30.4790979, 114.3582625 30.4789923)",,,
1124470964,1401839443,0,98842797,unclassified,False,True,160.731,学院路,"LINESTRING (114.3581538 30.47929, 114.3567539 30.4787055, 114.3566326 30.4786968)",,,
1124470966,1157121747,0,97055889,unclassified,False,True,42.449,,"LINESTRING (114.3531822 30.4783201, 114.3532081 30.4787012)",,,
1124470966,1221037675,0,97055889,unclassified,False,False,117.439,,"LINESTRING (114.3531822 30.4783201, 114.3528952 30.4783247, 114.3528437 30.478273, 114.3528369 30.4775324)",,,
1124470966,1399517923,0,126185132,footway,False,False,53.263,,"LINESTRING (114.3531822 30.4783201, 114.3534484 30.4782744, 114.3537327 30.4782688)",,,
1124470968,1221037675,0,97055889,unclassified,False,True,170.013,,"LINESTRING (114.3528206 30.4760035, 114.3528369 30.4775324)",,,
1124470968,1124414187,0,98582999,tertiary,False,False,71.139,狮子山大道,"LINESTRING (114.3528206 30.4760035, 114.3520784 30.4760152)",,,
1124470968,1399517914,0,98582999,tertiary,False,True,57.339,狮子山大道,"LINESTRING (114.3528206 30.4760035, 114.3534189 30.4760082)",,,
1124470968,1221037796,0,97055889,unclassified,False,False,29.475,,"LINESTRING (114.3528206 30.4760035, 114.352813 30.4758844, 114.3528122 30.4757386)",,,
1124470970,1220989446,0,97055892,unclassified,False,False,64.739,波里马路,"LINESTRING (114.3489906 30.4735916, 114.3489955 30.4741738)",,,
1124470970,1124470943,0,98583001,tertiary,False,False,147.511,学府路,"LINESTRING (114.3489906 30.4735916, 114.3474516 30.4735691)",,,
1124470970,7966695411,0,98842768,tertiary,False,True,118.08099999999999,学府路,"LINESTRING (114.3489906 30.4735916, 114.3498012 30.4734124, 114.3501844 30.4733288)",,,
1124470971,1124861547,0,97094222,residential,False,True,84.501,,"LINESTRING (114.3463249 30.4735614, 114.3461939 30.4743129)",,,
1124470971,1124861512,0,98583001,tertiary,False,False,60.989,学府路,"LINESTRING (114.3463249 30.4735614, 114.3456891 30.4735376)",,,
1124470971,8676919144,0,98583001,tertiary,False,True,17.203,学府路,"LINESTRING (114.3463249 30.4735614, 114.3465044 30.4735626)",,,
1124470972,1124861512,0,98583001,tertiary,False,True,161.805,学府路,"LINESTRING (114.3440021 30.4734789, 114.3456891 30.4735376)",,,
1124470972,1124470975,0,913470219,tertiary,False,False,66.071,学府路,"LINESTRING (114.3440021 30.4734789, 114.343458 30.4734665, 114.3433129 30.4734636)",,,
1124470972,8583413328,0,943191015,residential,False,True,251.409,,"LINESTRING (114.3440021 30.4734789, 114.3440266 30.4727347, 114.3441092 30.4712199)",,,
1124470973,1140522932,0,98582999,tertiary,False,False,16.186,狮子山大道,"LINESTRING (114.3490162 30.4760001, 114.3488474 30.4760052)",,,
1124470973,1124851799,0,98582999,tertiary,False,True,68.578,狮子山大道,"LINESTRING (114.3490162 30.4760001, 114.3497318 30.4759988)",,,
1124470973,1220989480,0,97055892,unclassified,False,True,133.17499999999998,波里马路,"LINESTRING (114.3490162 30.4760001, 114.349015 30.4758914, 114.3490009 30.4748025)",,,
1124470975,8583413137,0,97055896,unclassified,False,False,168.162,梧桐路,"LINESTRING (114.3433129 30.4734636, 114.3427322 30.4720365)",,,
1124470975,7059127309,0,126459716,tertiary,False,True,542.271,学府路,"LINESTRING (114.3433129 30.4734636, 114.3419869 30.4734566, 114.3413463 30.4735237, 114.3401536 30.4737372, 114.3392723 30.4738988, 114.3385893 30.4739568, 114.337708 30.4739751)",,,
1124470975,4742253082,0,913470218,unclassified,False,False,281.282,梧桐路,"LINESTRING (114.3433129 30.4734636, 114.3433757 30.4738567, 114.3436034 30.4753554, 114.343657 30.475975)",,,
1124470975,1124470972,0,913470219,tertiary,False,True,66.071,学府路,"LINESTRING (114.3433129 30.4734636, 114.343458 30.4734665, 114.3440021 30.4734789)",,,
1124471008,1143453885,0,97055902,living_street,False,True,50.748000000000005,,"LINESTRING (114.3414001 30.4765544, 114.3414046 30.4766452, 114.3414044 30.4770107)",,,
1124471008,1143453718,0,481287469,tertiary,True,False,184.096,狮子山大道,"LINESTRING (114.3414001 30.4765544, 114.3412004 30.4765829, 114.3395585 30.4770205)",,2,
1124851790,1143424422,0,97053052,tertiary,False,False,54.054,学院路,"LINESTRING (114.3492246 30.4783615, 114.3486606 30.4783542)",,,
1124851790,1143424420,0,97053052,tertiary,False,True,21.075,学院路,"LINESTRING (114.3492246 30.4783615, 114.3494445 30.4783641)",,,
1124851790,1295654437,0,97092796,living_street,False,False,68.464,,"LINESTRING (114.3492246 30.4783615, 114.3492208 30.4777458)",,,
1124851792,1157121745,0,97092796,living_street,False,False,38.208,,"LINESTRING (114.349221 30.4775385, 114.3496197 30.4775398)",,,
1124851792,1295654437,0,97092796,living_street,False,True,23.051,,"LINESTRING (114.349221 30.4775385, 114.3492208 30.4777458)",,,
1124851792,8701614535,0,939343596,living_street,False,False,27.267,,"LINESTRING (114.349221 30.4775385, 114.3492241 30.4772933)",,,
1124851793,1124851797,0,97092796,living_street,False,True,51.624,,"LINESTRING (114.3502913 30.4775414, 114.3497526 30.4775409)",,,
1124851793,1124414182,0,920121544,unclassified,False,False,171.75400000000002,,"LINESTRING (114.3502913 30.4775414, 114.3502317 30.4768141, 114.3502185 30.4761375, 114.3502164 30.4759987)",,,
1124851793,1399517930,0,920121544,unclassified,False,True,91.72900000000001,,"LINESTRING (114.3502913 30.4775414, 114.3502466 30.478135, 114.3502358 30.4783649)",,,
1124851797,1124851793,0,97092796,living_street,False,False,51.624,,"LINESTRING (114.3497526 30.4775409, 114.3502913 30.4775414)",,,
1124851797,1157121745,0,97092796,living_street,False,True,12.737,,"LINESTRING (114.3497526 30.4775409, 114.3496197 30.4775398)",,,
1124851797,1124851799,0,97092797,living_street,False,False,171.486,,"LINESTRING (114.3497526 30.4775409, 114.3497318 30.4759988)",,,
1124851799,1124851797,0,97092797,living_street,False,True,171.486,,"LINESTRING (114.3497318 30.4759988, 114.3497526 30.4775409)",,,
1124851799,1124470973,0,98582999,tertiary,False,False,68.578,狮子山大道,"LINESTRING (114.3497318 30.4759988, 114.3490162 30.4760001)",,,
1124851799,1124414182,0,98582999,tertiary,False,True,46.44,狮子山大道,"LINESTRING (114.3497318 30.4759988, 114.3500677 30.4759987, 114.3502164 30.4759987)",,,
1124861508,1145388013,0,97094216,residential,False,True,51.592,,"LINESTRING (114.3456411 30.4760064, 114.3456264 30.4764702)",,,
1124861508,1145388008,0,98582999,tertiary,False,False,55.645,狮子山大道,"LINESTRING (114.3456411 30.4760064, 114.3450608 30.4759892)",,,
1124861508,1124861512,0,97094215,residential,False,False,274.60699999999997,,"LINESTRING (114.3456411 30.4760064, 114.3456351 30.4758983, 114.3456682 30.4751821, 114.3456789 30.4745626, 114.3456891 30.4735376)",,,
1124861508,1145375918,0,98582999,tertiary,False,True,89.67099999999999,狮子山大道,"LINESTRING (114.3456411 30.4760064, 114.3456817 30.4760063, 114.3462677 30.4760053, 114.3465768 30.4760047)",,,
1124861512,1124470972,0,98583001,tertiary,False,False,161.805,学府路,"LINESTRING (114.3456891 30.4735376, 114.3440021 30.4734789)",,,
1124861512,1124470971,0,98583001,tertiary,False,True,60.989,学府路,"LINESTRING (114.3456891 30.4735376, 114.3463249 30.4735614)",,,
1124861512,1124861508,0,97094215,residential,False,True,274.60699999999997,,"LINESTRING (114.3456891 30.4735376, 114.3456789 30.4745626, 114.3456682 30.4751821, 114.3456351 30.4758983, 114.3456411 30.4760064)",,,
1124861547,1124470971,0,97094222,residential,False,False,84.501,,"LINESTRING (114.3461939 30.4743129, 114.3463249 30.4735614)",,,
1124864385,1157121747,0,97053059,unclassified,False,False,71.193,学院路,"LINESTRING (114.3524652 30.478705, 114.3532081 30.4787012)",,,
1124864385,1221037689,0,97053059,unclassified,False,True,70.617,学院路,"LINESTRING (114.3524652 30.478705, 114.3517283 30.4787029)",,,
1124864385,1153929896,0,98582998,steps,False,False,29.634,,"LINESTRING (114.3524652 30.478705, 114.3524635 30.4784385)",,,
1124864385,1179094332,0,98582998,steps,False,True,48.481,,"LINESTRING (114.3524652 30.478705, 114.3524653 30.479141)",,,
1125840454,1221037798,0,97055889,unclassified,False,False,67.479,,"LINESTRING (114.352798 30.4747156, 114.3527824 30.4741089)",,,
1125840454,1221037884,0,97055889,unclassified,False,True,51.031,,"LINESTRING (114.352798 30.4747156, 114.3528043 30.4751745)",,,
1125840454,1143421164,0,98842747,footway,False,False,108.345,,"LINESTRING (114.352798 30.4747156, 114.3539284 30.4747315)",,,
1125840454,1221037922,0,100100851,unclassified,False,False,5.28,,"LINESTRING (114.352798 30.4747156, 114.3527429 30.4747154)",,,
1140522925,1140522995,0,97053047,unclassified,False,True,76.623,,"LINESTRING (114.350977 30.4742172, 114.3501775 30.4742111)",,,
1140522925,1140523161,0,97053047,unclassified,False,False,94.648,,"LINESTRING (114.350977 30.4742172, 114.3518977 30.4742188, 114.3519597 30.4742405)",,,
1140522925,1220958814,0,98582981,unclassified,False,True,201.91799999999998,,"LINESTRING (114.350977 30.4742172, 114.3513163 30.4758871, 114.3513259 30.4760074)",,,
1140522932,1145375875,0,98582988,service,False,True,37.098,,"LINESTRING (114.3488474 30.4760052, 114.3488647 30.4763385)",,,
1140522932,1143403093,0,98582999,tertiary,False,False,42.348,狮子山大道,"LINESTRING (114.3488474 30.4760052, 114.3484055 30.4760047)",,,
1140522932,1124470973,0,98582999,tertiary,False,True,16.186,狮子山大道,"LINESTRING (114.3488474 30.4760052, 114.3490162 30.4760001)",,,
1140522934,1221037963,0,97053047,unclassified,False,True,43.7,,"LINESTRING (114.3523547 30.4736713, 114.3521344 30.4740154)",,,
1140522934,1153929767,0,98582987,unclassified,False,False,10.728,,"LINESTRING (114.3523547 30.4736713, 114.3522428 30.4736688)",,,
1140522934,1153929777,0,98582987,unclassified,False,True,6.498,,"LINESTRING (114.3523547 30.4736713, 114.3524225 30.4736713)",,,
1140522949,1153929840,0,98582982,residential,False,False,20.183,金菊路（荟园主干道）,"LINESTRING (114.358629 30.4750326, 114.3586308 30.4752141)",,,
1140522949,1153929912,0,98582982,residential,False,True,46.592,金菊路（荟园主干道）,"LINESTRING (114.358629 30.4750326, 114.3586318 30.4746136)",,,
1140522949,1140523133,0,925030187,living_street,False,False,98.987,,"LINESTRING (114.358629 30.4750326, 114.3575961 30.4750367)",,,
1140522956,1153929837,0,98582975,tertiary,False,False,111.418,樱花路,"LINESTRING (114.3593924 30.4784097, 114.3595267 30.4774144)",,,
1140522956,1157121749,0,931992762,unclassified,False,False,110.163,柑橘路,"LINESTRING (114.3593924 30.4784097, 114.358256 30.4782602)",,,
1140522956,8672472208,0,931992762,unclassified,False,True,49.268,柑橘路,"LINESTRING (114.3593924 30.4784097, 114.359899 30.4784852)",,,
1140522959,1153929867,0,98582980,unclassified,False,True,57.556,,"LINESTRING (114.3539265 30.4720786, 114.3539302 30.4725962)",,,
1140522959,1153929885,0,98842768,tertiary,False,False,41.117,学府路,"LINESTRING (114.3539265 30.4720786, 114.3535252 30.4722094)",,,
1140522959,9255390806,0,98842768,tertiary,False,True,40.274,学府路,"LINESTRING (114.3539265 30.4720786, 114.3543253 30.4719644)",,,
1140522970,1401881627,0,98842768,tertiary,False,False,30.416,学府路,"LINESTRING (114.3576642 30.4711602, 114.357354 30.471218)",,,
1140522970,1153929780,0,126468831,residential,False,True,60.673,红豆路,"LINESTRING (114.3576642 30.4711602, 114.3576787 30.4717057)",,,
1140522970,1140523166,0,98842768,tertiary,False,True,89.743,学府路,"LINESTRING (114.3576642 30.4711602, 114.3583294 30.4710507, 114.35848 30.471022, 114.3585828 30.4710038)",,,
1140522989,1399517914,0,98582999,tertiary,False,False,46.049,狮子山大道,"LINESTRING (114.3538994 30.476005, 114.3534189 30.4760082)",,,
1140522989,1124414325,0,98582999,tertiary,False,True,80.495,狮子山大道,"LINESTRING (114.3538994 30.476005, 114.3547393 30.4760129)",,,
1140522989,1143421164,0,98582980,unclassified,False,False,141.673,,"LINESTRING (114.3538994 30.476005, 114.3538966 30.4758824, 114.3539206 30.4747911, 114.3539284 30.4747315)",,,
1140522995,1140522925,0,97053047,unclassified,False,False,76.623,,"LINESTRING (114.3501775 30.4742111, 114.350977 30.4742172)",,,
1140522995,1221037945,0,98582985,unclassified,False,False,40.864,丹桂路,"LINESTRING (114.3501775 30.4742111, 114.350178 30.4738436)",,,
1140522995,1220958895,0,98582985,unclassified,False,True,29.685,丹桂路,"LINESTRING (114.3501775 30.4742111, 114.3501844 30.474478)",,,
1140523010,1153929815,0,98842768,tertiary,False,False,25.13,学府路,"LINESTRING (114.3527256 30.4724614, 114.3524863 30.4725538)",,,
1140523010,7966695405,0,98842768,tertiary,False,True,29.968,学府路,"LINESTRING (114.3527256 30.4724614, 114.3530184 30.4723668)",,,
1140523010,1153929831,0,99812529,service,False,True,26.587,,"LINESTRING (114.3527256 30.4724614, 114.3528185 30.4726867)",,,
1140523017,1143333538,0,98582975,tertiary,False,False,19.337,樱花路,"LINESTRING (114.3597343 30.4761987, 114.3597351 30.4760248)",,,
1140523017,1143420944,0,98842776,unclassified,False,False,125.743,,"LINESTRING (114.3597343 30.4761987, 114.3608965 30.4756738)",,,
1140523017,9255428124,0,98582975,tertiary,False,True,37.586,樱花路,"LINESTRING (114.3597343 30.4761987, 114.359716 30.4763376, 114.359684 30.4765339)",,,
1140523026,8370528874,0,98582997,unclassified,False,False,160.179,沿湖东路,"LINESTRING (114.3622851 30.4744597, 114.3630212 30.4731664)",,,
1140523026,1140523040,0,98582997,unclassified,False,True,59.891999999999996,沿湖东路,"LINESTRING (114.3622851 30.4744597, 114.3622742 30.4745501, 114.3622867 30.4746146, 114.3624982 30.4749507)",,,
1140523026,7966695439,0,854259605,path,False,True,30.075000000000003,,"LINESTRING (114.3622851 30.4744597, 114.3622028 30.4744774, 114.3619921 30.4745547)",,,
1140523028,7925663807,0,849511845,unclassified,False,False,11.181,,"LINESTRING (114.356783 30.4738814, 114.3566664 30.473878)",,,
1140523028,7925663820,0,854259588,residential,False,True,50.06,,"LINESTRING (114.356783 30.4738814, 114.3567841 30.4743316)",,,
1140523028,1401884961,0,98582979,residential,False,True,84.311,,"LINESTRING (114.356783 30.4738814, 114.3574624 30.4737209, 114.357637 30.4737075)",,,
1140523040,1153929935,0,98582997,unclassified,False,True,160.484,沿湖东路,"LINESTRING (114.3624982 30.4749507, 114.3633758 30.4761799)",,,
1140523040,7966695427,0,98842776,unclassified,False,True,73.417,,"LINESTRING (114.3624982 30.4749507, 114.3618196 30.4752571)",,,
1140523040,1140523026,0,98582997,unclassified,False,False,59.892,沿湖东路,"LINESTRING (114.3624982 30.4749507, 114.3622867 30.4746146, 114.3622742 30.4745501, 114.3622851 30.4744597)",,,
1140523069,7925663808,0,98582982,residential,False,False,28.21,金菊路（荟园主干道）,"LINESTRING (114.3586385 30.4734474, 114.3586303 30.473701)",,,
1140523069,1153929876,0,849511843,living_street,False,False,104.799,,"LINESTRING (114.3586385 30.4734474, 114.359732 30.4734546)",,,
1140523069,8370528821,0,901060658,residential,False,False,4.848,金菊路（荟园主干道）,"LINESTRING (114.3586385 30.4734474, 114.3586382 30.4734038)",,,
1140523081,1153929766,0,98842768,tertiary,False,False,29.85,学府路,"LINESTRING (114.3509919 30.4731139, 114.350699 30.4732052)",,,
1140523081,1153929781,0,98842768,tertiary,False,True,116.847,学府路,"LINESTRING (114.3509919 30.4731139, 114.3521151 30.4727051)",,,
1140523081,8676919146,0,936413459,service,False,False,183.403,,"LINESTRING (114.3509919 30.4731139, 114.3510331 30.4714649)",,,
1140523086,1153929879,0,98582973,living_street,False,True,73.602,,"LINESTRING (114.3594051 30.4725524, 114.3586371 30.472554)",,,
1140523086,1153929882,0,98582975,tertiary,False,False,105.015,樱花路,"LINESTRING (114.3594051 30.4725524, 114.3593051 30.4723642, 114.3591629 30.4720967, 114.3589602 30.4716894)",,,
1140523086,1153929876,0,98582975,tertiary,False,True,105.116,樱花路,"LINESTRING (114.3594051 30.4725524, 114.359563 30.472959, 114.359732 30.4734546)",,,
1140523104,1153929819,0,97053047,unclassified,False,False,10.784,,"LINESTRING (114.3520181 30.4742122, 114.3520649 30.474124)",,,
1140523104,1140523161,0,97053047,unclassified,False,True,6.421,,"LINESTRING (114.3520181 30.4742122, 114.3519597 30.4742405)",,,
1140523104,1221037793,0,106041972,footway,False,False,49.819,,"LINESTRING (114.3520181 30.4742122, 114.3524213 30.474495)",,,
1140523115,8672472200,0,931992766,unclassified,False,False,103.962,柑橘路,"LINESTRING (114.3639869 30.4791817, 114.3629318 30.4789642)",,,
1140523115,1153929935,0,98582997,unclassified,False,False,346.96600000000007,沿湖东路,"LINESTRING (114.3639869 30.4791817, 114.3639015 30.4788702, 114.3636414 30.47786, 114.3635985 30.4776011, 114.3637208 30.4767788, 114.363695 30.4766536, 114.3633758 30.4761799)",,,
1140523115,8701614531,0,98582997,unclassified,False,True,219.966,沿湖东路,"LINESTRING (114.3639869 30.4791817, 114.3642004 30.4797817, 114.3648653 30.4808433, 114.3649544 30.4809654)",,,
1140523132,1401881613,0,98842768,tertiary,False,False,46.613,学府路,"LINESTRING (114.3557553 30.4715795, 114.3552859 30.4716893)",,,
