element_type,osmid,amenity,name,opening_hours,operator,geometry,nodes,building,ways,internet_access,name:en,type
node,3106346026,library,竹园园区阅览室,08:30-22:00,西南大学,POINT (106.4101674 29.8187999),,,,,,
way,350242168,library,西南大学中心图书馆,,,"POLYGON ((106.4205871 29.8235462, 106.4206805 29.8235403, 106.4207617 29.8235133, 106.4208093 29.8234856, 106.4207636 29.8234266, 106.4208198 29.8233938, 106.4208988 29.8234959, 106.4210653 29.823399, 106.420954 29.8232551, 106.4209564 29.8231565, 106.4209263 29.8230756, 106.4208792 29.8230055, 106.4208284 29.8229486, 106.4207533 29.8228953, 106.4206395 29.8228485, 106.4205408 29.8227209, 106.4204294 29.8225767, 106.4197983 29.822944, 106.4198353 29.822992, 106.4198164 29.8230029, 106.4199433 29.8231712, 106.4203115 29.8229624, 106.4204733 29.8231774, 106.4202742 29.8232902, 106.4203323 29.8233675, 106.4202745 29.8234002, 106.4203878 29.823494, 106.4204755 29.8235318, 106.4205871 29.8235462))","[3559961973, 7862085069, 7862085064, 7862085065, 7862085066, 7862085067, 7862085068, 3559961984, 7862085070, 7862085076, 7862085075, 7862085072, 7862085074, 7862085073, 7862085071, 3724521756, 3559961990, 3559961979, 3559961983, 3559961982, 3559961976, 3559961978, 3559961988, 3559961985, 7862085063, 3559961977, 3559961975, 3559961974, 3559961973]",yes,,,,
way,843421780,library,西南大学弘文图书馆,,,"POLYGON ((106.4255632 29.8274266, 106.4255938 29.8273351, 106.4257697 29.8273794, 106.4258019 29.8272832, 106.4255104 29.8272097, 106.4254879 29.8272769, 106.4254306 29.8272625, 106.4255003 29.8270543, 106.4255504 29.8270669, 106.4255427 29.8270899, 106.4257119 29.8271325, 106.4257171 29.827117, 106.4260194 29.8271932, 106.4260139 29.8272097, 106.4262415 29.827267, 106.4262024 29.8273837, 106.4258704 29.8273, 106.4258374 29.8273985, 106.4260083 29.8274415, 106.4259782 29.8275312, 106.4255632 29.8274266))","[7867520974, 7867520975, 7867520976, 7867520977, 7867520978, 7867520979, 7867520980, 7867520981, 7867520982, 7867520983, 7867520984, 7867520985, 7867520986, 7867520987, 7867520988, 7867520989, 7867520990, 7867520991, 7867520992, 7867520993, 7867520974]",yes,,,,
way,843421781,library,,,,"POLYGON ((106.4265043 29.82746, 106.426551 29.8273101, 106.4264149 29.8272801, 106.4264636 29.8271373, 106.426734 29.8272043, 106.4266791 29.82737, 106.4265734 29.8273506, 106.4265388 29.827467, 106.4267015 29.8275041, 106.4268234 29.8270985, 106.4263844 29.8269979, 106.4262543 29.8273965, 106.4265043 29.82746))","[7867520994, 7867520995, 7867520996, 7867520997, 7867520998, 7867520999, 7867521000, 7867521001, 7867521002, 7867521003, 7867521004, 7867521005, 7867520994]",yes,,,,
relation,11564781,library,崇实图书馆,,,"POLYGON ((106.4147541 29.8160457, 106.4150979 29.815965, 106.415069 29.8158721, 106.4152392 29.8158304, 106.4152823 29.8159627, 106.4154024 29.8159332, 106.4153632 29.815813, 106.4153167 29.8158244, 106.4152208 29.8155302, 106.4152456 29.8155242, 106.4152306 29.8154779, 106.4148997 29.8155592, 106.4146295 29.8156275, 106.414662 29.8157334, 106.4146865 29.8157277, 106.4147571 29.8159576, 106.4147286 29.815964, 106.4147541 29.8160457), (106.4149284 29.8156621, 106.4149575 29.815757, 106.4149345 29.8157626, 106.4149775 29.8158946, 106.4149889 29.8159029, 106.414831 29.8159405, 106.4147577 29.8157016, 106.4149284 29.8156621), (106.4151485 29.815569, 106.4151911 29.8156997, 106.4150021 29.815746, 106.4149619 29.8156148, 106.4151485 29.815569))","[[[7862078398, 7862078409, 7862078410, 7862078411, 7862078412, 7862078413, 7862078414, 7862078415, 7862078416, 7862078392], [7862078392, 7862078393, 7862078388, 7862078389, 7862078394], [7862078394, 7862078395, 7862078396, 7862078397, 7862078398], [7862078391, 7862078406, 7862078402], [7862078405, 7862078390, 7862078391], [7862078402, 7862078403, 7862078404, 7862078405], [7862078401, 7862078407, 7862078408, 7862078400], [7862078400, 7862078401]]]",yes,"[842765830, 842765828, 842765829, 925243976, 925243977, 925243978, 925243975, 925243979]",wlan,Chongshi Library,multipolygon
