u,v,key,osmid,name,highway,access,oneway,reversed,length,geometry,service,maxspeed,lanes,bridge,width
3101507810,8744595896,0,"[874022681, 944518219]",,"['service', 'unclassified']",,False,"[False, True]",189.37,"LINESTRING (106.4113712 29.8192968, 106.4113352 29.8193438, 106.4112741 29.8194759, 106.4112246 29.8195826, 106.4111338 29.8196882, 106.410825 29.8197234, 106.4104451 29.8197587, 106.410175 29.8197806, 106.4097622 29.8198127, 106.4096925 29.8198197)",,,,,
3106346038,7847003953,0,305512083,,service,permissive,False,True,113.468,"LINESTRING (106.411447 29.8146133, 106.4118233 29.8155801)",,,,,
3106346038,3724496354,0,305512083,,service,permissive,False,False,62.789,"LINESTRING (106.411447 29.8146133, 106.4113638 29.8143111, 106.4113503 29.8140574)",,,,,
3106346038,7847004076,0,"[850678208, 305512089]",,"['service', 'residential']",,False,True,125.55599999999998,"LINESTRING (106.411447 29.8146133, 106.4122416 29.814418, 106.4122974 29.8143549, 106.4122643 29.8142431, 106.4122218 29.8141204, 106.4123221 29.8140994)",,,,,
3106346045,3101507737,0,306178750,学苑路,service,permissive,False,False,101.231,"LINESTRING (106.4132134 29.8148204, 106.4129253 29.813945)",,,,,
3106346045,3101507770,0,305935496,乡建路,service,permissive,False,False,330.238,"LINESTRING (106.4132134 29.8148204, 106.4143346 29.8145185, 106.4144356 29.8145298, 106.4145272 29.8145694, 106.4148695 29.8148238, 106.4149689 29.814904, 106.4150927 29.8150128, 106.4151504 29.8150619, 106.4152519 29.8151483, 106.4153195 29.8152568, 106.4154032 29.8154813, 106.4154801 29.8157282, 106.4154351 29.8160296)",,,,,
3106346045,7847151668,0,306178750,学苑路,service,permissive,False,True,69.41499999999999,"LINESTRING (106.4132134 29.8148204, 106.4133145 29.8151415, 106.413403 29.8154226)",,,,,
3110234032,7902519408,0,306178746,,service,,False,False,62.147,"LINESTRING (106.4174189 29.8194911, 106.4168825 29.8198006)",,,,,
3110234032,3110234039,0,306178747,,service,,False,False,97.346,"LINESTRING (106.4174189 29.8194911, 106.4178666 29.8201822, 106.4179126 29.8202546)",,,,,
3110234039,7902519418,0,306178747,,service,,False,False,69.375,"LINESTRING (106.4179126 29.8202546, 106.4179842 29.8205451, 106.4180968 29.8207423, 106.4181537 29.8208083, 106.4181705 29.8208278)",,,,,
3110234039,3110234032,0,306178747,,service,,False,True,97.346,"LINESTRING (106.4179126 29.8202546, 106.4178666 29.8201822, 106.4174189 29.8194911)",,,,,
3110234039,3724521757,0,368599423,,service,,False,True,316.393,"LINESTRING (106.4179126 29.8202546, 106.4180865 29.819992, 106.4182252 29.8198982, 106.4183964 29.8198372, 106.418556 29.8198351, 106.4187679 29.8199013, 106.418982 29.820002, 106.4197604 29.8209367, 106.4198213 29.8210271, 106.4198865 29.8211866, 106.4198752 29.8213475, 106.4198731 29.8214434)",,,,,
3110234043,7845776666,0,306178746,,service,,False,False,47.353,"LINESTRING (106.4137164 29.8205904, 106.4133033 29.8203604)",,,,,
3110234043,7861724490,0,306178746,,service,,False,True,136.945,"LINESTRING (106.4137164 29.8205904, 106.4151357 29.8206129)",,,,,
3110234043,7846863808,0,840953776,,service,,False,False,36.945,"LINESTRING (106.4137164 29.8205904, 106.4138586 29.8206984, 106.4139621 29.8206885, 106.4139653 29.8207664)",,,,,
3110234053,7862085034,0,306178747,,service,,False,True,21.711,"LINESTRING (106.418903 29.8216604, 106.4187666 29.8215051)",,,,,
3110234053,7862085000,0,306178747,,service,,False,False,46.635000000000005,"LINESTRING (106.418903 29.8216604, 106.4189631 29.8218261, 106.4189947 29.8219845, 106.4189919 29.8220694)",,,,,
3110234053,7867520527,0,368599423,,service,,False,False,39.254000000000005,"LINESTRING (106.418903 29.8216604, 106.4191253 29.8217546, 106.4192822 29.8217795)",,,,,
3110234061,7862085044,0,842765845,,service,,True,False,17.573,"LINESTRING (106.4189646 29.8224713, 106.4189527 29.8223136)",,25,,,
3110234061,3754268626,0,371876814,,footway,,False,True,109.196,"LINESTRING (106.4189646 29.8224713, 106.4188602 29.8226029, 106.4188346 29.8227263, 106.4188239 29.8228543, 106.4187675 29.8229916, 106.4186898 29.8230847, 106.4184181 29.8232827)",,,,,
3110234068,7867520580,0,843421739,,service,,False,False,14.646,"LINESTRING (106.4199326 29.823623, 106.4200801 29.8236542)",,,,,
3110234068,7867520575,0,843421740,,service,,True,False,9.343,"LINESTRING (106.4199326 29.823623, 106.4198424 29.8235924)",,,,,
3110234068,3110234071,0,842765843,,service,,True,False,69.52,"LINESTRING (106.4199326 29.823623, 106.4199607 29.8237436, 106.4199447 29.8239154, 106.4198989 29.8240589, 106.4198047 29.8242203)",,25,1,,
3110234071,7862085051,0,842765844,,service,,False,False,6.843,"LINESTRING (106.4198047 29.8242203, 106.4197519 29.8241792)",,,,,
3110234071,7867916109,0,842765844,,service,,False,True,30.088,"LINESTRING (106.4198047 29.8242203, 106.4198655 29.8242985, 106.4200142 29.8244186)",,,,,
3110234075,3724109309,0,367700099,,service,,False,True,231.485,"LINESTRING (106.4217789 29.8250959, 106.4221007 29.8252071, 106.4224154 29.8254394, 106.4229457 29.825849, 106.4231415 29.8259742, 106.4233769 29.8260206, 106.4236057 29.8260278, 106.4238221 29.8260319)",,,,,
3110234075,7902519380,0,"[368555723, 368555725]",,service,,False,False,239.32900000000004,"LINESTRING (106.4217789 29.8250959, 106.4218364 29.8246975, 106.4218988 29.8244627, 106.4221363 29.8242203, 106.4223885 29.8241068, 106.4226078 29.824076, 106.4228845 29.8240834, 106.4232426 29.823676)",,,,,
3110234075,7867916111,0,842765844,,service,,False,False,94.101,"LINESTRING (106.4217789 29.8250959, 106.4211379 29.8250165, 106.4208316 29.8249148)",,,,,
3110234075,9207921027,0,843465241,,service,,False,False,66.667,"LINESTRING (106.4217789 29.8250959, 106.4217125 29.8254741, 106.4216428 29.8256556, 106.4216281 29.8256779)",,,,,
3715906644,8543063177,0,367700099,,service,,False,False,17.469,"LINESTRING (106.4253643 29.8265741, 106.4252255 29.8264732)",,,,,
3715906644,7867521194,0,368553904,,service,,False,False,94.894,"LINESTRING (106.4253643 29.8265741, 106.4248584 29.827306)",,,,,
3715906644,8543063179,0,367700099,,service,,False,True,137.88299999999998,"LINESTRING (106.4253643 29.8265741, 106.4256522 29.8265997, 106.4259553 29.8265978, 106.4261921 29.8266526, 106.4263611 29.826717, 106.4266902 29.826925)",,,,,
3724109290,3724109314,0,973994912,,service,,False,False,30.272,"LINESTRING (106.4247296 29.8240765, 106.4246738 29.8243444)",,,,,
3724109290,3724141343,0,843421758,,footway,,False,True,141.266,"LINESTRING (106.4247296 29.8240765, 106.424396 29.8238645, 106.4236008 29.8232685)",,,,,
3724109290,3724109299,0,973994912,,service,,False,True,16.244999999999997,"LINESTRING (106.4247296 29.8240765, 106.4247761 29.8240287, 106.4248709 29.824014)",,,,,
3724109293,3724109301,0,368553897,,service,,False,True,8.188,"LINESTRING (106.4247909 29.8246636, 106.4247105 29.8246872)",,,,,
3724109293,9209393877,0,997367947,,footway,,False,False,28.866,"LINESTRING (106.4247909 29.8246636, 106.4250811 29.8247269)",,,,,
