element_type,osmid,nodes,name,natural,water,geometry
way,236944615,"[2449046664, 2449046665, 2449046666, 2449046667, 2449046668, 2449046669, 2449046670, 2449046671, 2449046664]",中央喷泉,water,pond,"POLYGON ((118.7889424 32.0574577, 118.7890333 32.0574576, 118.7891004 32.0573962, 118.7890977 32.0573166, 118.7890199 32.0572518, 118.7889368 32.0572553, 118.788867 32.05732, 118.7888724 32.0574064, 118.7889424 32.0574577))"
way,1056854765,"[9711161977, 9711161978, 9711161979, 9711161980, 9711161977]",,water,pond,"POLYGON ((118.7930583 32.0580664, 118.7929088 32.0576314, 118.7931566 32.0575681, 118.7933021 32.058003, 118.7930583 32.0580664))"
