u,v,key,osmid,highway,oneway,reversed,length,name,geometry
8515442058,8515442065,0,916831867,service,False,True,105.80799999999999,长空路,"LINESTRING (118.8145214 32.0366213, 118.8138683 32.0366963, 118.8134091 32.0367493)"
8515442059,8515442066,0,916831868,service,False,True,105.391,凌云路,"LINESTRING (118.8143132 32.0353391, 118.8132063 32.0354727)"
8515442059,8985324540,0,916831869,service,False,True,71.723,博远路,"LINESTRING (118.8143132 32.0353391, 118.8144079 32.0359791)"
8515442059,8515442095,0,916831868,service,False,False,146.25400000000002,凌云路,"LINESTRING (118.8143132 32.0353391, 118.8148737 32.0352742, 118.8158523 32.035173)"
8515442060,8985309484,0,916831869,service,False,False,21.649,博远路,"LINESTRING (118.8149205 32.0393705, 118.8148951 32.039177)"
8515442060,8515442079,0,916831869,service,False,True,36.386,博远路,"LINESTRING (118.8149205 32.0393705, 118.8149578 32.0396962)"
8515442060,8985309483,0,916831870,service,False,True,59.753,,"LINESTRING (118.8149205 32.0393705, 118.8142888 32.0394155)"
8515442060,8985309488,0,916831870,service,False,False,123.77799999999999,,"LINESTRING (118.8149205 32.0393705, 118.8157918 32.0393242, 118.8158472 32.0393487, 118.815878 32.0393783, 118.8159062 32.0394283, 118.8159344 32.0396523)"
8515442061,8515442085,0,916831864,service,False,False,35.452,向学路,"LINESTRING (118.8133928 32.0394897, 118.8133515 32.0391728)"
8515442061,8515442029,0,916831864,service,False,True,36.896,向学路,"LINESTRING (118.8133928 32.0394897, 118.8134359 32.0398195)"
8515442061,8515442082,0,916831870,service,False,False,52.2,,"LINESTRING (118.8133928 32.0394897, 118.8139435 32.0394401)"
8515442063,8515442088,0,916831871,service,False,False,38.925,明德路,"LINESTRING (118.8137339 32.0387736, 118.8136735 32.0384273)"
8515442063,8985309482,0,916831880,service,False,False,48.206,,"LINESTRING (118.8137339 32.0387736, 118.814244 32.0387425)"
8515442063,8515442087,0,916831880,service,False,True,26.937,,"LINESTRING (118.8137339 32.0387736, 118.8134497 32.038799)"
8515442064,8515442039,0,916831866,service,False,True,86.968,翔宇路,"LINESTRING (118.8135878 32.0379367, 118.812677 32.0380616)"
8515442064,8515442090,0,916831871,service,False,False,58.215,明德路,"LINESTRING (118.8135878 32.0379367, 118.8135161 32.0374167)"
8515442064,8515442088,0,916831871,service,False,True,55.147,明德路,"LINESTRING (118.8135878 32.0379367, 118.8136735 32.0384273)"
