element_type,osmid,nodes,building,geometry,historic,name,amenity,name:en,name:zh,name:zh-Hans,name:zh-Hant,tourism
way,916831913,"[8515450432, 8515450433, 8515450434, 8515450435, 8515450436, 8515450437, 8515450438, 8515450439, 8515450440, 8515450441, 8515450442, 8515450443, 8515450432]",school,"POLYGON ((118.81267 32.0373161, 118.8126068 32.0368948, 118.8128275 32.036871, 118.812835 32.0369206, 118.8132507 32.0368758, 118.8132464 32.036847, 118.813345 32.0368364, 118.8134024 32.0372194, 118.8132456 32.0372362, 118.8132087 32.0369902, 118.8128434 32.0370295, 118.8128829 32.0372931, 118.81267 32.0373161))",,A3号楼,,,,,,
way,916831914,"[8515450444, 8515450445, 8515450446, 8515450447, 8515450448, 8515450449, 8515450450, 8515450451, 8515450444]",school,"POLYGON ((118.8148033 32.0376524, 118.8147782 32.0374786, 118.8149171 32.0374642, 118.8149205 32.0374877, 118.81542 32.0374359, 118.8154138 32.0373924, 118.8155252 32.0373808, 118.8155531 32.0375745, 118.8148033 32.0376524))",,A5号楼,,,,,,
way,916831915,"[8515450452, 8515450453, 8515450454, 8515450455, 8515450456, 8515450457, 8515450458, 8515450459, 8515450452]",school,"POLYGON ((118.8147115 32.0372747, 118.8146882 32.0371356, 118.8154848 32.0370397, 118.8155042 32.0371556, 118.8153493 32.0371742, 118.8153577 32.0372243, 118.8149095 32.0372782, 118.814905 32.0372515, 118.8147115 32.0372747))",,A7号楼,,,,,,
way,916831916,"[8515450460, 8515450461, 8515450462, 8515450463, 8515450460]",school,"POLYGON ((118.8148374 32.0368998, 118.8148202 32.0367201, 118.8152752 32.0366889, 118.8152923 32.0368686, 118.8148374 32.0368998))",,荟萃楼,,,,,,
way,916831917,"[8515450464, 8515450465, 8515450466, 8515450467, 8515450464]",school,"POLYGON ((118.8125561 32.0365479, 118.8124916 32.0361173, 118.8131596 32.0360454, 118.8132241 32.0364761, 118.8125561 32.0365479))",,体育馆,,,,,,
way,916831918,"[8515450468, 8515450469, 8515450470, 8515450471, 8515450472, 8515450473, 8515450474, 8515450468]",school,"POLYGON ((118.8135462 32.0365851, 118.8135001 32.0363211, 118.8137231 32.0363571, 118.8139001 32.0363511, 118.8140912 32.0363181, 118.814346 32.0362401, 118.8143637 32.0364741, 118.8135462 32.0365851))",,A1号楼,,,,,,
way,916831919,"[8515450475, 8515450476, 8515450477, 8515450478, 8515450479, 8515450480, 8515450481, 8515450482, 8515450475]",school,"POLYGON ((118.8146557 32.0365897, 118.81462 32.0363841, 118.8148118 32.0363601, 118.8147868 32.0362164, 118.8146842 32.0362293, 118.8146584 32.0360807, 118.8156435 32.0359577, 118.81573 32.0364556, 118.8146557 32.0365897))",,图书馆,,,,,,
way,916831920,"[8515450483, 8515450484, 8515450485, 8515450486, 8515450483]",school,"POLYGON ((118.8146643 32.0345014, 118.8146193 32.0341698, 118.8155028 32.0340835, 118.8155479 32.0344153, 118.8146643 32.0345014))",,A23号楼,,,,,,
way,916831923,"[8515450516, 8515450517, 8515450518, 8515450519, 8515450516]",school,"POLYGON ((118.8123244 32.0348406, 118.8123029 32.0346995, 118.8127034 32.0346499, 118.8127342 32.0347831, 118.8123244 32.0348406))",,,,,,,,
way,916831924,"[8515450520, 8515450521, 8515450522, 8515450523, 8515450520]",school,"POLYGON ((118.8124933 32.0346089, 118.8124562 32.0344562, 118.8127838 32.0343989, 118.8128209 32.0345517, 118.8124933 32.0346089))",,,,,,,,
way,916831926,"[8515450527, 8515450528, 8515450529, 8515450530, 8515450527]",school,"POLYGON ((118.8162273 32.0364875, 118.8161995 32.0363024, 118.816926 32.036224, 118.8169537 32.0364091, 118.8162273 32.0364875))",,,,,,,,
way,916831927,"[8515450531, 8515450532, 8515450533, 8515450534, 8515450531]",school,"POLYGON ((118.816164 32.03614, 118.8161361 32.0359548, 118.8168626 32.0358765, 118.8168904 32.0360615, 118.816164 32.03614))",,B19号楼,,,,,,
way,916831928,"[8515450535, 8515450536, 8515450537, 8515450538, 8515450535]",school,"POLYGON ((118.8175329 32.0363018, 118.8175115 32.0361704, 118.8181121 32.0361001, 118.8181335 32.0362315, 118.8175329 32.0363018))",,B13号楼,,,,,,
way,916831929,"[8515450539, 8515450540, 8515450541, 8515450542, 8515450539]",school,"POLYGON ((118.8174766 32.0359411, 118.8174552 32.0358096, 118.8180557 32.0357393, 118.8180771 32.0358707, 118.8174766 32.0359411))",,B12号楼,,,,,,
way,916831930,"[8515450543, 8515450544, 8515450545, 8515450546, 8515450543]",school,"POLYGON ((118.8174235 32.0355931, 118.8174021 32.0354616, 118.8180026 32.0353913, 118.8180241 32.0355227, 118.8174235 32.0355931))",,B11号楼,,,,,,
way,916831931,"[8515450547, 8515450548, 8515450549, 8515450550, 8515450547]",school,"POLYGON ((118.8173563 32.0352571, 118.8173348 32.0351256, 118.8179354 32.0350553, 118.8179568 32.0351867, 118.8173563 32.0352571))",,B10号楼,,,,,,
way,916831932,"[8515450551, 8515450552, 8515450553, 8515450554, 8515450551]",school,"POLYGON ((118.8173244 32.034987, 118.817303 32.0348555, 118.8179035 32.0347852, 118.817925 32.0349166, 118.8173244 32.034987))",,B9号楼,,,,,,
way,916831933,"[8515450555, 8515450556, 8515450557, 8515450558, 8515450555]",school,"POLYGON ((118.8172749 32.034753, 118.8172534 32.0346215, 118.817854 32.0345512, 118.8178754 32.0346826, 118.8172749 32.034753))",,B8号楼,,,,,,
way,916831934,"[8515450559, 8515450560, 8515450561, 8515450562, 8515450559]",school,"POLYGON ((118.8172466 32.034471, 118.8172251 32.0343395, 118.8178257 32.0342692, 118.8178471 32.0344006, 118.8172466 32.034471))",,B7号楼,,,,,,
way,916831935,"[8515450563, 8515450564, 8515450565, 8515450566, 8515450563]",school,"POLYGON ((118.8162221 32.0368179, 118.8161962 32.0366527, 118.8169654 32.036566, 118.8169913 32.036731, 118.8162221 32.0368179))",,B17号楼,,,,,,
way,916831936,"[8515450567, 8515450568, 8515450569, 8515450570, 8515450567]",school,"POLYGON ((118.817085 32.0367283, 118.8170567 32.0365543, 118.8176786 32.0364816, 118.8177069 32.0366557, 118.817085 32.0367283))",,B16号楼,,,,,,
way,916831937,"[8515450571, 8515450572, 8515450573, 8515450574, 8515450571]",school,"POLYGON ((118.8170165 32.0363623, 118.8169974 32.0362208, 118.8174339 32.0361784, 118.817453 32.03632, 118.8170165 32.0363623))",,B15号楼,,,,,,
way,916831938,"[8515450575, 8515450576, 8515450577, 8515450578, 8515450575]",school,"POLYGON ((118.8169575 32.0360193, 118.8169384 32.0358778, 118.8173749 32.0358355, 118.817394 32.035977, 118.8169575 32.0360193))",,B14号楼,,,,,,
way,916831939,"[8515450579, 8515450580, 8515450581, 8515450582, 8515450579]",school,"POLYGON ((118.8159162 32.0358789, 118.8158888 32.0357554, 118.8163747 32.0356779, 118.8164021 32.0358013, 118.8159162 32.0358789))",,B20号楼,,,,,,
way,916831940,"[8515450583, 8515450584, 8515450585, 8515450586, 8515450583]",yes,"POLYGON ((118.8159624 32.0356162, 118.8159037 32.0353531, 118.816359 32.0352801, 118.8164176 32.0355432, 118.8159624 32.0356162))",,明故宫食堂,restaurant,,,,,
