element_type,osmid,amenity,name,name:en,name:zh,name:zh-Hans,name:zh-Hant,opening_hours,geometry,nodes,building,building:levels,internet_access,internet_access:fee,operator,building:part
node,6024421201,library,无人值守图书馆,SZ Autonomous Library,无人值守图书馆,无人值守图书馆,無人值守圖書館,24/7,POINT (113.994006 22.6034509),,,,,,,
way,533170974,library,南方科技大学图书馆,Lynn Library,南方科技大学图书馆,南方科技大学图书馆,南方科技大學圖書館,08:00-22:00,"POLYGON ((113.9929466 22.5977788, 113.9931505 22.5977762, 113.9932711 22.5977701, 113.9932903 22.5977691, 113.9933045 22.5977684, 113.9933219 22.5977658, 113.9934669 22.597745, 113.9936546 22.5977119, 113.9937938 22.5976807, 113.9937935 22.5977521, 113.9937917 22.5981461, 113.9936061 22.5981403, 113.9934838 22.5981481, 113.9933597 22.5981622, 113.9933298 22.5981656, 113.993289 22.5981731, 113.9932349 22.5981831, 113.9930508 22.5982349, 113.9929466 22.5977788))","[5173028397, 5173028398, 8511339799, 9055227475, 5173028399, 9055227474, 5173028400, 5173028401, 5173028402, 6265111317, 5173028403, 5173028404, 5173028405, 8552127807, 5173028406, 8511339798, 5173028407, 5173028408, 5173028397]",yes,6,wlan,no,SUSTech,
way,710848316,library,一丹图书馆,Yidan Library,一丹图书馆,一丹图书馆,一丹圖書館,,"POLYGON ((113.9931875 22.6006833, 113.9930866 22.6004616, 113.9930851 22.6003577, 113.9931107 22.6002412, 113.9932778 22.6000432, 113.9933239 22.5999886, 113.9933962 22.5999841, 113.9934245 22.5999824, 113.9934149 22.6005734, 113.9931875 22.6006833))","[6683163592, 8552234691, 6683163593, 8552234690, 9070798436, 8552234693, 9070798438, 8552234692, 6683163596, 6683163592]",,5,,,,yes
way,876065295,library,涵泳图书馆,Learning Nexus,涵泳图书馆,涵泳图书馆,涵泳圖書館,,"POLYGON ((113.9918893 22.6045993, 113.9920182 22.6046214, 113.992094 22.6042443, 113.9919651 22.6042222, 113.9918893 22.6045993))","[6531606995, 8153829294, 8153829295, 6531606996, 6531606995]",yes,,,,,
