u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,junction,bridge,maxspeed,width,tunnel,service
5173027948,9326228301,0,533170945,创新路,unclassified,False,False,127.13300000000001,"LINESTRING (113.9967575 22.5985952, 113.9964056 22.5983198, 113.9958596 22.5978093)",,,,,,,
5173027948,5173027937,0,533170945,创新路,unclassified,False,True,213.47600000000003,"LINESTRING (113.9967575 22.5985952, 113.9968081 22.5986248, 113.9970235 22.5987965, 113.9971547 22.5989091, 113.9972491 22.5990207, 113.9973061 22.5990864, 113.9973416 22.5991484, 113.9975155 22.5994984, 113.997611 22.5996897, 113.9976822 22.5998118, 113.9977634 22.5999, 113.9978834 22.6000009, 113.9980054 22.600085)",,,,,,,
5173027948,7057414669,0,755562236,立信路,unclassified,False,False,124.675,"LINESTRING (113.9967575 22.5985952, 113.9960865 22.5989213, 113.9957042 22.5991511)",,,,,,,
5173027965,9049790443,0,533170946,,unclassified,False,False,3.517,"LINESTRING (113.9942406 22.5960421, 113.9942593 22.5960156)",,,,,,,
5173027965,8059520600,0,864686953,,unclassified,False,True,20.719,"LINESTRING (113.9942406 22.5960421, 113.9941438 22.5962056)",,,,,,,
5173027965,6265111359,0,669046554,创新路,unclassified,False,True,188.15200000000002,"LINESTRING (113.9942406 22.5960421, 113.9943991 22.5960872, 113.9945308 22.5961379, 113.9946716 22.5962055, 113.994829 22.5963284, 113.9949506 22.5964275, 113.9950272 22.5965153, 113.9950815 22.5966137, 113.9951239 22.5967425, 113.995163 22.5968791, 113.9952082 22.5969694, 113.9952692 22.5970783, 113.9953424 22.5972022, 113.995383 22.5972469)",,,,,,,
5173027965,9049790440,0,926524846,创新路,unclassified,False,False,40.428,"LINESTRING (113.9942406 22.5960421, 113.9941404 22.5960332, 113.994053 22.5960226, 113.9938496 22.5960461)",,,,,,,
5173027972,8549774001,0,669046555,创新路,unclassified,False,True,19.183,"LINESTRING (113.9922578 22.5971384, 113.9924073 22.5970349)",,,,,,,
5173027972,5173028147,0,669046555,创新路,unclassified,False,False,20.981,"LINESTRING (113.9922578 22.5971384, 113.9921402 22.597217, 113.9920855 22.5972379)",,,,,,,
5173027972,9049790442,0,978035225,,path,False,False,233.70999999999998,"LINESTRING (113.9922578 22.5971384, 113.9922912 22.5970121, 113.9925823 22.5966828, 113.9927137 22.5965639, 113.992762 22.5964921, 113.9927982 22.5963881, 113.9927915 22.5962123, 113.9928009 22.5961293, 113.9928317 22.5960192, 113.9928961 22.5959114, 113.993006 22.5958149, 113.9931589 22.5957629, 113.9932971 22.5957529, 113.9935143 22.5957542, 113.9935873 22.595763)",,,,,,,
