element_type,osmid,geometry,nodes,amenity,building,internet_access,internet_access:fee,internet_access:ssid,name,name:de,name:en,name:zh,name:zh-Hans,name:zh-Hant,website,addr:housename,leisure,sport,healthcare,building:levels,alt_name:en,tourism,url,addr:city,addr:postcode,addr:street,layer,shop,building:levels:underground,alt_name,ways,type
way,88777864,"POLYGON ((116.3419295 39.9827694, 116.3419476 39.9822459, 116.3420653 39.9822483, 116.3420671 39.9821958, 116.3431204 39.9822172, 116.3431178 39.9822907, 116.3431954 39.9822923, 116.3431777 39.9828045, 116.3429776 39.9828005, 116.3429748 39.9828828, 116.3421516 39.982866, 116.3421578 39.9826866, 116.3421085 39.9826856, 116.3421054 39.982773, 116.3419295 39.9827694))","[1030342316, 2706659348, 2706659347, 1030342317, 1030342318, 2706659342, 2706659341, 2706659340, 2706659339, 1030342319, 2706659343, 2706659344, 2706659345, 2706659346, 1030342316]",library,yes,wlan,no,BUAA-WiFi-Free,北航图书馆,Bibliothek,Library Of Beihang University,北航图书馆,北航图书馆,北航圖書館,https://lib.buaa.edu.cn/,,,,,,,,,,,,,,,,,
way,88777866,"POLYGON ((116.3383064 39.9801791, 116.3390885 39.9802069, 116.3390973 39.9800625, 116.3383152 39.9800347, 116.3383064 39.9801791))","[1030342336, 1030342337, 1030342338, 1030342339, 1030342336]",,dormitory,,,,学生1公寓（留学生公寓）,,,学生1公寓（留学生公寓）,学生1公寓（留学生公寓）,學生1公寓（留學生公寓）,,,,,,,,,,,,,,,,,,
way,131835343,"POLYGON ((116.3420795 39.9794831, 116.3426066 39.9795041, 116.3426529 39.9788213, 116.3421258 39.9788003, 116.3420795 39.9794831))","[1450303163, 1450303167, 1450303159, 1450303158, 1450303163]",,yes,,,,游泳馆,Schwimmhalle,Swimming Hall,游泳馆,游泳馆,游泳館,,游泳馆,sports_centre,swimming,,,,,,,,,,,,,,
way,190405979,"POLYGON ((116.3421051 39.9786688, 116.3421222 39.9780499, 116.3425779 39.9780573, 116.3425608 39.9786762, 116.3421051 39.9786688))","[2010485279, 2010485276, 2010485283, 2010485281, 2010485279]",,yes,,,,天行网球馆,,,天行网球馆,天行网球馆,天行網球館,,,,,,,,,,,,,,,,,,
way,190406471,"POLYGON ((116.3428721 39.9787417, 116.3428844 39.9784676, 116.3436745 39.9784884, 116.3436623 39.9787624, 116.3428721 39.9787417))","[2010491581, 2010491585, 2010491578, 2010491583, 2010491581]",,yes,,,,第十馆,,,第十馆,第十馆,第十館,,,,,,,,,,,,,,,,,,
way,190426330,"POLYGON ((116.3431119 39.978829, 116.3431027 39.9789836, 116.3428402 39.9789744, 116.3428184 39.9793386, 116.3430545 39.9793469, 116.3430457 39.9794929, 116.3436323 39.9795135, 116.3436415 39.9793588, 116.3438473 39.9793661, 116.3438687 39.9790092, 116.3436832 39.9790026, 116.3436923 39.9788494, 116.3431119 39.978829))","[2010550244, 2010550243, 2010550247, 2010550249, 2010550252, 2010550250, 2010550251, 2010550253, 2010550246, 2010550242, 2010550248, 2010550245, 2010550244]",,yes,,,,体育馆,,,体育馆,体育馆,體育館,,,sports_centre,,,,,,,,,,,,,,,
way,190426947,"POLYGON ((116.3434355 39.9783304, 116.3434414 39.9781197, 116.3435996 39.9781223, 116.3435936 39.978333, 116.3434355 39.9783304))","[2010553845, 2010553844, 2010553847, 2010553849, 2010553845]",,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,190426949,"POLYGON ((116.3436834 39.978338, 116.3436917 39.9781284, 116.3439407 39.9781342, 116.3439324 39.9783438, 116.3436834 39.978338))","[2010553846, 2010553843, 2010553842, 2010553848, 2010553846]",,yes,,,,月宫一号,,,月宫一号,月宫一号,月宮一號,,,,,,,,,,,,,,,,,,
way,190426979,"POLYGON ((116.3383592 39.978107, 116.3383632 39.978001, 116.3387999 39.9780088, 116.338799 39.9781125, 116.3383592 39.978107))","[2010554139, 2010554142, 2010554138, 2010554141, 2010554139]",,yes,,,,404住宅,,,404住宅,404住宅,404住宅,,,,,,,,,,,,,,,,,,
way,190426980,"POLYGON ((116.3383013 39.979284, 116.3383069 39.9791663, 116.3387338 39.9791764, 116.3387282 39.9792929, 116.3383013 39.979284))","[2010554143, 2010554134, 2010554147, 2010554150, 2010554143]",,yes,,,,402住宅,,,402住宅,402住宅,402住宅,,,,,,,,,,,,,,,,,,
