element_type,osmid,amenity,geometry,nodes
node,1030342287,parking,POINT (116.338253 39.9808662),
way,575044391,parking,"POLYGON ((116.341937 39.9798788, 116.3438276 39.9799317, 116.3438391 39.9796909, 116.3419484 39.979638, 116.341937 39.9798788))","[5518571070, 5518571069, 5518571068, 5518571067, 5518571070]"
