element_type,osmid,nodes,natural,water,geometry,barrier,height,name,ways,type
way,375408812,"[3787792975, 3787792972, 3787792971, 3787792970, 3787792969, 3787792968, 3787792964, 3798076016, 3792379490, 3792379483, 3792379480, 3792379482, 3792379487, 3792379491, 3792379489, 3792379488, 3792379486, 3834572197, 3792379484, 3792379481, 3792379479, 3834572193, 3792379477, 3834572194, 3834572196, 3834572195, 3834572192, 3834572191, 3792379472, 3792379469, 3834572190, 3792379467, 3792379466, 3792379468, 3792379473, 3792379478, 3792379475, 3792379470, 3792379471, 3792379474, 3792379476, 3792379485, 3809669076, 3787792963, 3787792973, 3792691695, 3792691698, 3792379496, 3792379502, 3792379508, 3792379511, 3792379513, 8666099901, 3792379512, 3792379510, 3837080173, 3792379509, 3792379507, 3792379506, 3792379503, 3837080160, 3837080161, 3792379505, 3837080159, 3792379504, 3837080158, 3792618969, 3792618965, 3837080157, 3792618963, 3792618961, 3792618960, 3792379500, 3792618959, 3792618958, 3792618957, 3792606656, 3792379497, 3787792975]",water,river,"POLYGON ((121.4022973 31.2306058, 121.4024487 31.2304224, 121.4026269 31.2301938, 121.4027836 31.2299941, 121.4029081 31.2298273, 121.4030463 31.2296644, 121.4032537 31.2293906, 121.4033181 31.2293027, 121.4033359 31.2292769, 121.4033812 31.2292318, 121.4034323 31.2292059, 121.4034822 31.2292279, 121.4035173 31.2292576, 121.4035848 31.2292847, 121.403634 31.2292829, 121.4037215 31.2292463, 121.4037734 31.2292537, 121.4038135 31.2292511, 121.4038405 31.2292327, 121.4038413 31.2292047, 121.4038111 31.2291763, 121.4038355 31.2291441, 121.4038881 31.229135, 121.4039372 31.2291501, 121.4039655 31.2291833, 121.403999 31.2291661, 121.4040058 31.2291331, 121.4039814 31.2291054, 121.4039505 31.2290833, 121.4039202 31.229056, 121.4038952 31.2290339, 121.4038672 31.2290168, 121.4038147 31.2290066, 121.4037613 31.2290254, 121.403709 31.229096, 121.4036331 31.2291363, 121.4035592 31.2291182, 121.4035073 31.2290567, 121.4034423 31.2290483, 121.4033434 31.2290912, 121.4032771 31.2291311, 121.4031941 31.2292395, 121.403171 31.2292708, 121.403121 31.2293386, 121.4022033 31.2305737, 121.4022045 31.2305889, 121.4021773 31.2306258, 121.4021603 31.230637, 121.4018781 31.2310588, 121.4016881 31.23138, 121.4017756 31.2314381, 121.4019822 31.23154, 121.4019946 31.2315107, 121.4020154 31.2314613, 121.4019279 31.2314213, 121.4018819 31.2313958, 121.4018629 31.2313729, 121.401858 31.2313487, 121.4018661 31.2313268, 121.402013 31.2311135, 121.4021448 31.2311613, 121.4021559 31.2311639, 121.4021648 31.2311604, 121.4021707 31.2311511, 121.4021776 31.2311262, 121.4021804 31.2311091, 121.4022476 31.2309824, 121.402265 31.2309491, 121.4023317 31.2308227, 121.40234 31.2308101, 121.4023535 31.2307766, 121.4023549 31.2307659, 121.4023481 31.230749, 121.4023456 31.2307387, 121.4023456 31.2307305, 121.4023491 31.2307214, 121.4022594 31.2306829, 121.4022528 31.2306649, 121.4022973 31.2306058))",,,,,
way,377157810,"[3805335174, 3805335165, 3805335164, 3805335168, 3805335182, 3805335193, 3805335204, 3805335219, 3805335232, 3805335238, 3805335240, 3805335236, 3805335223, 3805335213, 3805335201, 3805335187, 3805335174]",water,pond,"POLYGON ((121.4038939 31.2285681, 121.4039222 31.2285553, 121.4039541 31.2285528, 121.4039848 31.2285608, 121.4040094 31.2285783, 121.4040244 31.2286026, 121.4040274 31.2286299, 121.4040179 31.228656, 121.4039975 31.2286771, 121.4039691 31.2286899, 121.4039372 31.2286925, 121.4039066 31.2286844, 121.4038819 31.2286669, 121.403867 31.2286427, 121.403864 31.2286154, 121.4038734 31.2285892, 121.4038939 31.2285681))",wall,0.3,,,
relation,5655265,"[[[1297097658, 3830464992, 3830464996, 3830465002, 3830465004, 3830344485, 1297097668, 3830465007, 3786152451, 1297097766, 1297097714, 3830344488, 3830344486, 3833126824, 3833126822, 3833126821, 1297097682, 1297097606, 1297097676, 1297097659, 1297097901, 3787721597, 1297097847, 1297097710, 3807157327, 3807157337, 3808090164, 3808090171, 3807157318, 3807157271, 3808087752, 3808090161, 3807157273, 3807157272, 1297097620, 3806677499, 3806931191, 1297097943, 3806928010, 3806931189, 1297097712, 3791266766, 3808615601, 3808615600, 3808615592, 3808615586, 1297097754, 3830956621, 1297097823, 3830956610, 1297097845, 1297097633, 3786152425, 3786152426, 3786152427, 3786152428, 1297097882, 3786152429, 1130836025, 3786152430, 3786152431, 3786152432, 3786152433, 3786152434, 1130836131, 3786152436, 3786152435, 1130836107, 3786152437, 3786152438, 3786152439, 3786152440, 3786152441, 3786152442, 1130836083, 3786152443, 3786152444, 3786152445, 1130836081, 3786152446, 3786152447, 3786152448, 3786152449, 1130836121, 1297097651, 1130836127, 1297097751, 3809925892, 3809925893, 1297097782, 1297097618, 1297097602, 1297097801, 1297097644, 1297097890, 1297097658], [3830464987, 3830464990, 3830464994, 3830464995, 3830464999, 3830464998, 3830465003, 3830465005, 1297097843, 3830344481, 3830344480, 1297097777, 3852252961, 1297097584, 3830314112, 1297097725, 3830314111, 1297097677, 3856732316, 1297097862, 3852252957, 1297097878, 3852252962, 1297097917, 3830464987]]]",water,river,"POLYGON ((121.3999361 31.2318461, 121.3999615 31.2318619, 121.3999996 31.231884, 121.4000255 31.2318925, 121.4000523 31.2319275, 121.400104 31.2319615, 121.400102 31.2320121, 121.4001363 31.2320626, 121.4002034 31.2320063, 121.4002614 31.2319907, 121.4002741 31.2319702, 121.40027 31.2319306, 121.4002893 31.2319078, 121.4002858 31.2318827, 121.4003103 31.2318595, 121.4003445 31.2317911, 121.4004277 31.2316719, 121.4004518 31.2315297, 121.4005027 31.2314311, 121.4007119 31.23111, 121.401037 31.2304657, 121.4011824 31.2301777, 121.4013953 31.2295783, 121.4014233 31.2294967, 121.4014394 31.2294502, 121.4014263 31.2294473, 121.4014106 31.2294942, 121.4013245 31.2294731, 121.4013603 31.2293662, 121.4014464 31.2293873, 121.4014303 31.2294354, 121.4014431 31.2294382, 121.4014594 31.2293905, 121.4015724 31.2290363, 121.4016016 31.2289751, 121.4016224 31.2288986, 121.4016305 31.2288455, 121.4016748 31.2286752, 121.4017458 31.2284258, 121.4017812 31.2282593, 121.4018238 31.2280838, 121.4018959 31.2278311, 121.4018559 31.2278223, 121.4018917 31.2275303, 121.4019236 31.2270912, 121.4019363 31.2269168, 121.4019245 31.2267295, 121.4019133 31.2265592, 121.4018755 31.2263322, 121.4018277 31.2260689, 121.4017696 31.2258189, 121.4017079 31.2258271, 121.4016791 31.2258682, 121.4016162 31.2258919, 121.4016183 31.225933, 121.4016625 31.2259376, 121.4017058 31.2259576, 121.4017254 31.2259989, 121.401725 31.2260415, 121.4017069 31.2261036, 121.401741 31.2261492, 121.4017378 31.2261994, 121.4017367 31.2262468, 121.4017663 31.2262941, 121.4017261 31.2264311, 121.4016802 31.2264247, 121.4016232 31.2264574, 121.4016956 31.2264845, 121.401734 31.2265281, 121.401737 31.2265953, 121.4017028 31.2266783, 121.4016356 31.2267112, 121.4015251 31.2267304, 121.4014866 31.2275095, 121.4014428 31.2278556, 121.401467 31.2279576, 121.4014293 31.2283111, 121.4013619 31.2286238, 121.4012769 31.2287536, 121.4012797 31.2288311, 121.4012588 31.2289122, 121.4012105 31.2289729, 121.4010331 31.2296445, 121.4007132 31.2304944, 121.4005075 31.2308389, 121.4002139 31.2312635, 121.4002018 31.2312578, 121.4001472 31.2312957, 121.3999662 31.2314219, 121.3998857 31.2316512, 121.3998231 31.2318058, 121.3997974 31.2318989, 121.3998322 31.2319268, 121.399889 31.2319176, 121.3999261 31.2318485, 121.3999361 31.2318461), (121.3999422 31.2317613, 121.3999787 31.231654, 121.3999905 31.2316191, 121.4000213 31.2315473, 121.4000429 31.2314995, 121.4000793 31.2314677, 121.4001756 31.2314081, 121.4002518 31.2313855, 121.4003134 31.2313934, 121.400327 31.2314203, 121.4003284 31.2314976, 121.4002596 31.231648, 121.4002158 31.23172, 121.4001555 31.2318143, 121.4001209 31.2318439, 121.400124 31.2318941, 121.4000926 31.2319008, 121.4000647 31.231887, 121.4000489 31.2318662, 121.4000278 31.2318699, 121.3999983 31.2318603, 121.399978 31.2318512, 121.3999541 31.2318377, 121.3999401 31.2318256, 121.3999422 31.2317613))",,,丽娃河,"[97674419, 379718917]",multipolygon
