u,v,key,osmid,highway,access,oneway,reversed,length,tunnel,geometry,junction,bridge,service,name
3846953137,3792792789,0,377583585,service,permissive,False,False,5.767,,"LINESTRING (121.4015257 31.2315687, 121.4015495 31.231521)",,,,
3846953137,3847040739,0,377583585,service,permissive,False,True,4.852,,"LINESTRING (121.4015257 31.2315687, 121.4015053 31.2316087)",,,,
3846953137,3846953146,0,381489277,service,permissive,False,False,40.697,,"LINESTRING (121.4015257 31.2315687, 121.4019276 31.2316946)",,,driveway,
3846953146,3846953137,0,381489277,service,permissive,False,True,40.697,,"LINESTRING (121.4019276 31.2316946, 121.4015257 31.2315687)",,,driveway,
3847040739,3846953137,0,377583585,service,permissive,False,False,4.852,,"LINESTRING (121.4015053 31.2316087, 121.4015257 31.2315687)",,,,
3847040739,1317204570,0,377583585,service,permissive,False,True,11.792,,"LINESTRING (121.4015053 31.2316087, 121.4014557 31.2317059)",,,,
3847040739,4420884882,0,381500989,footway,,False,False,23.175,,"LINESTRING (121.4015053 31.2316087, 121.401277 31.2315357)",,,,
3851936130,1297097945,0,381990393,footway,,False,True,20.2,,"LINESTRING (121.4010578 31.2310745, 121.4008595 31.2310093)",,,,
3852252961,3830316676,0,"[382024518, 382024519]","['steps', 'footway']",,False,True,3.3819999999999997,,"LINESTRING (121.4002596 31.231648, 121.4002482 31.231644, 121.4002258 31.2316387)",,,,
3860762561,3789195192,0,116940027,footway,permissive,False,False,47.944,,"LINESTRING (121.3985679 31.2304652, 121.3990582 31.2305659)",,,,
3860762561,3860762576,0,382867381,footway,permissive,False,True,72.78,,"LINESTRING (121.3985679 31.2304652, 121.398375 31.2310986)",,,,
3860762561,1317204585,0,116940027,footway,permissive,False,True,114.82199999999999,,"LINESTRING (121.3985679 31.2304652, 121.3982663 31.2304033, 121.398211 31.2304559, 121.398068 31.2304419, 121.3979339 31.2309096, 121.3979541 31.231)",,,,
3860762576,1317204480,0,116940029,footway,permissive,False,False,64.898,,"LINESTRING (121.398375 31.2310986, 121.3990333 31.2312528)",,,,
3860762576,1317204585,0,116940029,footway,permissive,False,True,41.494,,"LINESTRING (121.398375 31.2310986, 121.3979541 31.231)",,,,
3860762576,3860762561,0,382867381,footway,permissive,False,False,72.78,,"LINESTRING (121.398375 31.2310986, 121.3985679 31.2304652)",,,,
3862618311,3862618314,0,383062111,footway,permissive,False,False,11.015,,"LINESTRING (121.4021924 31.2298742, 121.4021734 31.2299318, 121.4021326 31.2299497)",,,,
