element_type,osmid,amenity,name:en,geometry,name
node,1317286639,restaurant,Dining Hall West,POINT (121.3982506 31.2323994),
node,1317286641,restaurant,Liwa Dining Hall,POINT (121.4003591 31.2263936),
node,1317286642,restaurant,Dining Hall East,POINT (121.403866 31.2309229),
node,3860804723,restaurant,Western Restaurant,POINT (121.3983422 31.2245769),
node,3860804724,restaurant,Korean Restaurant,POINT (121.400589 31.2263938),丽娃餐庁
