element_type,osmid,nodes,natural,water,geometry,ways,name,type
way,984423123,"[9101662691, 9101662690, 9101662689, 9101662688, 9101662687, 9101662686, 9101662685, 9101662684, 9101662683, 9101662682, 9101662681, 9101662680, 9101662679, 9101662678, 9101662677, 9101662676, 9101662675, 9101662674, 9101662673, 9101662672, 9101662671, 9101662670, 9101662669, 9101662668, 9101662667, 9101662666, 9101662665, 9101662664, 9101662663, 9101662662, 9101662661, 9101662660, 9101662659, 9101662658, 9101662657, 9101662656, 9101662655, 9101662654, 9101662653, 9101662652, 9101662651, 9101662650, 9101662649, 9101662648, 9101662647, 9101662646, 9101662645, 9101662691]",water,,"POLYGON ((121.3850909 31.3160624, 121.3850775 31.3160189, 121.3850923 31.315957, 121.3853605 31.3155159, 121.3854705 31.3154506, 121.3855288 31.3154397, 121.3861464 31.3155182, 121.3862228 31.3155491, 121.3862376 31.3155801, 121.3862403 31.3156179, 121.3862765 31.315619, 121.3863207 31.3155915, 121.386373 31.3155789, 121.3863918 31.3155446, 121.3863757 31.3155068, 121.386306 31.3154758, 121.3860438 31.3154615, 121.3858031 31.3154174, 121.3856924 31.3153881, 121.3855999 31.3153486, 121.3855516 31.3153504, 121.3855201 31.3153704, 121.3854866 31.3154134, 121.3853317 31.3154993, 121.385278 31.3155497, 121.385048 31.3158768, 121.3850004 31.3160034, 121.3850165 31.3160716, 121.3850668 31.316106, 121.3851211 31.3161174, 121.3856797 31.3161472, 121.3859747 31.3161541, 121.3860834 31.316138, 121.386129 31.3160911, 121.3862483 31.3158127, 121.3863006 31.3157565, 121.3863114 31.3157176, 121.3862644 31.3156752, 121.386247 31.3156511, 121.3862228 31.3156523, 121.3862175 31.3157095, 121.3862054 31.3157794, 121.386019 31.3160739, 121.385964 31.3161106, 121.3858969 31.3161266, 121.385323 31.3160991, 121.385209 31.3160722, 121.3850909 31.3160624))",,,
way,1015076428,"[9364002417, 9364002416, 9364002415, 9364002414, 9364002417]",water,basin,"POLYGON ((121.3943856 31.3176029, 121.3943914 31.3175049, 121.3944574 31.3175077, 121.3944517 31.3176057, 121.3943856 31.3176029))",,,
way,1052366113,"[9671407417, 9671382316, 9671382315, 9671382314, 9671382313, 9671382312, 9671382311, 9671382310, 9671382309, 9671382308, 9671382307, 9671382306, 9671382305, 9671382304, 9671382303, 9671382302, 9671382301, 9671382300, 9671382299, 9671382298, 9671382297, 9671382296, 9671382295, 9671382294, 9671382293, 9671382292, 9671382291, 9671407417]",water,,"POLYGON ((121.3822824 31.3212696, 121.3822992 31.3210695, 121.3823852 31.321148, 121.3851053 31.321577, 121.3865484 31.3218092, 121.3870051 31.3218446, 121.3898251 31.3219282, 121.3911002 31.3220549, 121.391373 31.3220718, 121.3925255 31.322092, 121.3930691 31.3221334, 121.3952723 31.3223302, 121.3954354 31.3224644, 121.3954008 31.322559, 121.3950925 31.3224847, 121.3930375 31.3222803, 121.3924721 31.3222533, 121.3920046 31.3222618, 121.3915489 31.3222778, 121.3908442 31.3222136, 121.3896393 31.3220996, 121.3867896 31.3219992, 121.386413 31.3219916, 121.3855976 31.3218793, 121.3854879 31.3218379, 121.3842849 31.3216276, 121.3839835 31.3215778, 121.3822824 31.3212696))",,,
way,1052370506,"[4727513812, 8983175710, 8983175711, 8983175708, 5618705994, 8983175707, 8983175706, 4727513814, 8983175705, 4727513815, 8983175702, 8983175703, 8983175704, 8983186631, 8983186632, 4727513816, 8983175701, 3488737805, 9671443592, 9671443589, 9671443590, 9671443591, 9671443588, 9671443587, 9671443586, 9671443585, 9671443584, 9671443583, 9671443581, 9671443582, 9671443580, 9671443579, 9671443578, 9671443577, 9671443576, 9671443575, 9671443574, 9671443573, 9671443572, 9671443571, 9671443570, 9671443569, 9671443568, 9671443567, 9671443566, 9671443565, 9364000388, 9364001476, 9364001470, 9281135454, 9281135455, 9281135456, 9056541818, 9056541817, 9056539016, 9671443564, 9056539015, 9056541851, 9056541850, 9056541849, 9056541848, 9056541847, 9056541846, 9671443563, 9056541845, 9056541844, 9056541843, 9671443562, 9671443561, 9671443560, 9671443559, 9671443558, 9671443557, 9671443556, 9671443555, 9671443553, 9671443554, 9671443552, 9671443551, 9671443522, 9671443528, 9671443523, 9671443525, 9671443524, 9671443550, 9671443541, 9671443549, 9671443548, 9671443547, 9671443546, 9671443545, 9671443542, 9671443543, 9671443544, 9671443540, 9671443539, 9671443538, 9671443537, 9671443526, 9671443527, 9671443521, 9671443536, 9671443535, 9671443534, 9671443533, 9671443532, 9671443531, 9671443530, 9671443529, 622397127, 8983186628, 6546722381, 8983186627, 8983186621, 8983186622, 8983186624, 8983186623, 8983186625, 8983186626, 8983186620, 8983186619, 8983186618, 8983186617, 8983175716, 4727513809, 8983175715, 4727513810, 8983175714, 8983175713, 4727513811, 8983175712, 4727513812]",water,,"POLYGON ((121.3959914 31.3189725, 121.395852 31.3187319, 121.3957983 31.3184753, 121.3958225 31.3180789, 121.3959217 31.3177787, 121.3961095 31.3175771, 121.3962167 31.3174648, 121.3962865 31.3173502, 121.3964125 31.3166078, 121.3965547 31.3155033, 121.3965547 31.3154048, 121.3965198 31.3153567, 121.3964528 31.3153085, 121.3956186 31.3148892, 121.3955033 31.3147723, 121.3954121 31.3146509, 121.3953853 31.3144722, 121.3954255 31.3140551, 121.3958059 31.3118573, 121.395797 31.3118375, 121.3957683 31.3118148, 121.3958037 31.3116127, 121.3958346 31.3115882, 121.3958589 31.3115551, 121.3960856 31.310247, 121.3961287 31.3098664, 121.3961331 31.3094112, 121.3961099 31.3088171, 121.3960601 31.3086622, 121.3959916 31.3085168, 121.3952211 31.3074306, 121.3948099 31.3068375, 121.3931871 31.3043497, 121.3928886 31.3039757, 121.3931517 31.3038548, 121.3935773 31.3042883, 121.3940526 31.3049901, 121.3944407 31.3056068, 121.3949094 31.306336, 121.3952775 31.3069027, 121.395629 31.3074146, 121.3963022 31.3083874, 121.3964271 31.3086377, 121.3965067 31.3089314, 121.3965344 31.3091326, 121.3965653 31.309788, 121.3965233 31.3100374, 121.3960706 31.3126779, 121.3959002 31.313842, 121.3958466 31.314188, 121.3957943 31.3145088, 121.3967101 31.315057, 121.3968837 31.3152081, 121.3969589 31.3153139, 121.3969788 31.3154131, 121.396719 31.3174256, 121.3966659 31.3175125, 121.396268 31.3179195, 121.3961765 31.3182072, 121.3962042 31.3185788, 121.3962467 31.3187058, 121.3964732 31.3189114, 121.3966858 31.3191066, 121.3969865 31.319455, 121.3971032 31.3196733, 121.3970819 31.3201026, 121.397034 31.320592, 121.3970274 31.3209811, 121.3970606 31.3213277, 121.3971556 31.3217139, 121.3974828 31.3230398, 121.3976277 31.3234553, 121.3979405 31.323783, 121.3985772 31.3241663, 121.3987806 31.3243363, 121.3988724 31.3244902, 121.3989343 31.3246753, 121.3989984 31.3250313, 121.3989641 31.3253666, 121.3985201 31.326842, 121.3980076 31.3283944, 121.395681 31.33388, 121.3945748 31.3366087, 121.3945195 31.3368526, 121.3943862 31.3371838, 121.3943428 31.3371891, 121.3943033 31.337204, 121.3942621 31.3372339, 121.3941752 31.3373848, 121.39406 31.3373501, 121.3941244 31.3371814, 121.3941125 31.3371717, 121.3940843 31.3372378, 121.3938991 31.337179, 121.394099 31.3367379, 121.3941864 31.3366173, 121.3945172 31.3358489, 121.3944946 31.3357833, 121.3974906 31.3286606, 121.3978925 31.3275941, 121.3985303 31.3255209, 121.3986036 31.3252075, 121.3986138 31.3249809, 121.3985901 31.3247543, 121.3985077 31.3245498, 121.3983327 31.3243416, 121.3980618 31.3241632, 121.397477 31.3236231, 121.3972953 31.3233396, 121.3972693 31.323086, 121.3972626 31.3230436, 121.3970865 31.322897, 121.3969871 31.3228334, 121.3968652 31.3227842, 121.3965534 31.3227234, 121.3963799 31.3226884, 121.3963142 31.3226392, 121.396231 31.3226209, 121.3962344 31.3225865, 121.3964421 31.322586, 121.3966349 31.3225441, 121.3968268 31.3224438, 121.3968923 31.3223387, 121.3968957 31.3222712, 121.3967309 31.3215768, 121.3966372 31.3210339, 121.396636 31.320571, 121.3967022 31.3200861, 121.3967559 31.3198684, 121.3967371 31.3197401, 121.3966674 31.3196004, 121.3959914 31.3189725))",,,
relation,13156443,"[[[9054860377, 9054860376, 9054860375, 9054860374, 9054860373, 9054860372, 9054860371, 9054860370, 9054860369, 9054860368, 9054860367, 9054860366, 9054860365, 9054860364, 9054860363, 9054860362, 9054860361, 9054860360, 9054860359, 9054860358, 9054860357, 9054860356, 9054860355, 9054860354, 9054860353, 9054860352, 9054860351, 9054860350, 9054860349, 9054860377], [9054860454, 9054860453, 9054860452, 9054860451, 9054860450, 9054860449, 9054860448, 9054860447, 9054860446, 9054860445, 9054860444, 9054860443, 9054860442, 9054860441, 9054860440, 9054860439, 9054860438, 9054860437, 9054860436, 9054860435, 9054860434, 9054860433, 9054860432, 9054860431, 9054860430, 9054860429, 9054860428, 9054860427, 9054860426, 9054860425, 9054860424, 9054860423, 9054860422, 9054860419, 9054860418, 9054860421, 9054860420, 9054860417, 9054860416, 9054860415, 9054860414, 9054860413, 9054860412, 9054860411, 9054860410, 9054860409, 9054860408, 9054860405, 9054860404, 9054860407, 9054860406, 9054860403, 9054860402, 9054860401, 9054860400, 9054860396, 9054860399, 9054860398, 9054860397, 9054860395, 9054860394, 9054860393, 9054860392, 9054860391, 9054860378, 9054860390, 9054860389, 9054860388, 9054860387, 9054860386, 9054860385, 9054860384, 9054860383, 9054860382, 9054860381, 9054860380, 9054860379, 9054860454], [6536540619, 6536540620, 6536540621, 9183287757, 9183287756, 6536540622, 6536540623, 6536540624, 6536540625, 6536540626, 6536540627, 7829323234, 7829323235, 6541410814, 6541410815, 9183287760, 9183287761, 9183287762, 9183287763, 6536540629, 9183287758, 9183287759, 6536540619]]]",water,pond,"MULTIPOLYGON (((121.3860465 31.3177867, 121.3860284 31.3178818, 121.3860163 31.3181167, 121.3860358 31.3181631, 121.3860445 31.3182891, 121.3860539 31.3183487, 121.3861075 31.3184656, 121.3861451 31.3185801, 121.3861759 31.3186689, 121.3862168 31.318764, 121.3862664 31.3188517, 121.3863549 31.3189765, 121.3863952 31.3190183, 121.3864361 31.3190516, 121.3866024 31.3190636, 121.3866507 31.3190458, 121.3866916 31.3189834, 121.3866962 31.3189364, 121.3866238 31.3188327, 121.3865588 31.3186861, 121.3865507 31.3186191, 121.386591 31.3185503, 121.3867304 31.3184151, 121.3867633 31.3183034, 121.386762 31.318202, 121.3867204 31.3181087, 121.3866446 31.3180061, 121.3865306 31.3178939, 121.3864046 31.3178056, 121.3860465 31.3177867)), ((121.3861015 31.3174768, 121.3865192 31.3174946, 121.3864844 31.3174212, 121.3864582 31.3173342, 121.3864716 31.3172677, 121.3865367 31.31714, 121.3865722 31.3170976, 121.3866232 31.3170626, 121.3867412 31.3170317, 121.3868243 31.3169973, 121.3868813 31.3169561, 121.3869531 31.3168587, 121.3870248 31.3167562, 121.3871482 31.3166771, 121.3872173 31.3165906, 121.3872769 31.3164835, 121.3872823 31.3162624, 121.3872984 31.316189, 121.3873608 31.3160911, 121.3874681 31.3160046, 121.3875626 31.3159215, 121.3876853 31.315851, 121.3878067 31.3157995, 121.3879314 31.3157829, 121.3880246 31.3157938, 121.3881027 31.3158319, 121.3881755 31.315882, 121.3883438 31.315961, 121.3884082 31.3159862, 121.3884353 31.3159897, 121.3884658 31.3159888, 121.3885141 31.3159891, 121.3885456 31.3159971, 121.3885785 31.316012, 121.388606 31.3160372, 121.3887163 31.3162575, 121.3887572 31.3163385, 121.3888517 31.3164554, 121.3888873 31.3164514, 121.3890301 31.3162878, 121.3889761 31.3162583, 121.3890452 31.3161604, 121.3890888 31.3161873, 121.3891079 31.316161, 121.3891196 31.3161664, 121.3891961 31.3160713, 121.3891418 31.3160367, 121.3892142 31.3159461, 121.3892578 31.3159708, 121.389355 31.3158579, 121.3893067 31.3158241, 121.3893791 31.3157319, 121.3894214 31.3157525, 121.3895085 31.3156626, 121.3894234 31.3156122, 121.3894274 31.3156059, 121.3893754 31.3155778, 121.3893027 31.3155474, 121.3891639 31.315501, 121.3889057 31.315454, 121.3887166 31.315434, 121.3885792 31.3154357, 121.3881232 31.3154907, 121.3879737 31.3155182, 121.387576 31.3156746, 121.3874493 31.3157382, 121.3870396 31.3159931, 121.3868183 31.3161638, 121.3866439 31.3163368, 121.3864978 31.3165144, 121.3864227 31.3166296, 121.3863254 31.3168031, 121.3862269 31.3170191, 121.3861585 31.3171491, 121.3861062 31.3173021, 121.3860767 31.3174115, 121.3860847 31.317447, 121.3861015 31.3174768)), ((121.3893422 31.3153956, 121.3894133 31.3154243, 121.389526 31.3154747, 121.3896071 31.3155102, 121.3896862 31.3154099, 121.3896433 31.3153882, 121.3897157 31.3152994, 121.3897654 31.3153166, 121.3898619 31.3152008, 121.3898143 31.3151722, 121.3898834 31.31508, 121.3900222 31.3148617, 121.3900517 31.3148182, 121.3900504 31.3147872, 121.3899613 31.314755, 121.389872 31.3147574, 121.3897754 31.3148462, 121.3896373 31.3148634, 121.3895072 31.3149963, 121.3894442 31.3150187, 121.3894596 31.3150868, 121.3894455 31.3152243, 121.3893422 31.3153956)))","[978588317, 978588318, 696088025]",泮池,multipolygon
