element_type,osmid,geometry,nodes,building,name,ref,building:levels,alt_name,leisure,sport,roof:shape,location,power,substation,amenity,bath:open_air,bath:sand_bath,opening_hours,department,faculty,height,layer,min_height,frequency,voltage,ways,type,short_name
way,696557650,"POLYGON ((121.3897118 31.3184004, 121.3888541 31.3183571, 121.3887632 31.3183498, 121.3887767 31.3181655, 121.3892419 31.3181902, 121.389288 31.3181927, 121.389285 31.3182337, 121.3895289 31.3182467, 121.3897738 31.3183239, 121.3897118 31.3184004))","[6541410883, 6542708066, 6541410884, 6541410885, 6542708067, 6541410886, 6541410887, 6541410888, 6541410889, 6541410883]",university,F楼,,,,,,,,,,,,,,,,,,,,,,,
way,696557651,"POLYGON ((121.390246 31.3186236, 121.39016 31.318672, 121.3900695 31.3186816, 121.3899631 31.3186526, 121.3899179 31.3186275, 121.3899835 31.3185502, 121.389936 31.3185502, 121.3897549 31.3184438, 121.389945 31.3182524, 121.3901804 31.3183819, 121.3902211 31.3184129, 121.390246 31.3186236))","[6541410890, 6541410891, 6541410892, 6541410893, 6541410894, 6541410895, 6541410896, 6541410897, 6541410898, 6541410899, 6541410900, 6541410890]",university,FJ楼,,,,,,,,,,,,,,,,,,,,,,,
way,696557652,"POLYGON ((121.3894147 31.3188254, 121.3884662 31.3187748, 121.3884796 31.3185905, 121.3888413 31.3186124, 121.3889909 31.3186178, 121.3889879 31.3186588, 121.3892319 31.3186717, 121.3894768 31.3187489, 121.3894147 31.3188254))","[6541410901, 6541410902, 6541410903, 6542708065, 6541410904, 6541410905, 6541410906, 6541410907, 6541410901]",university,G楼,,,,,,,,,,,,,,,,,,,,,,,
way,696557653,"POLYGON ((121.3898806 31.3190612, 121.3897946 31.3191096, 121.3897041 31.3191193, 121.3895977 31.3190902, 121.3895524 31.3190651, 121.3896181 31.3189878, 121.3895705 31.3189878, 121.3893895 31.3188814, 121.3895796 31.31869, 121.389815 31.3188196, 121.3898557 31.3188505, 121.3898806 31.3190612))","[6541410908, 6541410909, 6541410910, 6541410911, 6541410912, 6541410913, 6541410914, 6541410915, 6541410916, 6541410917, 6541410918, 6541410908]",university,GJ楼,,,,,,,,,,,,,,,,,,,,,,,
way,696557664,"POLYGON ((121.3842392 31.3193453, 121.3842181 31.3195782, 121.3843067 31.3195841, 121.3842978 31.3196829, 121.383876 31.3196551, 121.3838814 31.3195948, 121.3837133 31.3195837, 121.3837339 31.3193556, 121.3839943 31.3193727, 121.3839983 31.3193294, 121.3842392 31.3193453))","[6541410993, 6541410994, 6541410995, 6541410996, 6541410997, 6541410998, 6541410999, 6541411000, 9101662770, 9101662769, 6541410993]",yes,山明楼,,3,第三食堂;山明餐厅,,,,,,,,,,,,,,,,,,,,
way,696557665,"POLYGON ((121.3847466 31.3178421, 121.3847445 31.3178807, 121.3848335 31.3178843, 121.3848292 31.3179633, 121.3848659 31.3179647, 121.3848635 31.3180084, 121.3848233 31.3180068, 121.3848001 31.3184285, 121.3843574 31.3184107, 121.3843814 31.3179755, 121.3843154 31.3179729, 121.3843176 31.3179323, 121.3843815 31.3179349, 121.3843874 31.3178277, 121.3847466 31.3178421))","[6541411001, 6541411002, 6541411003, 6541411014, 6541411011, 6541411012, 6541411013, 6541411004, 6541411005, 6541411006, 6541411007, 6541411008, 6541411009, 6541411010, 6541411001]",yes,益新楼,,3,第一食堂;益新食堂;益新餐厅,,,,,,,,,,,,,,,,,,,,
way,696557674,"POLYGON ((121.3911287 31.3217812, 121.3911936 31.3209258, 121.3902664 31.3208744, 121.3902015 31.3217298, 121.3911287 31.3217812))","[6541411087, 6541411088, 6541411089, 6541411090, 6541411087]",yes,体育馆,,3,,stadium,,,,,,,,,,,,,,,,,,,
way,696557675,"POLYGON ((121.3901471 31.3216571, 121.3897911 31.3216372, 121.3898228 31.3212218, 121.3901788 31.3212417, 121.3901471 31.3216571))","[9364002294, 9364002295, 9364002296, 9364002293, 9364002294]",yes,训练馆,,3,,sports_centre,,,,,,,,,,,,,,,,,,,
way,696557676,"POLYGON ((121.3896931 31.3217017, 121.3890414 31.3216656, 121.3891064 31.3208101, 121.3897581 31.3208462, 121.3896931 31.3217017))","[6541411091, 6541411093, 8983186654, 6541411092, 6541411091]",yes,游泳馆,,3,,sports_centre,swimming,,,,,,,,,,,,,,,,,,
way,696557677,"POLYGON ((121.3878338 31.321801, 121.3878593 31.3214519, 121.3870284 31.3214076, 121.3870029 31.3217567, 121.3878338 31.321801))","[6541411095, 6541411096, 6541411097, 6541411098, 6541411095]",yes,风雨操场,,,,pitch,basketball,round,,,,,,,,,,,,,,,,,
