element_type,osmid,nodes,amenity,geometry,parking
way,908265176,"[8433634323, 8433634324, 8433634325, 8433634326, 8433634327, 8433634323]",parking,"POLYGON ((121.3836083 31.3207253, 121.3836358 31.320353, 121.3838162 31.3203609, 121.3840169 31.3205347, 121.3840069 31.320742, 121.3836083 31.3207253))",
way,980909980,"[9073720562, 9073720561, 9073720560, 9073720559, 9073720562]",parking,"POLYGON ((121.3913634 31.3199417, 121.3923719 31.31999, 121.3923824 31.3198296, 121.3913739 31.3197813, 121.3913634 31.3199417))",surface
