u,v,key,osmid,name,highway,oneway,reversed,length,lanes,bridge,geometry,tunnel
6541410700,9183275250,0,993986736,,path,False,True,56.683,,,"LINESTRING (121.3884113 31.3182102, 121.3884006 31.3181849, 121.3882081 31.3177309)",
6541410701,6541410729,0,696699039,,service,False,True,22.406,,,"LINESTRING (121.388099 31.3185933, 121.3882533 31.3184409)",
6541410701,6541410704,0,696557629,,service,False,True,88.26499999999999,,,"LINESTRING (121.388099 31.3185933, 121.3881071 31.3187377, 121.3880749 31.318858, 121.387981 31.3189748, 121.3877758 31.3191833, 121.3876605 31.319236)",
6541410701,6541410704,1,696699039,,service,False,False,83.88199999999999,,,"LINESTRING (121.388099 31.3185933, 121.3876726 31.3191364, 121.3876618 31.3191891, 121.3876605 31.319236)",
6541410703,6541410704,0,696699039,,service,False,True,55.621,,,"LINESTRING (121.387407 31.3196869, 121.3876605 31.319236)",
6541410703,9671382278,0,993986767,泮池北路,unclassified,False,False,10.315,2,,"LINESTRING (121.387407 31.3196869, 121.3873047 31.3196558)",
6541410703,622397864,0,993986767,泮池北路,unclassified,False,True,41.406,2,,"LINESTRING (121.387407 31.3196869, 121.3876151 31.3197423, 121.3878255 31.3197908)",
6541410704,6541410703,0,696699039,,service,False,False,55.621,,,"LINESTRING (121.3876605 31.319236, 121.387407 31.3196869)",
6541410704,6541410701,0,696557629,,service,False,False,88.265,,,"LINESTRING (121.3876605 31.319236, 121.3877758 31.3191833, 121.387981 31.3189748, 121.3880749 31.318858, 121.3881071 31.3187377, 121.388099 31.3185933)",
6541410704,6541410701,1,696699039,,service,False,True,83.88199999999999,,,"LINESTRING (121.3876605 31.319236, 121.3876618 31.3191891, 121.3876726 31.3191364, 121.388099 31.3185933)",
6541410704,6541410711,0,696557630,,footway,False,False,57.554,,,"LINESTRING (121.3876605 31.319236, 121.3880861 31.3194456, 121.3881794 31.3195025)",
6541410711,6541410712,0,696557630,,footway,False,False,28.986,,,"LINESTRING (121.3881794 31.3195025, 121.3883533 31.3192883)",
6541410711,6541410704,0,696557630,,footway,False,True,57.554,,,"LINESTRING (121.3881794 31.3195025, 121.3880861 31.3194456, 121.3876605 31.319236)",
6541410711,6541410716,0,696557632,,footway,False,False,36.048,,,"LINESTRING (121.3881794 31.3195025, 121.3882985 31.3195929, 121.3883408 31.3195889, 121.3884231 31.3195661, 121.3885132 31.3195547)",
6541410712,6541410711,0,696557630,,footway,False,True,28.986,,,"LINESTRING (121.3883533 31.3192883, 121.3881794 31.3195025)",
6541410712,8983186653,0,"[696557633, 696557630]",,footway,False,False,146.269,,,"LINESTRING (121.3883533 31.3192883, 121.3883565 31.3191966, 121.3884238 31.319036, 121.3884536 31.3187843, 121.3891877 31.318825, 121.3893667 31.318903)",
6541410712,6541410716,0,696557631,,footway,False,False,33.370000000000005,,,"LINESTRING (121.3883533 31.3192883, 121.388409 31.3194014, 121.3884654 31.3194777, 121.3885132 31.3195547)",
6541410716,9364001159,0,696557631,,footway,False,False,165.877,,,"LINESTRING (121.3885132 31.3195547, 121.3886738 31.3196237, 121.3887851 31.3196491, 121.388872 31.3196612, 121.3889998 31.3196652, 121.3890812 31.3196444, 121.3892332 31.3195587, 121.3893187 31.3194503, 121.3893688 31.3193633, 121.3894268 31.319216, 121.3895654 31.319152, 121.3897465 31.3191484, 121.3899051 31.3192231)",
6541410716,6541410712,0,696557631,,footway,False,True,33.37,,,"LINESTRING (121.3885132 31.3195547, 121.3884654 31.3194777, 121.388409 31.3194014, 121.3883533 31.3192883)",
6541410716,6541410711,0,696557632,,footway,False,True,36.048,,,"LINESTRING (121.3885132 31.3195547, 121.3884231 31.3195661, 121.3883408 31.3195889, 121.3882985 31.3195929, 121.3881794 31.3195025)",
6541410727,8983186653,0,696557634,,footway,False,False,14.678,,,"LINESTRING (121.3892787 31.3190115, 121.3893667 31.318903)",
6541410729,6541410701,0,696699039,,service,False,False,22.406,,,"LINESTRING (121.3882533 31.3184409, 121.388099 31.3185933)",
6541410729,6541410700,0,696699039,,service,False,True,29.721,,,"LINESTRING (121.3882533 31.3184409, 121.3884113 31.3182102)",
6541410729,8983186652,0,696557635,,service,False,False,136.282,,,"LINESTRING (121.3882533 31.3184409, 121.3885549 31.3185702, 121.389075 31.3186137, 121.3893041 31.3185454, 121.3895442 31.3185578, 121.3896337 31.3185738)",
6541410736,6541410743,0,696557570,东外环路,unclassified,False,True,56.745,2,,"LINESTRING (121.3901798 31.3188511, 121.3905124 31.3184272)",
6541410736,9364001159,0,696557570,东外环路,unclassified,False,False,48.908,2,,"LINESTRING (121.3901798 31.3188511, 121.3900513 31.3190251, 121.3899051 31.3192231)",
6541410736,8983186652,0,696557635,,service,False,True,63.108,,,"LINESTRING (121.3901798 31.3188511, 121.3899515 31.3187349, 121.389857 31.3186137, 121.3896337 31.3185738)",
6541410738,8983186648,0,696557636,,service,False,False,108.69299999999998,,,"LINESTRING (121.3887964 31.3181052, 121.3893905 31.318143, 121.389572 31.3180932, 121.3898143 31.3180935, 121.3899298 31.3180958)",
6541410738,6541410700,0,696699039,,service,False,False,38.941,,,"LINESTRING (121.3887964 31.3181052, 121.3886882 31.3181079, 121.3884113 31.3182102)",
6541410738,6541410668,0,"[696557624, 696699039]",,service,False,True,105.707,,,"LINESTRING (121.3887964 31.3181052, 121.3888675 31.3180892, 121.3889372 31.3180617, 121.3889909 31.3180147, 121.3890553 31.3179391, 121.3890834 31.3178658, 121.3890901 31.317797, 121.3890901 31.3177306, 121.3890794 31.3176785, 121.3890478 31.3176152, 121.3890321 31.317583, 121.389376 31.3175908)",
6541410743,6541410736,0,696557570,东外环路,unclassified,False,False,56.745,2,,"LINESTRING (121.3905124 31.3184272, 121.3901798 31.3188511)",
6541410743,6541410666,0,696557570,东外环路,unclassified,False,True,68.726,2,,"LINESTRING (121.3905124 31.3184272, 121.3909154 31.3179139)",
6541410743,8983186648,0,696557636,,service,False,True,66.544,,,"LINESTRING (121.3905124 31.3184272, 121.3901921 31.3182354, 121.3900452 31.3181502, 121.3899298 31.3180958)",
6542708021,622397917,0,696557569,体育馆路,unclassified,False,True,136.612,,,"LINESTRING (121.3913094 31.3200441, 121.3908889 31.3200211, 121.3898742 31.3199655)",
6542708021,6542708024,0,696699068,,service,False,False,394.525,,,"LINESTRING (121.3913094 31.3200441, 121.3911594 31.3218075, 121.3890799 31.3216949)",
6542708024,2603059279,0,254491513,,service,False,False,231.262,,,"LINESTRING (121.3890799 31.3216949, 121.3890707 31.3218184, 121.3883445 31.3218023, 121.3882439 31.3217737, 121.3881285 31.3217118, 121.3878608 31.3214509, 121.3870382 31.3214019, 121.3869654 31.3213563)",
6542708024,2603059273,0,254491513,,service,False,True,196.664,,,"LINESTRING (121.3890799 31.3216949, 121.3891633 31.3208581, 121.3892348 31.3199313)",
6542708024,6542708021,0,696699068,,service,False,True,394.525,,,"LINESTRING (121.3890799 31.3216949, 121.3911594 31.3218075, 121.3913094 31.3200441)",
