u,v,key,osmid,highway,maxspeed,oneway,reversed,length,geometry,lanes,name,bridge,tunnel,access,service
6305075143,7772407274,0,"[673274036, 674073573, 673348319]",unclassified,20,False,False,40.753,"LINESTRING (116.1406449 40.2572322, 116.1406835 40.2572417, 116.1407562 40.257269, 116.1407784 40.2572747, 116.1408391 40.2572902, 116.1410748 40.2573464, 116.1410979 40.2573521)",2,化育路,yes,,,
6305075143,7759506495,0,1038260366,unclassified,20,False,False,103.38,"LINESTRING (116.1406449 40.2572322, 116.1405643 40.2573577, 116.1405284 40.257409, 116.1404853 40.2574478, 116.1404228 40.2574809, 116.1403485 40.257492, 116.1400837 40.2574966, 116.1396081 40.2574963)",2,,,,,
6305075146,7772407274,0,673274036,unclassified,20,False,True,7.372,"LINESTRING (116.1411838 40.257362, 116.1410979 40.2573521)",2,化育路,,,,
6305075146,8551045623,0,921001724,footway,,False,True,5.322,"LINESTRING (116.1411838 40.257362, 116.1412002 40.2573158)",,,,,,
6305075146,6305075151,0,673274036,unclassified,20,False,False,157.618,"LINESTRING (116.1411838 40.257362, 116.1415112 40.2574541, 116.1418907 40.257535, 116.1419776 40.2575486, 116.1420679 40.2575543, 116.1423103 40.2575652, 116.1425422 40.2575788, 116.1429989 40.257619)",2,化育路,,,,
6305075151,9186851006,0,831018730,footway,,False,False,5.625,"LINESTRING (116.1429989 40.257619, 116.1430119 40.2575694)",,,,,,
6305075151,9956798471,0,673274036,unclassified,20,False,False,50.461,"LINESTRING (116.1429989 40.257619, 116.1433816 40.2576959, 116.1435672 40.2577505)",2,化育路,,,,
6305075151,6305075146,0,673274036,unclassified,20,False,True,157.618,"LINESTRING (116.1429989 40.257619, 116.1425422 40.2575788, 116.1423103 40.2575652, 116.1420679 40.2575543, 116.1419776 40.2575486, 116.1418907 40.257535, 116.1415112 40.2574541, 116.1411838 40.257362)",2,化育路,,,,
6305075156,9956798471,0,673274036,unclassified,20,False,True,77.495,"LINESTRING (116.144331 40.2581265, 116.1442289 40.2580545, 116.1440364 40.2579443, 116.1437827 40.2578359, 116.1435672 40.2577505)",2,化育路,,,,
6305075156,7780080177,0,673328965,unclassified,20,False,False,221.81100000000004,"LINESTRING (116.144331 40.2581265, 116.1444088 40.2581855, 116.1445537 40.2582946, 116.144655 40.2583885, 116.1447244 40.2584749, 116.1447642 40.2585415, 116.1448039 40.2586233, 116.1448336 40.2587203, 116.1448555 40.2588203, 116.1448614 40.2589172, 116.1448535 40.2590429, 116.1448297 40.2592581, 116.1448098 40.2595095, 116.144786 40.259764, 116.14474 40.2599868)",,化育路,,,,
6305075156,10733367620,0,674073572,unclassified,20,False,False,19.419,"LINESTRING (116.144331 40.2581265, 116.1443473 40.2581106, 116.1443547 40.2580949, 116.1443955 40.2579607)",2,博学大道,,,,
6305075163,7780082175,0,833425792,footway,,False,False,4.919,"LINESTRING (116.1458798 40.2546881, 116.1459357 40.2546998)",,,,,,
6305075163,7780082174,0,833425792,footway,,False,True,8.873,"LINESTRING (116.1458798 40.2546881, 116.145779 40.2546669)",,,,,,
6305075163,6305628969,0,994874266,unclassified,20,False,False,8.773,"LINESTRING (116.1458798 40.2546881, 116.1459235 40.2546166)",2,博学大道,,,,
6305075163,8747959819,0,994874266,unclassified,20,False,True,93.113,"LINESTRING (116.1458798 40.2546881, 116.1458422 40.2547517, 116.1458246 40.2547815, 116.1454286 40.2554514)",2,博学大道,,,,
6305075165,7588367193,0,994874267,unclassified,20,False,False,169.064,"LINESTRING (116.1466513 40.2534704, 116.1486164 40.2537203)",,亲民路,,,,
6305075165,6305137124,0,673279462,unclassified,20,False,True,77.969,"LINESTRING (116.1466513 40.2534704, 116.1464958 40.2534391, 116.1464591 40.2534309, 116.1464055 40.2534217, 116.1457629 40.2532918)",,亲民路,,,,
6305075165,6305075167,0,673348311,unclassified,20,False,False,83.962,"LINESTRING (116.1466513 40.2534704, 116.1468107 40.2531502, 116.1469605 40.2527538)",2,博学大道,,,,
6305075165,9761680820,0,832499624,footway,,False,False,104.843,"LINESTRING (116.1466513 40.2534704, 116.1464982 40.2533991, 116.1459182 40.2532836, 116.1454873 40.2532005, 116.1454755 40.2531981)",,,,,,
6305075165,7772407187,0,832499625,footway,,False,True,140.374,"LINESTRING (116.1466513 40.2534704, 116.1465199 40.2534825, 116.1464723 40.2534702, 116.1463754 40.2534495, 116.1456478 40.2533079, 116.1450478 40.2531887)",,,,,,
6305075165,6305628969,0,994874266,unclassified,20,False,True,141.65699999999998,"LINESTRING (116.1466513 40.2534704, 116.1464363 40.2538135, 116.1461554 40.2542293, 116.1459777 40.2545261, 116.1459235 40.2546166)",2,博学大道,,,,
6305075167,9956798432,0,984911655,track,,False,True,84.737,"LINESTRING (116.1469605 40.2527538, 116.1459627 40.2527253)",,,,,,
6305075167,8747915698,0,673348311,unclassified,20,False,False,146.974,"LINESTRING (116.1469605 40.2527538, 116.1469991 40.2526304, 116.1470361 40.2524846, 116.1470619 40.2523826, 116.147115 40.2521466, 116.1471392 40.2518444, 116.1471537 40.2516878, 116.1471665 40.2514447)",2,博学大道,,,,
6305075167,6305075165,0,673348311,unclassified,20,False,True,83.962,"LINESTRING (116.1469605 40.2527538, 116.1468107 40.2531502, 116.1466513 40.2534704)",2,博学大道,,,,
6305075173,9981168340,0,673279459,unclassified,20,False,False,8.794,"LINESTRING (116.147167 40.251378, 116.1472705 40.2513741)",,,,,,
6305075173,9956795255,0,673279459,unclassified,20,False,True,28.534,"LINESTRING (116.147167 40.251378, 116.1468313 40.2513924)",,,,,,
6305075173,6305075174,0,673348311,unclassified,20,False,False,38.823,"LINESTRING (116.147167 40.251378, 116.1471393 40.2510295)",2,博学大道,,,,
6305075173,8747915698,0,673348311,unclassified,20,False,True,7.417,"LINESTRING (116.147167 40.251378, 116.1471665 40.2514447)",2,博学大道,,,,
6305075174,6305137119,0,673279461,unclassified,20,False,False,95.652,"LINESTRING (116.1471393 40.2510295, 116.1460138 40.2510752)",,,,,,
6305075174,9981168338,0,673279461,unclassified,20,False,True,9.081,"LINESTRING (116.1471393 40.2510295, 116.1472461 40.2510245)",,,,,,
6305075174,9956795241,0,673348311,unclassified,20,False,False,4.991,"LINESTRING (116.1471393 40.2510295, 116.1471298 40.2509852)",2,博学大道,,,,
6305075174,6305075173,0,673348311,unclassified,20,False,True,38.823,"LINESTRING (116.1471393 40.2510295, 116.147167 40.251378)",2,博学大道,,,,
6305075180,8114025042,0,871070140,footway,,False,True,31.434,"LINESTRING (116.1458227 40.2484653, 116.1457727 40.2485172, 116.1455662 40.2486682)",,,,,,
6305075180,8113774688,0,1123237118,unclassified,20,False,False,55.332,"LINESTRING (116.1458227 40.2484653, 116.1455922 40.2482788, 116.145427 40.2481761, 116.1453422 40.2481315)",2,博学大道,,,,
6305075180,6305075446,0,1123237118,unclassified,20,False,True,49.563,"LINESTRING (116.1458227 40.2484653, 116.1460287 40.2486858, 116.1461498 40.2488343)",2,博学大道,,,,
6305075387,6305819447,0,673274037,unclassified,20,False,False,49.761,"LINESTRING (116.1413308 40.2492227, 116.1407445 40.2492181)",,,,,,
6305075387,9956995502,0,994874264,unclassified,20,False,False,14.291,"LINESTRING (116.1413308 40.2492227, 116.1412678 40.2493016, 116.1412451 40.2493333)",2,宏德大道,,,,
6305075387,11304035157,0,994874264,unclassified,20,False,True,51.629999999999995,"LINESTRING (116.1413308 40.2492227, 116.1414214 40.2491092, 116.1415424 40.2489794, 116.1416732 40.2488392)",2,宏德大道,,,,
6305075391,6305075392,0,673274038,unclassified,20,False,False,19.395,"LINESTRING (116.1437583 40.2477907, 116.1435383 40.2477435)",,,,,,
6305075391,6305075105,0,1086665267,unclassified,20,False,True,14.588,"LINESTRING (116.1437583 40.2477907, 116.1439286 40.2477729)",2,宏德大道,,,,
6305075391,6305105433,0,"[1086665267, 836745765]",unclassified,20,False,False,69.309,"LINESTRING (116.1437583 40.2477907, 116.1436586 40.2478059, 116.1435177 40.2478273, 116.1434395 40.2478456, 116.1433612 40.2478639, 116.1431921 40.2479087, 116.1430518 40.2479516, 116.1429826 40.2479782)",2,宏德大道,,,,
6305075392,6305075391,0,673274038,unclassified,20,False,True,19.395,"LINESTRING (116.1435383 40.2477435, 116.1437583 40.2477907)",,,,,,
6305075392,6305629339,0,673274038,unclassified,20,False,False,50.236000000000004,"LINESTRING (116.1435383 40.2477435, 116.1430453 40.2476218, 116.1429754 40.2476038)",,,,,,
6305075392,6305629429,0,831018713,footway,,False,False,124.013,"LINESTRING (116.1435383 40.2477435, 116.1433681 40.247787, 116.1431932 40.2478345, 116.1430083 40.2478955, 116.1428105 40.2479731, 116.1425919 40.2480804, 116.1423212 40.2482274, 116.1422613 40.248268)",,,,,,
6305075398,6305629406,0,673274038,unclassified,20,False,True,10.483,"LINESTRING (116.1412631 40.2465852, 116.1413338 40.2466625)",,,,,,
6305075398,6305629450,0,673274039,unclassified,20,False,False,122.078,"LINESTRING (116.1412631 40.2465852, 116.1418236 40.2463284, 116.1424944 40.2460177)",,,,,,
6305075398,10837519031,0,"[673274040, 1165131909, 1165131910]",unclassified,20,False,False,52.836999999999996,"LINESTRING (116.1412631 40.2465852, 116.1410555 40.2466802, 116.1408479 40.2467753, 116.1407292 40.2468296)",,,yes,,,
6305075409,7772407430,0,673274040,unclassified,20,False,True,46.812,"LINESTRING (116.1397613 40.2472635, 116.1402395 40.2470537)",,,,,,
6305075409,6305820304,0,673348321,service,,False,False,7.62,"LINESTRING (116.1397613 40.2472635, 116.1398089 40.2473216)",,,,,,
6305075409,6305075415,0,673274040,unclassified,20,False,False,259.16,"LINESTRING (116.1397613 40.2472635, 116.138966 40.2476125, 116.13891 40.2476461, 116.138882 40.2476981, 116.138882 40.2481105, 116.1388711 40.249134, 116.1388584 40.2492174)",,,,,,
6305075415,6305075409,0,673274040,unclassified,20,False,True,259.15999999999997,"LINESTRING (116.1388584 40.2492174, 116.1388711 40.249134, 116.138882 40.2481105, 116.138882 40.2476981, 116.13891 40.2476461, 116.138966 40.2476125, 116.1397613 40.2472635)",,,,,,
6305075415,6305629108,0,673274041,unclassified,20,False,False,99.111,"LINESTRING (116.1388584 40.2492174, 116.1387871 40.2492197, 116.1387691 40.2492339, 116.1387638 40.2492643, 116.138764 40.249306, 116.1387673 40.2494356, 116.1387682 40.2500507)",,,,,,
6305075415,6305105204,0,"[673274041, 673274037]",unclassified,20,False,True,76.713,"LINESTRING (116.1388584 40.2492174, 116.138878 40.2492174, 116.1388981 40.2492175, 116.1397623 40.2492193)",,,,,,
6305075417,6305629108,0,673274041,unclassified,20,False,True,3.381,"LINESTRING (116.1387687 40.2500811, 116.1387682 40.2500507)",,,,,,
6305075417,6305075419,0,673274041,unclassified,20,False,False,96.286,"LINESTRING (116.1387687 40.2500811, 116.1387738 40.2509106, 116.1387724 40.250947)",,,,,,
6305075417,6305105192,0,673276066,footway,5,False,False,19.27,"LINESTRING (116.1387687 40.2500811, 116.138821 40.250083, 116.1389955 40.2500894)",,,,,,
6305075419,8114020480,0,673274041,unclassified,20,False,False,41.966,"LINESTRING (116.1387724 40.250947, 116.1387693 40.2513244)",,,,,,
6305075419,6305075417,0,673274041,unclassified,20,False,True,96.286,"LINESTRING (116.1387724 40.250947, 116.1387738 40.2509106, 116.1387687 40.2500811)",,,,,,
6305075419,7759736789,0,673276071,footway,5,False,False,29.308,"LINESTRING (116.1387724 40.250947, 116.1388218 40.250943, 116.1389852 40.2509233, 116.1391154 40.2509209)",,,,,,
6305075420,8114020480,0,673274041,unclassified,20,False,True,11.699,"LINESTRING (116.1387676 40.2514296, 116.1387693 40.2513244)",,,,,,
6305075420,6305075421,0,673274042,unclassified,20,False,False,26.106,"LINESTRING (116.1387676 40.2514296, 116.1390752 40.251427)",,,,,,
6305075421,6305075420,0,673274042,unclassified,20,False,True,26.106,"LINESTRING (116.1390752 40.251427, 116.1387676 40.2514296)",,,,,,
6305075421,6305105217,0,673274043,unclassified,20,False,False,54.081,"LINESTRING (116.1390752 40.251427, 116.1391062 40.2514549, 116.1391514 40.2514666, 116.1392101 40.2514758, 116.1392928 40.2514759, 116.1394478 40.251477, 116.1395749 40.2514776, 116.1396264 40.2514721, 116.1396734 40.251438)",,,,,,
6305075421,6305105217,1,831018715,unclassified,20,False,False,53.667,"LINESTRING (116.1390752 40.251427, 116.1391072 40.2514152, 116.1391454 40.2514043, 116.1392307 40.2513909, 116.139358 40.2513865, 116.139468 40.2513862, 116.1395903 40.2513905, 116.1396275 40.2513973, 116.1396496 40.2514121, 116.1396734 40.251438)",,,,,,
6305075438,8114025062,0,673274044,unclassified,20,False,True,9.054,"LINESTRING (116.1431341 40.2490132, 116.1430276 40.2490179)",,,,,,
6305075438,6305105441,0,673274044,unclassified,20,False,False,92.97099999999999,"LINESTRING (116.1431341 40.2490132, 116.1435213 40.2489967, 116.1440047 40.2489747, 116.1440153 40.2489742, 116.1442274 40.2489612)",,,,,,
6305075438,6305105255,0,673276078,footway,,False,False,25.901,"LINESTRING (116.1431341 40.2490132, 116.143132 40.2491244, 116.1431536 40.249245)",1,,,,,
6305075441,6305105434,0,673274044,unclassified,20,False,True,17.17,"LINESTRING (116.1446011 40.2489437, 116.1443992 40.2489535)",,,,,,
6305075441,7759502675,0,"[1086695186, 673274044]",unclassified,20,False,False,30.500999999999998,"LINESTRING (116.1446011 40.2489437, 116.1446185 40.248943, 116.1446498 40.2489417, 116.14496 40.2489293)",,,,,,
6305075441,7761003783,0,673274045,service,5,False,False,31.589000000000002,"LINESTRING (116.1446011 40.2489437, 116.1446073 40.2490238, 116.144623 40.2492273)",,,,,,
6305075443,7759502676,0,1086695186,unclassified,20,False,False,19.64,"LINESTRING (116.1455663 40.2489017, 116.145797 40.2488878)",,,,,,
6305075443,8114025040,0,871070140,footway,,False,False,6.395,"LINESTRING (116.1455663 40.2489017, 116.1455617 40.2488728, 116.145562 40.2488444)",,,,,,
6305075443,7759502675,0,1086695186,unclassified,20,False,True,51.548,"LINESTRING (116.1455663 40.2489017, 116.1452637 40.2489165, 116.14496 40.2489293)",,,,,,
6305075446,7761003782,0,673348311,unclassified,20,False,True,34.527,"LINESTRING (116.1461498 40.2488343, 116.1462676 40.2490213, 116.1463278 40.2491135)",2,博学大道,,,,
