element_type,osmid,geometry,nodes,building:colour,building:levels,height,name,name:zh,name:zh-Hans,name:zh-Hant,roof:colour,roof:shape,addr:housename,building,layer,roof:material,building:material,ref,roof:height,roof:levels,amenity,bench,bin,lit,shelter_type,capacity,man_made,content,office,material,construction,building:level,building:prefabricated,ways,type,note,healthcare
way,690216456,"POLYGON ((116.1427282 40.2572705, 116.1427435 40.2570837, 116.1428501 40.2570896, 116.1428477 40.2571245, 116.1429656 40.2571304, 116.1429527 40.2572817, 116.1427282 40.2572705))","[6475481847, 6475481848, 6475481849, 6475481850, 6475481851, 6475481852, 6475481847]",gray,2,7,,,,,darkgrey,gabled,,office,,steel,concrete,,2,,,,,,,,,,,,,,,,,,
way,690216457,"POLYGON ((116.1422618 40.2570582, 116.1422794 40.2568652, 116.1429957 40.2569034, 116.142978 40.2570964, 116.1428501 40.2570896, 116.1427435 40.2570837, 116.1422618 40.2570582))","[6475481853, 6475481854, 6475481855, 6475481856, 6475481849, 6475481848, 6475481853]",gray,2,7,新校区建设指挥部,新校区建设指挥部,新校区建设指挥部,新校區建設指揮部,darkgrey,gabled,,office,,steel,concrete,,2,,,,,,,,,,,,,,,,,,
way,730658897,"POLYGON ((116.1404296 40.2574031, 116.1404187 40.2572526, 116.1396502 40.2572851, 116.1396611 40.2574355, 116.1404296 40.2574031))","[6843804567, 6843804568, 6843804569, 6843804570, 6843804567]",maroon,5,17,杏坛苑青年教师公寓,杏坛苑青年教师公寓,杏坛苑青年教师公寓,杏壇苑青年教師公寓,darkgrey,gabled,,apartments,,steel,concrete,,2,1,,,,,,,,,,,,,,,,,
way,730658898,"POLYGON ((116.1395526 40.2568844, 116.1395635 40.2570349, 116.138795 40.2570671, 116.1387841 40.2569167, 116.1395526 40.2568844))","[6843804571, 6843804572, 6843804573, 6843804574, 6843804571]",maroon,5,17,杏坛苑青年教师公寓,杏坛苑青年教师公寓,杏坛苑青年教师公寓,杏壇苑青年教師公寓,darkgrey,gabled,,apartments,,steel,concrete,,2,1,,,,,,,,,,,,,,,,,
way,730658899,"POLYGON ((116.1405705 40.2570327, 116.1405568 40.2568657, 116.1396751 40.256908, 116.1396889 40.2570751, 116.1405705 40.2570327))","[6843804575, 6843804576, 6843804577, 6843804578, 6843804575]",maroon,5,17,留学生公寓,留学生公寓,留学生公寓,留學生公寓,darkgrey,gabled,,apartments,,steel,concrete,,2,1,,,,,,,,,,,,,,,,,
way,812421565,"POLYGON ((116.1426325 40.2518921, 116.1426147 40.2518815, 116.1426173 40.2518639, 116.1426395 40.2518567, 116.1426571 40.2518672, 116.1426546 40.2518852, 116.1426325 40.2518921))","[7588367279, 7588367280, 7588367281, 7588367282, 7588367283, 7588367284, 7588367279]",,,3,,,,,,pyramidal,,yes,,,,,,,shelter,,,,,,,,,,,,,,,,
way,832499652,"POLYGON ((116.140415 40.2474332, 116.140296 40.2473541, 116.1403334 40.2473187, 116.1404591 40.2473995, 116.140415 40.2474332))","[7772407424, 7772407425, 7772407426, 7772407427, 7772407424]",gray,1,3,煤气站,,,,white,gabled,,industrial,,,,,,,,,,,,,,,,,,,,,,,
way,832499667,"POLYGON ((116.1444318 40.2460428, 116.1444231 40.2459374, 116.1445263 40.2459325, 116.1445351 40.2460379, 116.1444318 40.2460428))","[7772407572, 7772407573, 6305022543, 7772407574, 7772407572]",,,,,,,,,,,yes,1,,,,,,,,,,,,,,,,,,,,,,
way,832499668,"POLYGON ((116.1436421 40.2460777, 116.1436334 40.2459723, 116.1436857 40.2459698, 116.1437366 40.2459674, 116.1437453 40.2460728, 116.1436421 40.2460777))","[7772407575, 7772407576, 6305022544, 7772407578, 7772407577, 7772407575]",,,,,,,,,,,yes,1,,,,,,,,,,,,,,,,,,,,,,
way,833425797,"POLYGON ((116.146428 40.253369, 116.1464398 40.2533374, 116.1465384 40.2533589, 116.1465266 40.2533905, 116.146428 40.253369))","[7780082215, 7780082216, 7780082217, 7780082218, 7780082215]",red,,3,红色候车亭,,,,red,round,,yes,,steel,glass,,,,shelter,yes,no,yes,public_transport,,,,,,,,,,,,
way,838013200,"POLYGON ((116.1387281 40.2516372, 116.1387797 40.2516375, 116.1387808 40.2515019, 116.1387292 40.2515017, 116.1387281 40.2516372))","[7821451144, 7821451145, 7821451146, 7821451147, 7821451144]",maroon,1,3,保卫处,,,,darkgrey,flat,,yes,,concrete,concrete,,,,police,,,,,,,,,,,,,,,,
way,838082021,"POLYGON ((116.1437226 40.2591111, 116.1437485 40.2591104, 116.1437669 40.2590936, 116.1437664 40.2590752, 116.1437455 40.2590593, 116.1437207 40.2590598, 116.1437015 40.2590759, 116.1437028 40.2590957, 116.1437226 40.2591111))","[7822081724, 7822081725, 7822081726, 7822081727, 7822081728, 7822081729, 7822081730, 7822081731, 7822081724]",,,3,燕贸亭,,,,,pyramidal,,yes,1,,,,,,shelter,,,,,,,,,,,,,,,,
way,871070154,"POLYGON ((116.1449547 40.2491657, 116.1449296 40.2489645, 116.1450091 40.2489597, 116.14503 40.2491641, 116.1449547 40.2491657))","[8114025106, 8114025107, 8114025108, 8114025109, 8114025106]",lightgrey,,2,,,,,,,,carport,1,,,,,,,,,,,50,,,,,,,,,,,
way,872169313,"POLYGON ((116.1404996 40.2471814, 116.1405049 40.2471847, 116.1405086 40.2471891, 116.1405102 40.2471942, 116.1405097 40.2471994, 116.1405071 40.2472042, 116.1405026 40.2472082, 116.1404967 40.2472108, 116.1404899 40.2472119, 116.1404826 40.2472113, 116.1404759 40.2472087, 116.1404708 40.2472045, 116.1404679 40.2471993, 116.1404675 40.2471937, 116.1404696 40.2471882, 116.140474 40.2471837, 116.1404797 40.2471807, 116.1404863 40.2471793, 116.1404931 40.2471795, 116.1404996 40.2471814))","[8123402344, 8123402345, 8123402346, 8123402347, 8123402348, 8123402349, 8123402350, 8123402351, 8123402333, 8123402334, 8123402335, 8123402340, 8123402341, 8123402342, 8123402343, 8123402336, 8123402337, 8123402338, 8123402339, 8123402344]",black,,14,,,,,steel,flat,,yes,,,steel,,,,,,,,,,chimney,,,,,,,,,,
way,872169314,"POLYGON ((116.1405598 40.2471571, 116.1405651 40.2471604, 116.1405688 40.2471648, 116.1405704 40.2471699, 116.1405699 40.2471751, 116.1405673 40.2471799, 116.1405628 40.2471839, 116.1405568 40.2471865, 116.1405501 40.2471877, 116.1405428 40.247187, 116.1405361 40.2471844, 116.140531 40.2471803, 116.1405281 40.247175, 116.1405277 40.2471694, 116.1405298 40.2471639, 116.1405342 40.2471594, 116.1405399 40.2471564, 116.1405465 40.247155, 116.1405533 40.2471552, 116.1405598 40.2471571))","[8123402352, 8123402353, 8123402354, 8123402355, 8123402356, 8123402357, 8123402358, 8123402359, 8123402360, 8123402361, 8123402362, 8123402363, 8123402364, 8123402365, 8123402366, 8123402367, 8123402368, 8123402369, 8123402370, 8123402352]",black,,14,,,,,steel,flat,,yes,,,steel,,,,,,,,,,chimney,,,,,,,,,,
way,872169315,"POLYGON ((116.1406285 40.247127, 116.1406338 40.2471303, 116.1406375 40.2471347, 116.1406391 40.2471398, 116.1406386 40.247145, 116.140636 40.2471498, 116.1406315 40.2471538, 116.1406256 40.2471564, 116.1406189 40.2471575, 116.1406115 40.2471569, 116.1406048 40.2471543, 116.1405997 40.2471502, 116.1405968 40.2471449, 116.1405964 40.2471393, 116.1405985 40.2471338, 116.1406029 40.2471293, 116.1406086 40.2471263, 116.1406152 40.2471249, 116.1406221 40.2471251, 116.1406285 40.247127))","[8123402371, 8123402372, 8123402373, 8123402374, 8123402375, 8123402376, 8123402377, 8123402378, 8123402379, 8123402380, 8123402381, 8123402382, 8123402383, 8123402384, 8123402385, 8123402386, 8123402387, 8123402388, 8123402389, 8123402371]",black,,14,,,,,steel,flat,,yes,,,steel,,,,,,,,,,chimney,,,,,,,,,,
way,872169316,"POLYGON ((116.1406985 40.2470949, 116.1407038 40.2470982, 116.1407075 40.2471026, 116.1407091 40.2471077, 116.1407086 40.2471129, 116.140706 40.2471178, 116.1407015 40.2471217, 116.1406956 40.2471244, 116.1406889 40.2471255, 116.1406815 40.2471248, 116.1406748 40.2471222, 116.1406697 40.2471181, 116.1406668 40.2471129, 116.1406664 40.2471072, 116.1406685 40.2471018, 116.1406729 40.2470972, 116.1406786 40.2470943, 116.1406852 40.2470928, 116.1406921 40.247093, 116.1406985 40.2470949))","[8123402390, 8123402391, 8123402392, 8123402393, 8123402394, 8123402395, 8123402396, 8123402397, 8123402398, 8123402399, 8123402400, 8123402401, 8123402402, 8123402403, 8123402404, 8123402405, 8123402406, 8123402407, 8123402408, 8123402390]",black,,14,,,,,steel,flat,,yes,,,steel,,,,,,,,,,chimney,,,,,,,,,,
way,872169317,"POLYGON ((116.1407659 40.2470663, 116.1407712 40.2470696, 116.1407749 40.247074, 116.1407766 40.2470791, 116.1407761 40.2470843, 116.1407734 40.2470891, 116.1407689 40.2470931, 116.140763 40.2470957, 116.1407563 40.2470968, 116.1407489 40.2470962, 116.1407423 40.2470936, 116.1407372 40.2470894, 116.1407342 40.2470842, 116.1407338 40.2470786, 116.1407359 40.2470731, 116.1407404 40.2470686, 116.140746 40.2470656, 116.1407526 40.2470642, 116.1407595 40.2470644, 116.1407659 40.2470663))","[8123402409, 8123402410, 8123402411, 8123402412, 8123402413, 8123402414, 8123402415, 8123402416, 8123407817, 8123407818, 8123407819, 8123407820, 8123407821, 8123407822, 8123407823, 8123407824, 8123407825, 8123407826, 8123407827, 8123402409]",black,,14,,,,,steel,flat,,yes,,,steel,,,,,,,,,,chimney,,,,,,,,,,
way,921001719,"POLYGON ((116.1428105 40.253608, 116.1441301 40.2538905, 116.1443447 40.253215, 116.1432933 40.2530021, 116.1432665 40.2531208, 116.1429607 40.2530594, 116.1428105 40.253608))","[8551033193, 8551033194, 8551033195, 8551033196, 8551033197, 8551033198, 8551033193]",,5,,第二教学楼,第二教学楼,第二教学楼,第二教學樓,,,,university,1,,,,,,,,,,,,,,,,,,,,,,
way,921001720,"POLYGON ((116.1407965 40.2533296, 116.1412418 40.2533378, 116.1414832 40.253174, 116.1415529 40.253174, 116.1415368 40.253346, 116.1419284 40.2534975, 116.1420411 40.2534483, 116.1421805 40.252957, 116.1421054 40.252912, 116.1420143 40.2527605, 116.1415046 40.252912, 116.1411345 40.2527769, 116.1407965 40.2533296))","[8551033199, 8551033200, 8551033201, 8551033202, 8551033203, 8551033204, 8551033205, 8551033206, 8551033207, 8551033208, 8551033209, 8551033210, 8551033199]",,,,大学生活动中心,大学生活动中心,大学生活动中心,大學生活動中心,,,,university,1,,,,,,,,,,,,,,,,,,,,,,
way,921001721,"POLYGON ((116.140823 40.2540137, 116.14082 40.2537955, 116.140909 40.2537948, 116.1409079 40.2537172, 116.1410081 40.2537164, 116.141007 40.2536349, 116.1413296 40.2536323, 116.1413301 40.2536692, 116.1414066 40.2536685, 116.1414086 40.253814, 116.141641 40.2538121, 116.1416432 40.2539717, 116.1415705 40.2539723, 116.1415741 40.2542255, 116.1412883 40.2542279, 116.1412863 40.2540894, 116.1409011 40.2540926, 116.1408999 40.254013, 116.140823 40.2540137))","[8551033211, 9105698580, 9105698581, 8551033212, 10733367618, 10733367617, 10733367616, 10733367615, 8551033213, 9105698582, 9105698583, 10733367614, 10733367613, 9105698584, 10733367612, 10733367611, 10733367610, 8551033214, 8551033211]",,,,玉兰食堂,玉兰食堂,玉兰食堂,玉蘭食堂,,,,restaurant,,,,,,,restaurant,,,,,,,,,,,,,,,,
