element_type,osmid,geometry,nodes,building:colour,building:levels,height,name,name:zh,name:zh-Hans,name:zh-Hant,roof:colour,roof:shape,addr:housename,building,layer,roof:material,building:material,ref,roof:height,roof:levels,amenity,bench,bin,lit,shelter_type,capacity,man_made,content,office,material,construction,building:level,building:prefabricated,ways,type,note,healthcare
way,1056197002,"POLYGON ((116.1405394 40.2491155, 116.1405393 40.2491183, 116.1405381 40.2491209, 116.1405358 40.249123, 116.1405327 40.2491244, 116.1405292 40.249125, 116.1405256 40.2491246, 116.1405225 40.2491235, 116.1405201 40.2491216, 116.1405185 40.2491192, 116.140518 40.2491166, 116.1405187 40.249114, 116.1405204 40.2491117, 116.140523 40.2491099, 116.1405262 40.2491088, 116.1405297 40.2491086, 116.140533 40.2491093, 116.140536 40.2491108, 116.1405383 40.2491129, 116.1405394 40.2491155))","[9705077328, 9705077329, 9705077330, 9705077331, 9705077332, 9705077333, 9705077334, 9705077335, 9705077336, 9705077337, 9705077338, 9705077339, 9705077340, 9705077341, 9705077342, 9705077343, 9705077344, 9705077345, 9705077346, 9705077328]",,,3,,,,,,,,yes,,,,,,,,,,,,,storage_tank,sewage,,,,,,,,,
way,1056197003,"POLYGON ((116.1405965 40.2491155, 116.1405964 40.2491183, 116.1405952 40.2491209, 116.1405929 40.249123, 116.1405898 40.2491244, 116.1405863 40.249125, 116.1405827 40.2491246, 116.1405796 40.2491235, 116.1405771 40.2491216, 116.1405756 40.2491192, 116.1405751 40.2491166, 116.1405758 40.249114, 116.1405775 40.2491117, 116.1405801 40.2491099, 116.1405832 40.2491088, 116.1405867 40.2491086, 116.1405901 40.2491093, 116.1405931 40.2491108, 116.1405953 40.2491129, 116.1405965 40.2491155))","[9705077347, 9705077348, 9705077349, 9705077350, 9705077351, 9705077352, 9705077353, 9705077354, 9705077355, 9705077356, 9705077357, 9705077358, 9705077359, 9705077360, 9705077361, 9705077362, 9705077363, 9705077364, 9705077365, 9705077347]",,,3,,,,,,,,yes,,,,,,,,,,,,,storage_tank,sewage,,,,,,,,,
way,1056197005,"POLYGON ((116.1410481 40.2491487, 116.1410467 40.2490812, 116.1410458 40.2490258, 116.1412141 40.2490244, 116.1412308 40.2490925, 116.1411815 40.2491493, 116.1410481 40.2491487))","[9705077370, 11211899973, 11211899974, 9705067700, 9705067701, 9705067702, 9705077370]",,,,,,,,,,,yes,,,,,,,,,,,,,,,water_utility,,,,,,,,
way,1058865539,"POLYGON ((116.1407712 40.2519146, 116.140774 40.2515567, 116.1412971 40.2515591, 116.1412968 40.2515982, 116.1408178 40.2515961, 116.1408154 40.2519148, 116.1407712 40.2519146))","[9729555737, 9729555738, 9729555739, 9729555740, 9729555741, 9729555742, 9729555737]",,1,3,,,,,,,,roof,1,,,,,,,,,,,,,,,steel,,,,,,,
way,1062593230,"POLYGON ((116.1461101 40.2523161, 116.1461277 40.2521284, 116.1461352 40.2520239, 116.1461446 40.2518944, 116.146154 40.2517649, 116.1461504 40.2515437, 116.14701 40.2514954, 116.1469939 40.2518128, 116.1469863 40.251964, 116.1469495 40.2522833, 116.1461101 40.2523161))","[9761645781, 9979144865, 9979144866, 9979144867, 9979144864, 9761645782, 9761645783, 11133504667, 9979144863, 9761645784, 9761645781]",,,,文科楼,文科楼,,,,,,university,,,,,,,,,,,,,,,,,,,,,,,
way,1062596136,"POLYGON ((116.1453422 40.2530283, 116.1454251 40.2527742, 116.1455024 40.2527888, 116.1454195 40.253043, 116.1453422 40.2530283))","[9761680821, 9761680822, 9761680823, 9761680824, 9761680821]",,,,,,,,,,,roof,1,,,,,,,,,,,,,,,,,,,,,,
way,1086197900,"POLYGON ((116.1488749 40.2509467, 116.1487949 40.2509455, 116.1487956 40.250916, 116.1488757 40.2509173, 116.1488749 40.2509467))","[9952657082, 9952657083, 9952657084, 8568505969, 9952657082]",,1,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,
way,1086197901,"POLYGON ((116.1488623 40.2514671, 116.1488306 40.2514668, 116.1488318 40.2513925, 116.1488636 40.2513929, 116.1488623 40.2514671))","[8637184328, 9952657085, 9952657086, 9952657087, 8637184328]",,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,
way,1086669081,"POLYGON ((116.1455234 40.2531308, 116.1455828 40.252944, 116.1456183 40.2529506, 116.1455588 40.2531373, 116.1455234 40.2531308))","[9956798436, 9956798437, 9956798438, 9956798439, 9956798436]",,1,,,,,,,,,carport,,,,,,,,,,,,,,,,,,,,,,,
way,1086669082,"POLYGON ((116.1455967 40.2529067, 116.1456561 40.2527199, 116.1456916 40.2527265, 116.1456321 40.2529132, 116.1455967 40.2529067))","[9956798440, 9956798441, 9956798442, 9956798443, 9956798440]",,1,,,,,,,,,carport,,,,,,,,,,,,,,,,,,,,,,,
way,1086669094,"POLYGON ((116.1394039 40.2544124, 116.139412 40.2545183, 116.1389188 40.2545389, 116.1389549 40.2549234, 116.1394414 40.2549011, 116.1394486 40.254996, 116.1388226 40.255024, 116.1387777 40.2544404, 116.1394039 40.2544124))","[10246266165, 10246266174, 10246266175, 10246266176, 10246266169, 10246266167, 9956798485, 9956798486, 10246266165]",,,,研究生宿舍,研究生宿舍,研究生宿舍,研究生宿舍,,,,dormitory,,,,,,,,,,,,,,,,,yes,,,,,,
way,1114980887,"POLYGON ((116.1394691 40.2515187, 116.1394688 40.251503, 116.1395133 40.2515025, 116.1395136 40.2515182, 116.1394691 40.2515187))","[10197705304, 10197705305, 10197705306, 10197705307, 10197705304]",white,,3,,,,,orange,flat,,yes,,steel,steel,,,,,,,,,,,,,,,1,yes,,,,
way,1120280872,"POLYGON ((116.142591 40.2527887, 116.1428206 40.2528274, 116.1428092 40.252867, 116.1425796 40.2528283, 116.142591 40.2527887))","[10246266161, 10246266162, 10246266163, 10246266164, 10246266161]",,1,3,,,,,,,,roof,1,,,,,,,,,,,,,,,steel,,,,,,,
way,1120280873,"POLYGON ((116.140378 40.2549868, 116.139741 40.2550135, 116.1397341 40.2549178, 116.1402481 40.2548962, 116.1402235 40.2545123, 116.1397087 40.2545325, 116.1396991 40.2544335, 116.1403363 40.2544068, 116.140378 40.2549868))","[9956798488, 10246266168, 10246266170, 10246266171, 10246266172, 10246266173, 10246266166, 9956798487, 9956798488]",,,,研究生宿舍,研究生宿舍,研究生宿舍,研究生宿舍,,,,dormitory,,,,,,,,,,,,,,,,,yes,,,,,,
way,1120285093,"POLYGON ((116.1394778 40.2509855, 116.1394756 40.2509646, 116.1395198 40.250962, 116.1395219 40.2509828, 116.1394778 40.2509855))","[10246298461, 10246298462, 10246298463, 10246298464, 10246298461]",,1,2.5,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,
way,1210226041,"POLYGON ((116.1406416 40.248907, 116.1406414 40.2487798, 116.141254 40.2487791, 116.1412542 40.2489065, 116.1406416 40.248907))","[11211899980, 11211899981, 11211899982, 11211899983, 11211899980]",,,,,,,,,,,roof,1,,,,,,,,,,,,,,,,,,,,,,
way,1250687851,"POLYGON ((116.1451935 40.2600118, 116.145195 40.2599659, 116.1453878 40.2599698, 116.1453862 40.2600157, 116.1451935 40.2600118))","[11626037914, 11626037915, 11626037916, 11626037917, 11626037914]",,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,
relation,12527583,"POLYGON ((116.1390323 40.2512897, 116.1391393 40.2512847, 116.139574 40.2512647, 116.1395708 40.2512244, 116.1395688 40.2511987, 116.1395259 40.2512006, 116.1395176 40.2510943, 116.1395598 40.2510924, 116.1395581 40.2510711, 116.1395548 40.2510279, 116.1391673 40.2510456, 116.1390781 40.2510497, 116.1388559 40.2510599, 116.138857 40.25108, 116.1388594 40.2511228, 116.1388668 40.2512288, 116.1388675 40.2512406, 116.1388707 40.2512971, 116.1390323 40.2512897), (116.1392665 40.2511052, 116.1394909 40.2510952, 116.139499 40.2511998, 116.1392746 40.2512099, 116.1392665 40.2511052))","[[[6305137143, 10246298460, 7759736770, 7759736771, 8114020479, 6305137144, 8114020476, 8114020487, 6305137145, 8114020497, 7759736775, 7759736777, 7759736776, 7759736774, 10246298447, 6305137146, 10246298454, 10246298455, 6305137143], [7761037646, 7761037647, 7761037648, 7761037649, 7761037646]]]",maroon,,,后勤服务楼F座,后勤服务楼F座,后勤服务楼F座,後勤服務樓F座,darkgrey,flat,,yes,,concrete,,,,,,,,,,,,,,,,,,"[925188510, 831197246]",multipolygon,,
relation,12527584,"POLYGON ((116.1441376 40.2488482, 116.1444897 40.2488348, 116.1454819 40.2487948, 116.1454707 40.2486557, 116.1454682 40.2486244, 116.145405 40.2486274, 116.1451575 40.2486386, 116.1449976 40.2486461, 116.1448949 40.2486513, 116.1446783 40.2486614, 116.1446765 40.2486309, 116.1446754 40.2486131, 116.1446669 40.24847, 116.1446538 40.2482726, 116.1446536 40.2482454, 116.1448486 40.2482808, 116.1449353 40.2482856, 116.1451638 40.2483737, 116.1451876 40.2483829, 116.1452295 40.248399, 116.1455794 40.2486235, 116.1457126 40.2485172, 116.1456351 40.2484179, 116.1453657 40.248243, 116.1452762 40.2482078, 116.1450807 40.2481309, 116.1450592 40.2481225, 116.1446845 40.2480587, 116.1444337 40.2480539, 116.1443046 40.248054, 116.144196 40.2480593, 116.1440776 40.2480658, 116.1438887 40.2480823, 116.1436286 40.2481414, 116.1434986 40.2481816, 116.1432603 40.2482983, 116.1432338 40.2483113, 116.143161 40.248347, 116.1429598 40.2485266, 116.1429226 40.2485455, 116.1428669 40.2486495, 116.1430093 40.2487535, 116.1431425 40.2486401, 116.143288 40.2485195, 116.1433526 40.2484833, 116.1433762 40.24847, 116.1434 40.2484576, 116.1436007 40.2483517, 116.1439004 40.2482814, 116.1439016 40.2483029, 116.1439187 40.2485409, 116.1439224 40.2485954, 116.143929 40.2486921, 116.1435972 40.2487086, 116.1434232 40.2487172, 116.1431444 40.2487311, 116.1431474 40.2487661, 116.1431586 40.2488962, 116.1441376 40.2488482), (116.1440958 40.2482949, 116.1440881 40.2481979, 116.1444432 40.2481831, 116.1444515 40.2482802, 116.144479 40.2486707, 116.1441269 40.248684, 116.1440958 40.2482949))","[[[6305136995, 8900226908, 6305136996, 8114025087, 8114025090, 6305105448, 8114025072, 8113931359, 8113931391, 6305105447, 6305105446, 6305105445, 8918140820, 8918069615, 8918069610, 6305105443, 6305105442, 6305105457, 6305105456, 6305105455, 6305105454, 8918069605, 8900090517, 6305105453, 6305105452, 6305105451, 6305105450, 7772380380, 7772380381, 6305105470, 6305105469, 6305105468, 9979140113, 8113931400, 6305105467, 6305105466, 6305105465, 6305105464, 6305105463, 8113774687, 8113931408, 6305105462, 6305105461, 6305105460, 8113931392, 8113931360, 8113931363, 8114025047, 6305105459, 8113931382, 8114025092, 8114025095, 8113931386, 6305136999, 8900226909, 6305137000, 6305136998, 6305136997, 6305136995], [6305105449, 8113931393, 7772380383, 7772380382, 8113931394, 6305105458, 6305105449]]]",,,,第一教学楼,,,,,,,school,,,,,,,,,,,,,,,,,,,,"[925188556, 925188555]",multipolygon,所有高度均为大致估测值，因为准确的记录学校并不会透露，我们也没有合法测绘的权限，仅供描述大致形状使用。,
relation,12527585,"MULTIPOLYGON (((116.1455033 40.250987, 116.1454935 40.2507889, 116.1467404 40.2507236, 116.1466748 40.2504646, 116.1466008 40.2502346, 116.1468535 40.2502031, 116.1469638 40.2505675, 116.1470362 40.2508997, 116.1455033 40.250987)), ((116.145066 40.2508078, 116.1450384 40.2504303, 116.1451658 40.250413, 116.1451824 40.2504833, 116.1458392 40.2503952, 116.1464467 40.2504037, 116.1464543 40.2502248, 116.1463642 40.2502224, 116.1462357 40.2498756, 116.1463163 40.2498605, 116.1462923 40.2497814, 116.1463786 40.2497634, 116.1464225 40.2498448, 116.1466575 40.2497994, 116.1464806 40.2494716, 116.1462932 40.2491652, 116.1460705 40.2492442, 116.1460951 40.2492836, 116.1460167 40.2493156, 116.1459427 40.2491923, 116.1450473 40.2492293, 116.1450512 40.2493172, 116.144945 40.2493217, 116.144939 40.2492335, 116.1446906 40.2492404, 116.1447443 40.2499779, 116.1449893 40.2499722, 116.1449832 40.2498824, 116.1450796 40.2498885, 116.145085 40.2499655, 116.1451378 40.2502949, 116.1451587 40.2503833, 116.1450364 40.2504018, 116.1450298 40.2503131, 116.1447884 40.25035, 116.1448333 40.2510098, 116.1453836 40.2509812, 116.1453691 40.2507944, 116.145066 40.2508078), (116.1450565 40.249435, 116.1460579 40.2493843, 116.1460302 40.2493381, 116.1461103 40.249308, 116.1462793 40.2495793, 116.1463648 40.2497378, 116.1462843 40.249755, 116.1462622 40.2496821, 116.1457124 40.2497816, 116.1450723 40.249783, 116.1450778 40.2498614, 116.1449811 40.2498521, 116.1449468 40.249348, 116.1450524 40.2493441, 116.1450565 40.249435), (116.1456313 40.2499613, 116.1456683 40.2502279, 116.1454434 40.2502563, 116.1453944 40.2499631, 116.1456313 40.2499613), (116.1458761 40.249943, 116.1460932 40.2499023, 116.1461406 40.2502165, 116.1459185 40.2502106, 116.1458761 40.249943)))","[[[6305175143, 6305175144, 6305175145, 8113925106, 8113925105, 6305175150, 6305175155, 8113925108, 8113925107, 6305175142, 6305175139, 6305175140, 6305175141, 8113925114, 8113925113, 6305175162, 6305175163, 8113931318, 8113931317, 6305175167, 6305175168, 7761003776, 6305175169, 6305175166, 8113931320, 8113931319, 6305175158, 8233625449, 8233625450, 6305175152, 6305175153, 6305175154, 6305175149, 8113925104, 8113925103, 6305175146, 6305175147, 6305175148, 6305175143], [8113925110, 8113925111, 8113925112, 6305175161, 6305175164, 8113925115, 8113925116, 7761003777, 8113931321, 8113931322, 6305175157, 6305175156, 6305175160, 8113925109, 8113925110], [8233625446, 8233625445, 8233625448, 8233625447, 8233625446], [8233625442, 8233625441, 8233625444, 8233625443, 8233625442], [8891766455, 8891766456, 8891766457, 9106547926, 8891766458, 8891766459, 9106547927, 8891766460, 8891766455]]]",,,,实验楼,,,,,,,school,1,,,,,,,,,,,,,,,,,,,"[925188560, 925188557, 925188558, 925188559, 961218207]",multipolygon,,laboratory
