element_type,osmid,nodes,building,name,name:en,name:zh,name:zh-Hans,name:zh-Hant,geometry
way,1035337057,"[9536946720, 9536946721, 9536946722, 9536946723, 9536946720]",university,体育馆,Gym,体育馆,体育馆,體育館,"POLYGON ((120.7382117 31.272966, 120.7386707 31.2730763, 120.7390982 31.2717777, 120.7386392 31.2716673, 120.7382117 31.272966))"
way,1036623697,"[9550309073, 9550309089, 9550309088, 9550309074, 9550309075, 9550309076, 9550309077, 9550309078, 9550309090, 9550309079, 9550309091, 9550309080, 9550309081, 9550309082, 9550309083, 9550309084, 9550309085, 9550309086, 9550309087, 9550309073]",university,影视艺术学院,,影视艺术学院,影视艺术学院,影視藝術學院,"POLYGON ((120.7341604 31.2728691, 120.7341603 31.2728886, 120.7341844 31.2729028, 120.7342906 31.2729283, 120.7344313 31.2729253, 120.734572 31.2729129, 120.7347344 31.2728882, 120.7348571 31.2728728, 120.7349383 31.2728572, 120.7349817 31.2728411, 120.7349855 31.2728107, 120.7349764 31.272775, 120.7348247 31.2725299, 120.7346821 31.2723276, 120.7346198 31.2722589, 120.7345804 31.27222, 120.7345379 31.2722161, 120.7344939 31.2722161, 120.7344605 31.2722316, 120.7341604 31.2728691))"
way,1036623698,"[9550309092, 9550309093, 9550309094, 9550309095, 9550309096, 9550309097, 9550309098, 9550309099, 9550309100, 9550309101, 9550309102, 9550309103, 9550309104, 9550309105, 9550309106, 9550309107, 9550309108, 9550309109, 9550309110, 9550309092]",university,设计楼,Design Building,设计楼,设计楼,設計樓,"POLYGON ((120.7366722 31.2709942, 120.7366162 31.2709618, 120.7365693 31.270894, 120.7365675 31.27082, 120.7365856 31.270766, 120.7366343 31.2707105, 120.7367281 31.2706549, 120.7367985 31.2706549, 120.7368562 31.2706781, 120.7369067 31.2707243, 120.7369121 31.2707706, 120.7370475 31.2708122, 120.7370705 31.2707575, 120.7375996 31.2709202, 120.7372751 31.2712691, 120.736941 31.271042, 120.7369587 31.271001, 120.7368346 31.2709618, 120.7367209 31.2710004, 120.7366722 31.2709942))"
way,1036623699,"[9550309111, 9550309112, 9550309113, 9550309114, 9550309115, 9550309116, 9550311717, 9550311718, 9550311719, 9550311720, 9550311721, 9550311722, 9550311723, 9550311724, 9550311725, 9550311726, 9550311727, 9550311728, 9550311730, 9550311729, 9550309111]",university,新兴科学楼,Emerging and Interdisciplinary Science Building,新兴科学楼,新兴科学楼,新興科學樓,"POLYGON ((120.7361474 31.2704356, 120.7362033 31.270468, 120.7362502 31.2705358, 120.7362521 31.2706098, 120.736234 31.2706638, 120.7361853 31.2707193, 120.7360915 31.2707749, 120.7360211 31.2707749, 120.7359634 31.2707517, 120.7359128 31.2707055, 120.7359074 31.2706592, 120.7357721 31.2706176, 120.7357506 31.2706438, 120.7353459 31.2706354, 120.73537 31.2701983, 120.7358785 31.2703878, 120.7358608 31.2704288, 120.735985 31.270468, 120.7360312 31.270437, 120.7360987 31.2704294, 120.7361474 31.2704356))"
way,1036623703,"[9550311744, 9550311745, 9550311746, 9550311747, 9550311748, 9550311749, 9550311750, 9550311751, 9550311752, 9550311753, 9550311754, 9550311755, 9550311756, 9550311757, 9550311758, 9550311759, 9550311760, 9550311761, 9550311762, 9550311763, 9550311764, 9550311765, 9550311766, 9550311767, 9550311744]",university,西浦国际商学院,International Business School Suzhou,西浦国际商学院,西浦国际商学院,西浦國際商學院,"POLYGON ((120.7349541 31.2723529, 120.7352717 31.272356, 120.7352046 31.2722413, 120.7352461 31.2722251, 120.7352119 31.272168, 120.7351938 31.2720847, 120.735183 31.2719822, 120.7351929 31.2718634, 120.7352164 31.2717794, 120.7352488 31.2716938, 120.7352958 31.2716167, 120.7353905 31.2715187, 120.7354708 31.2714563, 120.7355565 31.2713984, 120.7356485 31.2713591, 120.7357514 31.2713244, 120.7358497 31.2713121, 120.7359462 31.2713074, 120.7359562 31.271282, 120.7360599 31.2712858, 120.7359435 31.2710414, 120.7355312 31.2710244, 120.7349166 31.2714219, 120.7347632 31.2720311, 120.7349541 31.2723529))"
way,1036623704,"[9550311768, 9550311769, 9550311770, 9550311771, 9550311772, 9550311773, 9550311774, 9550311775, 9550311776, 9550311777, 9550311778, 9550311779, 9550311780, 9550311781, 9550311782, 9550311768]",university,国际科研中心,International Research Centre,国际科研中心,国际科研中心,國際科研中心,"POLYGON ((120.735342 31.2726573, 120.7354034 31.2726805, 120.7353709 31.2727529, 120.735748 31.2728794, 120.7357805 31.2728085, 120.7358635 31.2728193, 120.7358815 31.2726419, 120.7358436 31.2726404, 120.7357899 31.2726438, 120.7357009 31.2726273, 120.7356376 31.2726053, 120.7355614 31.2725741, 120.7355045 31.2725439, 120.7354659 31.2725072, 120.7353579 31.2726381, 120.735342 31.2726573))"
way,1036623705,"[9550311782, 9550311783, 9550311784, 9550311781, 9550311782]",yes,,,,,,"POLYGON ((120.7353579 31.2726381, 120.7351891 31.2725154, 120.7353361 31.2724036, 120.7354659 31.2725072, 120.7353579 31.2726381))"
way,1036623706,"[9550311785, 9550311786, 9550311787, 9550311788, 9550311789, 9550311790, 9550311791, 9550311792, 9550311793, 9550311794, 9550311795, 9550311796, 9550311797, 9550311798, 9550311799, 9550311800, 9550311801, 9550311802, 9550311803, 9550311785]",university,人文社科楼,Humanities and Social Sciences Building,,,,"POLYGON ((120.7367491 31.2718985, 120.7367127 31.2717455, 120.736737 31.2717312, 120.7366459 31.2716028, 120.736611 31.2716106, 120.7365655 31.2716093, 120.7365261 31.2715881, 120.7365033 31.2715445, 120.7365124 31.2714978, 120.7365427 31.2714641, 120.7365276 31.2714394, 120.7365048 31.2714433, 120.7363516 31.2713551, 120.7364123 31.2712734, 120.7365883 31.2711917, 120.7368401 31.2712462, 120.7370829 31.2715717, 120.7370116 31.2717986, 120.7367992 31.2718972, 120.7367491 31.2718985))"
way,1036623707,"[9550311804, 9550311805, 9550311806, 9550311807, 9550311808, 9550311809, 9550311810, 9550311811, 9550311812, 9550311813, 9550311814, 9550311815, 9550311816, 9550311817, 9550311818, 9550311819, 9550311820, 9550311821, 9550311822, 9550311823, 9550311824, 9550311825, 9550311826, 9550311827, 9550311828, 9550311829, 9550311830, 9550311804]",university,国际学术交流中心,International Academic Exchange and Collaboration Centre,,,,"POLYGON ((120.7365509 31.2728375, 120.7365273 31.2727981, 120.7365777 31.2727183, 120.736479 31.2727192, 120.7363374 31.2725459, 120.7363396 31.2725312, 120.7363599 31.2725028, 120.73639 31.2724863, 120.7365295 31.2724625, 120.7365498 31.272446, 120.7366282 31.2723368, 120.736611 31.272324, 120.7365885 31.2722992, 120.7365831 31.2722672, 120.7365895 31.2722406, 120.7366024 31.2722158, 120.7366303 31.2721965, 120.7366603 31.2721874, 120.7366861 31.27218, 120.7366957 31.272169, 120.7367344 31.2720113, 120.7368234 31.272026, 120.7369983 31.2721241, 120.7370713 31.2723497, 120.7370713 31.2723699, 120.7367794 31.2727706, 120.7367548 31.2727898, 120.7365509 31.2728375))"
