element_type,osmid,building,name,name:zh,name:zh-Hans,name:zh-Hant,geometry,fixme,nodes,amenity,cuisine,internet_access,internet_access:fee,name:en,outdoor_seating,shop,building:levels,office,fast_food,healthcare,healthcare:speciality,website
way,399015106,house,学生活动中心,学生活动中心,学生活动中心,學生活動中心,"POLYGON ((116.3510252 39.962913, 116.3513023 39.9629211, 116.3513129 39.96248, 116.3510412 39.9624719, 116.3510252 39.962913))",,"[4017547798, 4017547799, 4017547800, 4017547801, 4017547798]",,,,,,,,,,,,,
way,399015107,yes,经管楼,经管楼,经管楼,經管樓,"POLYGON ((116.3509502 39.9633373, 116.3515557 39.9633473, 116.351567 39.9630628, 116.3509596 39.9630485, 116.3509502 39.9633373))",,"[4017547802, 4017547803, 4017547804, 4017547805, 4017547802]",,,,,,,,,,,,,
way,399017728,yes,综合服务楼,综合服务楼,综合服务楼,綜合服務樓,"POLYGON ((116.3513649 39.9629409, 116.3515786 39.9629467, 116.3515936 39.9626981, 116.3520697 39.962711, 116.3520757 39.9629564, 116.3523265 39.9629622, 116.3523499 39.9626023, 116.3513805 39.9625646, 116.3513649 39.9629409))",,"[4017574972, 4017574973, 4017574974, 4017574975, 4017574976, 4017574977, 4017574978, 4017574979, 4017574972]",,,,,,,,,,,,,
way,399017729,commercial,北邮科技酒店,北邮科技酒店,北邮科技酒店,北郵科技飯店,"POLYGON ((116.3489267 39.9632687, 116.3492352 39.9632321, 116.3492351 39.9629336, 116.3490863 39.9629305, 116.3489374 39.9629274, 116.3489267 39.9632687))",,"[4017574980, 4017527725, 4017574981, 10226799995, 4017574982, 4017574980]",,,,,,,,,,,,,
way,399017963,yes,,,,,"POLYGON ((116.3489186 39.9634372, 116.3492029 39.9634413, 116.3492352 39.9632321, 116.3489267 39.9632687, 116.3489186 39.9634372))",,"[4017578094, 4017578095, 4017527725, 4017574980, 4017578094]",,,,,,,,,,,,,
way,399018200,yes,北京邮电大学学生餐厅,北京邮电大学学生餐厅,北京邮电大学学生餐厅,北京郵電大學學生餐廳,"POLYGON ((116.3525981 39.9622278, 116.3533169 39.9622484, 116.3533491 39.9617282, 116.3526196 39.9617077, 116.3525981 39.9622278))",,"[4017581642, 4017581643, 4017581644, 4017581645, 4017581642]",restaurant,,,,,,,,,cafeteria,,,
way,399018201,apartments,家属27号楼,家属27号楼,家属27号楼,家屬27號樓,"POLYGON ((116.3536517 39.9626955, 116.3539476 39.9627018, 116.3539546 39.9625064, 116.3536587 39.9625001, 116.3536517 39.9626955))",,"[4017581646, 4017581647, 4017581648, 4017581649, 4017581646]",,,,,,,,,,,,,
way,399018202,apartments,家属28号楼,家属28号楼,家属28号楼,家屬28號樓,"POLYGON ((116.3536956 39.9619624, 116.3539989 39.9619616, 116.3539981 39.9617762, 116.3536948 39.961777, 116.3536956 39.9619624))",,"[4017581650, 4017581651, 4017581652, 4017581653, 4017581650]",,,,,,,,,,,,,
way,399018593,apartments,学生29号公寓,学生29号公寓,学生29号公寓,學生29號公寓,"POLYGON ((116.3543286 39.9616213, 116.3543305 39.9615937, 116.354285 39.961614, 116.3542642 39.9615807, 116.3543399 39.9615429, 116.3543248 39.961511, 116.3542699 39.9615284, 116.3542434 39.9614834, 116.3543267 39.9614529, 116.3543172 39.9614225, 116.3542755 39.9614413, 116.3542434 39.9614007, 116.354321 39.9613644, 116.3543191 39.9613049, 116.3542907 39.9613093, 116.3543002 39.9612628, 116.3545955 39.9612686, 116.3545842 39.9613731, 116.3546429 39.9614094, 116.3546145 39.96145, 116.3545482 39.961421, 116.3545501 39.9614617, 116.3546353 39.9615023, 116.354605 39.9615386, 116.3545558 39.9615226, 116.3545084 39.9615473, 116.3546145 39.9615879, 116.3545823 39.9616315, 116.3545387 39.9616097, 116.3545368 39.9616271, 116.3543286 39.9616213))",,"[4017585968, 4017585969, 4017585970, 4017585971, 4017585972, 4017585973, 4017585974, 4017585975, 4017585976, 4017585977, 4017585978, 4017585979, 4017585980, 4017585981, 4017585982, 4017585983, 4017585984, 4017585985, 4017585986, 4017585987, 4017585988, 4017586289, 4017586290, 4017586291, 4017586292, 4017586293, 4017586294, 4017586295, 4017586296, 4017586297, 4017585968]",,,,,,,,,,,,,
way,399018595,apartments,25号楼,25号楼,25号楼,25號樓,"POLYGON ((116.3541994 39.9630084, 116.3543058 39.9630108, 116.3543051 39.9630273, 116.3543858 39.9630292, 116.3543847 39.9630578, 116.3545088 39.9630607, 116.3545141 39.9629266, 116.35431 39.9629219, 116.354312 39.9628723, 116.3542048 39.9628699, 116.3541994 39.9630084))",,"[4017586298, 4017586299, 4017586300, 4017586301, 4017586302, 4017586303, 4017586304, 4017586305, 4017586306, 4017586307, 4017586298]",,,,,,,,,,,,,
