element_type,osmid,amenity,operator,parking,geometry,nodes,fee,layer,name
node,5262100823,parking,体育馆停车场,underground,POINT (120.0342797 30.2275189),,,,
way,340429646,parking,,underground,"POLYGON ((120.0271056 30.2247583, 120.0271123 30.2242206, 120.0282764 30.2242114, 120.028279 30.2247595, 120.0271056 30.2247583))","[3476551856, 3476551857, 3476551858, 3476551859, 3476551856]",no,-1,郁文停车场
way,543809042,parking,,underground,"POLYGON ((120.0296873 30.227721, 120.0297017 30.2272044, 120.0304133 30.2272193, 120.0303989 30.2277358, 120.0296873 30.227721))","[5256945929, 5256945930, 5256945931, 5256945932, 5256945929]",,,
