element_type,osmid,amenity,drink:tea,geometry,description,name,name:zh,outdoor_seating,nodes,building
node,3622988379,cafe,yes,POINT (120.0199153 30.2267409),,,,,,
node,5700934056,cafe,,POINT (120.0393199 30.2332091),浙江工业大学咖啡馆，价格亲民，学生学习与休息的最佳场所,工大咖啡馆,工大咖啡馆,no,,
way,356903852,cafe,yes,"POLYGON ((120.0178449 30.2188678, 120.0179737 30.2187403, 120.0180622 30.2188284, 120.0179415 30.2189489, 120.0178449 30.2188678))",,,,,"[3623012644, 3623012645, 3623012646, 3623012647, 3623012644]",yes
