element_type,osmid,nodes,natural,source,geometry,water,ways,type,name,name:en,name:zh
way,117941479,"[1327558159, 1327558274, 1327558248, 1327558291, 1327558319, 1327558345, 1327558334, 1327558361, 1327558389, 1327558198, 1327558282, 1327558170, 1327558227, 1327558276, 1327558307, 1327558292, 1327558320, 1327558348, 1327558376, 1327558362, 1327558390, 1327558199, 1327558250, 1327558229, 1327558278, 1327558309, 1327558335, 1327558322, 1327558350, 1327558378, 1327558171, 1327558392, 1327558202, 1327558258, 1327558294, 1327558340, 1327558226, 1327558169, 1327558375, 1327558347, 1327558360, 1327558333, 1327558306, 1327558275, 1327558290, 1327558247, 1327558197, 1327558388, 1327558168, 1327558374, 1327558344, 1327558318, 1327558332, 1327558305, 1327558273, 1327558217, 1327558246, 1327558196, 1327558387, 1327558359, 1327558372, 1327558342, 1327558317, 1327558288, 1327558303, 1327558271, 5338319474, 1327558216, 1327558164, 1327558187, 1327558385, 1327558357, 1327558315, 1327558286, 1327558244, 5338319473, 5338319472, 5338319471, 1327558269, 1327558384, 1327558356, 1327558328, 1327558301, 1327558314, 1327558285, 1327558243, 1327558184, 1327558213, 1327558156, 1327558369, 5256945961, 5256945962, 5256945963, 5256945964, 5256945965, 5256945966, 5256945967, 5256945969, 5256945968, 5256945971, 5256945970, 5256945972, 5256945973, 5256945974, 5256945979, 5256945980, 5256945975, 5256945976, 5256945977, 5256945978, 5256945981, 5256945982, 5256945983, 5256945984, 5256945985, 1327558341, 1327558355, 1327558183, 1327558383, 1327558394, 1327558367, 1327558339, 1327558313, 1327558373, 1327558343, 1327558358, 1327558331, 1327558304, 1327558272, 1327558287, 1327558245, 1327558195, 1327558386, 1327558159]",water,bing,"POLYGON ((120.028457 30.2239696, 120.028525 30.224064, 120.028559 30.2242244, 120.0286083 30.2242963, 120.0286545 30.2243553, 120.0288772 30.2243816, 120.0290555 30.2243596, 120.0292375 30.2244059, 120.0293095 30.2244627, 120.0294603 30.224653, 120.0294658 30.2247058, 120.0294792 30.2248329, 120.029464 30.224954, 120.029464 30.2250325, 120.0294337 30.2252713, 120.0294981 30.2254873, 120.0295057 30.2255756, 120.0294489 30.2257556, 120.0294603 30.2258112, 120.02943 30.2258701, 120.0293277 30.2259846, 120.0290967 30.2259911, 120.0289566 30.2259322, 120.0287862 30.2259813, 120.0287597 30.2260238, 120.0287408 30.2261449, 120.0286613 30.2263379, 120.0286007 30.2263739, 120.028559 30.2264197, 120.0285856 30.2265015, 120.0286992 30.2266062, 120.0287067 30.2266389, 120.0286613 30.2267469, 120.0286726 30.2268156, 120.0287446 30.2268581, 120.0288349 30.2268695, 120.0288879 30.2269775, 120.0289447 30.2270462, 120.0290128 30.2270593, 120.029081 30.2270626, 120.0291757 30.2269971, 120.0291908 30.2268107, 120.029134 30.2268139, 120.0291378 30.2267616, 120.0290696 30.2267649, 120.0290734 30.22667, 120.0290204 30.2266667, 120.0290204 30.2265456, 120.0290734 30.2265456, 120.0290848 30.2264998, 120.0291075 30.2264704, 120.0290734 30.2264475, 120.0290659 30.226405, 120.0290545 30.2262643, 120.0290999 30.2262381, 120.0293612 30.2261956, 120.0295695 30.2260941, 120.0296225 30.2260352, 120.0296338 30.2258782, 120.0296376 30.2255314, 120.0296111 30.2252304, 120.0296073 30.2251453, 120.0296301 30.2250046, 120.0296338 30.2248247, 120.0296187 30.2246382, 120.0294748 30.2245269, 120.0294363 30.2244511, 120.0293385 30.2243666, 120.0292855 30.2241801, 120.0292592 30.2241306, 120.0292275 30.224113, 120.0291909 30.2240861, 120.0291254 30.2240579, 120.0289939 30.2240028, 120.0289723 30.2240143, 120.0286045 30.2238752, 120.0285501 30.2237417, 120.0286067 30.2236549, 120.0285379 30.2236224, 120.0284941 30.223709, 120.0283843 30.2237057, 120.0282101 30.2236174, 120.0278276 30.2234636, 120.0275437 30.2233785, 120.0273013 30.2232509, 120.0269075 30.2230383, 120.0267674 30.222999, 120.026703 30.223071, 120.0266879 30.223156, 120.0263492 30.2236104, 120.0258593 30.2241859, 120.0258557 30.2242303, 120.0258215 30.2242938, 120.0258222 30.2243206, 120.0258601 30.224327, 120.0258114 30.2243814, 120.0258619 30.2244637, 120.0259279 30.2244048, 120.0259492 30.2244162, 120.026067 30.2243335, 120.026201 30.2240332, 120.0265006 30.2240196, 120.0265662 30.2239741, 120.0265516 30.223943, 120.0265622 30.2238408, 120.0265899 30.2238213, 120.0265302 30.2237578, 120.02656 30.2236673, 120.0265927 30.2236585, 120.026655 30.2235983, 120.0266998 30.2235093, 120.0267599 30.223503, 120.0267779 30.2234557, 120.0269891 30.2234518, 120.0270868 30.2235092, 120.0272469 30.2234989, 120.0273281 30.2234979, 120.0273998 30.2235094, 120.0274452 30.2235421, 120.0274906 30.2236272, 120.0275016 30.2236822, 120.0276674 30.2236885, 120.0276966 30.2236866, 120.0276787 30.2236326, 120.0276837 30.2235931, 120.0277294 30.2235322, 120.0277969 30.2235133, 120.0278981 30.2235485, 120.0279229 30.2236017, 120.0281512 30.2236909, 120.0282416 30.2237552, 120.028321 30.2238641, 120.0284024 30.223931, 120.028457 30.2239696))",,,,,,
way,543860948,"[5257387022, 5257387023, 5257387024, 5257387025, 5257387026, 5257387027, 5257387028, 5257387029, 5257387030, 5257387031, 5257387032, 5257387033, 5257387034, 5257387035, 5257387036, 5257387037, 5257387038, 5257387039, 5257387040, 5257387041, 5257387042, 5257387043, 5257387044, 5257387045, 5257387046, 5257387047, 5257387048, 5257387049, 5257387050, 5257387051, 5257387052, 5257387053, 5257387054, 5257387055, 5257387056, 5257387057, 5257387058, 5257387059, 5257387060, 5257387061, 5257387022]",water,,"POLYGON ((120.0304844 30.2253519, 120.0303863 30.2253398, 120.0303396 30.225247, 120.0303583 30.2251017, 120.0303489 30.225017, 120.0303863 30.2249323, 120.0303583 30.2248556, 120.0303536 30.2247386, 120.0304517 30.2247144, 120.0305264 30.2247022, 120.0306338 30.2247265, 120.0363639 30.22766, 120.0362612 30.2277568, 120.0362238 30.2279263, 120.0360417 30.228015, 120.0359856 30.2281563, 120.0357615 30.2282007, 120.0356214 30.2280998, 120.0355326 30.2279384, 120.0355934 30.2277851, 120.035612 30.2275349, 120.0353318 30.2273331, 120.0350003 30.2271798, 120.0347294 30.2269861, 120.0346874 30.2268691, 120.0339915 30.2264777, 120.033646 30.2264414, 120.0335993 30.226397, 120.0335386 30.2263042, 120.0333424 30.2261307, 120.0328988 30.2259047, 120.0324645 30.225703, 120.0312503 30.2250816, 120.0309841 30.2250372, 120.0307692 30.2250089, 120.0305918 30.2250008, 120.0305124 30.2250775, 120.0304704 30.2251501, 120.0304984 30.2252187, 120.0304984 30.2252672, 120.0304844 30.2253519))",pond,,,,,
way,544342587,"[5262100824, 5262100825, 5262100826, 5262100827, 5262100828, 5262100829, 5262100830, 5262100831, 5262100832, 5262100833, 5262100834, 5262100835, 5262100836, 5262100837, 5262100838, 5262100839, 5262100840, 5262100841, 5262100842, 5262100843, 5262100844, 5262100845, 5262100846, 5262100847, 5262100848, 5262100849, 5262100850, 5262100851, 5262100852, 5262100853, 5262100854, 5262100855, 5262100856, 5262100857, 5262100858, 5262100859, 5262100824]",water,,"POLYGON ((120.0389429 30.23192, 120.0388881 30.2318956, 120.0388385 30.2318879, 120.0387837 30.2318956, 120.0387483 30.2319047, 120.038812 30.2318482, 120.0388173 30.2318084, 120.0387996 30.2317671, 120.0387589 30.231732, 120.03872 30.2317259, 120.0387164 30.2317075, 120.0387553 30.2316983, 120.0387536 30.2316739, 120.0387146 30.2316632, 120.0386881 30.2316616, 120.0386899 30.2315684, 120.0387129 30.2315653, 120.0387182 30.2315363, 120.0386669 30.2315347, 120.0386598 30.2314338, 120.038704 30.2314216, 120.0386916 30.2313803, 120.0387093 30.231339, 120.0387571 30.2312916, 120.0387907 30.231339, 120.0387978 30.2314889, 120.0388474 30.2315026, 120.038835 30.2315546, 120.038835 30.2316173, 120.0388456 30.2316983, 120.0388651 30.2317641, 120.0389075 30.2318054, 120.0389164 30.2318268, 120.0388969 30.2318528, 120.0389058 30.2318803, 120.0389199 30.2318986, 120.0389429 30.23192))",,,,,,
way,544342590,"[5262100860, 5262100861, 5262100862, 5262100863, 5262100864, 5262100865, 5262100866, 5262100867, 5262100868, 5262100869, 5262100870, 5262100871, 5262100872, 5262100873, 5262100874, 5262100875, 5262100876, 5262100877, 5262100878, 5262100879, 5262100880, 5262100881, 5262100882, 5262100883, 5262100884, 5262100885, 5262100886, 5262100887, 5262100888, 5262100889, 5262100890, 5262100891, 5262100892, 5262100893, 5262100894, 5262100895, 5262100896, 5262100897, 5262100898, 5262100899, 5262100900, 5262100901, 5262100902, 5262100903, 5262100904, 5262100905, 5262100906, 5262100907, 5262100908, 5262100909, 5262100910, 5262100911, 5262100912, 5262100913, 5262100914, 5262100860]",water,,"POLYGON ((120.0390084 30.2328832, 120.0390385 30.2330499, 120.0389854 30.2331126, 120.0389199 30.2331523, 120.0388049 30.233163, 120.0387288 30.2331279, 120.0386669 30.2330897, 120.0386262 30.2330438, 120.0387005 30.2330132, 120.0387766 30.2329826, 120.038796 30.2329261, 120.0387872 30.232842, 120.0387182 30.2328343, 120.0387607 30.2328129, 120.0387518 30.2327579, 120.03872 30.2327349, 120.0387536 30.2327013, 120.0387483 30.2326692, 120.0386987 30.2326539, 120.0387005 30.2326356, 120.0387235 30.2326126, 120.0387164 30.2325821, 120.0386899 30.2325637, 120.0387412 30.232501, 120.0387518 30.232264, 120.0387023 30.2322717, 120.0386793 30.2322121, 120.0387207 30.2321046, 120.0387388 30.2321202, 120.0387542 30.2321411, 120.038777 30.232159, 120.0388051 30.2321654, 120.038834 30.2321712, 120.0388608 30.2321671, 120.038897 30.2321579, 120.0389279 30.2321457, 120.0389567 30.2321295, 120.0389855 30.2321353, 120.0390016 30.232181, 120.0390137 30.2322326, 120.0389929 30.2322633, 120.0389507 30.2323122, 120.0389624 30.2323324, 120.0389589 30.2324504, 120.0389425 30.2324565, 120.0389414 30.2324797, 120.0389379 30.2324958, 120.0389437 30.2325089, 120.038925 30.2326844, 120.038932 30.2327621, 120.0389682 30.2328146, 120.0388795 30.2328771, 120.0389017 30.2328932, 120.038876 30.2329205, 120.0389274 30.2329689, 120.0390084 30.2328832))",,,,,,
relation,11525441,"[[[3618872953, 3618872954, 3618872955, 3618872956, 3618872957, 3618872958, 3618872959, 3618872960, 3618872961, 3618872962, 3618872963, 3618872964, 3618872965, 3618872966, 3618872953], [1705321604, 1705321571, 1705321617, 1705321580, 1705321613, 1705321621, 7828757837, 1705321575, 7828757838, 1705321625, 1705321582, 7828757836, 1705321623, 1705321584, 1705321585, 1705321622, 7828757835, 1705321624, 1705321578, 1705321587, 1705321606, 1705321611, 1705321608, 1705321602, 1705321569, 1705321615, 1705321586, 1705321626, 1705321564, 1705321620, 1705321628, 1705321637, 1705321567, 1705321573, 3392498737, 1705321604]]]",water,,"POLYGON ((120.0204736 30.2214802, 120.020699 30.2212692, 120.0205917 30.2208984, 120.0205188 30.2205387, 120.0203772 30.2203051, 120.0200982 30.2200455, 120.0199695 30.2196561, 120.0197892 30.2193335, 120.0195532 30.2190739, 120.0192828 30.218729, 120.0188236 30.2185176, 120.0182528 30.2183211, 120.017931 30.2180801, 120.0173302 30.2180986, 120.0165443 30.2182979, 120.0165067 30.2183976, 120.0166221 30.2185621, 120.0168862 30.2188281, 120.0170309 30.2189406, 120.0171759 30.2190524, 120.0174308 30.2192036, 120.0177138 30.2193739, 120.0179048 30.2194475, 120.0180381 30.219494, 120.0181215 30.2195739, 120.0181951 30.2197488, 120.0182775 30.2198306, 120.0183199 30.219933, 120.0182627 30.2200473, 120.0182045 30.2201926, 120.0182314 30.2204905, 120.0186391 30.2209911, 120.0191541 30.221195, 120.0201197 30.2214175, 120.0204415 30.2215102, 120.0204736 30.2214802), (120.0174653 30.2188411, 120.0173902 30.2187438, 120.0173097 30.2186371, 120.0175404 30.2184239, 120.0177013 30.2184286, 120.0178622 30.2185259, 120.0180285 30.2186603, 120.0180715 30.218804, 120.0181627 30.2188736, 120.0180983 30.2189477, 120.0180554 30.2189199, 120.0179964 30.219008, 120.0178998 30.2190265, 120.0176906 30.219008, 120.0174653 30.2188411))",,"[356425917, 158305848]",multipolygon,西密湖,Ximi Lake,西密湖
