u,v,key,osmid,highway,oneway,reversed,length,geometry,name,bridge,tunnel,access
1327558234,5257229926,0,543842179,footway,False,False,25.416,"LINESTRING (120.0304685 30.2263459, 120.0306684 30.2261962)",,,,
1327558234,3575370506,0,351708022,service,False,False,29.737000000000002,"LINESTRING (120.0304685 30.2263459, 120.0305817 30.2265031, 120.0306193 30.2265787)",,,,
1327558234,1329050319,0,351708022,service,False,True,41.263000000000005,"LINESTRING (120.0304685 30.2263459, 120.0303859 30.2262806, 120.0302304 30.2262181, 120.0300867 30.2261957)",,,,
1327558381,5262100952,0,351704232,service,False,False,53.213,"LINESTRING (120.0358523 30.2287568, 120.0361544 30.2283557)",支干路,,,
1327558381,3575883384,0,351704232,service,False,True,107.572,"LINESTRING (120.0358523 30.2287568, 120.0354731 30.2292309, 120.0352168 30.2295533)",支干路,,,
1327558381,5257637359,0,351708022,service,False,True,161.519,"LINESTRING (120.0358523 30.2287568, 120.0353916 30.2285065, 120.0352704 30.2284514, 120.0351078 30.2283962, 120.0349216 30.2283394, 120.0347334 30.2283158, 120.034467 30.2283102, 120.0342958 30.2283107)",,,,
1327558381,3575883370,0,351776339,path,False,True,71.877,"LINESTRING (120.0358523 30.2287568, 120.0360238 30.2289463, 120.0362034 30.2291409, 120.0362262 30.2291999, 120.0362363 30.229259, 120.0362363 30.229294)",,,,
1327558381,3575883496,0,351776345,path,False,False,198.84900000000005,"LINESTRING (120.0358523 30.2287568, 120.0361759 30.228886, 120.0362765 30.2289405, 120.0363498 30.2289935, 120.0364077 30.2290509, 120.0364606 30.2291246, 120.0365305 30.229238, 120.0366043 30.2293429, 120.0367031 30.2294647, 120.0368006 30.2295659, 120.0369653 30.2297478, 120.0370831 30.2298846, 120.0372072 30.2300524)",,,,
1327558395,3575424368,0,351711805,service,False,False,17.758,"LINESTRING (120.0283528 30.2259608, 120.0283531 30.2258011)",,,,
1327558395,3575424357,0,117941492,service,False,True,136.70499999999998,"LINESTRING (120.0283528 30.2259608, 120.0280444 30.225831, 120.0278298 30.2257963, 120.0275428 30.2257592, 120.0274516 30.2257244, 120.0271592 30.2255487, 120.0271244 30.2255367, 120.027055 30.225506)",,,,
1327558395,5262100977,0,351711802,service,False,False,284.88100000000003,"LINESTRING (120.0283528 30.2259608, 120.0283954 30.2262651, 120.0284638 30.2265361, 120.0285721 30.2268071, 120.0287204 30.2270632, 120.0288914 30.2272849, 120.0290967 30.2274968, 120.0293419 30.227748, 120.0296099 30.2280239, 120.0297552 30.2281436)",乌溪江路,,,
