element_type,osmid,nodes,building,source,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,leisure,name,amenity,drink:tea,addr:district,addr:province,layer
way,543809047,"[5256945935, 5256945936, 5256945937, 5256945938, 5256945939, 5256945940, 5256945941, 5256945942, 5256945943, 5256945944, 5256945945, 5256945946, 5256945947, 5256945948, 5256945949, 5256945950, 5256945951, 5256945952, 5256945953, 5256945954, 5256945935]",university,,"POLYGON ((120.0271646 30.225323, 120.0271615 30.2254795, 120.0273002 30.2254815, 120.0272996 30.22551, 120.0273963 30.2255115, 120.027396 30.225528, 120.0274477 30.2255287, 120.027447 30.2255638, 120.0274207 30.2255634, 120.0274185 30.2256767, 120.0276229 30.2256797, 120.0276238 30.2256299, 120.0280748 30.2256365, 120.0280759 30.2255806, 120.0280975 30.2255809, 120.0281003 30.2254408, 120.0273507 30.2254298, 120.0273533 30.2252956, 120.0272087 30.2252935, 120.0272081 30.2253237, 120.0271646 30.225323))",杭州,288,,留和路,,畅远楼,,,西湖区,浙江,
way,543809048,"[5256945955, 5256945956, 5256945957, 5256945958, 5256945959, 5256945960, 5256945955]",university,,"POLYGON ((120.0271541 30.2249796, 120.0279634 30.224988, 120.0279607 30.2251778, 120.0273927 30.2251719, 120.027392 30.2252222, 120.0271508 30.2252197, 120.0271541 30.2249796))",杭州,288,,留和路,,仁和楼,,,西湖区,浙江,
way,543842176,"[5257229814, 5257229815, 5257229816, 5257229817, 5257229818, 5257229814]",university,,"POLYGON ((120.0320577 30.2260994, 120.0320536 30.225848, 120.0322522 30.2258456, 120.0323327 30.2259128, 120.0323356 30.2260961, 120.0320577 30.2260994))",,,,,,致远楼,,,,,
way,543842182,"[9834985294, 5257229932, 5257229933, 5257229934, 5257229935, 5257229948, 5257229936, 5257229937, 5257229938, 5257229939, 5257229940, 5257229941, 5257229942, 5257229943, 5257229949, 9834985271, 5257229945, 5257229946, 5257229947, 9834985294]",yes,,"POLYGON ((120.0387211 30.2320919, 120.0387636 30.2321081, 120.0388103 30.2321116, 120.0388557 30.2321017, 120.038895 30.2320795, 120.0389237 30.2320475, 120.0389388 30.2320092, 120.0389385 30.2319687, 120.038923 30.2319304, 120.0388939 30.2318987, 120.0388544 30.2318769, 120.0388092 30.2318674, 120.038763 30.2318711, 120.0387206 30.2318875, 120.0386866 30.2319148, 120.0386646 30.2319502, 120.0386571 30.2319898, 120.0386648 30.2320294, 120.0386869 30.2320647, 120.0387211 30.2320919))",,,,,,集贤廊,shelter,,,,1
way,543885023,"[5257636715, 5257636716, 5257636717, 5257636718, 5257636715]",university,,"POLYGON ((120.0286201 30.2253593, 120.0286208 30.2251716, 120.0291964 30.2251729, 120.0291958 30.2253607, 120.0286201 30.2253593))",,,,,,博易楼B,,,,,
way,543885024,"[5257636719, 5257636720, 5257637321, 5257637322, 5257636719]",university,,"POLYGON ((120.0285751 30.2249546, 120.0285734 30.2247405, 120.029264 30.2247364, 120.0292657 30.2249507, 120.0285751 30.2249546))",,,,,,博易楼A,,,,,
way,543885025,"[8992051838, 5257637324, 5257637325, 5257637326, 5257637327, 5257637328, 5257637329, 8992051840, 8992051838]",university,,"POLYGON ((120.0273215 30.2241394, 120.0273215 30.2239376, 120.0279475 30.2239376, 120.0279475 30.2237661, 120.0281574 30.2237661, 120.0281574 30.2239017, 120.0280619 30.2239017, 120.0280619 30.2241394, 120.0273215 30.2241394))",,,,,,郁文楼B,,,,,
way,543885027,"[5257637331, 5257637332, 5257637333, 5257637334, 5257637331]",university,,"POLYGON ((120.0267524 30.2239087, 120.0267548 30.2236287, 120.02739 30.2236328, 120.0273876 30.2239127, 120.0267524 30.2239087))",,,,,,郁文楼A,,,,,
way,543885029,"[5257637335, 5257637336, 5257637337, 5257637338, 5257637339, 5257637340, 5257637335]",university,,"POLYGON ((120.0307366 30.2261892, 120.0307381 30.2260001, 120.0315446 30.2260047, 120.0315429 30.2262335, 120.0312114 30.2262316, 120.0312008 30.2261918, 120.0307366 30.2261892))",,,,,,理学楼C,,,,,
way,543885031,"[5257637341, 5257637342, 5257637343, 5257637344, 5257637345, 5257637346, 5257637347, 5257637348, 5257637341]",university,,"POLYGON ((120.0307568 30.225817, 120.03076 30.2256368, 120.0312443 30.2256432, 120.0312433 30.2256991, 120.0315442 30.2257031, 120.0315407 30.2259018, 120.0311876 30.2258971, 120.0311889 30.2258228, 120.0307568 30.225817))",,,,,,理学楼B,,,,,
way,543885033,"[5257637349, 5257637350, 5257637351, 5257637352, 5257637353, 5257637354, 5257637355, 5257637356, 5257637357, 5257637349]",university,,"POLYGON ((120.0307311 30.2254223, 120.030739 30.2252322, 120.0311705 30.2252455, 120.0311682 30.2253031, 120.0312291 30.225305, 120.0312609 30.2253325, 120.0312574 30.2253845, 120.0312326 30.2254182, 120.0311902 30.2254365, 120.0307311 30.2254223))",,,,,,理学楼A,,,,,
way,544342576,"[5262099697, 5262099698, 5262099699, 5262099700, 5262099697]",university,,"POLYGON ((120.0324719 30.2281516, 120.032475 30.2278795, 120.0334428 30.2278876, 120.0334398 30.2281597, 120.0324719 30.2281516))",,,,,,广知楼C,,,,,
way,544342578,"[5262099701, 5262099702, 5262099703, 5262099704, 5262099701]",university,,"POLYGON ((120.0324368 30.2276712, 120.0324391 30.2273684, 120.033446 30.2273741, 120.0334437 30.2276768, 120.0324368 30.2276712))",,,,,,广知楼B,,,,,
way,544342580,"[5262099705, 5262099706, 5262099707, 5262099708, 5262099705]",university,,"POLYGON ((120.0324383 30.2271929, 120.0324378 30.2269086, 120.0334482 30.2269074, 120.0334486 30.2271918, 120.0324383 30.2271929))",,,,,,广知楼A,,,,,
way,544342581,"[5262099709, 5262099710, 5262099711, 5262099712, 5262099713, 5262099714, 5262099709]",university,,"POLYGON ((120.0318791 30.2279207, 120.0318778 30.2276927, 120.0315538 30.227694, 120.031553 30.2275568, 120.0322042 30.2275542, 120.0322062 30.2279194, 120.0318791 30.2279207))",,,,,,健行楼C,,,,,
way,544342584,"[5262099715, 5262099716, 5262099717, 5262099718, 5262099715]",university,,"POLYGON ((120.0315347 30.2274415, 120.0322671 30.2274369, 120.0322654 30.2272321, 120.0315329 30.2272367, 120.0315347 30.2274415))",,,,,,健行楼B,,,,,
way,544342585,"[5262099719, 5262099720, 5262100821, 5262100822, 5262099719]",university,,"POLYGON ((120.0315423 30.2270161, 120.0315431 30.2268327, 120.0322578 30.226835, 120.032257 30.2270184, 120.0315423 30.2270161))",,,,,,健行楼A,,,,,
way,544342596,"[5262100915, 5262100916, 5262100917, 5262100918, 5262100915]",university,,"POLYGON ((120.0286057 30.2255598, 120.0286072 30.2257508, 120.0291804 30.2257476, 120.0291789 30.2255565, 120.0286057 30.2255598))",,,,,,博易楼C,,,,,
way,544342598,"[5262100939, 5262100921, 5262100922, 5262100923, 5262100924, 5262100925, 5262100926, 5262100927, 5262100928, 5262100938, 5262100929, 5262100930, 5262100931, 5262100932, 5262100933, 5262100934, 5262100935, 5262100936, 5262100937, 5262100939]",university,,"POLYGON ((120.0278086 30.223585, 120.0278405 30.2235772, 120.0278721 30.2235787, 120.0279015 30.2235887, 120.0279257 30.2236063, 120.0279422 30.2236297, 120.0279494 30.2236563, 120.0279463 30.2236835, 120.0279335 30.2237085, 120.0279121 30.2237287, 120.0278845 30.223742, 120.0278518 30.223747, 120.0278191 30.2237424, 120.02779 30.2237287, 120.0277678 30.2237074, 120.027755 30.223681, 120.0277531 30.2236524, 120.0277623 30.2236248, 120.0277815 30.2236015, 120.0278086 30.223585))",,,,,,演播厅,,,,,
