element_type,osmid,nodes,building,source,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,leisure,name,amenity,drink:tea,addr:district,addr:province,layer
way,564001990,"[5434697595, 5434697596, 5434697597, 5434697602, 5434697601, 5434697598, 5434697599, 5434697600, 5434697595]",dormitory,,"POLYGON ((120.034747 30.2314438, 120.0347467 30.2312575, 120.0350812 30.231257, 120.0350814 30.2313347, 120.0352504 30.2313344, 120.0352507 30.2315032, 120.035074 30.2315034, 120.0350738 30.2314434, 120.034747 30.2314438))",,,,,,西1,,,,,
way,577098943,"[5533287796, 5533287797, 5533287798, 5533287799, 5533287796]",dormitory,,"POLYGON ((120.0363423 30.2304515, 120.0363365 30.2302845, 120.036804 30.2302724, 120.0368098 30.2304395, 120.0363423 30.2304515))",,,,,,西12,,,,,
way,577098944,"[5533287800, 5533287801, 5533287802, 5533287803, 5533287804, 5533287805, 5533287800]",dormitory,,"POLYGON ((120.0369093 30.2304463, 120.0369014 30.2302874, 120.0371328 30.2302788, 120.0374341 30.2304662, 120.037341 30.230578, 120.037117 30.2304386, 120.0369093 30.2304463))",,,,,,西11,,,,,
way,651998978,"[6113315844, 6113315845, 6113315846, 6113315847, 6113315844]",apartments,,"POLYGON ((120.0392067 30.2332386, 120.0392061 30.2330623, 120.0397394 30.2330611, 120.0397399 30.2332373, 120.0392067 30.2332386))",,,,,,东14,,,,,
way,1053653145,"[9683069339, 9683069340, 9683069341, 9683069342, 9683069343, 9683069344, 9683069345, 9683069346, 9683069347, 9683069348, 9683069349, 9683069350, 9683069351, 9683069352, 9683069353, 9683069354, 9683069339]",apartments,,"POLYGON ((120.0380694 30.2341208, 120.0380672 30.2339314, 120.0385213 30.2339275, 120.0385241 30.2341646, 120.0391486 30.2341592, 120.0391459 30.2339262, 120.0395601 30.2339226, 120.039562 30.2340889, 120.0392428 30.2340916, 120.0392448 30.2342637, 120.0391553 30.2342645, 120.0391561 30.2343326, 120.0385099 30.2343384, 120.0385089 30.234261, 120.0384011 30.2342619, 120.0383994 30.2341179, 120.0380694 30.2341208))",,,,,,东19,,,,,
way,1053664351,"[9683083105, 9683083106, 9683083107, 9683083108, 9683083105]",apartments,,"POLYGON ((120.0358032 30.2293212, 120.0357979 30.2291447, 120.0361624 30.2291365, 120.0361678 30.229313, 120.0358032 30.2293212))",,,,,,西9,,,,,
way,1053664354,"[9683185851, 9683185852, 9683185853, 9683185854, 9683185851]",apartments,,"POLYGON ((120.0355332 30.2295084, 120.0359802 30.229511, 120.0359788 30.2296863, 120.0355318 30.2296837, 120.0355332 30.2295084))",,,,,,西8,,,,,
way,1053664355,"[9683185855, 9683185856, 9683185857, 9683185858, 9683185855]",apartments,,"POLYGON ((120.0352691 30.2300364, 120.0352731 30.2298899, 120.0356342 30.2298972, 120.0356302 30.2300438, 120.0352691 30.2300364))",,,,,,西7,,,,,
way,1053664356,"[9683185859, 9683185860, 9683185861, 9683185862, 9683185859]",apartments,,"POLYGON ((120.0353264 30.2307639, 120.0353245 30.2306097, 120.0356315 30.230607, 120.0356333 30.2307612, 120.0353264 30.2307639))",,,,,,西5,,,,,
way,1053664357,"[9683185863, 9683185864, 9683185865, 9683185866, 9683185863]",apartments,,"POLYGON ((120.0353314 30.2311171, 120.0353295 30.2309629, 120.0356365 30.2309601, 120.0356383 30.2311144, 120.0353314 30.2311171))",,,,,,西4,,,,,
way,1053664358,"[9683185867, 9683185868, 9683185869, 9683185870, 9683185871, 9683185872, 9683185873, 9683185874, 9683185867]",dormitory,,"POLYGON ((120.0347393 30.2310655, 120.0347389 30.2308791, 120.0350734 30.2308787, 120.0350736 30.2309563, 120.0352426 30.2309561, 120.0352429 30.2311248, 120.0350662 30.2311251, 120.0350661 30.231065, 120.0347393 30.2310655))",,,,,,西2,,,,,
way,1053664359,"[9683185875, 9683185876, 9683185877, 9683185878, 9683185879, 9683185880, 9683185881, 9683185882, 9683185875]",dormitory,,"POLYGON ((120.0347309 30.2307166, 120.0347306 30.2305303, 120.0350651 30.2305298, 120.0350652 30.2306075, 120.0352343 30.2306073, 120.0352345 30.230776, 120.0350578 30.2307762, 120.0350577 30.2307162, 120.0347309 30.2307166))",,,,,,西3,,,,,
way,1128373960,"[10316086601, 10316086602, 10316086603, 10316086604, 10316086605, 10316091910, 10316086606, 10316086607, 10316091909, 10316086608, 10316086601]",grandstand,,"POLYGON ((120.0319438 30.2290823, 120.0325256 30.2295894, 120.0325689 30.2283371, 120.0320688 30.2282886, 120.032153 30.2284517, 120.0321824 30.228541, 120.0321938 30.2286568, 120.0321734 30.2287935, 120.0321224 30.228917, 120.0320458 30.2290118, 120.0319438 30.2290823))",,,,,,板球场看台,,,,,
way,1128382464,"[10316144164, 3575347132, 3575347129, 10316144165, 10316144164]",grandstand,,"POLYGON ((120.0326795 30.2295837, 120.0328831 30.2295977, 120.0328392 30.2286844, 120.0326902 30.2286771, 120.0326795 30.2295837))",,,,,,,,,,,
